ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367290,dinoprost,前列酸F2α；前列腺素F2α,Prostaglandin analogues that are not used to treat glaucoma,2024.11.22,
21367291,dinoprostone,前列酸E2；前列腺素E2,Prostaglandin analogues that are not used to treat glaucoma,2024.11.22,
21367292,diphenhydramine,二苯甲醚胺,Antihistamines：H1-antihistamines [Antiemetics：H1 histamine antagonists],2024.11.22,
21367293,diphenidol,二苯哌啶醇,Antiemetics：Muscarinic antagonist,2024.11.22,
21367294,diphenylhydantoin,二苯妥因；苯乙內醯脲,Antiarrhythmics agents：Class Ib antiarrhythmics,2024.11.22,
21367295,dipivefrin€,腎上腺素戊酯；二(新)戊醯腎上腺素 ,Antiglaucoma agents：α-adrenergic agonist,2024.11.22,
21367296,diprophylline,二羥丙茶鹼,Phosphodiesterase inhibitors：Methylated xanthines,2024.11.22,
21367297,Dipyridamole,二哌達脈；二哌啶異喋啶,<p>Antithrombotic agents：Platelet aggregation inhibitors [Phosphodiesterase inhibitors：PDE3 inhibitors]</p>,<p>2024.11.22</p>,
21367298,disodium ethylenediaminetetraacetate,乙二胺四乙酸二鈉,Heavy metal antagonists,2024.11.22,
21367299,disopyramide,二異丙吡醯胺,Antiarrhythmics agents：Class Ia antiarrhythmics,2024.11.22,
21367300,divalproex sodium,丙戊酸半鈉鹽,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,2024.11.22,
21367301,D-norgestrel,左炔異睪固酮；l-炔異睪固酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,2024.11.22,
21367302,docetaxel,丁酯紫杉醇,Antineoplastic agents：Taxanes,2024.11.22,
21367303,docosanol,廿二醇,Antivirals：Others,2024.11.22,
21367304,"docusate, dioctyl sodium sulfosuccinate",琥珀酸辛酯磺酸鈉鹽；丁二酸辛酯磺酸鈉鹽,Laxatives：Surfactants (softeners),2024.11.22,
21367305,dolasetron,朵樂息衝；吲哚哌并𪡓酯,Antiemetics：5-HT3 antagonist,2024.11.22,
21367306,dolutegravir,多擄嵌韋爾,Antivirals：Integrase inhibitors,2024.11.22,
21367307,domperidone,哌啶苯咪酮,Antiemetics：Dopamine antagonist,2024.11.22,
21367308,donepezil,多沛記；苄哌啶茚酮,Antidementia：Acetylcholinesterase inhibitors,2024.11.22,
21367309,doravirine,氰三唑韋爾啶,Antivirals：Non-nucleoside reverse-transcriptase inhibitors (NNRTIs),2024.11.22,
21367310,doripenem,多瑞盤尼；磺胺碳盤尼,Antibiotics：Carbapenems,2024.11.22,
21367311,dorzolamide,碸噻吩磺醯胺,Antiglaucoma agents：Carbonic anhydrase inhibitors,2024.11.22,
21367312,dosulepin,硫呯思定；硫三環丙烯胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367313,doxazosin,多洒挫欣；苯㗁醯哌𠯤挫欣,Antihypertensives：Adrenergic agents,2024.11.22,
21367314,doxepin,氧呯思定；氧三環丙烯胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367315,doxorubicin,醣胺羥四環素；環己醣胺羥四環素,Antineoplastic agents：Antibiotics,2024.11.22,
21367316,doxycycline,異四環素,Antibiotics：Tetracyclines [Antiparasitics：Antiprotozoals],2024.11.22,
21367317,doxylamine,吡苯乙醚胺,Antihistamines：H1-antihistamines [Antiemetics：H1 histamine antagonists],2024.11.22,
21367318,dronabinol,四氫大麻酚,Antiemetics：Cannabinoid receptors agonists,2024.11.22,
21367319,dronedarone,磺醯胺苯呋酮,Antiarrhythmics agents：Class III antiarrhythmics,2024.11.22,
21367320,drospirenone,卓螺烯酮；環丙螺內酯固酮,Antihypertensives：Diuretics,2024.11.22,
21367321,duloxetine,多樂思汀；d-萘噻吩思汀,Antidepressants：Serotonin–norepinephrine reuptake inhibitor (SNRI),2024.11.22,
21367322,durvalumab,杜伐單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367323,Dutasteride,達縮攝；氟苄氮睪(固)醯胺,Urologic Agents: Drugs used in benign prostatic hypertrophy [Sex-hormonal agent：Androgens and anabolic steroids],2025-07-16 00:00:00,
21367324,dyphylline,二羥丙茶鹼,Phosphodiesterase inhibitors：Methylated xanthines,2024.11.22,
21367325,echinocandin B,亞麻醯棘白黴素,Antifungals：Echinocandins,2024.11.22,
21367326,econazole,乙剋黴唑,Antifungals：Azole,2024.11.22,
21367327,efavirenz,伊斐韋爾𠯤；炔氟韋爾𠯤,Antivirals：Non-nucleoside reverse-transcriptase inhibitors (NNRTIs),2024.11.22,
21367328,eflornithine,氟甲鳥胺酸 ,Antiparasitics：Antiprotozoals,2024.11.22,
21367329,elotuzumab,艾羅妥擬單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367330,elvitegravir,艾維嵌韋爾,Antivirals：Integrase inhibitors,2024.11.22,
21367331,emetine ,吐根鹼,Antiparasitics：Antiprotozoals,2024.11.22,
21367332,emtricitabine,氟胞㗁噻吩,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs) ,2024.11.22,
21367333,enalapril,依納壓利；苄丙縮丙脯肽,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,2024.11.22,
21367334,enfuvirtide,抑融韋爾肽,Antivirals：Others,2024.11.22,
21367335,enoxacin,乙氟㖠啶洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367336,ensitrelvir,恩賜肺韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367337,entecavir,外烯鳥韋爾,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs) ,2024.11.22,
21367338,entrectinib,揠肌靶泊；哌𠯤喃肌靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367339,enzalutamide,艾扎鹵醯胺；氟苄乙內醯硫脲,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367340,epinephrine; adrenaline ,腎上腺素,Antiglaucoma agents：α-adrenergic agonist,2024.11.22,
21367341,epirubicin,表醣胺羥四環素,Antineoplastic agents：Antibiotics,2024.11.22,
21367342,eplerenone,環氧螺烯酮；環氧螺內酯固酮,Antihypertensives：Diuretics,2024.11.22,
21367343,epoprostenol,前列酸I2；前列腺素I2,Prostaglandin analogues that are not used to treat glaucoma,2024.11.22,
21367344,erdafitinib,扼達泌靶泊；胺吡唑喹㗁啉泌靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367345,erlotinib ,遏落肺靶泊；炔醚肺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367346,ertapenem,扼撻盤尼；羧苯碳盤尼,Antibiotics：Carbapenems,2024.11.22,
21367347,erythromycin ,紅絲菌素,Antibiotics：Macrolides ,2024.11.22,
21367348,escitalopram,佑希達思汀；S-氰苯喃伸思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),2024.11.22,
21367349,esketamine,艾愷他命；S-氯苯酮胺 ,Antidepressants：Others,2024.11.22,
21367350,esmolol,佳脈落；丙酯異丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367351,estradiol,雌二醇；雌酚醇,Sex-hormonal agent：Estrogen receptor (ER) modulators,2024.11.22,
21367352,estradiol benzoate,雌醇酚苯甲酸酯,Sex-hormonal agent：Estrogen receptor (ER) modulators,2024.11.22,
21367353,estradiol cypionate,雌酚醇環戊丙酸酯,Sex-hormonal agent：Estrogen receptor (ER) modulators,2024.11.22,
21367354,estradiol valerate,雌酚醇戊酸酯,Sex-hormonal agent：Estrogen receptor (ER) modulators,2024.11.22,
21367355,etacrynic acid,乙丙烯醯苯酸,Antihypertensives：Diuretics,2024.11.22,
21367356,ethadione,乙㗁唑二酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Oxazolidinediones,2024.11.22,
21367357,ethambutol ,乙二胺丁醇,Antimycobacterials,2024.11.22,
21367358,ethionamide,乙異菸硫醯胺,Antimycobacterials,2024.11.22,
21367359,Ethosuximide,乙琥珀醯亞胺,Anticonvulsants/Antiepileptic drugs (AEDs)：Succinimides,2024.11.22,
21367360,etoposide,乙拓撲苷；鬼臼縮乙醛苷,Antineoplastic agents：Topoisomerase inhibitors,2024.11.22,
21367361,etravirine,依淬韋爾啶；氰韋爾啶,Antivirals：Non-nucleoside reverse-transcriptase inhibitors (NNRTIs),2024.11.22,
21367362,everolimus,羥乙潮菌素；羥乙潮絲菌素,Antineoplastic agents：mTOR (mechanistic target of rapamycin) inhibitors,2024.11.22,
21367363,exemestane,甲烯睪烯二酮,<p>Antineoplastic agents：&nbsp;Hormonal Agents</p>,<p>2024.11.22</p>,
21367364,famciclovir,前泛賜疱韋爾；戊酯異腺疱韋爾,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,2024.11.22,
21367365,famotidine,磺脲胍抗組胺；磺胍噻唑硫醚,Antihistamines：H2-antihistamines,2024.11.22,
21367366,felodipine,苯氯啶平；乙二氯啶平,Antihypertensives：Calcium channel blockers,2024.11.22,
21367367,fenticonazole,苯硫剋黴唑；苯硫乙剋黴唑,Antifungals：Azole,2024.11.22,
21367368,fexofenadine,羧丁苯羥哌啶,Antihistamines：H1-antihistamines,2024.11.22,
21367369,fidaxomicin ,橙孢菌素,Antibiotics：Macrolides ,2024.11.22,
21367370,filgotinib,斐革熄靶泊；碸環丙咪三唑熄靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367371,Finasteride,斐縮攝；丁氮睪(固)醯胺,Urologic Agents: Drugs used in benign prostatic hypertrophy [Sex-hormonal agent：Androgens and anabolic steroids],2025-07-16 00:00:00,
21367372,finerenone,斐濾能；腈苯氫㖠啶,Antihypertensives：Diuretics,2024.11.22,
21367373,flecainide ,氟卡醯胺；氟卡醯胺哌啶,Antiarrhythmics agents：Class Ib antiarrhythmics,2024.11.22,
21367374,flomoxef,氟唑氧頭孢醚；氧頭孢醚氟唑,Antibiotics：Cephems,2024.11.22,
21367375,flucloxacillin ,氟氯苯㗁唑西林,Antibiotics：Penicillins,2024.11.22,
21367376,fluconazole ,氟剋黴唑；氟異剋黴三唑,Antifungals：Azole,2024.11.22,
21367377,flucytosine,氟胞嘧啶,Antifungals：Others,2024.11.22,
21367378,fludarabine,氟腺阿拉伯苷,Antineoplastic agents：Antimetabolites,2024.11.22,
21367379,flumequine ,氟甲喹 ；甲哌啶氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367380,fluorouracil,氟脲嘧啶,Antineoplastic agents：Antimetabolites,2024.11.22,
21367381,fluoxetine,氟思汀；氟甲苯思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),2024.11.22,
21367382,fluoxymesterone,氟羥甲睪酮,Sex-hormonal agent：Androgens and anabolic steroids,2024.11.22,
21367383,flutamide,氟苄丁醯胺；氟甲硝苯丁醯胺,Antineoplastic agents： Hormonal Agents [Sex-hormonal agent：Androgens and anabolic steroids],2024.11.22,
21367384,fluvoxamine,氟戊肟胺；氟戊肟類思汀,Antidepressants：Selective serotonin reuptake inhibitors (SSRI),2024.11.22,
21367385,fosamprenavir,霖安沛韋爾；膦磺胺韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367386,fosaprepitant,福薩脾坦；膦唑酮氟必坦,Antiemetics：NK1 receptor antagonist,2024.11.22,
21367387,foscarnet,羧膦酸,Antivirals：Others,2024.11.22,
21367388,fosfomycin,膦絲菌素 ,Antibiotics：Others,2024.11.22,
21367389,fosinopril,膦酯壓利；環己脯乙醯膦酯,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,2024.11.22,
21367390,fosphenytoin,膦二苯妥因；膦苯乙內醯脲,Anticonvulsants/Antiepileptic drugs (AEDs)：Hydantoins,2024.11.22,
21367391,fostemsavir,服舒坦韋爾；膦哌𠯤韋爾,Antivirals：Others,2024.11.22,
21367392,fulvestrant ,伐威拮雌素；氟亞碸壬雌酚醇,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367393,furazolidone,呋㗁唑酮 ,Antibiotics：Oxazolidinone antibacterials,2024.11.22,
21367394,furosemide,呋羧磺胺,Antihypertensives：Diuretics,2024.11.22,
21367395,fusidic acid,梭鏈孢酸,Antibiotics：Others,2024.11.22,
21367396,gabapentin,環己胺丁酸,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,2024.11.22,
21367397,galantamine ,雪花蓮鹼,Antidementia：Acetylcholinesterase inhibitors,2024.11.22,
21367398,ganciclovir,干息巨韋爾；鳥裂縮巨韋爾,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,2024.11.22,
21367399,ganirelix,革逆抑釋性肽；二伸精酪抑釋性肽,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367400,gatifloxacin ,革剔氟洒欣；環丙甲氧氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367401,gefitinib,革肺靶泊；鄰鹵𠰌肺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367402,gemcitabine,胞偕二氟苷,Antineoplastic agents：Antimetabolites,2024.11.22,
21367403,gemifloxacin ,吉弭氟洒欣；環丙肟氟㖠啶洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367404,gentamicin,紫菌素；紫微單孢菌素,Antibiotics：Aminoglycosides,2024.11.22,
21367405,gilteritinib,拮剔淋靶泊；哌𠯤吡𠯤醯胺淋靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367406,glecaprevir,革卡肝韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367407,Gonadorelin,促垂肽；甘醯胺促垂體肽,"<p><span style=""font-size:12.0pt""><span style=""font-family:&quot;Times New Roman&quot;,serif""><span style=""color:black"">Agents Related to Pituitary and Hypothalamic Function: Hypothalamic Hormones [Antineoplastic agents]</span></span></span></p>",<p>2025.05.27</p>,
21367408,Goserelin,功施促垂肽；丁絲脲醯胺促垂體肽,<p>Agents Related to Pituitary and Hypothalamic Function: Hypothalamic Hormones [Antineoplastic agents]</p>,<p>2024.11.22</p>,
21367409,granisetron,革逆息衝；并哌啶吲唑醯胺,Antiemetics：5-HT3 antagonist,2024.11.22,
21367410,griseofulvin ,灰黴素,Antifungals：Others,2024.11.22,
21367411,guanethidine,胍乙啶；胍乙環庚亞胺,Antihypertensives：Miscellaneous,2024.11.22,
21367412,halofantrine,鹵菲羥丙胺,Antiparasitics：Antiprotozoals,2024.11.22,
21367413,hydralazine,聯胺呔𠯤,Antihypertensives：Agents acting on arteriolar smooth muscle,2024.11.22,
21367414,hydrochlorothiazide,氫氯噻𠯤,<p>Antihypertensives：Diuretics</p>,<p>2024.11.22</p>,
21367415,hydroflumethiazide,氫氟甲噻𠯤；氟甲苯氫磺𠯤,Antihypertensives：Diuretics,2024.11.22,
21367416,Hydroxychloroquine,羥氯喹；羥戊二胺氯喹,<p>Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs) [Antiparasitics：Antiprotozoals]</p>,<p>2024.11.22</p>,
21367417,hydroxyprogesterone caporate,羥孕酮己酸酯,Sex-hormonal agent：Progesterone receptor (PR) modulators,2024.11.22,
21367418,hydroxyzine,羥醚氯哌𠯤,Antihistamines：H1-antihistamines [Antiemetics：H1 histamine antagonists],2024.11.22,
21367419,ibrutinib,艾淋靶泊；苯氧胺烯淋靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367420,idarubicin,醣胺去甲氧四環素,Antineoplastic agents：Antibiotics,2024.11.22,
21367421,idoxuridine,碘尿去羥苷,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,2024.11.22,
21367422,ifosfamide,異環膦醯氮芥,Antineoplastic agents：Alkylating agents,2024.11.22,
21367423,iloprost,炔碳前列酸I2；炔碳代前列酸I2,Prostaglandin analogues that are not used to treat glaucoma,2024.11.22,
21367424,imatinib,抑滅淋靶泊；哌吡嘧醯胺淋靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367425,imidapril,咪唑酮壓利；苄丙咪唑酮,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,2024.11.22,
21367426,imipenem,亞胺盤尼；亞胺裂碳盤尼,Antibiotics：Carbapenems,2024.11.22,
21367427,imipramine,氮呯思定；氮三環丙胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367428,inamrinone,胺聯吡酮,Phosphodiesterase inhibitors：PDE3 inhibitors,2024.11.22,
21367429,indapamide,吲聯磺醯胺；吲氯苯磺醯胺,Antihypertensives：Diuretics,2024.11.22,
21367430,indinavir,引定韋爾；茚𠯤韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367431,inotuzumab ozogamicin,伊諾妥擬單抗^醯腙棘孢烯二炔,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367432,ipilimumab,抑皮單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367433,irbesartan,艾倍洒坦；四唑螺環戊裂拮壓,Antihypertensives：Angiotensin II receptor antagonists (ARBs),2024.11.22,
21367434,irinotecan,艾瑞提康；喜樹鹼哌啶甲酯,Antineoplastic agents：Topoisomerase inhibitors,2024.11.22,
21367435,isavuconazole,艾煞剋黴唑；噻唑氟異剋黴三唑,Antifungals：Azole,2024.11.22,
21367436,isavuconazonium,前艾煞剋黴唑；前噻唑氟異剋黴三唑,Antifungals：Azole,2024.11.22,
21367437,isoconazole,異剋黴唑；氯異乙剋黴唑,Antifungals：Azole,2024.11.22,
21367438,isoniazid ,異菸鹼醯肼,Antimycobacterials,2024.11.22,
21367439,isradipine,依斯定平；丙噁唑啶平,Antihypertensives：Calcium channel blockers,2024.11.22,
21367440,itraconazole,伊鏈剋黴唑；縮酮剋黴三唑,Antifungals：Azole,2024.11.22,
21367441,ivermectin,阿維絲菌素,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367442,ixazomib,倚煞蛋酶靶泊；[酉朋]氯苯蛋酶靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367443,kanamycin A,康絲菌素A,Antibiotics：Aminoglycosides,2024.11.22,
21367444,kanamycin B,康絲菌素B,Antibiotics：Aminoglycosides,2024.11.22,
21367445,ketamine,愷他命；氯苯酮胺,Antidepressants：Others,2024.11.22,
21367446,ketoconazole,縮酮剋黴唑；醯𠯤縮酮剋黴唑,Antifungals：Azole,2024.11.22,
21367447,labetalol,樂倍坦落；柳醯胺苯丁洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367448,lacidipine,樂希定平；桂皮酯啶平,Antihypertensives：Calcium channel blockers,2024.11.22,
21367449,lacosamide,乙醯絲醯胺；L-乙醯絲醯胺,Anticonvulsants/Antiepileptic drugs (AEDs)：Others,2024.11.22,
21367450,lactulose ,半乳果糖,Laxatives：Osmotic agents,2024.11.22,
21367451,lamivudine,胞㗁噻吩,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs) ,2024.11.22,
21367452,lamotrigine,樂莫趨靜；二氯苯三𠯤,Anticonvulsants/Antiepileptic drugs (AEDs)：Triazines,2024.11.22,
21367453,lanreotide,斂體汀肽；萘丙胺蘇體汀肽,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367454,lapatinib:,獵拔乳靶泊；氟碸呋喹唑啉乳靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367455,larotrectinib,獵擾肌靶泊；吡咯唑肌靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367456,latanoprost ,拉坦前列丙酯；苯氫前列丙酯F2α,Antiglaucoma agents：Prostaglandin analogues,2024.11.22,
21367457,latanoprostene bunod,拉坦前列硝丁酯；苯二氫前列硝丁酯F2α,Antiglaucoma agents：Prostaglandin analogues,2024.11.22,
21367458,ledipasvir,利抵肝韋爾；二纈茀肝韋爾,Antivirals：Hepatitis C Virus (HCV) non-structural protein 5A (NS5A) inhibitors,2024.11.22,
21367459,lenalidomide,去羰利竇邁胺,Antineoplastic agents： Immunomodulatory Agents (IMiDs) ,2024.11.22,
21367460,lenvatinib,歛伐甲腺靶泊；環丙脲喹啉甲腺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367461,lercanidipine,樂卡定平；二苯胺硝啶平,Antihypertensives：Calcium channel blockers,2024.11.22,
21367462,letermovir,力透巨韋爾；喹唑啉巨韋爾,Antivirals：Others,2024.11.22,
21367463,letrozole,二腈苯三唑,<p>Antineoplastic agents：&nbsp;Hormonal Agents</p>,<p>2024.11.22</p>,
21367464,Leuprolide,白脯促垂肽；白脯促垂體肽,<p>Agents Related to Pituitary and Hypothalamic Function: Hypothalamic Hormones [Antineoplastic agents]</p>,<p>2024.11.22</p>,
21367465,levamisole,l-苯咪噻唑,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367466,levetiracetam,<em>l</em>-吡咯酮丁醯胺,<p>Anticonvulsants/Antiepileptic drugs (AEDs)：Pyrrolidines</p>,<p>2024.11.22</p>,
21367467,levobunolol,佐必諾落；l-丁萘酮洛,Antiglaucoma agents：β-adrenergic blocking agents,2024.11.22,
21367468,levocetirizine,左羧醚氯哌𠯤；l-羧氯苯苄哌𠯤,Antihistamines：H1-antihistamines,2024.11.22,
21367469,levofloxacin,<em>l</em>-氟𠰌洒欣,<p>Antibiotics：Quinolones/Fluoroquinolones</p>,<p>2024.11.22</p>,
21367470,levonorgestrel,左炔異睪固酮；l-炔異睪固酮,Sex-hormonal agent：Progesterone receptor (PR) modulators,2024.11.22,
21367471,lidocaine,利多卡因；二甲苯卡因,<p>Analgesics &amp; Anesthetics: Local anesthetics [Antiarrhythmics agents：Class Ib antiarrhythmics]</p>,<p>2024.11.22</p>,
21367472,linaclotide ,酪脯疏秘肽,Laxatives：Guanylate Cyclase Agonist,2024.11.22,
21367473,lincomycin,林絲菌素,Antibiotics：Lincosamides,2024.11.22,
21367474,linezolid,l-𠰌苯㗁唑酮；l-𠰌苯㗁唑酮,Antibiotics：Oxazolidinone antibacterials,2024.11.22,
21367475,lisinopril,離壓利；苄丙縮離脯,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,2024.11.22,
21367476,lomefloxacin ,羅美氟洒欣；乙二氟洒欣,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
21367477,lopinavir,樂庇韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367478,loracarbef,碳頭孢氯苄胺,Antibiotics：Cephems,2024.11.22,
21367479,loratadine,氯異氮𠰢啶酯,Antihistamines：H1-antihistamines,2024.11.22,
21367480,lorazepam,氯羥氮呯酮,"<p>Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives [Anticonvulsants/Antiepileptic drugs (AEDs)]</p>",<p>2024.11.22</p>,
21367481,lorlatinib,酪獵肺靶泊；氟腈環醯胺醚肺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367482,losartan,樂洒坦；四唑氯裂拮壓,Antihypertensives：Angiotensin II receptor antagonists (ARBs),2024.11.22,
21367483,lubiprost one,擄秘前列酮；氟喃前列素Ｅ1,Laxatives：Chloride Channel Activator,2024.11.22,
21367484,lumefantrine,螢茀羥乙胺；氯茀羥乙胺,Antiparasitics：Antiprotozoals,2024.11.22,
21367485,lurasidone,樂瑞思通；l-苯噻唑二亞醯胺 ,Antidepressants：Atypical antipsychotics,2024.11.22,
21367486,macitentan,美兮內皮坦；丙碸二胺內皮坦,Antihypertensives：Endothelin receptor antagonists,2024.11.22,
21367487,mafenide ,伸磺胺,Antibiotics：Sulfonamides,2024.11.22,
21367488,magnesium citrate,檸檬酸鎂,Laxatives：Osmotic agents,2024.11.22,
21367489,magnesium hydroxide,氫氧化鎂,Laxatives：Osmotic agents,2024.11.22,
21367490,magnesium sulfate,硫酸鎂,Laxatives：Osmotic agents,2024.11.22,
21367491,maprotiline,乙橋蒽思定；乙橋蒽丙胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367492,maraviroc,麻擾韋爾,Antivirals：Others,2024.11.22,
21367493,maribavir,麻利巨韋爾；氯苯咪苷,Antivirals：Others,2024.11.22,
21367494,mebendazole,苯甲醯苯咪唑,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367495,meclizine,甲克暈𠯤；甲苄氯哌𠯤,Antihistamines：H1-antihistamines [Antiemetics：H1 histamine antagonists],2024.11.22,
21367496,medroxyprogesterone acetate,甲羥孕酮乙酸酯,Sex-hormonal agent：Progesterone receptor (PR) modulators,2024.11.22,
21367497,mefloquine,甲氟喹 ；氟哌羥甲喹 ,Antiparasitics：Antiprotozoals,2024.11.22,
21367498,megestrol acetate,甲羥孕烯酮乙酸酯,Sex-hormonal agent：Progesterone receptor (PR) modulators,2024.11.22,
21367499,melarsoprol,美耐胂硫醇 ；三聚氰胺胂硫醇,Antiparasitics：Antiprotozoals,2024.11.22,
21367500,melitracen,甲蒽思定；甲蒽丙烯胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367501,melphalan,苯丙胺酸氮芥,Antineoplastic agents：Alkylating agents,2024.11.22,
21367502,memantine,甲金剛胺,Antidementia： N-methyl-D-aspartate (NMDA) receptor antagonist,2024.11.22,
21367503,mepyramine,甲吡胺；吡甲氧苄二胺,Antihistamines：H1-antihistamines,2024.11.22,
21367504,mercaptopurine,硫酮嘌呤,Antineoplastic agents：Antimetabolites,2024.11.22,
21367505,meropenem,美若盤尼；甲胺醯碳盤尼,Antibiotics：Carbapenems,2024.11.22,
21367506,mestranol,甲醚炔雌醇,Sex-hormonal agent：Estrogen receptor (ER) modulators,2024.11.22,
21367507,Methotrexate,甲胺葉酸,<p>Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs) [Antineoplastic agents：Antimetabolites]</p>,<p>2024.11.22</p>,
21367508,methylcellulose,甲基纖維素,Laxatives：Bulk-forming agents,2024.11.22,
21367509,methyldopa,甲多巴,Antihypertensives：Adrenergic agents,2024.11.22,
21367510,methylphenidate,甲苯哌酯；哌啶苯甲酯,Antidepressants：Norepinephrine–dopamine reuptake inhibitors (NDRI),2024.11.22,
21367511,methyltestosterone,甲睪固酮,Sex-hormonal agent：Androgens and anabolic steroids,2024.11.22,
21367512,metoclopramide,甲氧氯醯胺,Antiemetics：Dopamine antagonist,2024.11.22,
21367513,metolazone,甲苯磺嘧酮；甲磺醯胺苯嘧酮,Antihypertensives：Diuretics,2024.11.22,
21367514,metoprolol,美妥落；乙醚異丙洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367515,"metrifonate, trichlorfon",三氯膦甲酯；三氯羥乙膦酸甲酯,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367516,metronidazole ,甲硝咪唑；羥乙硝咪唑,Antiparasitics：Antiprotozoals,2024.11.22,
21367517,mexiletine,二甲苯醚丙胺,Antiarrhythmics agents：Class Ib antiarrhythmics,2024.11.22,
21367518,mezlocillin ,甲碸唑酮西林,Antibiotics：Penicillins,2024.11.22,
21367519,mianserin,甲哌𠯤氮呯；氮三環甲哌𠯤,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367520,micafungin ,美佳棘白黴素,Antifungals：Echinocandins,2024.11.22,
21367521,miconazole ,氯乙剋黴唑,Antifungals：Azole,2024.11.22,
21367522,midazolam,咪鹵氮呯,"<p>Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives [Anticonvulsants/Antiepileptic drugs (AEDs)]</p>",<p>2024.11.22</p>,
21367523,midostaurin,苯醯星孢素；苯醯星形孢菌素,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
