ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367104,avapritinib,艾伐胃靶泊；氟吡咯三唑胃靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367105,avelumab,艾維單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367106,axitinib,揠剋腎靶泊；吡烯硫醚吲唑腎靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367107,azacitidine,氮胞苷,Antineoplastic agents：Antimetabolites,2024.11.22,
21367108,Azathioprine,唑硫嘌呤,<p>Anti-rheumatic Agents：Disease-Modifying Antirheumatic Drugs (DMARDs) [Antineoplastic agents：Antimetabolites]</p>,<p>2024.11.22</p>,
21367109,azelastine,呔𠯤氮𠰢；氯苄呔𠯤氮𠰢,Antihistamines：H1-antihistamines,2024.11.22,
21367110,azilsartan,艾濟洒坦；㗁唑酮拮壓,Antihypertensives：Angiotensin II receptor antagonists (ARBs),2024.11.22,
21367111,azilsartan medoxomil,艾濟洒坦㗁呃酯；㗁唑酮拮壓㗁呃酮酯,Antihypertensives：Angiotensin II receptor antagonists (ARBs),2024.11.22,
21367112,azithromycin ,氮紅菌素；氮紅絲菌素,Antibiotics：Macrolides ,2024.11.22,
21367113,azlocillin,唑酮胺苄西林,Antibiotics：Penicillins,2024.11.22,
21367114,aztreonam,噻唑肟內醯胺,Antibiotics：Monobactams,2024.11.22,
21367115,bacitracin A,桿菌素A；枯桿菌肽A,Antibiotics：Polypeptides,2024.11.22,
21367116,baloxavir marboxil,倍樂流感韋爾酯；氟硫呯流感韋爾碳酸酯,Antivirals：Others,2024.11.22,
21367117,Baricitinib,倍利熄靶泊；腈碸氮呾熄靶泊,<p>Anti-rheumatic Agents：Biological DMARDs [Antineoplastic agents：Protein kinase inhibitor]</p>,<p>2024.11.22</p>,
21367118,bedaquiline,萘胺丁喹啉,Antimycobacterials,2024.11.22,
21367119,belinostat,苯桂羥醯胺；苯磺胺桂羥醯胺 ,Antineoplastic agents： Histone deacetylase inhibitors,2024.11.22,
21367120,benazepril,苯氮𠰢壓利；苄丙甘內肽,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,2024.11.22,
21367121,bendamustine,羧苯咪唑氮芥,Antineoplastic agents：Alkylating agents,2024.11.22,
21367122,bendroflumethiazide,苄氟甲磺噻𠯤；苄氟甲苯氫磺𠯤,Antihypertensives：Diuretics,2024.11.22,
21367123,benidipine,苄硝啶平；苄哌啶硝啶平,Antihypertensives：Calcium channel blockers,2024.11.22,
21367124,"benzylpenicillin, penicillin G",青黴素G ；苄青黴素,Antibiotics：Penicillins,2024.11.22,
