ID,英文名稱,中文名稱,圖片,領域,獲獎年份,國籍,更新日期
3605905,Riess,瑞斯,,物理學獎,2011,,2018-11-20
3605906,Rohrer,洛熱,,物理學獎,1986,,2018-11-20
3605907,Röntgen,倫琴,,物理學獎,1901,,2018-11-20
3605908,Ruska,路斯卡,,物理學獎,1986,,2018-11-20
3605909,Sachs,薩柯斯,,文學獎,1966,,2018-11-20
3605910,Sakmann,薩柯曼,,生理學或醫學獎,1991,,2018-11-20
3605911,Schrödinger,許略丁格爾,,物理學獎,1933,,2018-11-20
3605912,Schweitzer,史懷哲,,和平獎,1952,,2018-11-20
3605913,Schwinger,許汶英格,,物理學獎,1965,,2018-11-20
3605914,Seifert,賽佛特,,文學獎,1984,,2018-11-20
3605915,Singer,辛格,,文學獎,1978,,2018-11-20
3605916,Spemann,許佩曼,,生理學或醫學獎,1935,,2018-11-20
3605917,Spitteler,許皮特勒,,文學獎,1919,,2018-11-20
3605918,Stark,許塔柯,,物理學獎,1919,,2018-11-20
3605919,Staudinger,許陶丁格,,化學獎,1953,,2018-11-20
3605920,Steinberger,許坦貝格,,物理學獎,1988,,2018-11-20
3605921,Stern,許貼恩,,物理學獎,1943,,2018-11-20
3605922,Störmer,許特默爾,,物理學獎,1998,,2018-11-20
3605923,Stresemann,許特瑞熱曼,,和平獎,1926,,2018-11-20
3605924,Südhof,序特侯夫,,生理學或醫學獎,2013,,2018-11-20
3605925,von Baeyer,封‧拜爾,,化學獎,1905,,2018-11-20
3605926,von Behring,封‧貝林,,生理學或醫學獎,1901,,2018-11-20
3605927,von Frisch,封‧弗瑞許,,生理學或醫學獎,1973,,2018-11-20
3605928,von Hayek,封‧海埃柯,,經濟學獎,1974,,2018-11-20
3605929,von Heyse,封‧海熱,,文學獎,1910,,2018-11-20
3605930,von Klitzing,封‧柯利秦,,物理學獎,1985,,2018-11-20
3605931,von Laue,封‧勞爾,,物理學獎,1914,,2018-11-20
3605932,von Lenard,封‧列納特,,物理學獎,1905,,2018-11-20
3605933,von Ossietzky,封‧奧夕埃慈奇,,和平獎,1935,,2018-11-20
3605934,von Suttner,封‧入特納,,和平獎,1905,,2018-11-20
3605935,Wagner-Jauregg,瓦葛納 - 姚雷柯,,生理學或醫學獎,1927,,2018-11-20
3605936,Wallach,瓦拉何,,化學獎,1910,,2018-11-20
3605937,Warburg,瓦爾布爾柯,,生理學或醫學獎,1931,,2018-11-20
3605938,Werner,魏爾納,,化學獎,1913,,2018-11-20
3605939,Wieland,魏藍特,,化學獎,1927,,2018-11-20
3605940,Wien,汶因,,物理學獎,1911,,2018-11-20
3605941,Willstätter,魏爾許貼特,,化學獎,1915,,2018-11-20
3605942,Windaus,汶因道斯,,化學獎,1928,,2018-11-20
3605943,Wittig,魏提希,,化學獎,1979,,2018-11-20
3605944,Wüthrich,魏特呂希,,化學獎,2002,,2018-11-20
3605945,Ziegler,契葛勒,,化學獎,1963,,2018-11-20
3605946,Zinkernagel,秦可納格,,生理學或醫學獎,1996,,2018-11-20
3605947,Zsigmondy,席葛蒙迪,,化學獎,1925,,2018-11-20
3605948,zur Hausen,楚‧浩仁,,生理學或醫學獎,2008,,2018-11-20
