ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3555943,swinging ground,迴旋場所,,自差校正場,2018-08-15
3555944,swirl type atomizer,漩渦式霧化器,,旋渦式霧化器,2018-08-15
3555945,swirl-chamber diesel engine,渦流室式柴油機,,渦流室式柴油機,2018-08-15
3555946,swirler,旋流器；迴旋式噴嘴,,旋流器,2018-08-15
3555947,switch,開關,,開關,2018-08-15
3555948,switching over to heavy oil,切換使用重油,,切換到使用重油位置,2018-08-15
3555949,swivel,轉環,,錨鏈轉環,2018-08-15
3555950,swivel piece,轉環鏈節,,錨端鏈節,2018-08-15
3555951,SWL{safe working load},安全工作負荷,,安全[工作]負荷,2018-08-15
3555952,symmetrical flooding,對稱浸水,,對稱浸水,2018-08-15
3555953,synchro light,同步指示燈,,同步指示燈,2018-08-15
3555954,synchronism,同步,,諧搖,2018-08-15
3555955,synchronizer,同步器,,同步器,2018-08-15
3555956,synchronizer knob,同步器旋鈕,,同步器旋鈕,2018-08-15
3555957,synchronous generator,同步發電機,,同步發電機,2018-08-15
3555958,synchronous impedance,同步阻抗,,同步阻抗,2018-08-15
3555959,synchronous induction motor,同步感應電動機,,同步感應電動機,2018-08-15
3555960,synchronous machine,同步電機,,同步電機,2018-08-15
3555961,synchronous motor,同步電動機；同步馬達,,同步電動機,2018-08-15
3555962,synchronous rolling,同步橫搖,,諧搖,2018-08-15
3555963,synchronous satellite,同步衛星,,同步衛星,2018-08-15
3555964,synchronous speed,同步速率,,同步轉速,2018-08-15
3555965,synchroscope,同步儀；同步指示器,,同步指示器,2018-08-15
3555966,synodical month,朔望月,,朔望月,2018-08-15
3555967,synoptic chart,綜觀[天氣]圖,,天氣圖,2018-08-15
3555968,synoptic process,綜觀[天氣]過程,,天氣過程,2018-08-15
3555969,synoptic situation,綜觀[天氣]大勢,,天氣形勢,2018-08-15
3555970,synthetic fiber rope,合成纖維索,,化學纖維繩,2018-08-15
3555971,synthetic fishing net,合成[纖維]漁網,,人造纖維漁網,2018-08-15
3555972,synthetic oil,合成油,,合成油,2018-08-15
3555973,synthetic rope,合成[纖維]索,,人造纖維繩,2018-08-15
3555974,synthetical decision making of collision avoidance,綜合避碰決策,,避碰綜合決策,2018-08-15
3555975,syren,汽笛；氣笛；號笛,,氣笛,2018-08-15
3555976,system,系統；制度,,系統,2018-08-15
3555977,system fail,系統故障,,系統故障,2018-08-15
3555978,system flow chart,系統流程圖,,系統操作圖,2018-08-15
3555979,system information,系統資訊,,系統資訊,2018-08-15
3555980,system operability test,系統操作測試,,系統操作測試,2018-08-15
3555981,system response,系統回應,,系統回應,2018-08-15
3555982,systematic error,系統誤差,,系統誤差,2018-08-15
3555983,systematic observation,系統觀測,,系統觀察,2018-08-15
3555984,systematic test of ship model,船模系列試驗,,船模系列試驗,2018-08-15
3555985,T aerial,T型天線,,T型天線,2018-08-15
3555986,T antenna,T型天線,,T型天線,2018-08-15
3555987,table of offsets,船線座標表；型值表,,型值表,2018-08-15
3555988,tabling,鑿榫,,校直,2018-08-15
3555989,tabulated altitude,表列高度,,表列高度,2018-08-15
3555990,tachogenerator,測速發電機,,測速發電機,2018-08-15
3555991,tachometer,轉速計,,轉速記錄器,2018-08-15
3555992,tack welding,定位點銲,,定位焊,2018-08-15
3555993,tacking,迎風棹戧,,迎風換搶,2018-08-15
3555994,tackle,滑車轆轤,,滑車組,2018-08-15
3555995,tackline,間索,,隔繩,2018-08-15
3555996,tactical diameter,戰術直徑；迴旋初徑,,旋回初徑,2018-08-15
3555997,tail shaft,艉軸,,艉軸,2018-08-15
3555998,tail wind,順風,,順風,2018-08-15
3555999,take-home engine unit,應急返航機組,,應急航行機組,2018-08-15
3556000,tally,理貨,,理貨,2018-08-15
3556001,tallyman,理貨員,,理貨員,2018-08-15
3556002,TAN{total acid number},總酸值,,總酸值,2018-08-15
3556003,tandem dock,串聯式船塢,,串聯式船塢,2018-08-15
3556004,tandem loading system,串聯式裝載系統,,串聯系泊裝油系統,2018-08-15
3556005,tandem propeller,重疊螺槳；串列螺槳,,串列螺旋槳,2018-08-15
3556006,tandem propulsion system,串聯式推進系統,,串聯式推進裝置,2018-08-15
3556007,tangential component,切向分量,,切向分量,2018-08-15
3556008,tangential stress,切向應力,,切向應力,2018-08-15
3556009,tank bottom water,艙底水,,墊水,2018-08-15
3556010,tank cleaning facilities,清艙設施,,清艙設備,2018-08-15
3556011,tank cleaning pump,洗艙泵,,洗艙泵,2018-08-15
3556012,tank container,槽[貨]櫃,,罐式箱,2018-08-15
3556013,tank experiment,水槽試驗,,船模試驗,2018-08-15
3556014,tank steaming-out piping system,艙櫃蒸汽窒火管路系統,,蒸汽熏艙管系,2018-08-15
3556015,tank washing machine,洗艙機,,洗艙機,2018-08-15
3556016,tank washing opening,洗艙口,,洗艙口,2018-08-15
3556017,tank washing water,洗艙水,,洗艙水,2018-08-15
3556018,tank-cleaning plant,洗艙裝置,,貨油艙清洗裝置,2018-08-15
3556019,tanker,液體貨運載船,,液貨船,2018-08-15
3556020,tanker piping system,液貨船管路系統,,液貨船管系,2018-08-15
3556021,taper,楔形；推拔,,錐形,2018-08-15
3556022,taper gauge,斜度計；推拔規,,錐度規,2018-08-15
3556023,taper roller bearing,滾錐軸承,,圓錐滾子軸承,2018-08-15
3556024,tare mass,空重；皮重,,自重,2018-08-15
3556025,tare weight,空重；皮重,,自重,2018-08-15
3556026,target acquisition,目標攫取,,目標錄取,2018-08-15
3556027,target craft,靶船,,靶船,2018-08-15
3556028,target ship,目標船,,靶船,2018-08-15
3556029,tariff,價目表；費率規章；收費制,,資費表；費率本；運價本,2018-08-15
3556030,tarpaulin,油帆布,,防水蓋布,2018-08-15
3556031,task light,整補作業燈,,專用燈；特別工作燈,2018-08-15
3556032,Taylor’s advance coefficient,泰勒前進係數,,直徑係數,2018-08-15
3556033,Taylor’s power coefficient,泰勒馬力係數,,直徑係數,2018-08-15
3556034,TB {true bearing},真方位,,真方位,2018-08-15
3556035,T-bar {T-section},T型材,,T型鋼,2018-08-15
3556036,TBN {total base number},總鹼值,,總堿值,2018-08-15
3556037,TC {true course},真航向,,真航向,2018-08-15
3556038,TCPA {time to closest point of approach},最接近點時間,,最近會遇時間,2018-08-15
3556039,TCT {time charter on trip basis},航次計時租船,,航次期租合同,2018-08-15
3556040,TD {time difference},時差,,時間差,2018-08-15
3556041,TDC {top dead center},上死點,,上止點,2018-08-15
3556042,TDM {time division multiplexing},分時多工制,,時分複用,2018-08-15
3556043,technical bulletin,技術通報,,技術通報,2018-08-15
3556044,technical specification,技術規範,,技術規範,2018-08-15
3556045,technology of hull construction,船體建造技術,,船體建造工藝,2018-08-15
3556046,telecommand,遙控指令,,遙控指令,2018-08-15
3556047,telecommunication,電信,,電信,2018-08-15
3556048,telecontrol,遙控,,遙控,2018-08-15
3556049,telegraph book,俥鐘紀錄簿,,車鐘記錄簿,2018-08-15
3556050,telegraph cable beacon,電報線標桿,,電報線立標,2018-08-15
3556051,telegraph logger,俥鐘紀錄儀,,車鐘記錄儀,2018-08-15
3556052,telegraph receiver,俥鐘接收器,,車鐘接收器,2018-08-15
3556053,telegraph transmitter,俥鐘發送器,,車鐘發送器,2018-08-15
3556054,telegraphy,電報術,,電報學,2018-08-15
3556055,telephony,電話術,,電話,2018-08-15
3556056,teleprinter exchange,電傳,,電傳,2018-08-15
3556057,telescope pipe,伸縮套管,,伸縮套管,2018-08-15
3556058,telescopic alidade,望遠鏡照準儀,,望遠鏡方位儀,2018-08-15
3556059,telescopic joint,伸縮接頭,,伸縮接頭,2018-08-15
3556060,telex letter service,電傳書信業務,,用戶電報書信業務,2018-08-15
3556061,telex over radio {=TOR},無線電電傳,,無線電用戶電報,2018-08-15
3556062,telex service,電傳業務,,用戶電報業務,2018-08-15
3556063,telex telephony {=TEXTEL},電傳電話,,使用者電報電話,2018-08-15
3556064,temper color,回火色,,回火色,2018-08-15
3556065,temperature compensation,溫度補償,,溫度補償,2018-08-15
3556066,temperature controlling system,溫控系統,,溫控系統,2018-08-15
3556067,temperature lapse rate,溫度直減率,,氣溫直減率,2018-08-15
3556068,temperature switch,溫度開關,,溫度繼電器,2018-08-15
3556069,tempering,回火,,回火[處理],2018-08-15
3556070,template,型板；樣板,,樣板,2018-08-15
3556071,temporary notice,臨時通告,,臨時通告,2018-08-15
3556072,temporary radio beacon service,暫時無線電示標業務,,臨時無線電信標業務,2018-08-15
3556073,temporary repair,臨時修理,,臨時修理,2018-08-15
3556074,temporary replenishing rig,暫時補給裝置,,簡易補給裝置,2018-08-15
3556075,temporary unlighted buoy,臨時無燈浮標,,臨時無燈浮標,2018-08-15
3556076,tender,補給船,,供應船,2018-08-15
3556077,tender ship,低穩度船,,欠穩船,2018-08-15
3556078,tensile strength,抗拉強度,,抗拉強度,2018-08-15
3556079,tension control assembly,張力控制器,,張力控制器,2018-08-15
3556080,tension leg platform,張力腿式平臺,,張力腿平臺,2018-08-15
3556081,tension transducer,張力轉換器,,張力感測器,2018-08-15
3556082,tensioner,張力器,,張緊器,2018-08-15
3556083,tension-leg platform,張力腿式平臺,,張力腿平臺,2018-08-15
3556084,term of voyage,航程條款,,航行期間,2018-08-15
3556085,terminal,終站；終端；碼頭,,終端,2018-08-15
3556086,terminal box,終端盒,,終端盒,2018-08-15
3556087,terminal charge,終站費用；碼頭費用,,港口使費,2018-08-15
3556088,terminal reheat air conditioning system,終端再加熱空調系統,,末端再加熱空氣調節系統,2018-08-15
3556089,terrestrial communication network,地面通信網路,,地面通信網路,2018-08-15
3556090,terrestrial communication system,地面通信系統,,地面通信系統,2018-08-15
3556091,terrestrial fix{=TF},地文定位,,陸標船位,2018-08-15
3556092,terrestrial pole,地極,,地極,2018-08-15
3556093,terrestrial radio communication,地面無線電通信,,地面無線電通信,2018-08-15
3556094,terrestrial sphere,地球球體,,地球圓球體,2018-08-15
3556095,terrestrial station,地面電臺,,地面電臺,2018-08-15
3556096,territorial sea,領海,,領海,2018-08-15
3556097,territorial water,領海,,領海,2018-08-15
3556098,test for lifeboat,救生艇試驗,,救生艇試驗,2018-08-15
3556099,test report,試驗報告,,試驗報告,2018-08-15
3556100,test specimen,試件；試樣,,試件；試樣,2018-08-15
3556101,testing-bed test,試驗臺試驗,,台架試驗,2018-08-15
3556102,TEU {=twenty-foot equivalent unit},二十英尺貨櫃當量,,換算箱,2018-08-15
3556103,TEU {twenty-foot equivalent unit},二十英尺貨櫃當量,,標準箱{20英尺集裝箱},2018-08-15
3556104,text,本文,,文本,2018-08-15
3556105,TEXTEL {telex telephony},電傳電話術,,使用者電報電話,2018-08-15
3556106,TF {terrestrial fix},地文定位,,陸標船位,2018-08-15
3556107,the first order inertia force,一次慣性力,,一次慣性力,2018-08-15
3556108,the first order moment compensator,一次力矩補償器,,一次力矩補償器,2018-08-15
3556109,the second order moment compensator,二次力矩補償器,,二次力矩補償器,2018-08-15
3556110,theoretical heat cycle,理論熱循環,,理論熱迴圈,2018-08-15
3556111,theory of errors,誤差理論,,誤差理論,2018-08-15
3556112,thermal capacity,熱容量,,熱容量,2018-08-15
3556113,thermal container,保溫櫃,,保溫箱,2018-08-15
3556114,thermal cracking,熱裂,,熱裂,2018-08-15
3556115,thermal creep,熱潛變,,熱蠕變,2018-08-15
3556116,thermal detector,熱探測器,,感溫式探測器,2018-08-15
3556117,thermal efficiency,熱效率,,熱效率,2018-08-15
3556118,thermal electric type air conditioner,熱電式空調器,,熱電式空氣調節器,2018-08-15
3556119,thermal fatigue,熱疲勞,,熱疲勞,2018-08-15
3556120,thermal fatigue,熱疲勞,,熱疲勞,2018-08-15
3556121,thermal load,熱負荷；熱負載,,熱負荷,2018-08-15
3556122,thermal protective aid,保溫用具,,保溫用具,2018-08-15
3556123,thermal resistance,熱阻,,熱阻,2018-08-15
3556124,thermal shielding,熱遮蔽,,熱遮罩,2018-08-15
3556125,thermal shock,熱衝擊,,熱衝擊,2018-08-15
3556126,thermal stress,熱應力,,熱應力,2018-08-15
3556127,thermistor,熱阻體,,熱敏電阻,2018-08-15
3556128,thermit welding,發熱銲接,,熱劑焊,2018-08-15
3556129,thermo electromotive force,熱電動勢,,熱電動勢,2018-08-15
3556130,thermocouple,熱電偶,,熱電偶,2018-08-15
3556131,thermocurrent,熱電流,,熱電流,2018-08-15
3556132,thermodynamic temperature scale,熱力學溫度標,,熱力學溫標,2018-08-15
3556133,thermoregulator,恒溫調節器,,溫度調節器,2018-08-15
3556134,thermostability,熱穩定性,,熱穩定性,2018-08-15
3556135,thermostat,恒溫器,,恒溫器,2018-08-15
3556136,thermostat regulator,恒溫調節器,,恒溫調節器,2018-08-15
3556137,thermostatic expansion valve,熱力膨脹閥,,熱力膨脹閥,2018-08-15
3556138,thick steel shell type bearing,厚鋼殼型軸承,,厚壁軸承,2018-08-15
3556139,thick wall,厚壁,,厚壁,2018-08-15
3556140,thickness gauge,厚度規,,測厚儀,2018-08-15
3556141,thickness measuring,測厚,,測厚,2018-08-15
3556142,thimble,襯環；套管；套環,,套環,2018-08-15
3556143,thin film evaporation,薄膜蒸發,,薄膜蒸發,2018-08-15
3556144,thin fog,薄霧；4級霧{能見距0.5-1浬},,薄霧{4級},2018-08-15
3556145,thin fuel oil,稀燃油,,薄燃料油,2018-08-15
3556146,thin wall,薄壁,,薄壁,2018-08-15
3556147,thin wall bearing,薄壁軸承,,薄壁軸承,2018-08-15
3556148,thin-walled structure,薄壁結構,,薄壁結構,2018-08-15
3556149,third engineer,三管輪,,二管輪,2018-08-15
3556150,third generation engine,第三代引擎,,第三代中速柴油機,2018-08-15
3556151,third mate,三副,,三副,2018-08-15
3556152,third officer,三副,,三副,2018-08-15
3556153,thread,螺紋,,螺紋,2018-08-15
3556154,thread pitch gauge,螺距規,,螺距規,2018-08-15
3556155,thread plug gauge,螺紋塞規,,螺紋塞規,2018-08-15
3556156,threading die,螺紋模,,螺紋板牙,2018-08-15
3556157,three island vessel,三島型船,,三島型船,2018-08-15
3556158,three letter signal code,三字母信號代碼,,三字母信號碼,2018-08-15
3556159,three-arm protractor,三臂定位儀,,三杆分度器,2018-08-15
3556160,three-dimensional flow,三維流,,三元流動,2018-08-15
3556161,three-dimensional unit,三維單元,,立體分段,2018-08-15
3556162,three-phase asynchronous motor,三相異步電動機,,三相非同步電動機,2018-08-15
3556163,three-phase four-wire system,三相四線制,,三相四線制,2018-08-15
3556164,three-phase inverter,三相變流機；三相反向器,,三相反向變流機,2018-08-15
3556165,three-pin plug,三腳插塞,,三角插塞,2018-08-15
3556166,three-position four way directional control valve,三位四通方向控制閥,,三位四通換向閥,2018-08-15
3556167,three-thrown crank shaft,三拐曲軸,,三拐曲軸,2018-08-15
3556168,three-way valve,三通閥,,三通閥,2018-08-15
3556169,three-winding transformer,三繞組變壓器,,三繞組變壓器,2018-08-15
3556170,threshold factor,界限係數,,閾限係數,2018-08-15
3556171,threshold limit value,低限值,,閾限值,2018-08-15
3556172,throat depth,喉深 {銲接},,喉深,2018-08-15
3556173,throttle,節流,,節流,2018-08-15
3556174,throttle governing,節流調節,,節流調節,2018-08-15
3556175,throttle valve,節流閥,,節流閥,2018-08-15
3556176,through bill of lading,聯運載貨證券,,聯運提單,2018-08-15
3556177,through bolt,貫穿螺栓,,貫穿螺栓,2018-08-15
3556178,through bracket,全通腋板；貫通托架,,貫通肘板,2018-08-15
3556179,through cargo,聯運貨,,聯運貨,2018-08-15
3556180,through transport cargo,聯運貨,,聯運貨,2018-08-15
3556181,throw,動程；曲柄臂；曲柄軸,,行程；擺幅,2018-08-15
3556182,thrust,推力,,推力,2018-08-15
3556183,thrust bearing,推力軸承,,推力軸軸承,2018-08-15
3556184,thrust block,推力軸承,,推力軸軸承,2018-08-15
3556185,thrust coefficient,推力係數,,推力係數,2018-08-15
3556186,thrust collar,推力軸環,,推力盤；推力環,2018-08-15
3556187,thrust deduction factor,推減因數,,推力減額因數,2018-08-15
3556188,thrust meter,推力計,,推力儀,2018-08-15
3556189,thrust of propeller,螺槳推力,,螺旋槳推力,2018-08-15
3556190,thrust pad,推力墊；止推墊,,推力塊,2018-08-15
3556191,thrust shaft,推力軸,,推力軸,2018-08-15
3556192,thrust shoe,推力履片,,推力塊,2018-08-15
3556193,thruster,推力器,,側推器,2018-08-15
3556194,thunder storm,雷雨,,雷雨,2018-08-15
3556195,thunderlight,雷光,,雷光,2018-08-15
3556196,thunder-shower,雷陣雨,,雷陣雨,2018-08-15
3556197,thyristor converter set,閘流體換流組,,可控矽變流機組,2018-08-15
3556198,thyristor excited system,閘流體勵磁系統,,可控矽勵磁系統,2018-08-15
3556199,tidal age,潮齡,,潮齡,2018-08-15
