ID,英文名稱,中文名稱,圖片,類號,化學式,更新日期
454312,triphenoxyborane {triphenyl borate },三苯氧硼 {硼酸三苯酯},,化學化合物,"<Font html:Color=""#000000"">&#160;B(OC</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454313,triphenyl borate {triphenoxyborane},硼酸三苯酯 {三苯氧硼},,化學化合物,"<Font html:Color=""#000000"">&#160;(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454314,tri-p-anisylborine,三(對甲氧苯)硼[烷],,11184,"<Font html:Color=""#000000"">B(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">OC</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454315,trimethylboron; trimethylborane; trimethylborine,三甲硼[烷],,11473,"<Font html:Color=""#000000"">B(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454316,tri-n-butylborine,三正丁硼[烷],,11243,"<Font html:Color=""#000000"">B(C</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">9</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454317,trimethylborine; trimethylboron; trimethylborane,三甲硼[烷],,化學化合物,"<Font html:Color=""#000000"">B(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454318,trimethylaminoborine,三甲胺合硼[烷],,11464,"<Font html:Color=""#000000"">(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">NBH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454319,trimethyl borate {trimethoxyborane},硼酸三甲酯 {三甲氧硼},,化學化合物,"<Font html:Color=""#000000"">(CH</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">BO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454320,triisopropylborine,三異丙硼[烷],,11433,"<Font html:Color=""#000000"">B(C</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
454321,trimethoxyborane; trimethoxyboron,三甲氧硼[烷],,化學化合物,,2012-11-26
