ID,英文名稱,中文名稱,圖片,中國大陸譯名,國籍,專長,生歿年,更新日期
3541522,"Quantz, Johann Joachim",況茲,,匡茨,德國,長笛；作曲,1697-1773,2018-05-30
3541523,"Queffélec, Anne",葛菲蕾克,,凯费莱克,法國,鋼琴,1948-,2018-05-30
3541524,"Raabe,Peter",拉伯,,拉伯,德國,音樂學；指揮,1872-1945,2018-05-30
3541525,"Rabaud, Henri",拉波,,拉博,法國,作曲；指揮,1873-1949,2018-05-30
3541526,"Rabin, Michael",拉賓,,拉宾,美國,小提琴,1936-1972,2018-05-30
3541527,"Radcliffe, Philip",雷德克利夫,,拉德克利夫,英國,音樂學；作曲,1905-1986,2018-05-30
3541528,"Raff, Joseph Joachim",拉富,,拉夫,瑞士,作曲,1822-1882,2018-05-30
3541529,"Raimondi, Pietro",拉伊孟迪，皮耶特羅,,"拉伊蒙迪,皮耶特罗",義大利,作曲；指揮,1786-1853,2018-05-30
3541530,"Raimondi, Ruggero",拉伊孟迪，魯介羅,,"拉伊蒙迪,鲁杰罗",義大利,男低音,1941-,2018-05-30
3541531,"Raitio, Väinö",瑞裘,,赖蒂奥,芬蘭,作曲,1891-1945,2018-05-30
3541532,"Rajter, Ludovik",拉伊特,,拉伊特,斯洛伐克,指揮;作曲,1906-2000,2018-05-30
3541533,"Rakhmaninov(Rachmaninoff), Sergey Vasilyevich",拉赫瑪尼諾夫,,拉赫玛尼诺夫,俄國,鋼琴；作曲；指揮,1873-1943,2018-05-30
3541534,"Rameau, Jean-Philippe",拉摩,,拉莫,法國,音樂理論；作曲,1683-1764,2018-05-30
3541535,"Rampal, Jean-Pierre",朗帕爾,,朗帕尔,法國,長笛,1922-2000,2018-05-30
3541536,"Rangström, Anders Johan Ture",藍斯特隆,,朗斯特隆,瑞典,作曲,1884-1947,2018-05-30
3541537,"Raphael, Günter",拉斐爾,,拉斐尔,德國,作曲,1903-1960,2018-05-30
3541538,"Raskin, Judith",拉絲金,,拉斯金,美國,女高音,1932-1984,2018-05-30
3541539,"Rathaus, Karol",拉特豪斯,,拉特豪斯,美國,作曲,1885-1954,2018-05-30
3541540,"Rattle, Simon",拉特爾,,拉特尔,英國,作曲；指揮,1955-,2018-05-30
3541541,"Rautavaara, Einojuhani",勞塔瓦拉,,劳塔瓦拉,芬蘭,作曲,1928-,2018-05-30
3541542,"Ravel, Maurice",拉威爾，摩利斯,,拉威尔，摩利斯,法國,作曲,1875-1937,2018-05-30
3541543,"Rawsthorne, Alan",勞梭恩,,罗斯索恩,英國,作曲,1905-1971,2018-05-30
3541544,"Read, Gardner",瑞德,,里德,美國,作曲；音樂學,1913-2005,2018-05-30
3541545,"Rebikov, Vladimir",雷比科夫,,雷比科夫,俄國,作曲,1866-1920,2018-05-30
3541546,"Redlich, Hans F.",雷德利希,,雷德利克,英國,指揮；作曲；音樂學,1903-1968,2018-05-30
3541547,"Reger, Max",雷格，馬克斯,,"雷格,马克斯",德國,作曲,1873-1916,2018-05-30
3541548,"Reich, Steve",賴克,,赖克,美國,作曲,1936-,2018-05-30
3541549,"Reich, Willi",賴希,,赖希,奧地利,音樂學,1898-1980,2018-05-30
3541550,"Reicha, Antonin",萊哈,,莱夏,法國,作曲；音樂理論,1770-1836,2018-05-30
3541551,"Reinecke, Carl",萊內克,,赖内克,德國,作曲；鋼琴；指揮,1824-1910,2018-05-30
3541552,"Reiner, Fritz",萊納，弗利茲,,赖纳，弗利茲,美國,指揮,1888-1963,2018-05-30
3541553,"Reinhardt, Delia",萊茵哈特,,赖因哈特,德國,女高音,1892-1974,2018-05-30
3541554,"Reiss, Albert",萊斯,,赖斯,德國,男高音,1870-1940,2018-05-30
3541555,"Reményi, Ede",雷梅尼,,赖梅尼,匈牙利,小提琴,1830-1898,2018-05-30
3541556,"Remoortel, Edouard van",雷慕泰,,雷慕泰,比利時,指揮,1926-1977,2018-05-30
3541557,"Resnik, Regina",雷絲尼克,,雷斯尼克,美國,次女高音,1922-2013,2018-05-30
3541558,"Respighi, Ottorino",雷斯匹基,,雷斯皮基,義大利,作曲,1879-1936,2018-05-30
3541559,"Reszke, Edouardde",瑞什克，艾都瓦德,,瑞什克，艾都瓦德,波蘭,男低音,1853-1971,2018-05-30
3541560,"Reszke, Jeande",瑞什克，尚,,瑞什克，尚,波蘭,男高音,1850-1925,2018-05-30
3541561,"Reszke, Josephinede",瑞什克，約瑟芬,,瑞什克，约瑟芬,波蘭,女高音,1855-1891,2018-05-30
3541562,"Rethberg, Elizabeth",雷特貝爾格,,雷思伯格,美國,女高音,1894-1976,2018-05-30
3541563,"Réti, Rudolph",雷悌,,雷蒂,美國,音樂著作；鋼琴；作曲,1885-1957,2018-05-30
3541564,"Reusner, Esaias",羅伊斯納,,罗伊斯纳,德國,魯特琴；作曲,1636-1679,2018-05-30
3541565,"Reverdy, Michèle",雷弗第,,雷弗迪,埃及,作曲,1943-,2018-05-30
3541566,"Revueltas, Silvestre",雷維達斯,,雷韦尔塔斯,墨西哥,作曲,1899-1940,2018-05-30
3541567,"Reznicek, Emil Nikolaus von",雷茲捷克,,雷茲尼切克,奧地利,指揮；作曲,1860-1945,2018-05-30
