ID,英文名詞,中文名詞,審譯日期,更新日期
21382620,conduit,水道；導管,113.12.03,
21382621,cone of depression ,洩降錐,113.12.03,
21382622,cone of impression,灌注錐,113.04.25,
21382623,cone penetration test (CPT),圓錐貫入試驗,113.12.03,
21382624,cone penetrometer,圓錐貫入試驗,113.12.03,
21382625,cone resistance,圓錐貫入儀,113.12.03,
21382626,confined aquifer,錐尖阻抗,113.12.03,
21382627,confined compression test,受壓含水層,113.12.03,
21382628,confined water,受壓水；承壓水,113.12.03,
21382629,confining pressure,圍壓,113.12.03,
21382630,conformable bedding,整合層面,113.12.03,
21382631,conglomerate,礫岩,113.12.03,
21382632,conjugate joint,共軛節理,113.04.25,
21382633,connate water,原生水,113.12.03,
21382634,consistency,稠度,113.12.03,
21382635,consistency index,稠度指數,113.12.03,
21382636,consistency limit ,稠度界限,113.04.19,
21382637,consistency limits,稠度限度,113.12.03,
21382638,consistency test,稠度試驗,113.12.03,
21382639,consolidated drained direct shear test,壓密排水直剪試驗；慢剪試驗,113.12.03,
21382640,consolidated drained test,壓密排水試驗,113.12.03,
21382641,consolidated drained triaxial compression test (CD test),壓密排水三軸壓縮試驗,113.12.03,
21382642,consolidated undrained test,壓密不排水試驗,113.12.03,
21382643,consolidated undrained triaxial compression test (CU test),壓密不排水三軸壓縮試驗,113.12.03,
21382644,consolidated-drained test (CD test),壓密排水試驗,113.04.25,
21382645,consolidated-undrained test (CU test),壓密不排水試驗,113.04.25,
21382646,consolidation,壓密,113.12.03,
21382647,consolidation apparatus,壓密儀,113.12.03,
21382648,consolidation curve,壓密曲線,113.12.03,
21382649,consolidation deformation,壓密變形,113.12.03,
21382650,consolidation grouting,固結灌漿,113.04.25,
21382651,consolidation ratio,壓密比,113.04.19,
21382652,consolidation settlement,壓密沉陷,113.12.03,
21382653,consolidation test,壓密試驗,113.04.19,
21382654,consolidometer,壓密儀,113.12.03,
21382655,constant head permeability test,定水頭滲透試驗,113.12.03,
21382656,constant head permeameter,定水頭滲透儀,113.12.03,
21382657,constant head test,定水頭試驗,113.12.03,
21382658,constant pressure device,定壓裝置,113.12.03,
21382659,constant volume shear test,定體積剪力試驗,113.12.03,
21382660,constitutive equation,組成方程式,113.12.03,
21382661,constitutive law,組成律,113.04.25,
21382662,constitutive relation,組成關係,113.04.19,
21382663,constrained modulus,側限模數,114.01.13,
21382664,construction fabric,建築用織物,113.12.03,
21382665,construction fiber,建築用纖維,113.12.03,
21382666,construction joint,施工縫,113.12.03,
21382667,construction load,施工荷載,113.12.03,
21382668,construction sequence,施工順序,113.12.03,
21382669,contact erosion,接觸侵蝕,113.12.03,
21382670,contact pressure,接觸壓力,113.12.03,
21382671,contaminant,汙染物；汙染物質,113.04.25,
21382672,contaminated mud,受汙泥,113.12.03,
21382673,contaminated mud pit,汙泥坑,113.12.03,
21382674,continental shelf,大陸棚,113.12.03,
21382675,continuous footing,連續基腳,113.12.03,
21382676,continuous medium,連續介質,113.12.03,
21382677,continuous mixer,連續拌和機；連續拌和設備{相對於分次拌和設備},113.04.25,
21382678,continuous sampling,連續取樣,113.12.03,
21382679,contour,等高線,113.12.03,
21382680,contour interval,等高線間隔；等高距,113.12.03,
21382681,contractile skin,收縮膜,113.12.03,
21382682,contractive soil,收縮性土,113.12.03,
21382683,control point,控制點,113.12.03,
21382684,control survey,控制測量,113.12.03,
21382685,control well,控制井,113.04.25,
21382686,controlled blasting,控制開炸；控制爆破,114.01.13,
21382687,convergence,收斂；收斂角,113.04.25,
21382688,conversion factor,換算因數,113.12.03,
21382689,conveyor belt,輸送帶,113.12.03,
21382690,conveyor screw,輸送螺旋,113.12.03,
21382691,coordinates,坐標,113.12.03,
21382692,core,岩心；心層{壩},114.01.13,
21382693,core barrel,岩心管；岩芯管,113.12.03,
21382694,core drill,取心鑽探；取芯鑽探,113.12.03,
21382695,core drill rig,岩心鑽機；岩芯鑽機,113.12.03,
21382696,core drilling,岩心鑽採,114.01.13,
21382697,core hole,岩心鑽孔；岩芯鑽孔,113.12.03,
21382698,core recovery,岩心鑽取率,114.01.13,
21382699,core sample,岩心樣本；岩芯樣本,113.12.03,
21382700,core sampler,岩心取樣器；岩芯取樣器,113.12.03,
21382701,core wall,心牆；芯牆,113.12.03,
21382702,corner point method,角點法,113.12.03,
21382703,correlation analysis,相關性分析,113.12.03,
21382704,corrigendum,勘誤表,113.12.03,
21382705,corrosion,腐蝕；侵蝕；銹蝕；鏽蝕,113.12.03,
21382706,corrosion protection,銹蝕保護；腐蝕保護,113.12.03,
21382707,corrosive water,腐蝕性水,113.12.03,
21382708,Coulomb's earth pressure theory,庫侖土壓力理論,113.04.19,
21382709,Coulomb's law,庫侖定律,113.12.03,
21382710,counter drain,反向排水,113.12.03,
21382711,counter ion,反離子,113.12.03,
21382712,counterfort retaining wall,扶壁式擋土牆,113.12.03,
21382713,counterweight fill,壓重填土,113.12.03,
21382714,coupled vibration,耦合振動,114.01.13,
21382715,cover layer,覆蓋層,114.01.13,
21382716,crack deformation,裂縫變形,114.01.13,
21382717,craftsman,技工,114.01.13,
21382718,crater,火山口；炸坑；塌陷坑；銲疤,113.04.25,
21382719,creep,潛變；蠕動,114.01.13,
21382720,creep limit,潛變極限,114.01.13,
21382721,creep rate,潛變速率；潛變率,114.01.13,
21382722,creep settlement,潛變沉陷,114.01.13,
21382723,creep strain,潛應變,114.01.13,
21382724,creep strength,潛變強度,114.01.13,
21382725,Cretaceous,白堊紀；白堊系,114.01.13,
21382726,crib cofferdam,框格式圍堰,114.01.13,
21382727,crib retaining wall,框格式擋土牆,114.01.13,
21382728,critical acceleration,臨界加速度,114.01.13,
21382729,critical angle,臨界角,113.04.25,
21382730,critical angle of refraction,臨界折射角,114.01.13,
21382731,critical depth,臨界深度,114.01.13,
21382732,critical duration,臨界延時,114.01.13,
21382733,critical factor,臨界因數；關鍵因子,114.01.13,
21382734,critical failure surface,臨界破壞面,114.01.13,
21382735,critical flow velocity,臨界流速,114.01.13,
21382736,critical frequency,臨界頻率,114.01.13,
21382737,critical height,臨界高度,113.04.25,
21382738,critical height of slope,臨界邊坡高度,114.01.13,
21382739,critical hydraulic gradient,臨界水力梯度,114.01.13,
21382740,critical load,臨界荷載,114.01.13,
21382741,critical slide curve,臨界滑動弧,114.01.13,
21382742,critical slope,臨界坡度,114.01.13,
21382743,critical stable state,臨界穩態,114.01.13,
21382744,critical state,臨界狀態,114.01.13,
21382745,critical state energy theory,臨界物態能量理論,114.01.13,
21382746,critical state line,臨界狀態線,114.01.13,
21382747,critical state locus,臨界狀態軌跡,114.01.13,
21382748,critical state model,臨界狀態模式,114.01.13,
21382749,critical state soil mechanics,臨界狀態土壤力學,114.01.13,
21382750,critical state strength,臨界狀態強度,114.01.13,
21382751,critical surface,臨界面,114.01.13,
21382752,critical void ratio,臨界孔隙比,114.01.13,
21382753,crop,露頭,114.01.13,
21382754,cross bedding,交錯層理；交錯層,114.01.13,
21382755,cross section,斷面；截面；剖面,114.01.13,
21382756,crosshole method,跨孔法,114.01.13,
21382757,cross-sectional area,斷面積；截面積,114.01.13,
21382758,cross-sectional shape,斷面形狀；截面形狀,114.01.13,
21382759,cross-stratification,交錯層理；交互成層,114.01.13,
21382760,crushing failure,壓碎破壞,114.01.13,
21382761,crushing strength,抗碎強度；壓碎強度,114.01.13,
21382762,crust,地殼；外殼,114.01.13,
21382763,cryogenics,低溫現象；低溫學；冷凍工程學,114.01.13,
21382764,cryology,冰川學,114.01.13,
21382765,cryopedology,凍土學,114.01.13,
21382766,crystal lattice,晶格,114.01.13,
21382767,crystal structure,晶體結構,114.01.13,
21382768,crystal water,結晶水,114.01.13,
21382769,Culmann graphical method,庫爾曼圖解法,114.01.13,
21382770,culvert,涵管,114.01.13,
21382771,cumulative rainfall,累積雨量,114.01.13,
21382772,cumulative retained mass,累積留篩量,113.04.25,
21382773,cumulative retained percent ,累積留篩百分比,113.04.25,
21382774,cumulose soil,植積土；腐植土,114.01.13,
21382775,cure time,養護時間；固化時間；硬化時間,113.04.25,
21382776,current meter,流速計,114.01.13,
21382777,curtain grout,隔幕灌漿,114.01.13,
21382778,curtain wall,隔幕牆,114.01.13,
21382779,curve fitting,曲線擬合,114.01.13,
21382780,cut,挖方,114.01.13,
21382781,cut slope,開挖坡,114.01.13,
21382782,cut-and-fill,挖填,114.01.13,
21382783,cut-off drain,截水排水設施,114.01.13,
21382784,cut-off level,截水高程；截斷高程,114.01.13,
21382785,cut-off trench,截水溝,114.01.13,
21382786,cut-off wall,截水牆,114.01.13,
21382787,cutter suction dredger,鉸刀吸入式挖泥船,114.01.13,
21382788,cutting jet,切割射流,114.01.13,
21382789,cutting ring,切削環,114.01.13,
21382790,cyclic change,反復變化,114.01.13,
21382791,cyclic degradation,循環衰減,114.01.13,
21382792,cyclic load test,反復加載試驗；循環加載試驗,114.01.13,
21382793,cyclic loading,反復荷載；循環荷載,114.01.13,
21382794,cyclic simple shear test,反復單剪試驗,114.01.13,
21382795,cyclic stress,反復應力；循環應力,114.01.13,
21382796,cyclic triaxial test,反復荷載三軸試驗；動三軸試驗,114.01.13,
21382797,cyclone pump,旋流泵,114.01.13,
21382798,cylinder pile foundation,圓柱樁基礎,113.04.19,
21382799,cylindrical rubber fender,圓柱形橡膠護舷,114.01.13,
21382800,daily site record,工地日誌,114.02.04,
21382801,dam,壩,113.04.19,
21382802,damage index,損傷指數,114.02.04,
21382803,damp,微潮；潮濕,114.02.04,
21382804,damp proof course,防潮處理；防潮流程,114.02.04,
21382805,damping,阻尼,113.04.25,
21382806,damping ratio,阻尼比,113.04.25,
21382807,dangerous goods licence,危險品許可證,114.02.04,
21382808,dashpot,阻尼器；減震器,114.02.04,
21382809,data acquisition,數據收集；資料收集；資料擷取,114.02.04,
21382810,data processing system,數據處理系統；資料處理系統,114.02.04,
21382811,deaired water,除氣水,114.02.04,
21382812,debris,岩屑；泥石,114.02.04,
21382813,debris avalanche,岩屑崩落；泥石崩滑,114.02.04,
21382814,debris flow deposit,土石流堆積物；泥石流堆積物,114.02.04,
21382815,debris flow fan,土石流堆積扇；泥石流堆積扇,114.02.04,
21382816,debris run-out,土石流流動距離,114.02.04,
21382817,debris slide,土石滑動；泥石滑移,114.02.04,
21382818,decay time,衰減時間,113.04.25,
21382819,decompaction,崩解,114.02.04,
21382820,decomposed granite,崩解花崗岩,114.02.04,
21382821,decomposed volcanics,崩解火山岩,114.02.04,
21382822,decomposition,分解；分解作用,114.02.04,
21382823,decompression curve,解壓曲線；減壓曲線,114.02.04,
21382824,decontamination,去汙；除汙,113.04.25,
21382825,deep foundation,深基礎,113.04.19,
21382826,deep seated landslide,深層滑坡；深層地滑,114.02.04,
21382827,deep-mixed pile,深層攪拌樁,113.04.19,
21382828,deflected pile,偏位樁；偏斜樁,114.02.04,
21382829,deflocculant,分散劑；解凝劑,113.04.25,
21382830,deflocculating agent,分散劑；去絮凝劑,114.02.04,
21382831,deflocculation,去絮凝作用,114.02.04,
21382832,deformability,變形性,113.04.25,
21382833,deformeter,變形儀；變形測定器,114.02.04,
21382834,degradation,降解；衰化,114.02.04,
21382835,degradation index,降解指數；衰化指數,114.02.04,
21382836,degree of consolidation,壓密度,114.02.04,
21382837,degree of freedom,自由度,113.04.25,
21382838,degree of saturation,飽和度,114.02.04,
21382839,degree of shrinkage,收縮度,114.02.04,
21382840,dehydration test,脫水試驗,114.02.04,
21382841,deltaic deposit,三角洲沉積物,114.02.04,
21382842,Demec gauge,縫隙測量計,114.02.04,
21382843,dense sand,緊密砂,114.02.04,
21382844,densification,加密；加密作用,114.02.04,
21382845,density bottle,比重瓶,114.02.04,
21382846,density index,密度指數,114.02.04,
21382847,density meter,密度計,114.02.04,
21382848,density of collapse,塌陷密度,114.02.04,
21382849,density of dry soil,乾土密度,114.02.04,
21382850,density of saturated soil,飽和土密度,114.02.04,
21382851,density of soil,土壤密度,114.02.04,
21382852,density of solid particles,土粒密度,114.02.04,
21382853,density of submerged soil,浸沒土密度,114.02.04,
21382854,density of water,水密度,114.02.04,
21382855,density probe,密度探測儀,114.02.04,
21382856,densometer,密度計；比重計,114.02.04,
21382857,denudation,剝蝕作用,114.02.04,
21382858,deposit,沉積；沉積物,114.02.04,
21382859,deposition point,最遠沉積點,114.02.04,
21382860,depression cone,水位洩降錐,114.02.04,
21382861,depth factor,埋深因數,114.02.04,
21382862,depth of flow,水流深度,113.04.25,
21382863,depth of foundation,基礎埋置深度,114.02.04,
21382864,depth of penetration,貫入深度,114.02.04,
21382865,depth of scour,沖刷深度,114.02.04,
21382866,depth ratio,埋深比,114.02.04,
21382867,derrick barge,浮式起重機,114.02.04,
21382868,design discharge,設計流量,113.04.25,
21382869,designated separating sieve,指定分離篩,113.04.25,
21382870,desilting material,清淤料；疏浚料,114.02.04,
21382871,deswamping,去沼澤化,114.02.04,
21382872,detailed exploration,細部探勘；詳細探勘,114.02.04,
21382873,detailed geotechnical investigation,細部大地工程調查,114.02.04,
21382874,detailed survey,細部測量；詳細測量,114.02.04,
21382875,detection limit,偵測限度,113.04.25,
21382876,detection monitoring,偵測監控,113.04.25,
21382877,detonating relay,起爆器,114.02.04,
21382878,detonator,雷管,114.02.04,
21382879,detrital sediment,碎屑沉積,114.02.04,
21382880,detritus,岩屑；碎屑,114.02.04,
21382881,deviator stress,軸差應力,114.02.04,
21382882,deviatoric state of stress,軸差應力狀態,114.02.04,
21382883,deviatoric strain,軸差應變,113.04.25,
21382884,deviatoric stress,軸差應力,114.02.04,
21382885,Devonian,泥盆紀；泥盆系,114.02.04,
21382886,dewatering,袪水；降水位；脫水,114.02.04,
21382887,D-horizon,D層；下伏岩土層,114.02.04,
21382888,diagenesis,成岩作用,114.02.04,
21382889,dial gauge,測微計,114.03.05,
21382890,diaphragm,連續壁；隔板,114.03.05,
21382891,diaphragm wall,連續壁,114.03.05,
21382892,dielectric dispersion,介電分散,114.03.05,
21382893,differential frost heave,不均勻凍脹,114.03.05,
21382894,differential global positioning system (DGPS),差分全球定位系統,114.03.05,
21382895,differential heave,差異隆起；不均勻隆起,114.03.05,
21382896,differential settlement,差異沉陷；不均勻沉陷,114.03.05,
21382897,differential thermal analysis,差熱分析,114.03.05,
21382898,differential-acting steam hammer,差動汽錘,114.03.05,
21382899,difficult ground,困難地盤,114.03.05,
21382900,diffuse double layer,擴散電雙層,114.03.05,
21382901,diffuse flow,擴散流,114.03.05,
21382902,diffusion potential,擴散勢能,114.03.05,
21382903,digital echo sounder,數位回聲測深儀,114.03.05,
21382904,digital map,數位地圖,114.03.05,
21382905,digital tape,數位磁帶,114.03.05,
21382906,digitizer,數化儀,114.03.05,
21382907,dilatancy,膨脹性；剪脹性,114.03.05,
21382908,dilatation,膨脹；擴張,114.03.05,
21382909,dilatational wave,膨脹波,114.03.05,
21382910,dilation,膨脹；擴張,114.03.05,
21382911,dilation rate,膨脹率,114.03.05,
21382912,dilatometer,膨脹儀；膨脹計,114.03.05,
21382913,diluvium,洪積層,114.03.05,
21382914,dimensional analysis,因次分析,114.03.05,
21382915,diorite,閃長岩,114.03.05,
21382916,dip,傾斜；傾向,114.03.05,
21382917,dipmeter,測傾儀,114.03.05,
21382918,dipole,偶極,114.03.05,
21382919,direct shear apparatus,直接剪力儀；直剪儀,114.03.05,
21382920,direct shear test,直剪試驗,114.03.05,
21382921,direct simple shear test,直接單剪試驗,114.03.05,
21382922,disaggregation,崩解,114.03.05,
21382923,discharge velocity,放流速度,113.04.25,
21382924,disconformeable plane,假整合,114.03.05,
21382925,disconformity,不整合,114.03.05,
21382926,discontinuity,不連續面,114.03.19,
21382927,discretization,離散化,114.03.19,
21382928,disintegration,崩解；分解,114.03.19,
21382929,dislocation,錯位；差排,114.03.19,
21382930,dispersion,分散作用,114.03.19,
21382931,dispersive soil,分散性土壤,114.03.19,
21382932,displacement,位移,114.03.19,
21382933,displacement gradient field,位移梯度場,114.03.19,
21382934,displacement gradient tensor,位移梯度張量,114.03.19,
21382935,displacement grouting,擠入灌漿,113.04.25,
21382936,displacement increment,位移增量,114.03.19,
21382937,displacement pile,位移樁,114.03.19,
21382938,disposal dump,垃圾處理場,114.03.19,
21382939,dissipation,消散,114.03.19,
21382940,dissipation test,消散試驗,114.03.19,
21382941,dissolved oxygen,溶氧,114.03.19,
21382942,dissolved salts,溶解鹽類,114.03.19,
21382943,distortion,扭曲變形；扭曲；扭變,113.04.25,
21382944,distortional wave,扭曲波,114.03.19,
21382945,disturbed sample,擾動土樣；擾動樣本,114.03.19,
21382946,disturbed soil,擾動土壤,114.03.19,
21382947,disturbed soil sample,擾動土樣,113.04.19,
21382948,divergence loss,發散損耗；擴散損耗,113.04.25,
21382949,dock,船塢；碼頭,114.03.19,
21382950,dolerite,輝綠岩；粗粒玄武岩,114.03.19,
21382951,dolerite dyke,輝綠岩岩脈；粗粒玄武岩岩脈,114.03.19,
21382952,doline,陷穴；陷坑；滲穴,114.03.19,
21382953,dolomite,白雲石；白雲岩,114.03.19,
21382954,dome foundation,穹頂結構基礎,114.03.19,
21382955,Doppler effect,都卜勒效應,114.03.19,
21382956,double amplitude,雙振幅,114.03.19,
21382957,double layer,雙層；電雙層,114.03.19,
21382958,double shear test,雙面剪切試驗；雙剪試驗,114.03.19,
21382959,double track tunnel,雙軌隧道,114.03.19,
21382960,dowel bar,綴縫筋；榫筋；傳力桿,114.03.19,
21382961,downhole method,下孔法,114.03.19,
21382962,downhole seismic test,下孔式震測法,114.03.19,
21382963,draft plan,草案計畫,114.03.19,
21382964,drag bit,曳引鑽頭,113.04.25,
21382965,drag force,拖曳力；阻力,114.03.19,
21382966,draghead,拖曳吸頭,114.03.19,
21382967,drainage blanket,排水墊層,114.03.19,
21382968,drainage channel,排水渠；排水道,114.03.19,
21382969,drainage curtain,排水幕,113.04.25,
21382970,drainage gallery,排水廊道,114.03.19,
21382971,drainage material,排水材料,114.03.19,
21382972,drainage path,排水路徑,114.03.19,
21382973,drainage reserve,排水保留區,114.03.19,
21382974,drainage well,排水井,114.03.19,
21382975,drained shear test,排水剪切試驗,114.03.19,
21382976,drained triaxial test,排水三軸試驗,114.03.19,
21382977,drawdown,洩降,114.03.19,
21382978,drawdown ratio,降水比,114.03.19,
21382979,dredge level,疏浚標高,114.04.23,
21382980,dredge loss,疏浚損失,114.04.23,
21382981,dredgeability,疏浚能力,114.04.23,
21382982,dredged material,浚渫料,114.04.23,
21382983,dredging,浚渫；疏浚；挖泥；挖掘,114.04.23,
21382984,dressed block,修整石塊,114.04.23,
21382985,drill,鑽；鑽機,113.04.25,
21382986,drill bit,鑽頭,114.04.23,
21382987,drill cuttings,鑽屑,113.04.25,
21382988,drill rig,鑽探機具,114.04.23,
21382989,drill rod,鑽桿,114.04.23,
21382990,drillability,可鑽性,113.04.25,
21382991,drilled caisson,鑽掘沉箱,114.04.23,
21382992,drilled shaft,鑽掘樁；鑽掘墩柱,114.04.23,
21382993,driller,鑽機,114.04.23,
21382994,drilling,鑽,114.04.23,
21382995,drilling fluid,鑽孔液,114.04.23,
21382996,drilling hole,鑽孔,114.04.23,
21382997,drilling log,鑽孔柱狀圖；鑽孔井錄,114.04.23,
21382998,drilling machine,鑽孔機,114.04.23,
21382999,drilling mud,鑽孔泥漿,114.04.23,
21383000,drilling record,鑽孔記錄,114.04.23,
21383001,drilling rig,鑽機,114.04.23,
21383002,drive sampler,打入式取樣器,114.04.23,
21383003,driven pile,打擊樁；打入樁,113.04.19,
21383004,driving formula,打樁公式,114.04.23,
21383005,driving test,打樁試驗,114.04.23,
21383006,drop hammer,落錘；重力落錘,114.04.23,
21383007,Drucker-Prager criterion,杜拉克-普拉格準則,114.04.23,
21383008,dry bulk density,乾統體密度,113.04.25,
21383009,dry compaction,乾夯實,114.04.23,
21383010,dry density,乾密度,114.04.23,
21383011,dry film thickness,乾膜厚度,114.04.23,
21383012,dry oven,烘箱,114.04.23,
21383013,dry rodding,乾搗；乾搗實,114.04.23,
21383014,dry sieving,乾篩,114.04.23,
21383015,dry unit weight,乾單位重,114.04.23,
21383016,ductile iron,延性鑄鐵,114.04.23,
21383017,ductility,延展性；延性,114.04.23,
21383018,dumping site,卸土區,114.04.23,
21383019,dumping truck,卸土車,114.04.23,
21383020,dune,砂丘,114.04.23,
21383021,Dupuit equation,杜布依特方程式,114.04.23,
21383022,durability,耐久性,113.04.19,
21383023,dustpan dredger,簸箕式疏浚機,114.04.23,
21383024,Dutch cone penetrometer,荷蘭錐貫入儀,114.04.23,
21383025,Dutch cone test,荷蘭錐貫入試驗,114.04.23,
21383026,dye tracer,染料示蹤劑,113.04.25,
21383027,dynamic analysis,動態分析；動力分析,114.04.23,
21383028,dynamic compaction,動力夯實,114.04.23,
21383029,dynamic cone penetrometer,動態圓錐貫入儀,114.04.23,
21383030,dynamic consolidation,動力壓密,114.04.23,
21383031,dynamic elastic modulus,動態彈性模數,114.04.23,
21383032,dynamic load,動態荷載,114.04.23,
21383033,dynamic magnification factor,動態放大因數,114.04.23,
21383034,dynamic resistance,動態阻力,114.04.23,
21383035,dynamic strain,動態應變,114.04.23,
21383036,dynamic stress,動態應力,114.04.23,
21383037,dynamic subgrade reaction,動態地基反力；動態地盤反力,114.04.23,
21383038,dynamic triaxial test,動力三軸試驗,114.04.23,
21383039,dynamic viscosity,動態黏度,114.04.23,
21383040,dynamite,代納邁炸藥；硝化甘油炸藥,114.04.23,
21383041,earth anchor,地錨,114.04.23,
21383042,earth auger,螺旋鑽,114.04.23,
21383043,earth borer,鑽土器,114.04.23,
21383044,earth cofferdam,土堤圍堰,114.04.23,
21383045,earth crust,地殼,114.04.23,
21383046,earth dam,土壩,114.05.21,
21383047,earth embankment,土堤；土堰,114.04.23,
21383048,earth excavation,土方開挖；挖土,114.04.23,
21383049,earth fill cofferdam,填土圍堰,114.04.23,
21383050,earth load,土壤荷載,114.04.23,
21383051,earth pile,土樁,114.04.23,
21383052,earth pressure,土壓力；土壓,114.04.23,
21383053,earth pressure at rest,靜止土壓力,113.04.19,
21383054,earth pressure coefficient,土壓力係數,114.04.23,
21383055,earth pressure theory,土壓力理論,113.10.22,
21383056,earth science,地球科學,114.04.23,
21383057,earth slump,土石坍滑,114.04.23,
21383058,earthenware pipe,陶管,114.04.23,
21383059,earthfill slope,填方邊坡；填土邊坡,114.04.23,
21383060,earthquake fault,地震斷層,114.05.21,
21383061,earthquake focus,震源,114.05.21,
21383062,earthquake force,地震力,114.05.21,
21383063,earthquake hazard assessment,地震災害評估,114.05.21,
21383064,earthquake intensity,地震震度,114.05.21,
21383065,earthquake magnitude,地震規模,114.05.21,
21383066,earthquake prediction,地震預測,114.05.21,
21383067,earthquake resistant design,耐震設計,114.05.21,
21383068,earthquake response spectrum,地震反應譜,114.05.21,
21383069,earthquake subsidence,震陷,114.05.21,
21383070,earthquake wave,地震波,114.05.21,
21383071,earthquake-proof foundation,抗震基礎,114.05.21,
21383072,earthquake-proof joint,耐震接頭,114.05.21,
21383073,eccentricity,偏心率；偏心距,114.05.21,
21383074,eccentricity coefficient,偏心係數,114.05.21,
21383075,echo sounding,回聲測深,114.05.21,
21383076,edge-to-face flocculation,邊對面絮凝,114.05.21,
21383077,effect of surcharge,超載效應,114.05.21,
21383078,effective angle of internal friction,有效內摩擦角,114.05.21,
21383079,effective cohesion,有效凝聚力,114.05.21,
21383080,effective drainage porosity,有效排水孔隙率,113.04.25,
21383081,effective force,有效力,113.04.25,
21383082,effective grain size,有效粒徑,114.05.21,
21383083,effective normal stress,有效正應力;有效正向應力,114.05.21,
21383084,effective overburden pressure,有效覆蓋壓力,114.05.21,
21383085,effective stress,有效應力,114.05.21,
21383086,effective stress parameter,有效應力參數,114.05.21,
21383087,effective stress path,有效應力路徑,114.05.21,
21383088,effective unit weight,有效單位重,114.05.21,
21383089,efficiency formula,效率公式,114.05.21,
21383090,efflux time,射流時間,113.04.25,
21383091,elastic beam,彈性梁,114.05.21,
21383092,elastic compression,彈性壓縮,114.05.21,
21383093,elastic constant,彈性常數,114.05.21,
21383094,elastic distortion,彈性扭曲變形;彈性畸變,114.05.21,
21383095,elastic equilibrium,彈性平衡,114.05.21,
21383096,elastic half-space theory,彈性半空間理論,114.05.21,
21383097,elastic heave,彈性隆起,114.05.21,
21383098,elastic line,彈性線,114.05.21,
21383099,elastic medium,彈性介質,114.05.21,
21383100,elastic semi-infinite body,彈性半無限體,114.05.21,
21383101,elastic state of equilibrium,彈性平衡狀態,114.05.21,
21383102,elastic subgrade reaction,彈性路基反力,114.05.21,
21383103,elastic visco-plastic model,彈黏塑性模式,114.05.21,
21383104,elastic wall,彈性牆,114.05.21,
21383105,elastic wave,彈性波,114.05.21,
21383106,elastic-plastic behavior,彈塑性行為,114.05.21,
21383107,elastic-plastic model,彈塑性模式,114.05.21,
21383108,elastic-plastic solid,彈塑性體,114.05.21,
21383109,elastic-plasticity of soil,土壤彈塑性,114.05.21,
21383110,elasto-plastic model,彈塑性模式,113.05.22,
21383111,elasto-plasticity theory,彈塑性理論,114.05.21,
21383112,electric crane,電動起重機,114.05.21,
21383113,electric detonator,電雷管,114.05.21,
21383114,electric double layer,電雙層,114.05.21,
21383115,electric log,電井測,113.04.25,
21383116,electric profiling,電測剖面法,114.05.21,
21383117,electrical piezometer,電子水壓計,114.05.21,
21383118,electrical prospecting,電探法,114.05.21,
21383119,electrical resistivity,電阻率,114.05.21,
21383120,electrical sounding,電探,114.05.21,
21383121,electrochemical effect,電化學效應,114.05.21,
21383122,electrochemical hardening,電化學加固,114.05.21,
21383123,electrochemical process,電化程序,114.05.21,
21383124,electrochemical soil stabilization,電化學土壤穩固,113.04.19,
21383125,electrochemical stabilization,電化學穩固,114.05.21,
21383126,electrokinetic coupling,電動耦合,114.05.21,
21383127,electrokinetic phenomena,電動現象,114.05.21,
21383128,electrokinetic potential,電位,114.05.21,
21383129,electrokinetics,電動力學,113.04.25,
21383130,electromagnetic attraction,電磁引力,114.06.23,
21383131,electromagnetic oscillator,電磁振盪器,114.06.23,
21383132,electromagnetic prospecting,電磁探勘,114.06.23,
21383133,electromagnetic subsurface probing,電磁地下探測,114.06.23,
21383134,electron microscope,電子顯微鏡,114.06.23,
21383135,electronic chart,電子海圖,114.06.23,
21383136,electronic distance measurement,電子測距法,114.06.23,
21383137,electronic map,電子地圖,114.06.23,
21383138,electro-osmosis,電滲,114.06.23,
21383139,electro-osmosis consolidation,電滲透壓密,113.12.03,
21383140,electro-osmosis drainage,電滲排水,114.03.19,
21383141,electro-osmotic drainage,電滲排水,114.06.23,
21383142,electro-osmotic stabilization,電滲加固,114.06.23,
21383143,electro-osmotic transmission coefficient,電滲傳導係數,114.06.23,
21383144,electrostatic force,靜電力,114.06.23,
21383145,elevated interchange,高架交流道,114.06.23,
21383146,elevation of borehole,孔口高程；鑽孔高程,114.06.23,
21383147,e-log p curve,孔隙比-對數壓力曲線；孔隙比-對數平均有效壓力曲線,114.06.23,
21383148,elutriation test,淘析試驗,114.06.23,
21383149,eluvial soil,淋洗殘積土；淋濾殘積土,114.06.23,
21383150,eluviation,淋洗作用；淋濾作用,114.06.23,
21383151,eluvium,淋洗殘積層,114.06.23,
21383152,embankment,岸堤,113.05.22,
21383153,embankment dam,堆填壩,114.06.23,
21383154,embeded construction,嵌埋式構造,114.06.23,
21383155,embeded depth,埋置深度,114.06.23,
21383156,embedment,埋置；埋置物,114.06.23,
21383157,emergency works,緊急工程,114.06.23,
21383158,end restraint effect,端部約束效應,114.06.23,
21383159,end-bearing pile,點承樁,114.06.23,
21383160,endochronic theory,內涵時間理論,114.06.23,
21383161,end-tipping,端傾卸,114.06.23,
21383162,energy ratio,能量比,114.06.23,
21383163,engineered fill,工程填料,114.06.23,
21383164,engineering geological condition,工程地質條件,114.06.23,
21383165,engineering geological evaluation,工程地質評估,114.06.23,
