ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3181536,Aquila,鵰屬,,雕〈动物〉,2017-07-24
3181537,arabian camel,單峰駱駝,,单峰驼〈动物〉,2017-07-24
3181538,arctic hare,雪兔,,雪兔〈动〉,2017-07-24
3181539,Arctictis binturong,貄貓；熊狸,,熊狸〈动物〉,2017-07-24
3181540,Ardea cinerea,蒼鷺,,苍鹭 〈动物〉,2017-07-24
3181541,argali,盤羊,,盘羊〈动物〉,2017-07-24
3181542,arm,腕；臂,,臂 〈动〉,2017-07-24
3181543,armadillo,犰狳,,犰狳 〈动物〉,2017-07-24
3181544,armyworm,夜盜蛾；行軍蟲,,粘虫〈动〉,2017-07-24
3181545,artery,動脈,,动脉 〈动〉,2017-07-24
3181546,arthropod,節肢動物；節足動物類；節足動物,,节肢动物 〈动〉,2017-07-24
3181547,Arthropoda,節肢動物門,,节肢动物〈动〉,2017-07-24
3181548,articulation,銜接；清晰度；關節；連接,,关节 〈动〉,2017-07-24
3181549,artificial selection,人擇；人為選汰,,人工选择〈动〉,2017-07-24
3181550,Ascaris suum,豬蛔蟲,,猪蛔虫 〈动〉,2017-07-24
3181551,ascidian,海鞘,,海鞘〈动物〉,2017-07-24
3181552,asexual reproduction,無性生殖,,无性生殖,2017-07-24
3181553,Asian giant softshell turtle,黿,,鼋 〈动〉,2017-07-24
3181554,asian paradise flycatcher,綬帶鳥,,寿带〈动物〉,2017-07-24
3181555,Assamese macaque,熊猴,,熊猴〈动物〉,2017-07-24
3181556,assimilation,同化作用,,同化〈动〉,2017-07-24
3181557,atrium,心耳；心房；圍鰓腔,,心房 〈动〉,2017-07-24
3181558,auk,海雀,,海雀 〈动物〉,2017-07-24
3181559,aurelia,海月水母（屬）（俗）；金蛹,,海月水母 〈动物〉,2017-07-24
3181560,autapomorphy,自衍徵,,独征〈动〉,2017-07-24
3181561,autogeny,自生；單性生殖；自然發生,,自然发生 〈动〉,2017-07-24
3181562,automimicry,種內擬態,,种内拟态,2017-07-24
3181563,autotomy,自割,,自割 〈动物〉,2017-07-24
3181564,autotroph,自營生物；自養生物,,自养生物,2017-07-24
3181565,autotrophy,自營,,自养〈动〉,2017-07-24
3181566,Axis porcinus,豚鹿,,豚鹿〈动物〉,2017-07-24
3181567,aye-aye,指猴,,指猴 〈动物〉,2017-07-24
3181568,babbler,畫眉鳥,,鹛〈动物〉,2017-07-24
3181569,baboon,狒狒,,狒狒 〈动〉,2017-07-24
3181570,bactrian camel,雙峰駱駝,,双峰驼〈动物〉,2017-07-24
3181571,badger,獾；貛,,獾 〈动〉,2017-07-24
3181572,Balaena glacialis,北大西洋露脊鯨,,露脊鲸〈动物〉,2017-07-24
3181573,Balaenoptera musculus,藍鯨,,蓝鲸,2017-07-24
3181574,bamboo rat,竹鼠,,竹鼠〈动〉,2017-07-24
3181575,barn swallow,家燕,,家燕〈动〉,2017-07-24
3181576,barnacle,藤壺,,藤壶〈动物〉,2017-07-24
3181577,barred owlet,鵂鶹,,鸺鹠〈动〉,2017-07-24
3181578,basal metabolism,基礎代謝,,基础代谢〈动〉,2017-07-24
3181579,bat,蝙蝠,,蝙蝠 〈动物〉,2017-07-24
3181580,beach louse,水虱,,水虱〈动物〉,2017-07-24
3181581,bean weevil,豆象,,豆象〈动物〉,2017-07-24
3181582,bear,熊,,熊 〈动〉,2017-07-24
3181583,beaver,海貍；海狸,,海狸 (now called 河狸) 〈动物〉,2017-07-24
3181584,beaver,河狸,,山狸〈动物〉,2017-07-24
3181585,bee,蜜蜂；蜜,,蜜蜂 〈动〉,2017-07-24
3181586,bee eater,蜂虎,,蜂虎〈动物〉,2017-07-24
3181587,beetle,甲蟲,,甲虫 〈动〉,2017-07-24
3181588,bharal,岩羊；青羊,,石羊=岩羊〈动物〉,2017-07-24
3181589,binturong,貄貓；熊狸,,熊狸〈动物〉,2017-07-24
3181590,biodiversity,生物多樣性,,生物多样性 〈动〉,2017-07-24
3181591,biological clock,生物時鐘,,生物钟〈动〉,2017-07-24
3181592,biological diversity,生物多樣性,,生物多样性 〈动〉,2017-07-24
3181593,biological enrichment,生物豐富化,,生物富集〈动〉,2017-07-24
3181594,biological factor,生物因子；生物因素,,生物因子 〈动〉,2017-07-24
3181595,biological magnification,生物放大,,生物放大〈动〉,2017-07-24
3181596,biomass,生物量,,生物量 〈动〉,2017-07-24
3181597,biosphere,生物圈；生界,,生物圈 〈动〉,2017-07-24
3181598,biosphere conservation,生物圈保育,,生物圈保护,2017-07-24
3181599,biotic factor,生物因子,,生物因子〈动〉,2017-07-24
3181600,biotic resistance,生物抗性,,生物抗性〈动〉,2017-07-24
3181601,biotope,生物小區,,生物小区〈动〉,2017-07-24
3181602,biotype,生物型,,生物型〈动〉,2017-07-24
3181603,bird of paradise,極樂鳥,,极乐鸟 〈动〉,2017-07-24
3181604,biting midge,蠓,,蠓〈动物〉,2017-07-24
3181605,black carp,青魚,,黑鲩,2017-07-24
3181606,black-tailed python,黑尾蟒,,黑尾蟒〈动物〉,2017-07-24
3181607,bleak,歐鮊,,欧鲌〈动物〉,2017-07-24
3181608,blood circulation,血液循環,,血液循环〈动〉,2017-07-24
3181609,blood fluke,血吸蟲,,血吸虫 〈动〉,2017-07-24
3181610,blood group,血型,,血型 〈动〉,2017-07-24
3181611,blood pressure,血壓,,血压 〈动〉,2017-07-24
3181612,blood type,血型,,血型 〈动〉,2017-07-24
3181613,blue sheep,岩羊；青羊,,石羊=岩羊〈动物〉,2017-07-24
3181614,body louse,體蝨,,体虱〈动物〉,2017-07-24
3181615,body segment,體節,,体节 〈动物〉,2017-07-24
3181616,body wall,體壁,,体壁 〈动物〉,2017-07-24
3181617,bohemian waxwing,黃連雀；太平鳥,,十二黄〈动物〉,2017-07-24
3181618,Bombay duck,印度鐮齒魚；龍頭魚,,龙头鱼〈动物〉,2017-07-24
3181619,Bombycilla japonica,朱連雀；小太平鳥,,十二红〈动物〉,2017-07-24
3181620,Bombyx mori,家蠶,,家蚕〈动〉,2017-07-24
3181621,Bomycilla garrulus,黃連雀；太平鳥,,十二黄〈动物〉,2017-07-24
3181622,bonyscale,骨鳞,,骨鳞,2017-07-24
3181623,book-lung,書肺,,书肺〈动〉,2017-07-24
3181624,Bos grunniens,氂牛,,牦牛〈动〉,2017-07-24
3181625,Bos indicus,黃牛,,瘤牛〈动物〉,2017-07-24
3181626,Bosmina,象鼻水蚤屬,,水虱〈动物〉,2017-07-24
3181627,boxfish,箱鲀,,箱鲀〈动物〉,2017-07-24
3181628,Bradypus,樹懶屬,,水獭〈动物〉,2017-07-24
3181629,brain,腦,,脑 〈动〉,2017-07-24
3181630,branchial cleft,鰓裂,,鳃裂〈动〉,2017-07-24
3181631,breast,胸；乳房,,乳房 〈动〉,2017-07-24
3181632,breed,品種；生育；繁殖,,品种 〈动〉,2017-07-24
3181633,breeding,育種,,生殖〈动〉,2017-07-24
3181634,breeding migration,繁殖迴游,,生殖洄游,2017-07-24
3181635,brittle star,陽遂足；蛇尾類,,蛇尾 〈动〉,2017-07-24
3181636,brown bear,棕熊；灰熊,,棕熊 〈动物〉,2017-07-24
3181637,brush-footed butterfly,蛺蝶,,蛱蝶〈动〉,2017-07-24
3181638,Bubalus bubalis,水牛；亞洲水牛,,印度水牛,2017-07-24
3181639,Buceros,角犀鳥屬,,犀鸟〈动〉,2017-07-24
3181640,Budorcas taxicolor,羚牛,,羚牛〈动物〉,2017-07-24
3181641,Budorcas taxicolor,扭角羚；羚牛,,扭角羚〈动物〉,2017-07-24
