ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3166462,cladding,包覆層,,覆盖层,2017-07-24
3166463,classical mechanics,古典力學,,经典力学,2017-07-24
3166464,classical physics,古典物理[學],,经典物理[学],2017-07-24
3166465,cluster,團；集團；星團；星系團,,集团；团簇,2017-07-24
3166466,cobalt,鈷,,钴,2017-07-24
3166467,coefficient of linear expansion,線膨脹係數,,线膨胀系数,2017-07-24
3166468,coefficient of restitution,恢復係數,,恢复系数,2017-07-24
3166469,coefficient of static friction,靜摩擦係數,,静摩擦系数,2017-07-24
3166470,cohesive force,內聚力,,cohesion 内聚力,2017-07-24
3166471,collector,集[電]極；集流器,,集电极,2017-07-24
3166472,collision,碰撞,,碰撞,2017-07-24
3166473,commutator,交換子；交換算符；對易算符；換向器,,对易式,2017-07-24
3166474,component,分量,,分量；组分,2017-07-24
3166475,compound light,複合光,,复光,2017-07-24
3166476,compound microscope,複顯微鏡,,复显微镜,2017-07-24
3166477,compression,壓縮,,压缩,2017-07-24
3166478,concave lens,凹透鏡,,凹透镜,2017-07-24
3166479,concave mirror,凹面鏡,,凹面镜,2017-07-24
3166480,condensation point,凝[結]點,,冷凝点;凝聚点,2017-07-24
3166481,condensed matter,凝體,,凝[聚]体,2017-07-24
3166482,conduction,傳導,,传导,2017-07-24
3166483,conductor,導體,,导体,2017-07-24
3166484,conservative force,保守力,,保守力,2017-07-24
3166485,continuous spectrum,連續[光]譜,,连续谱,2017-07-24
3166486,convection,對流,,对流；运流,2017-07-24
3166487,converging lens,會聚透鏡,,会聚透镜,2017-07-24
3166488,convex lens,凸透鏡,,凸透镜,2017-07-24
3166489,convex mirror,凸面鏡,,凸面镜,2017-07-24
3166490,coordinate,坐標,,坐标,2017-07-24
3166491,Coriolis' force,柯氏力,,科里奥利力,2017-07-24
3166492,corpuscle,微粒,,微粒,2017-07-24
3166493,corpuscular theory,微粒說,,微粒说,2017-07-24
3166494,cosmic microwave background radiaton,宇宙微波背景輻射,,微波背景辐射,2017-07-24
3166495,Coulomb blockade,庫侖障礙,,库仑阻塞,2017-07-24
3166496,Coulomb's law,庫侖定律,,库仑定律,2017-07-24
3166497,CPU{central processing unit},中央處理器,,中央处理器,2017-07-24
3166498,crest,[波]峰,,[波]峰,2017-07-24
3166499,critical angle,臨界角,,临界角,2017-07-24
3166500,critical temperature,臨界溫度,,临界温度,2017-07-24
3166501,current,流；電流,,流；电流,2017-07-24
3166502,current loop,電流迴路,,电流回路,2017-07-24
3166503,current strength,電流強度,,电流强度,2017-07-24
3166504,cut-off voltage,截止電壓,,截止电压,2017-07-24
3166505,cyclotron,迴旋加速器,,回旋加速器,2017-07-24
3166506,cyclotron frequency,迴旋頻率,,回旋频率,2017-07-24
3166507,deceleration,減速度,,减速度,2017-07-24
3166508,decibel {=DB},分貝,,分贝,2017-07-24
3166509,declination,偏角；偏差；赤緯,,赤纬,2017-07-24
3166510,depletion region,空乏區,,"耗尽区,势垒区,阻挡层",2017-07-24
3166511,derived quantity,導出量,,导出量,2017-07-24
3166512,derived unit,導出單位,,导出单位,2017-07-24
3166513,destructive interference,破壞性干涉,,相消干涉,2017-07-24
3166514,diesel engine,柴油機,,柴油机,2017-07-24
3166515,diffraction,繞射,,衍射,2017-07-24
3166516,diffuse reflection,漫[反]射,,漫反射,2017-07-24
3166517,diffusion,擴散,,扩散；漫射,2017-07-24
3166518,dimension,維[度]；因次；尺度,,量纲；尺度；维[度]；尺寸,2017-07-24
3166519,diode,二極體；二極管,,二极管,2017-07-24
3166520,discrete spectrum,離散譜,,离散谱,2017-07-24
3166521,dispersion,色散；頻散；瀰散,,色散，频散；弥散,2017-07-24
3166522,displacement,位移,,位移,2017-07-24
3166523,dissipative force,耗散力,,耗散力,2017-07-24
3166524,dissociation,解離,,离解,2017-07-24
3166525,disturbance,擾動；擾亂,,扰动；摄动,2017-07-24
3166526,diverging lens,發散透鏡,,发散透镜,2017-07-24
3166527,donor,施子,,施主,2017-07-24
3166528,doping,參雜,,掺杂,2017-07-24
3166529,Doppler effect,都卜勒效應,,多普勒效应,2017-07-24
3166530,down quark,下夸克,,"d 夸克,下夸克",2017-07-24
3166531,drift velocity,漂移速度,,漂移速度,2017-07-24
3166532,duality,二象性；對偶性,,对偶性；二象性,2017-07-24
3166533,dynamics,動力學,,动力学,2017-07-24
3166534,dyne,達因,,达因,2017-07-24
3166535,earth,地；接地,,接地；地球,2017-07-24
3166536,echo,回聲；回波,,回波;回声,2017-07-24
3166537,eddy current,渦流；渦[電]流,,涡流；涡［电］流,2017-07-24
3166538,elastic collision,彈性碰撞,,弹性碰撞,2017-07-24
3166539,elastic force,彈[性]力,,弹[性]力,2017-07-24
3166540,elastic potential,彈性勢,,弹性势,2017-07-24
3166541,electric current,電流,,电流,2017-07-24
3166542,electric field,電場,,电场,2017-07-24
3166543,electric field strength,電場強度,,电场强度,2017-07-24
3166544,electric force,電[場]力,,电力,2017-07-24
3166545,electric generator,發電機,,发电机,2017-07-24
3166546,electric motor,電動機,,电动机,2017-07-24
3166547,electric potential,電位；電勢,,电势,2017-07-24
3166548,electric potential difference,電位差；電勢差,,电势差,2017-07-24
3166549,electric resistance,電阻,,电阻,2017-07-24
3166550,electricity,電；電學,,电；电学,2017-07-24
3166551,electrodynamics,電動力學,,电动力学,2017-07-24
3166552,electromagnet,電磁鐵；電磁體,,电磁体,2017-07-24
3166553,electromagnetic induction,電磁感應,,电磁感应,2017-07-24
3166554,electromagnetic spectrum,電磁波譜,,电磁波谱,2017-07-24
3166555,electromagnetic wave,電磁波,,电磁波,2017-07-24
3166556,electromagnetism,電磁學；電磁,,电磁学,2017-07-24
3166557,electromotive force {=emf},電動勢,,电动势,2017-07-24
3166558,electron,電子,,电子,2017-07-24
3166559,electron-positron annihilation,電子正子對滅,,电子正电子湮没,2017-07-24
3166560,electrostatic field,靜電場,,静电场,2017-07-24
3166561,electrostatic force,靜電力,,静电力,2017-07-24
3166562,electrostatic induction,靜電感應,,静电感应,2017-07-24
3166563,electrostatics,靜電學,,静电学,2017-07-24
3166564,element,元素；元件；元,,元素；元件,2017-07-24
3166565,elemental semiconductor,元素半導體,,元素半导体,2017-07-24
3166566,elementary charge,元電荷；基本電荷,,元电荷,2017-07-24
3166567,elementary particle,基本粒子,,基本粒子,2017-07-24
3166568,ellipse,橢圓,,椭圆,2017-07-24
3166569,emission,發射,,发射,2017-07-24
3166570,emission spectrum,發射[光]譜,,发射光谱,2017-07-24
3166571,emitter,射極；發射體；發射器,,发射极；发射体,2017-07-24
3166572,energy,能[量],,能量,2017-07-24
3166573,energy gap,能隙,,能隙,2017-07-24
3166574,energy level,能階,,能级,2017-07-24
3166575,envelope,包络；包封,,包络；包封,2017-07-24
3166576,equation of continuity,連續[性]方程[式],,连续性方程,2017-07-24
3166577,equation of motion,運動方程[式],,运动方程,2017-07-24
3166578,equilibrium,平衡,,平衡,2017-07-24
3166579,equivalent resistance,等效電阻,,等效电阻,2017-07-24
3166580,escape velocity,脫離速度,,逃逸速度,2017-07-24
3166581,ether,以太,,以太,2017-07-24
3166582,excitation energy,激發能,,激发能,2017-07-24
3166583,excited state,激發態,,激发态,2022-07-15
3166584,external force,外力,,外力,2017-07-24
3166585,extrinsic semiconductor,雜質半導體,,非本征半导体,2017-07-24
3166586,eye-lens,目鏡,,接目镜,2017-07-24
3166587,Fahrenheit scale,華氏溫標,,华氏温标,2017-07-24
3166588,Fahrenheit's temperature scale,華氏溫度,,华氏温标,2017-07-24
3166589,farad,法拉(電容單位),,法拉（电容单位）,2017-07-24
3166590,Faraday's law of electromagnetic induction,法拉第[電磁]感應定律,,法拉第电磁感应定律,2017-07-24
3166592,femtometer,飛米(10-15m),,费米,2017-07-24
3166593,fermion,費米子,,费米子,2017-07-24
3166594,fiber optics,光纖光學,,纤维光学,2017-07-24
3166595,fiberscope,光纖鏡,,fibrescope 光纤[观察]镜,2017-07-24
3166596,fictitious force,假想力；虛設力,,虚拟力,2017-07-24
3166597,field,場,,场,2017-07-24
3166598,field-effect transistor{=FET},場效電晶體,,场效［应］应[晶体]管,2017-07-24
3166599,first law of thermodynamics,熱力學第一定律,,热力学第一定律,2017-07-24
3166600,fission,[核]分裂；裂變,,裂变；分裂,2017-07-24
3166601,fluid,流體；流質,,流体,2017-07-24
3166602,fluid mechanics,流體力學,,流体力学,2017-07-24
3166603,focal point,焦點,,焦点,2017-07-24
3166604,focus,焦點,,焦点；震源,2017-07-24
3166605,force,力,,力,2017-07-24
3166606,force constant,力常數,,力常数,2017-07-24
3166607,force couple,力偶,,力偶;电偶,2017-07-24
3166608,force of static friction,靜摩擦力,,静摩擦力,2017-07-24
3166609,forward bias,正向偏壓,,正向偏压,2017-07-24
3166610,Fraunhofer diffraction,夫朗和斐繞射,,夫琅禾费衍射,2017-07-24
3166611,free electron,自由電子,,自由电子,2017-07-24
3166612,free fall,自由下落,,自由降落,2017-07-24
3166613,freezing point,凝固點,,凝固点,2017-07-24
3166614,frequency,頻率,,频率,2017-07-24
3166615,frequency spectrum,頻譜,,频谱,2017-07-24
3166616,friction,摩擦[力],,摩擦,2017-07-24
3166617,frictional force,摩擦力,,friction force 摩擦力,2017-07-24
3166618,Fullerene,富勒體，富勒烯,,富勒烯,2017-07-24
3166619,fundamental frequency,基頻,,基频,2017-07-24
3166620,fundamental interaction,基本交互作用,,基本相互作用,2017-07-24
3166621,fundamental quantity,基本量,,基本量,2017-07-24
3166622,fundamental tone,基音,,基音,2017-07-24
3166623,fusion,[核]融合；聚變；熔化（熱學）,,熔化；聚变,2017-07-24
3166624,fusion point,熔點,,熔点,2017-07-24
3166625,galaxy,星系,,星系,2017-07-24
3166626,galaxy cluster,星系團,,星系团,2017-07-24
3166627,Galilean transformation,伽利略變換,,伽利略变换,2017-07-24
3166628,galvanometer,檢流計,,"灵敏电流计,检流计",2017-07-24
3166629,gamma ray,γ射線；伽瑪射線,,γ射线,2017-07-24
3166630,gas,氣[體],,气体,2017-07-24
3166631,gasoline engine,汽油引擎,,汽油(发动)机,2017-07-24
3166632,gate,閘,,门；栅（极）,2017-07-24
3166633,gauge pressure,計示壓,,表压力,2017-07-24
3166634,gauss,高斯 (單位),,高斯,2017-07-24
3166635,general relativity,廣義相對論,,广义相对论,2017-07-24
3166636,geomagnetic pole,地磁極,,地磁极,2017-07-24
3166637,geometrical optics,幾何光學；線光學,,几何光学,2017-07-24
3166638,globular cluster,球狀星團,,球状星团,2017-07-24
3166639,gravitation,重力,,引力,2017-07-24
3166640,gravitational constant,重力常數,,引力常量,2017-07-24
3166641,gravitational field,重力場,,引力场,2017-07-24
3166642,gravitational field strength,重力場強度,,重力场强度,2017-07-24
3166643,gravitational potential energy,重力位能；重力勢能,,引力势,2017-07-24
3166644,gravity,重力,,重力,2017-07-24
3166645,grazing angle,掠射角,,掠射角；擦边角,2017-07-24
3166646,grid,柵極,,栅极,2017-07-24
3166647,ground state,基態,,基态,2017-07-24
3166648,half life,半衰期,,half life 半衰期,2017-07-24
3166649,half-wave rectifier,半波整流器,,半波整流器,2017-07-24
3166650,harmonic,諧；諧音；諧波；諧函數,,谐波,2017-07-24
3166651,head-on collision,正[面]碰撞,,"对头碰撞,正碰撞,对正碰撞",2017-07-24
3166652,heat,熱[量],,热；热量；热学,2017-07-24
3166653,heat capacity,熱容,,热容[量],2017-07-24
3166654,heat engine,熱機,,热机,2017-07-24
3166655,heat of melting,熔化熱,,熔化热,2017-07-24
3166656,heat of vaporization,氣化熱,,汽化热,2017-07-24
3166657,helium-neon laser,氦氖雷射,,He-Ne laser 氦氖激光器,2017-07-24
3166658,hole,電洞,,空穴,2017-07-24
3166659,holography,全相術；全像術,,全息术,2017-07-24
3166660,Hooke's law,虎克定律,,胡克定律,2017-07-24
3166661,horse power{=HP},馬力(功率單位）,,马力,2017-07-24
3166662,Hubble constant,哈伯常數,,哈勃常数,2017-07-24
3166663,Hubble law,哈伯定律,,哈勃定律,2017-07-24
3166664,Huygens' principle,惠更斯原理,,惠更斯原理,2017-07-24
3166665,hydrodynamics,流體動力學,,流体［动］力学,2017-07-24
3166666,hydrogen atom,氫原子,,氢原子,2017-07-24
3166667,hydrostatic pressure,流體靜壓,,"流体静压［强］, 静水压",2017-07-24
3166668,hydrostatics,流體靜力學,,流体静力学,2017-07-24
3166669,ice point,冰點,,冰点,2017-07-24
3166670,ideal gas,理想氣體,,理想气体,2017-07-24
3166671,image distance,像距,,像距,2017-07-24
3166672,impact,衝擊；撞擊,,撞击；碰撞,2017-07-24
3166673,impact parameter,衝擊參數,,碰撞参量,2017-07-24
3166674,impulse,衝量；脈衝；衝擊,,冲量；脉冲；冲击,2017-07-24
3166675,impulsive force,衝力,,冲力,2017-07-24
3166676,inactivity,不活動性；不放射性；不旋光性；無功率,,不活动；无功率；不放射性；不旋光性,2017-07-24
3166677,index of refraction,折射率,,折射率,2017-07-24
3166678,induced current,應電流；感應電流,,感应电流,2020-05-20
3166679,induced radiation,誘發輻射,,感应辐射,2017-07-24
3166680,inelastic collision,非彈性碰撞,,非弹性碰撞,2017-07-24
3166681,inertia,慣性；慣量,,惯性,2017-07-24
3166682,inflationary universe,暴脹宇宙,,暴胀宇宙,2017-07-24
3166683,infrared light,紅外光；紅外線,,红外线,2017-07-24
3166684,inner product,內積,,内积,2017-07-24
3166685,instantaneous acceleration,瞬時加速度,,瞬时加速度,2020-08-17
3166686,instantaneous velocity,瞬時速度,,瞬时速度,2017-07-24
3166687,insulator,絕緣體,,绝缘体,2017-07-24
3166688,integrated circuit{=IC},積體電路,,集成电路,2017-07-24
3166689,intensifier,增強器,,增强器,2017-07-24
3166690,intensity,強度,,强度,2017-07-24
3166691,interference,干涉,,干涉,2017-07-24
3166692,internal combustion engine,內燃機,,内燃机,2017-07-24
3166693,internal energy,內能,,内能,2017-07-24
3166694,internal force,內力,,内力,2017-07-24
3166695,international system of units,國際單位制,,国际单位制,2017-07-24
3166696,interstellar dust,星際塵埃,,星际尘埃,2017-07-24
3166697,intrinsic semiconductor,本質半導體,,本征半导体,2017-07-24
3166698,ion,離子,,离子,2017-07-24
3166699,ionization,游離；電離,,电离,2017-07-24
3166700,ionization energy,游離能,,电离能,2017-07-24
3166701,irregular galaxy,不規則星系,,不规则星系,2017-07-24
3166702,isolated system,隔離系[統],,孤立系,2017-07-24
3166703,isotope,同位素,,同位素,2017-07-24
3166704,joule{=J},焦耳（能量單位）,,焦[耳],2017-07-24
3166705,Joule's law,焦耳定律,,焦耳定律,2017-07-24
3166706,junction,接面；接點；結,,结,2017-07-24
3166707,Jupiter,木星,,木星,2017-07-24
3166708,kilogram {=kg},公斤,,"千克, 公斤",2017-07-24
3166709,kilometer,公里,,千米，公里,2017-07-24
3166710,kinematics,運動學,,运动学,2017-07-24
3166711,kinetic energy,動能,,动能,2017-07-24
3166712,kinetic theory of gases,氣體運動論,,气体动理［学理］论,2017-07-24
3166713,Large Magellanic Cloud,大麥哲倫雲,,大麦云,2017-07-24
3166714,laser diode,雷射二極體,,激光二极管,2017-07-24
3166715,laser{light amplification by stimulated emission of radiation},雷射,,激光； 激光器,2017-07-24
3166716,latent heat,潛熱,,潜热,2017-07-24
3166717,law of conservation of energy,能量守恆[定]律,,能量守恒定律,2017-07-24
3166718,law of inertia,慣性[定]律,,惯性定律,2017-07-24
3166719,law of reflection,反射[定]律,,反射[定]律,2017-07-24
3166720,law of refraction,折射[定]律,,折射[定]律,2017-07-24
3166721,law of universal gravitation,萬有引力[定]律,,万有引力定律,2017-07-24
3166722,LCD{=liquid crystal display},液晶顯示器,,液晶显示,2017-07-24
3166723,LED{=light emitting diode},發光二極體,,发光二极管,2017-07-24
3166724,length,長度,,长度,2017-07-24
3166725,lens,透鏡,,透镜,2017-07-24
3166726,Lenz's law,冷次定律,,楞次定律,2017-07-24
3166727,lepton,輕子,,轻子,2017-07-24
3166728,light,光,,光,2017-07-24
