ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3603692,"de Larrocha, Alicia",德．拉若恰,,音樂,西班牙,2018-11-20
3603693,"de Lasernia, Blas",德．拉賽爾尼亞,,音樂,西班牙,2018-11-20
3603694,"de la Cruz Mena, José",德˙拉˙克儒茲˙梅納,,音樂,尼加拉瓜,2018-11-20
3603695,"de la Torre, Francisco",德•拉•托瑞,,音樂,西班牙,2018-11-20
3603696,"de Los Ángeles, Victoria",德．洛斯．安赫雷斯,,音樂,西班牙,2018-11-20
3603697,"de Marchena, Enrique",德˙馬爾切納,,音樂,多明尼加,2018-11-20
3603698,"de Milán, Luis",德‧米蘭,,音樂,西班牙,2018-11-20
3603699,"de Morales, Cristóbal",德˙莫拉雷斯,,音樂,西班牙,2018-11-20
3603700,"de Mudarra, Alonso",德˙穆達拉,,音樂,西班牙,2018-11-20
3603701,"De Pedro, Roque",德˙佩德若,,音樂,阿根廷,2018-11-20
3603702,"De Rogatis, Pascual",德˙若加提斯,,音樂,阿根廷,2018-11-20
3603703,"del Aguila, Miguel",德爾˙阿吉拉,,音樂,烏拉圭,2018-11-20
3603704,"del Campo, Conrado",德爾˙坎姆波,,音樂,西班牙,2018-11-20
3603705,"del Encina, Juan",德爾˙恩西納,,音樂,西班牙,2018-11-20
3603706,"Delgadillo, Luis Abraham",德爾加迪悠,,音樂,尼加拉瓜,2018-11-20
3603707,"Delgado Palacios, Ramon",德爾加多‧帕拉西歐斯,,音樂,委內瑞拉,2018-11-20
3603708,"de Salazar, Antonio","德‧薩拉札爾,安東尼歐",,音樂,墨西哥,2018-11-20
3603709,"de Sarasate, Pablo",德‧薩拉薩特,,音樂,西班牙,2018-11-20
3603710,"D'Espósito, Arnaldo",德斯珀吉投,,音樂,阿根廷,2018-11-20
3603711,"de Vivanco, Sebastián",德‧比班科,,音樂,西班牙,2018-11-20
3603712,"Domingo, Plácido",多明哥,,音樂,西班牙,2018-11-20
3603713,"Dominguez, Oralia",多明格絲,,音樂,墨西哥,2018-11-20
3603714,"Drangosch, Ernesto",德朗笱許,,音樂,阿根廷,2018-11-20
3603715,"Durón, Sebastián",杜榮,,音樂,西班牙,2018-11-20
3603716,"Elizalde, Federico",也利札爾德,,音樂,西班牙,2018-11-20
3603717,"Escobar, Luis Antonio",也斯科巴爾,,音樂,哥倫比亞,2018-11-20
3603718,"Escudero, Francisco",也斯庫德若,,音樂,西班牙,2018-11-20
