ID,英文名稱,中文名稱,圖片,備註,更新日期
609746,Alexandrian laurel;Indiapoon beautyleaf;Calophyllum inophyllum L.,瓊崖海棠樹(金絲桃科),,,2012-11-26
609747,aleuroplast,糊粉粒體,,,2012-11-26
609748,aleuroscope;aleurometer,糊粉檢查器,,,2012-11-26
609749,aleurone layer,糊粉層,,,2012-11-26
609750,aleurone grain,糊粉粒,,,2012-11-26
609751,aleurone,糊粉,,,2012-11-26
609752,Aleuritopteris argentea (Gmel.)Fee,根粉背蕨(中藥誌),,,2012-11-26
609753,Aleurites trisperma Blanco,亞利伯斯油桐,,,2012-11-26
609754,Aleurites triloba Forst.;candle nut tree;candleberry tree,石栗(草木狀),,,2012-11-26
609755,Aleurites montana Wils.;wood oil tree;abrasin,木油樹;千年桐;皺桐;廣東油桐,,,2012-11-26
609756,Aleurites moluccana Willd.A.Triloba Forst.;belgaum walnut;candle-nut;varnish-tree,石栗(草木狀);燭果樹,,,2012-11-26
609757,Aleurites laccifera Willd.,印度油桐,,,2012-11-26
609758,Aleurites fordii Hemsl.;China vanish tree;China wood oil tree;tung oil tree,桐油樹;三年桐;罌子桐(拾遺);荏桐(衍義),,,2012-11-26
609759,Aleurites cordata R.Br.,日本油桐,,,2012-11-26
609760,Aleurites,油桐屬(大戟科),,,2012-11-26
609761,Aletris;colic-root;star-grass,束心蘭屬(日本);粉條兒菜屬(救荒),,,2012-11-26
609762,Aletris japonica Lamb/,粉條兒菜(救荒)(圖考);太陽草(H.C.)(G.);芒(Br.);束心蘭(日本),,,2012-11-26
609763,Aleppo grass;Johnson grass;means grass;Andropogon halepensis Brot.;Hocus halepensis L.;Sorghum halepense Pers.,強生草,,,2012-11-26
609764,Alectorur syedoensis Mak.,雞尾蘭(日本)(百合科),,,2012-11-26
609765,Alectoria sulcata (Lev.)Nyl.,附盤地衣,,,2012-11-26
609766,Alectoria,附盤地衣屬(于),,,2012-11-26
609767,alecithal,無卵黃的;少卵黃的,,,2012-11-26
609768,Aldrovanda veaiculosa L.;water dionaea,貉藻(茅膏菜科),,,2012-11-26
609769,aldotertrose,丁醛醣,,,2012-11-26
609770,aldoside,醛醣苷,,,2012-11-26
609771,aldose ester,醛醣酯,,,2012-11-26
609772,aldose,醛醣類,,,2012-11-26
609773,aldolase,丁醛醇酶;醛縮酶,,,2012-11-26
609774,aldopentose,戊醛醣;五碳醛醣,,,2012-11-26
609775,aldol;β-oxybutyric aldehyde,丁醛醇;乙型氧丁醛,,,2012-11-26
609776,aldohexose,乙醛醣;六碳醛醣,,,2012-11-26
609777,alder;Alnus,榿木;赤楊,,,2012-11-26
609778,aldhyde oxidase,乙醛氧化酶,,,2012-11-26
609779,alder buckthron;Rhamnus frangula L.,藥炭鼠李,,,2012-11-26
609780,aldehyde,醛類,,,2012-11-26
609781,aldehyde group,醛基,,,2012-11-26
609782,aldehydase,醛酶,,,2012-11-26
609783,Alculigenes foecalis,糞桿菌,,,2012-11-26
609784,alcoholmeter;alcoholaometer,醇量計;酒精計,,,2012-11-26
609785,alcoholica,酒精製劑;酒類,,,2012-11-26
609786,alcoholic fermentation,酒精發酵;乙醇發酵,,,2012-11-26
609787,alcoholate,醇化物,,,2012-11-26
609788,alcoholase,釀醇酶;乙醇酶;酒精酶,,,2012-11-26
609789,alcohol dehydrogenase,乙醇脫氫酶,,,2012-11-26
609790,alcohol,醇;乙醇;酒精,,,2012-11-26
609791,Alchornea trewioides Muell-Arg.,大葉紅槲(日本),,,2012-11-26
609792,Alchornea rufescens Franch.,青奓包葉(H.C.)(G.),,,2012-11-26
609793,Alchornea,山麻桿屬(大戟科),,,2012-11-26
609794,Alchornea davidi Franch.,山麻桿;奓包葉(H.C.)(G.),,,2012-11-26
609795,Alchemilla vulgaris L.;A.japonica Nakai et Hara;lady's mantle,日本蓍草;羽衣草(日本)(薔薇科),,,2012-11-26
609796,alcaptonuria;alkaptonuria,黑尿症;奪鹼質尿症,,,2012-11-26
609797,alcapton;alkapton,奪鹼質,,,2012-11-26
609798,Alcaligenes melitensis,地中海熱桿菌,,,2012-11-26
609799,Alcaligenes bronchisepturn,敗血性支氣管桿菌,,,2012-11-26
609800,Alcaligenes abortus;Bruncella abortus,流產桿菌,,,2012-11-26
609801,Alcaligenes,產鹼桿菌屬,,,2012-11-26
609802,alcali;alkali,鹼,,,2012-11-26
609803,alburnum;sap wood,邊材,,,2012-11-26
609804,albuminous seed,有胚乳種子,,,2012-11-26
609805,albuminous matter,蛋白類,,,2012-11-26
609806,albuminous cell,蛋白細胞,,,2012-11-26
609807,albuminous,有胚乳的,,,2012-11-26
609808,albuminate;derived albumin,蛋白化物;衍生蛋白素,,,2012-11-26
609809,albumin,蛋白素;白蛋白,,,2012-11-26
609810,albumen crystal,蛋白質結晶,,,2012-11-26
609811,albumen,胚乳;蛋白,,,2012-11-26
609812,Albugo;white rust,白銹病菌屬,,,2012-11-26
609813,Albugo wasabiae Hara,山葵白銹病菌,,,2012-11-26
609814,Albugo tragoponis (Pers.)S.F.Gray,旋覆花白銹病菌,,,2012-11-26
609815,Albugo macrospora (Togashi.)Ito,蘿菔白銹病菌;油菜白病菌,,,2012-11-26
609816,Albugo ipomoeaeaguaticae Saw.,甕菜白銹病菌,,,2012-11-26
609817,Albugo candida (Pers.)O.Kuntze var.macrospora Togashi,油菜白銹病菌,,,2012-11-26
609818,Albugo candida (Pers.)O.Kuntze,薺菜白銹病菌,,,2012-11-26
609819,Albuginaceae,白銹病菌科(露菌目),,,2012-11-26
609820,albomaculatus (Correns 1904),有白斑的,,,2012-11-26
609821,Albizzia stipulata Boiv.,盈樹(H.M.),,,2012-11-26
609822,Albizzia procera Benth.;white siris,黃豆樹(海南);臺灣合歡,,,2012-11-26
609823,Albizzia libbek Benet.;lebbek rtee;silk tree;siris tree;womans-tongue-tree,大葉合歡;夜合(圖考)(H.C.)(D.);白夜合樹(D.);尸利灑樹(Sirish，Sans.)(Sirisha，Beng.)(金光明經),,,2012-11-26
609824,Albizzia kalkora Prain.,山槐(江蘇),,,2012-11-26
609825,Albizzia julibrissin var.rosea Monillef.,矮合歡,,,2012-11-26
609826,Albizzia julibrissin Dur.;albizzia;silk tree,合歡(本經);合昏(唐本);青裳(圖經);馬纓花(盛京通志)(畿輔通志)(圖考);絨樹(圖考);萌葛(P.);夜合(江蘇),,,2012-11-26
609827,Albizzia falcata Backer,摩鹿加合歡,,,2012-11-26
609828,Albizzia chinensis Merr,楹樹(廣東),,,2012-11-26
609829,albizzia Acacia julibrissin Willdenow Albizzia julibrissin Dur.silk tree,合歡,,,2012-11-26
609830,Albizzia,合歡屬(豆科),,,2012-11-26
609831,albino,白化體;白苗,,,2012-11-26
609832,albinism,白化,,,2012-11-26
609833,A-layer;A-horizon,土壤的Ａ層（無機層）,,,2012-11-26
609834,alate winged,有翼的,,,2012-11-26
609835,alate stem,有翼莖,,,2012-11-26
609836,Alarieare,大裙帶菜亞科(褐),,,2012-11-26
609837,Alaria macrophylla Miyabe,大葉裙帶菜(于),,,2012-11-26
609838,Alaria fistulosa Post.et Rupr.,大裙帶菜(于),,,2012-11-26
609839,Alaria crassifolia Kjellm,厚葉裙帶菜(于),,,2012-11-26
609840,alantol;inulol,木香油,,,2012-11-26
609841,Alaria,大裙帶菜屬(褐),,,2012-11-26
