ID,英文名詞,中文名詞,德文,日文,法類/法條,審定日期,更新日期
21387485,Without legal cause,無法律上之原因,Ohne rechtlichen Grund {Ger.},,民法第179條,114.6.28,
21387487,Illegal cause,不法之原因,Rechtswidriger Grund {Ger.},,民法第180條,114.6.28,
21387489,Gratuitous conveyance / Gratuitous transfer,無償讓與,Unentgeltliche Zuwendung {Ger.},,民法第183條,114.6.28,
21387491,Statute intended to protect another person,保護他人之法律,Gesetz zum Schutz Dritter {Ger.},,民法第184條第2項,114.6.28,
21387493,Jointly committed tort,共同侵權行為,Gemeinschaftlich begangene unerlaubte Handlung {Ger.},,民法第185條第1項,114.6.28,
21387495,Instigators,造意人,Anstifter {Ger.},,民法第185條第2項,114.6.28,
21387496,Anstifter {Ger.},造意人,,,民法第185條第2項,114.6.28,
21387497,Capacity to recognize one's responsibility,識別能力,Urteilsfähigkeit {Ger.} / Fähigkeit zur Erkenntnis der Verantwortlichkeit {Ger.},,民法第187條第1項,114.6.28,
21387499,Strict liability,危險責任,Gefährdungshaftung {Ger.},,學理上名詞,114.6.28,
21387500,Gefährdungshaftung {Ger.},危險責任,,,學理上名詞,114.6.28,
21387501,Possessor of an animal,動物占有人,Tierhalter {Ger.},,民法第190條第1項,114.6.28,
21387503,Manifestation of intention,意思實現,Willensbetätigung {Ger.},,學理名詞，對照民法第161條,114.4.12,
21387505,Agreed interest rate,約定利率,Vereinbarter Zinssatz {Ger.},,民法第204條、民法第233條,114.4.12,
21387507,Statutory interest rate,法定利率,Gesetzlicher Zinssatz {Ger.},,民法第233條,114.4.12,
21387509,Default liability,遲延責任,Verzugshaftung {Ger.},,民法第229條,114.4.12,
21387510,Verzugshaftung {Ger.},遲延責任,,,民法第229條,114.4.12,
21387511,Force majeure,不可抗力,Höhere Gewalt {Ger.},,民法第231條,114.4.12,
21387514,Refusal of acceptance,拒絕受領,Annahmeverweigerung {Ger.},,民法第234條,114.4.12,
21387516,Prevention of acceptance,不能受領,Annahmeverhinderung {Ger.},,民法第234條,114.4.12,
21387518,Slight negligence,輕過失,Leichte Fahrlässigkeit {Ger.},,法學名詞,114.4.12,
21387526,Understanding rule,了解主義,,,民法第94條，學理上名詞,113.06.29-1,
21387534,Scope of power of agency / Power of agency,代理權限,Vertretungsbefugnis {Ger.},,民法第103條，對內之代理權限制為Scope of power of agency，對外具有之代理權則是 Power of agency,113.08.17-2,
21387544,Start day / First day,始日,Anfangstag {Ger.},,民法第120條,114.3.15,
21387548,Resignation benefit,退職金,Rente {Ger.},,民法第126條,114.3.15,
21387563,Legal representative,法定代理人,Gesetzlicher Vertreter {Ger.},,民法第21條,112.07.15,
21387565,Insolvency,破產,Insolvenz {Ger.} / Bankrott {Ger.},,民法第35條,112.08.04,
21387570,Testamentary endowment,遺囑捐助,Stiftungsgeschäft von Testament {Ger.},,民法第60條,113.01.27-1,
21387571,Stiftungsgeschäft von Testament {Ger.},遺囑捐助,,,民法第60條,113.01.27-1,
21387581,Equivalent effect,同一效力,Gleichwirkung {Ger.},,民法第81條,113.03.09,
