ID,英文名詞,中文名詞,德文,日文,法類/法條,審定日期,更新日期
21325177,Right of mortgage,抵押權,Hypothek,抵当権,,,
21325178,Right of possessory action,占有訴權,Klagebefugnis des Besitzers/Possessorische Klage,占有訴権,,,
21325179,Right of rescission   ,解除權,Rücktrittsrecht,解除権,,,
21325180,Right of self-defense ,正當防衛,Notwehr,,,,
21325181,Right of way of necessity,袋地通行權,Notwegrecht,囲繞地通行権,,,
21325182,Security right,擔保物權,Dingliches Verwertungsrecht,担保物権,,,
21325183,Self-help,自助行為,Selbsthilfe {Ger.},,民法第151條，學理名詞,114.3.15,
21325184,Separate system of civil and commercial codes,民商分立制度,Dualismus von Zivil- und Handelsrechtskodifikation,,,,
21325185,Servitude,不動產役權,Grunddienstbarkeit,地役権,,,
21325186,Sole ownership,單獨所有,Alleineigentum,単独所有,,,
21325187,Sources of law,法源,Rechtsquelle,法源,,,
21325188,Standardized contractual terms,定型化契約條款,Allgemeine Geschäftsbedingungen,定型約款,,,
21325189,Statute of limitations / Extinctive prescription,消滅時效,Verjährung,消滅時効,,,
21325190,Statutory law/Statutory rule,制定法,Gesetzesrecht,制定法,,,
21325191,Statutory superficies,法定地上權,Gesetzliches Erbbaurecht,法定地上権,,,
21325192,Subrogation in rem,物上代位,Dingliche Surrogation,物上代位,,,
21325193,Subsequent approval,承認,Genehmigung,追認,,,
21325194,Superficies,地上權,Erbbaurecht,地上権,,,
21325195,Supervisor,監察人,Aufsichtsratsmitglied,監事,,,
21325196,Suspensive condition/Condition precedent,停止條件,Aufschiebende Bedingung,停止条件,,,
21325197,Synallagmatic contract/ Bilateral contract,雙務契約,Gegenseitiger Vertrag,双務契約,,,
21325198,Termination ,終止,Kündigung,解除/解約告知,,,
21325199,The claim to subsequent fulfilment; Right to specific performance,補正請求權,Anspruch auf Nacherfüllung,補完請求権/追完請求権,,,
21325200,Thesaurii inventio/ Discovery of buried things,埋藏物的發見,Schatzfund,埋蔵物の発見,,,
21325201,Thing,物,Sache,物,,,
21325202,Tort/ Torts/ Delict,侵權行為,Unerlaubte Handlung,不法行為,,,
21325203,Traditio brevi manu; Summary delivery,簡易交付,Übergabe kurzer Hand,簡易の引渡し,,,
21325204,Transfers of possession by instructions ,指示交付,,指図による占有移転,,,
21325205,Unified system of civil and commercial codes,民商合一制度,code unique (von Zivil- und Handelsrecht),,,,
21325206,Unilateral act,單獨行為,Einseitiges Rechtsgeschäft,単独行為,,,
21325207,Unjustified enrichment/ Unjust enrichment,不當得利,Ungerechtfertigte Bereicherung,不当利得,,,
21325208,Usufructuary right/ Real rights of use,用益物權,Dingliches Nutzungsrecht,用益物権,,,
21325209,Waiver of ownership,所有權拋棄,Eigentumsverzicht,所有権の放棄,,,
21387146,Agent,代理人,Bevollmächtigter {Ger.} / Vertreter {Ger.},,民法第103條,114.7.12,
21387147,Civil matters,民事,Zivilsache {Ger.},,民法第1條,112.03.11,
21387149,Customary law,習慣法,Gewohnheitsrecht {Ger.},,民法第1條，民法第一條雖是用習慣二字，但在法律解釋下應為習慣法,112.03.11,
21387151,Irregular deposit,消費寄託,Unregelmäßige Verwahrung {Ger.},,民法第15條之2,112.03.11,
21387153,Natural persons ,自然人,Natürliche Personen {Ger.},,民法第二章人第一節,112.03.11,
21387155,Missing person,失蹤人,Verschollene {Ger.},,民法第8條,112.03.11,
21387157,Declaration of death,死亡宣告,Todeserklärung {Ger.},,民法第8條,112.03.11,
21387159,To deem ,視為,Erdichtung {Ger.} / Fiktion {Ger.},,民法第7條。視為雖為動詞但為重要法律概念，「視為」表示不可推翻。,112.05.20,
21387161,Presumption,推定,Vermutung {Ger.},,民法第9條,112.03.11,
