ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3605337,"Barbieri, Fedora",巴爾別里,,音樂,,2018-11-20
3605338,"Barbieri-Nini, Marianna",巴爾別里-暱尼,,音樂,,2018-11-20
3605339,"Barsanti, Francesco",巴爾桑緹,,音樂,,2018-11-20
3605340,"Bartoletti, Bruno",巴爾投勒緹,,音樂,,2018-11-20
3605341,"Bartolozzi, Bruno",巴爾投洛齊,,音樂,,2018-11-20
3605342,"Bassani, Giovanni Battista",巴薩尼,,音樂,,2018-11-20
3605343,"Bassi, Carolina",巴席，卡柔利拿,,音樂,,2018-11-20
3605344,"Bassi, Luigi",巴席，魯易吉,,音樂,,2018-11-20
3605345,"Bastianini, Ettore",巴斯緹亞暱尼,,音樂,,2018-11-20
3605346,"Battistini, Mattia",巴緹斯悌尼,,音樂,,2018-11-20
3605347,"Bazzini, Antonio",巴契尼,,音樂,,2018-11-20
3605348,"Belcastro, Luca",北爾卡斯特柔,,音樂,,2018-11-20
3605349,"Belletti, Giovanni Battista",北勒緹,,音樂,,2018-11-20
3605350,"Bellezza, Vincenzo",北勒札,,音樂,,2018-11-20
3605351,"Bellincioni, Gemma[Cesira Matilda]",北林綢尼,,音樂,,2018-11-20
3605352,"Bellini, Vincenzo",貝利尼（北利尼）,,音樂,,2018-11-20
3605353,"Belloni, Luca",北婁尼,,音樂,,2018-11-20
3605354,"Benelli, Ugo",北內里,,音樂,,2018-11-20
3605355,"Bergonzi, Carlo",北爾恭齊,,音樂,,2018-11-20
3605356,"Berio, Luciano",貝流,,音樂,,2018-11-20
3605357,"Bernasconi, Antonia",北爾拿斯寇尼,,音樂,,2018-11-20
3605358,"Bertocchi, Federico",北爾透齊,,音樂,,2018-11-20
3605359,"Bertoni, Giuseppe Ferdinando",北爾透尼,,音樂,,2018-11-20
3605360,"Betti, Adolfo",貝緹,,音樂,,2018-11-20
3605361,"Bevignani, Enrico",北溫尼亞尼,,音樂,,2018-11-20
3605362,"Bianchi, Francesco",比漾齊,,音樂,,2018-11-20
3605363,"Bianciardi, Francesco",比陽查爾迪,,音樂,,2018-11-20
3605364,"Boccherini, Luigi",博可利尼,,音樂,,2018-11-20
3605365,"Boito, Arrigo (Enrico)",播伊投,,音樂,,2018-11-20
3605366,"Bon, Anna",博恩,,音樂,,2018-11-20
3605367,"Bonavia, Ferruccio",博拿魏阿,,音樂,,2018-11-20
3605368,"Bonci, Alessandro",博恩齊,,音樂,,2018-11-20
3605369,"Bononcini, Antonio Maria",博農契尼，安透紐-馬利阿,,音樂,,2018-11-20
3605370,"Bononcini, Giovanni",博農契尼，舟萬尼,,音樂,,2018-11-20
3605371,"Bonporti, Francesco Antonio",博恩珀爾緹,,音樂,,2018-11-20
3605372,"Bordoni, Faustina",博爾竇尼,,音樂,,2018-11-20
3605373,"Borgatti, Giuseppe",博爾加緹,,音樂,,2018-11-20
3605374,"Borgioli, Dino",博爾宙里,,音樂,,2018-11-20
3605375,"Borlenghi, Enzo",博爾愣吉,,音樂,,2018-11-20
3605376,"Bossi, Marco Enrico",播席，馬爾寇-恩利寇,,音樂,,2018-11-20
3605377,"Bossi, Renzo",播席，任鄒,,音樂,,2018-11-20
3605378,"Bottesini, Giovanni",博特季尼,,音樂,,2018-11-20
3605379,"Braga, Gaetano",布臘加,,音樂,,2018-11-20
3605380,"Brambilla, Marietta",布然畢拉,,音樂,,2018-11-20
3605381,"Brunetti, Giovanni Gualberto",布儒內緹,,音樂,,2018-11-20
3605382,"Bruscantini, Sesto",布儒斯坎悌尼,,音樂,,2018-11-20
3605383,"Bucchi, Valentino",布齊,,音樂,,2018-11-20
3605384,"Buonamici, Giuseppe",博拿密齊,,音樂,,2018-11-20
3605385,"Busoni, Ferruccio",布搜尼,,音樂,,2018-11-20
3605386,"Bussotti, Sylvano",布梭緹,,音樂,,2018-11-20
3605387,"Caccini, Francesca",卡契尼，弗然徹斯卡,,音樂,,2018-11-20
3605388,"Caccini, Giulio",卡契尼，祝流,,音樂,,2018-11-20
3605389,"Caffarelli, Gaetano",卡法瑞里,,音樂,,2018-11-20
3605390,"Cafaro, Pasquale",卡法柔,,音樂,,2018-11-20
3605391,"Calace, Raffaele",卡臘車,,音樂,,2018-11-20
3605392,"Caldara, Antonio",卡爾大拉,,音樂,,2018-11-20
3605393,"Caltebiano, Sebastiano",卡爾特比亞挪,,音樂,,2018-11-20
3605394,"Cambini, Giovanni Maria",坎畢尼,,音樂,,2018-11-20
3605395,"Campagnoli, Bartolomeo",坎潘紐里,,音樂,,2018-11-20
3605396,"Campanella, Michele",坎琶內拉,,音樂,,2018-11-20
3605397,"Campanini, Italo",坎琶暱尼,,音樂,,2018-11-20
3605398,"Campoli, Alfredo",康坡里,,音樂,,2018-11-20
3605399,"Caniglia, Maria",卡暱里亞,,音樂,,2018-11-20
3605400,"Canino, Bruno",卡暱挪,,音樂,,2018-11-20
3605401,"Cantelli, Guido",坎特里,,音樂,,2018-11-20
3605402,"Capecchi, Renato",卡佩齊,,音樂,,2018-11-20
3605403,"Cappuccilli, Piero",卡普契里,,音樂,,2018-11-20
3605404,"Capuana, Franco",卡普阿拿,,音樂,,2018-11-20
3605405,"Capuzzi, Giuseppe Antonio",卡普齊,,音樂,,2018-11-20
3605406,"Carbonelli, Giovanni Stefano",卡爾博內里,,音樂,,2018-11-20
3605407,"Carissimi, Giacomo",卡利席米,,音樂,,2018-11-20
3605408,"Carmirelli, Pina",卡爾米瑞里,,音樂,,2018-11-20
3605409,"Carosio, Margherita",卡若修,,音樂,,2018-11-20
3605410,"Carulli, Ferdinando",卡入里,,音樂,,2018-11-20
3605411,"Caruso, Enrico",卡路索 （卡入搜）,,音樂,,2018-11-20
3605412,"Casavola, Franco",卡薩沃拉,,音樂,,2018-11-20
3605413,"Casella, Alfredo",卡瑟拉,,音樂,,2018-11-20
3605414,"Castagna, Bruna",卡斯探尼亞,,音樂,,2018-11-20
3605415,"Castelnuovo-Tedesco, Mario",卡斯特爾諾沃-特德斯寇,,音樂,,2018-11-20
3605416,"Castiglioni, Niccolò",卡斯緹里佑尼,,音樂,,2018-11-20
3605417,"Castrucci, Pietro",卡斯特入齊,,音樂,,2018-11-20
3605418,"Catalani, Alfredo",卡塔臘尼，阿爾弗瑞斗,,音樂,,2018-11-20
3605419,"Catalani, Angelica",卡塔臘尼，安浙里卡,,音樂,,2018-11-20
3605420,"Cavalieri, Lina",卡瓦列里,,音樂,,2018-11-20
3605421,"Cavalli, Francesco",卡瓦里,,音樂,,2018-11-20
3605422,"Cavallini, Ernesto",卡瓦利尼,,音樂,,2018-11-20
3605423,"Cavos, Catterino",卡沃斯,,音樂,,2018-11-20
3605424,"Ceccato, Aldo",車卡投,,音樂,,2018-11-20
3605425,"Ceruti, Rocco",車入緹,,音樂,,2018-11-20
3605426,"Cesti, Marco Antonio",徹斯緹,,音樂,,2018-11-20
3605427,"Chailly, Luciano",沙易，魯查挪,,音樂,,2018-11-20
3605428,"Chailly, Riccardo",沙易，里卡爾斗,,音樂,,2018-11-20
3605429,"Cherubini, Luigi",凱魯碧尼 （可儒畢尼）,,音樂,,2018-11-20
3605430,"Chiara, Maria",恰拉,,音樂,,2018-11-20
3605431,"Ciani, Dino",查尼,,音樂,,2018-11-20
3605432,"Cigna, Gina",慶尼亞,,音樂,,2018-11-20
3605433,"Cilea, Francesco",齊勒阿,,音樂,,2018-11-20
3605434,"Cima, Giovanni Paolo",契馬,,音樂,,2018-11-20
3605435,"Cimarosa, Domenico",齊馬若撒,,音樂,,2018-11-20
3605436,"Cirri, Giovanni Battista",契里,,音樂,,2018-11-20
3605437,"Clementi, Aldo",科雷門緹，阿爾斗,,音樂,,2018-11-20
3605438,"Clementi, Muzio",克雷門悌，穆奇歐 （科雷門緹，穆裘）,,音樂,,2018-11-20
3605439,"Colla, Giuseppe",寇拉,,音樂,,2018-11-20
3605440,"Concone, Giuseppe",孔寇內,,音樂,,2018-11-20
3605441,"Conti, Francesco Bartolomeo",孔緹,,音樂,,2018-11-20
3605442,"Coppola, Piero",寇坡拉，皮葉柔,,音樂,,2018-11-20
3605443,"Coppola, Pietro",寇坡拉，皮葉特柔,,音樂,,2018-11-20
3605444,"Corelli, Arcangelo",柯雷里，阿爾坎傑羅 （寇瑞里，阿爾康哲婁）,,音樂,,2018-11-20
3605445,"Corelli, Franco",寇瑞里，弗然寇,,音樂,,2018-11-20
3605446,"Corena, Fernando",寇瑞拿,,音樂,,2018-11-20
3605447,"Cossotto, Fiorenza",寇梭投,,音樂,,2018-11-20
3605448,"Cossutta, Carlo",寇素塔,,音樂,,2018-11-20
3605449,"Cotogni, Antonio",寇通尼,,音樂,,2018-11-20
3605450,"Crivelli, Carlo",科里魏里,,音樂,,2018-11-20
3605451,"Croce, Giovanni",科柔車,,音樂,,2018-11-20
3605452,"Cucinotta, Roberto Maria",庫齊諾塔,,音樂,,2018-11-20
3605453,"Cuzzoni, Francesca",庫奏尼,,音樂,,2018-11-20
3605454,"da Gagliano, Marco",加里亞挪,,音樂,,2018-11-20
3605455,"Gagliano, Marco da",加里亞挪,,音樂,,2018-11-20
3605456,"da Palestrina, Giovanni Pierluigi",帕勒斯特利納 （琶雷斯特利拿）,,音樂,,2018-11-20
3605457,"Palestrina, Giovanni Pierluigi da",帕勒斯特利納 （琶雷斯特利拿）,,音樂,,2018-11-20
3605458,"Dal Monte, Toti",達爾˙孟特,,音樂,,2018-11-20
3605459,"Dall'Abaco, Evaristo Felice",阿巴寇,,音樂,,2018-11-20
3605460,"Abaco, Evaristo Felice Dall'",阿巴寇,,音樂,,2018-11-20
3605461,"Dall'Abaco, Evaristo Felice",阿巴寇,,音樂,,2018-11-20
3605462,"Dallapiccola, Luigi",達拉譬寇拉,,音樂,,2018-11-20
3605463,"d'Arezzo, Guido",桂多˙達雷左 （達瑞鄒，桂斗）,,音樂,,2018-11-20
3605464,"d'Arezzo, Guido",桂多˙達雷左 （達瑞鄒，桂斗）,,音樂,,2018-11-20
3605465,"D'Arienzo, Nicola",達鍊鄒,,音樂,,2018-11-20
3605466,"d'Artegna, Francesco Ellero",達爾騰尼亞,,音樂,,2018-11-20
3605467,"d'Astorga, Emanuele",阿斯透爾加,,音樂,,2018-11-20
3605468,"Astorga, Emanuele d'",阿斯透爾加,,音樂,,2018-11-20
3605469,"D'Avalos, Francesco",達瓦婁斯,,音樂,,2018-11-20
3605470,"De Angelis, Nazzareno",德˙岸哲里斯,,音樂,,2018-11-20
3605471,"de Banfield, Raffaello",德˙班菲爾德,,音樂,,2018-11-20
3605472,"Bardi, Giovanni",巴爾迪,,音樂,,2018-11-20
3605473,"de' Bardi, Giovanni",巴爾迪,,音樂,,2018-11-20
3605474,"de' Cavalieri, Emilio",卡瓦列里,,音樂,,2018-11-20
3605475,"Cavalieri, Emilio de'",卡瓦列里,,音樂,,2018-11-20
3605476,"Giardini, Felice",札爾第尼,,音樂,,2018-11-20
3605477,"de Giardini, Felice",札爾第尼,,音樂,,2018-11-20
3605478,"De Luca, Giuseppe",德˙路卡,,音樂,,2018-11-20
3605479,"de Pachmann, Vladimir",德˙帕赫滿,,音樂,,2018-11-20
3605480,"De Sabata, Victor",德˙薩巴塔,,音樂,,2018-11-20
