ID,英文名稱,中文名稱,圖片,一般職稱類別,職等,備註,更新日期
1502197,Administrative Assistant,教學助理,,,,,2012-11-26
1502198,1.Senior Inspector (簡任) 2. Inspector (薦任)  ,督學,,,,,2012-11-26
1502199,Senior Inspector (簡任) Inspector (薦任)  ,督學,,,,,2012-11-26
1502200,Senior Inspector (簡任) Inspector (薦任)  ,督學,,,,,2012-11-26
1502201,Senior Vice President and Training Institute General Manager,專門委員兼所長,,,,,2012-11-26
1502202,Senior Inspector (簡任) ;Inspector (薦任)  ,督學,,,,,2012-11-26
1502203,Senior Inspector (簡任) Inspector (薦任)  ,督學,,,,,2012-11-26
1502204,Retired Staff Member,退休人員,,,,,2012-11-26
1502205,Councilman,議員,,,,1.使用時應註明為City/County Council 2.若為女性議員，可修正為Councilwoman,2012-11-26
1502206,Township Councilman,鄉民代表,,,,若為女性代表，可修正為Councilwoman,2012-11-26
1502207,Town Councilman,鎮民代表,,,,若為女性代表，可修正為Councilwoman,2012-11-26
1502208,Borough  Councilman,市民代表,,,,若為女性代表，可修正為Councilwoman,2012-11-26
1502209,District Advisor,區政務諮詢委員,,,,未來鄉、鎮、市改制為區者，改制日前一日仍在職之鄉、鎮、市民代表，除依法停止職權者外，由直轄市長聘任為區政諮詢委員，職權包括區政業務之諮詢事項、興革建議事項等。,2012-11-26
