ID,英文名稱,中文名稱,圖片,化學式,更新日期
617507,zirconium sesquioxide,三氧化二鋯；氧化鋯(III),,"<Font html:Color=""#000000"">Zr</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617508,zirconium sulfide,硫化鋯(IV) {二硫化鋯},,"<Font html:Color=""#000000"">ZrS</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617509,zirconium phosphide,二磷化鋯,,"<Font html:Color=""#000000"">ZrP</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617510,zirconium selenate,硒酸鋯(IV),,"<Font html:Color=""#000000"">Zr(SeO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617511,zirconium phenoxide,[四]苯氧化鋯,,"<Font html:Color=""#000000"">Zr(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">O)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617512,zirconium oxysulfate,硫酸氧鋯(IV),,"<Font html:Color=""#000000"">ZrOSO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617513,zirconium oxyphosphate,[二]磷酸氧鋯(IV),,"<Font html:Color=""#000000"">(ZrO)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">P</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
617514,zirconium oxynitrate,硝酸氧鋯(IV),,"<Font html:Color=""#000000"">ZrO(NO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617515,zirconium oxybromide,氧[二]溴化鋯(IV) ,,"<Font html:Color=""#000000"">ZrOBr</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617516,zirconium oxychloride,氧氯化鋯(IV)；二氯氧化鋯,,"<Font html:Color=""#000000"">ZrOCl</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617517,zirconium oxyhydroxynitrate,鹼式硝酸氧鋯(IV),,"<Font html:Color=""#000000"">ZrO(OH)NO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
617518,zirconium oxyiodide,氧碘化鋯(IV) {二碘氧化鋯},,"<Font html:Color=""#000000"">ZrOI</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617519,zirconium oxalate,草酸鋯(IV)；乙二酸鋯(IV),,"<Font html:Color=""#000000"">Zr(C</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617520,zirconium oxide,氧化鋯(IV) {二氧化鋯},,"<Font html:Color=""#000000"">ZrO</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617521,zirconium monosilicide,一矽化鋯,,ZrSi,2012-11-26
617522,zirconium nitrate,硝酸鋯(IV),,"<Font html:Color=""#000000"">Zr(NO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617523,zirconium nitride,氮化鋯,,ZrN,2012-11-26
617524,zirconium orthosilicate,[正]矽酸鋯,,"<Font html:Color=""#000000"">ZrSiO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617527,zirconium iodide,碘化鋯(IV) {四碘化鋯},,"<Font html:Color=""#000000"">ZrI</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
