ID,英文名稱,中文名稱,圖片,所在國,經緯坐標,備註,更新日期
3005985,Nandurbar,南杜巴,,印度,21° 22′ N 74° 15′ E,,2017-06-09
3005986,Nang-do,狼島,,韓國,34° 36′ N 127° 33′ E,,2017-06-09
3005987,Nanga Eboko,南加艾波可,,喀麥隆,4° 41′ N 12° 22′ E,,2017-06-09
3005988,Nanga Parbat (Nangaparbat Pk.),南迦帕爾巴特峰,,{喀什米爾},35° 14′ N 74° 35′ E,,2017-06-09
3005989,"Nanga, Lac",南加湖,,剛果{布拉薩},4° 12′ S 11° 48′ E,,2017-06-09
3005990,Nangade,南加吉,,莫三比克,11° 05′ S 39° 40′ E,,2017-06-09
3005991,Nangas,南加斯,,巴紐,4° 14′ S 151° 40′ E,,2017-06-09
3005992,"Nangay(Niangaye), Lac",南蓋湖(尼安蓋湖),,馬利,15° 50′ N 3° 00′ W,,2017-06-09
3005993,Nangis,南吉,,法國,48° 33′ N 3° 01′ E,,2017-06-09
3005994,Nangnim-san,朗林山,,北韓,40° 21′ N 126° 55′ E,,2017-06-09
3005995,Nango,南鄉,,日本,31° 32′ N 131° 20′ E,,2017-06-09
3005996,Nangweshi,南圭西,,尚比亞,16° 24′ S 23° 19′ E,,2017-06-09
3005997,Nanjangud,南占古德,,印度,12° 07′ N 76° 41′ E,,2017-06-09
3005998,Nankana Sahib,南卡納沙希布,,巴基斯坦,31° 27′ N 73° 42′ E,,2017-06-09
3005999,Nankoku,南國,,日本,33° 37′ N 133° 37′ E,,2017-06-09
3006000,Nanmadol,南瑪都,,密克羅尼西亞,6° 51′ N 158° 20′ E,,2017-06-09
3006001,Nanmoku,南牧,,日本,36° 10′ N 138° 41′ E,,2017-06-09
3006002,Nannine,南寧,,澳大利亞,26° 53′ S 118° 20′ E,,2017-06-09
3006003,Nanno,南濃,,日本,35° 12′ N 136° 35′ E,,2017-06-09
3006004,Nanortalik,納諾塔利克,,丹屬{格陵蘭島},60° 07′ N 45° 13′ W,,2017-06-09
3006005,Nanpara,南帕拉,,印度,27° 52′ N 81° 30′ E,,2017-06-09
3006006,Nanripo,南里波,,莫三比克,13° 03′ S 39° 45′ E,,2017-06-09
3006007,Nanrrupa (Narruba),南魯巴,,莫三比克,16° 47′ S 37° 05′ E,,2017-06-09
3006008,Nansei-shoto (Ryukyu Is.),南西諸島(琉球群島),,日本,26° 30′ N 128° 00′ E,,2017-06-09
3006009,Nansemond,南瑟蒙,,美國,36° 46′ N 76° 32′ W,,2017-06-09
3006010,Nantai-zan,男體山,,日本,36° 43′ N 140° 25′ E,,2017-06-09
3006011,Nanterre,南提赫,,法國,48° 53′ N 2° 12′ E,,2017-06-09
3006012,Nantes,南特,,法國,47° 13′ N 1° 33′ W,,2017-06-09
3006013,Nanteuil,南特伊,,法國,46° 25′ N 0° 10′ W,,2017-06-09
3006014,Nantha Kyun (Foul I.),南達島(福爾島),,緬甸,18° 04′ N 94° 05′ E,,2017-06-09
3006015,Nanticoke,南提科克,,美國,41° 12′ N 76° 00′ W,,2017-06-09
3006016,Nanton,南頓,,加拿大,50° 21′ N 113° 46′ W,,2017-06-09
3006017,Nantucket,南土克特,,美國,41° 17′ N 70° 08′ W,,2017-06-09
3006018,Nantucket I.,南土克特島,,美國,41° 18′ N 69° 59′ W,,2017-06-09
3006019,Nantucket Sd.,南土克特灣,,美國,41° 32′ N 70° 17′ W,,2017-06-09
3006020,Nantulo,南土洛,,莫三比克,12° 32′ S 38° 45′ E,,2017-06-09
3006021,Nantwich,南特威治,,英國,53° 04′ N 2° 31′ W,,2017-06-09
3006022,Nanyuki,南由基,,肯亞,0° 01′ N 37° 04′ E,,2017-06-09
3006023,Nanzhila,南吉拉,,尚比亞,16° 05′ S 26° 05′ E,,2017-06-09
3006024,Nao-shima,直島,,日本,34° 28′ N 133° 59′E,,2017-06-09
3006025,Naoetsu,直江津,,日本,37° 11′ N 138° 15′ E,,2017-06-09
3006026,Naolinco,納歐林科,,墨西哥,19° 39′ N 96° 51′ W,,2017-06-09
3006027,Naousa,納烏沙,,希臘,37° 07′ N 25° 14′ E,,2017-06-09
3006028,Napa,納帕,,美國,38° 18′ N 122° 17′ W,,2017-06-09
3006029,Napanee,納帕尼,,加拿大,44° 15′ N 76° 57′ W,,2017-06-09
3006030,Napas,納帕斯,,俄羅斯,59° 54′ N 82° 00′ E,,2017-06-09
3006031,Napchongjong,納青亨,,北韓,39° 41′ N 125° 23′E,,2017-06-09
3006032,Nape,納貝,,寮國,18° 18′ N 105° 06′E,,2017-06-09
3006033,Naperville,內帕維,,美國,41° 48′ N 88° 08′W,,2017-06-09
3006034,Napier,內皮爾,,紐西蘭,39° 29′ S 176° 55′ E,,2017-06-09
3006035,Napier B.,內皮爾灣,,澳大利亞,11° 32′ S 131° 29′ E,,2017-06-09
3006036,Napoleon,拿波列昂,,美國,41° 23′ N84° 09′ W,,2017-06-09
3006037,Napoli (Naples),拿坡里(那不勒斯),,義大利,40° 50′ N 14° 15′ E,,2017-06-09
3006038,"Napoli, Golfo di",拿坡里灣,,義大利,40° 43′ N 14° 10′ E,,2017-06-09
3006039,Napopo,納波波,,剛果{金夏沙},4° 12′ N 28° 02′ E,,2017-06-09
3006040,Nappamerry,納帕美利,,澳大利亞,27° 36′ S 141° 07′ E,,2017-06-09
3006041,"Naqb Ashtar, Jabal",納格阿什塔山,,約旦,29° 59′ N 35° 28′ E,,2017-06-09
3006042,Nara,奈良,,日本,34° 41′ N 135° 50′ E,,2017-06-09
3006043,Nara,納哈,,馬利,15° 10′ N 7° 17′ W,,2017-06-09
3006044,Nara Visa,納拉維沙,,美國,35° 39′ N 103° 06′ W,,2017-06-09
3006045,Naracoopa,納拉庫帕,,澳大利亞,39° 55′ S 144° 06′ E,,2017-06-09
3006046,Naracoorte,納拉庫特,,澳大利亞,36° 58′ S 140° 44′ E,,2017-06-09
3006047,Naradhan,納拉罕,,澳大利亞,33° 37′ S 146° 20′ E,,2017-06-09
3006048,Naraha,楢葉,,日本,37° 17′ N 140° 57′ E,,2017-06-09
3006049,Naranjal,納蘭哈爾,,厄瓜多,2° 40′ S 79° 37′ W,,2017-06-09
3006050,Narao,奈良尾,,日本,32° 50′ N 129° 03′ E,,2017-06-09
3006051,Narasapur,納拉沙浦,,印度,16° 27′ N 81° 40′ E,,2017-06-09
3006052,Narashino,習志野,,日本,35° 41′ N 140° 02′ E,,2017-06-09
3006053,"Narathivat, Changwat",那拉提瓦府(陶公府),,泰國,6° 12′ N 101° 43′ E,,2017-06-09
3006054,Narayanganj,納拉央干杰,,孟加拉,23° 37′ N 90° 30′ E,,2017-06-09
3006055,Narbada R. (Narmada),納巴達河(納馬達河),,印度,21° 39′ N 72° 36′ E,,2017-06-09
3006056,Narberth,納柏斯,,英國,51° 48′ N 4° 45′ W,,2017-06-09
3006057,Narbonne,納磅,,法國,43° 11′ N 3° 01′ E,,2017-06-09
3006058,Nardo,納多,,義大利,40° 11′ N 18° 02′ E,,2017-06-09
3006059,Narena,納黑納,,馬利,12° 14′ N 8° 38′ W,,2017-06-09
