ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3607134,"Wüllner, Franz",魏爾納，法蘭茲,,音樂,,2018-11-20
3607135,"Wüllner, Ludwig",魏爾納，路德維希,,音樂,,2018-11-20
3607136,"Wunderlich, Friedrich Karl Otto",武恩德里希,,音樂,,2018-11-20
3607137,"Zabel, Albert Heinrich",察伯爾,,音樂,,2018-11-20
3607138,"Zabelka, Mia",察伯爾卡,,音樂,,2018-11-20
3607139,"Zacher, Gerd",察何爾,,音樂,,2018-11-20
3607140,"Zachow, Friedrich Wilhelm",察侯,,音樂,,2018-11-20
3607141,"Zehnder, Ludwig Louis Albert",策恩德,,物理,,2018-11-20
3607142,"Zeisl, Erich",蔡熱爾,,音樂,,2018-11-20
3607143,"Zeller, Carl Adam Johann Nepomuk",策勒,,音樂,,2018-11-20
3607144,"Zelter, Carl Friedrich",策爾特,,音樂,,2018-11-20
3607145,"Zender, Johannes Wolfgang",陳德,,音樂,,2018-11-20
3607146,"Zermelo, Ernst Friedrich Ferdinand",策梅樓,,物理,,2018-11-20
3607147,"Zeugheer, Jakob",綢宇柯黑爾,,音樂,,2018-11-20
3607148,"Ziehrer, Carl Michael",契熱,,音樂,,2018-11-20
3607149,"Zilcher, Hermann Karl Josef",契爾歇爾,,音樂,,2018-11-20
3607150,"Zimmermann, Agnes",契默曼，阿格內絲,,音樂,,2018-11-20
3607151,"Zimmermann, Bernd Alois",契默曼，伯恩特,,音樂,,2018-11-20
3607152,"Zimmermann, Udo",契默曼，烏多,,音樂,,2018-11-20
3607153,"Zimmermann, Wolfhart",契默曼,,物理,,2018-11-20
3607154,"Zintl, Eduard",秦特,,物理,,2018-11-20
3607155,"Zöllner, Heinrich",策爾納,,音樂,,2018-11-20
3607156,"Zumpe, Hermann",楚姆培,,音樂,,2018-11-20
3607157,"Zumsteeg, Johann Rudolf",楚姆許貼柯,,音樂,,2018-11-20
3607158,"Zweig, George",慈外柯,,物理,,2018-11-20
