ID,英文名稱,中文名稱,圖片,一般職稱類別,職等,備註,更新日期
1501522,Project Manager,專案經理,,生產事業,,,2012-11-26
1501523,Oil Well Technician,採油技術員,,生產事業,,,2012-11-26
1501524,Procurement Clerk,採購員,,生產事業,,,2012-11-26
1501525,Lifeguard ,救生技術員,,生產事業,,,2012-11-26
1501526,Training Clerk  ,教育訓練員,,生產事業,,,2012-11-26
1501527,Mixing Technician,混油技術員,,生產事業,,,2012-11-26
1501528,Product Control Clerk,產品管理員,,生產事業,,,2012-11-26
1501529,Product Control Officer,產品管理師,,生產事業,,,2012-11-26
1501530,Junior Equipment  Inspector,設備檢查員,,生產事業,,,2012-11-26
1501531,Water Treatment Technician,循環水處理員,,生產事業,,,2012-11-26
1501532,General Transportation Clerk,普運管理員,,生產事業,,,2012-11-26
1501533,General Transportation Officer,普運管理師,,生產事業,,,2012-11-26
1501534,Power Supply Technician,發變電技術員,,生產事業,,,2012-11-26
1501535,Gardener,園藝技術員,,生產事業,,,2012-11-26
1501536,Accounting Clerk,會計管理員,,生產事業,,,2012-11-26
1501537,Accounting Officer,會計管理師,,生產事業,,,2012-11-26
1501538,Sales Clerk,業務管理員,,生產事業,,,2012-11-26
1501539,Sales Officer,業務管理師,,生產事業,,,2012-11-26
1501540,Refinery Technician,煉油技術員,,生產事業,,,2012-11-26
1501541,Gas Refining Technician,煉製技術員,,生產事業,,,2012-11-26
1501542,Manager,經理,,生產事業,,,2012-11-26
1501543,Assembling Technician,裝配技術員,,生產事業,,,2012-11-26
1501544,Operator,話務員,,生產事業,,,2012-11-26
1501545,Data Compiling Clerk ,資料編輯員,,生產事業,,,2012-11-26
1501546,Data Compiling Officer,資料編輯師,,生產事業,,,2012-11-26
1501547,Bench Technician,鉗作技術員,,生產事業,,,2012-11-26
1501548,Electronic Instrument Technician,電子儀器技術員,,生產事業,,,2012-11-26
1501549,Electronics Repair Technician,電訊裝修技術員,,生產事業,,,2012-11-26
1501550,Electrical Arc Welder,電焊技術員,,生產事業,,,2012-11-26
1501551,Computer Operator,電腦作業員,,生產事業,,,2012-11-26
1501552,Electrical Engineer ,電機工程師,,生產事業,,,2012-11-26
1501553,Electrical Equipment Repair Technician,電機裝修技術員,,生產事業,,,2012-11-26
1501554,Rotary Electrical Equipment Repair Technician,電機檢修員,,生產事業,,,2012-11-26
1501555,Pipe Inspection Technician,管檢技術員,,生產事業,,,2012-11-26
1501556,Instruments and Electronics Engineer,儀電工程師,,生產事業,,,2012-11-26
1501557,Waste Water Treatment Technician,廢水處理技術員,,生產事業,,,2012-11-26
1501558,Lubrication Technician,潤滑保養員,,生產事業,,,2012-11-26
1501559,Inspector,稽核,,生產事業,,,2012-11-26
1501560,Compounding Technician,調配技術員,,生產事業,,,2012-11-26
1501561,Mechanical Engineer ,機械工程師,,生產事業,,,2012-11-26
1501562,Mechanical Technician,機械技術員,,生產事業,,,2012-11-26
1501563,Mechanical Inspection Technician,機械品檢驗技術員,,生產事業,,,2012-11-26
1501564,Drafting Technician,機電繪圖技術員,,生產事業,,,2012-11-26
1501565,Pipeline Technician,輸氣技術員,,生產事業,,,2012-11-26
1501566,Compressor Technician,壓縮機技術員,,生產事業,,,2012-11-26
1501567,Testing Technician,檢驗技術員,,生產事業,,,2012-11-26
1501568,Environmental Protection Technician,環境保護技術員,,生產事業,,,2012-11-26
1501569,Environmental Protection Clerk,環境保護員,,生產事業,,,2012-11-26
1501570,Environmental Protection Specialist,環境保護師,,生產事業,,,2012-11-26
1501571,Inspector General,總檢核,,生產事業,,,2012-11-26
1501572,Boiler Technician,鍋爐技術員,,生產事業,,,2012-11-26
1501573,Forging Technician,鍛造技術員,,生產事業,,,2012-11-26
1501574,Technical Assistant,雜務員,,生產事業,,,2012-11-26
1501575,Mining and Metallurgical Engineer,礦冶工程師,,生產事業,,,2012-11-26
1501576,Microfilm Technician,攝印技術員,,生產事業,,,2012-11-26
1501577,Filling Technician,灌裝技術員,,生產事業,,,2012-11-26
1501578,Drilling Technician,鑽井技術員,,生產事業,,,2012-11-26
1501579,Chief Pilot ,首席領港,,生產事業,,,2012-11-26
1501580,Dockmaster,船塢長,,生產事業,,,2012-11-26
1501581,Representative,業務代表,,生產事業,,,2012-11-26
1501582,Pilot,領港,,生產事業,,,2012-11-26
1501583,Inspector,檢核,,生產事業,,,2012-11-26
1501584,Junior Engineer ,一般工程員,,生產事業,,,2012-11-26
1501585,Engineer ,一般工程師,,生產事業,,,2012-11-26
1501586,General Administrative Clerk ,一般行政管理員,,生產事業,,,2012-11-26
1501587,General Administrative Officer,一般行政管理師,,生產事業,,,2012-11-26
1501588,Technical Assistant,一般勤務員,,生產事業,,,2012-11-26
1501589,Personnel Clerk,人事管理員,,生產事業,,,2012-11-26
1501590,Personnel Officer,人事管理師,,生產事業,,,2012-11-26
1501591,Civil Engineering Technician,土木工程員,,生產事業,,,2012-11-26
1501592,Civil Engineer,土木工程師,,生產事業,,,2012-11-26
1501593,Civil Engineering Technician,土木技術員,,生產事業,,,2012-11-26
1501594,Job Analysis Clerk,工作分析員,,生產事業,,,2012-11-26
1501595,Job Analysis Officer,工作分析師,,生產事業,,,2012-11-26
1501596,Industrial Technician,工業工程員,,生產事業,,,2012-11-26
1501597,Industrial Engineer,工業工程師,,生產事業,,,2012-11-26
1501598,Occupational Safety Technician,工業安全員,,生產事業,,,2012-11-26
1501599,Industrial Relations Clerk,工業關係管理員,,生產事業,,,2012-11-26
1501600,Industrial Relations Officer,工業關係管理師,,生產事業,,,2012-11-26
1501601,Superintendent for Central Coordination,中央調度監,,生產事業,,,2012-11-26
1501602,Driver ,內燃機車駕駛員,,生產事業,,,2012-11-26
1501603,Public Relations  Clerk,公共關係管理員,,生產事業,,,2012-11-26
1501604,Public Relations Officer  ,公共關係管理師,,生產事業,,,2012-11-26
1501605,Chief,分隊長,,生產事業,,,2012-11-26
1501606,Chemical Technician,化工技術員,,生產事業,,,2012-11-26
1501607,Human Resource Officer  ,人力資源管理師,,生產事業,,,2012-11-26
1501608,Chemical Technician,化學工程員,,生產事業,,,2012-11-26
1501609,Chemical Engineer,化學工程師,,生產事業,,,2012-11-26
1501610,Chemist,化學師,,生產事業,,,2012-11-26
1501611,Chemical Testing Technician,化學試驗員,,生產事業,,,2012-11-26
1501612,Documents Clerk,文書管理員,,生產事業,,,2012-11-26
1501613,Documents Administrator ,文書管理師,,生產事業,,,2012-11-26
1501614,Carpenter,木作技術員,,生產事業,,,2012-11-26
1501615,Soil Conservation Technician,水土保持員,,生產事業,,,2012-11-26
1501616,Meteorological Technician,水文氣象員,,生產事業,,,2012-11-26
1501617,Chief Secretary,主任秘書,,生產事業,,,2012-11-26
1501618,Cashier Clerk ,出納員,,生產事業,,,2012-11-26
1501619,Cashier,出納師,,生產事業,,,2012-11-26
1501620,Planning Clerk,企劃控制員,,生產事業,,,2012-11-26
1501621,Planning Specialist,企劃控制師,,生產事業,,,2012-11-26
1501622,Geological Technician,地質員,,生產事業,,,2012-11-26
1501623,Geologist,地質師,,生產事業,,,2012-11-26
1501624,Guard,守衛員,,生產事業,,,2012-11-26
1501625,Fee Collector,收費員,,生產事業,,,2012-11-26
1501626,Refrigeration Technician,冷作技術員,,生產事業,,,2012-11-26
1501627,Assistant Head Engineer,助理值班工程師,,生產事業,,,2012-11-26
1501628,Assistant Secretary,助理秘書,,生產事業,,,2012-11-26
1501629,Technician,技術員,,生產事業,,,2012-11-26
1501630,Driver,汽車駕駛員,,生產事業,,,2012-11-26
1501631,Clerk ,事務員,,生產事業,,,2012-11-26
1501632,General Service Clerk,事務管理員,,生產事業,,,2012-11-26
1501633,General Service Officer,事務管理師,,生產事業,,,2012-11-26
1501634,Supervisor,供電督導,,生產事業,,,2012-11-26
1501635,Technical Assistant,招待所勤務員,,生產事業,,,2012-11-26
1501636,Assistant Radiochemist ,放射化學員,,生產事業,,,2012-11-26
1501637,Forestry Technician,林業技術員,,生產事業,,,2012-11-26
1501638,Forestry Specialist,林業技術師,,生產事業,,,2012-11-26
1501639,Legal Affairs Clerk ,法務管理員,,生產事業,,,2012-11-26
1501640,Legal Affairs Officer,法務管理師,,生產事業,,,2012-11-26
1501641,Cook,炊事員,,生產事業,,,2012-11-26
1501642,Materials Clerk,物料管理員,,生產事業,,,2012-11-26
1501643,Materials Officer,物料管理師,,生產事業,,,2012-11-26
1501644,Physical Testing Technician,物理試驗員,,生產事業,,,2012-11-26
1501645,Messenger,信差事務員,,生產事業,,,2012-11-26
1501646,Health Technician,保健物理員,,生產事業,,,2012-11-26
1501647,Supervisor,政風督導,,生產事業,,,2012-11-26
1501648,Researcher,研究員,,生產事業,,,2012-11-26
1501649,Project Manager,計畫經理,,生產事業,,,2012-11-26
1501650,Project Engineer,計劃工程師,,生產事業,,,2012-11-26
1501651,Heavy Equipment Mechanic ,重機械修理員,,生產事業,,,2012-11-26
1501652,Heavy Equipment Operator,重機械運轉員,,生產事業,,,2012-11-26
1501653,Head Engineer,值班工程師,,生產事業,,,2012-11-26
1501654,Shift Leader,值班主任,,生產事業,,,2012-11-26
1501655,Storage Clerk,倉儲管理員,,生產事業,,,2012-11-26
1501656,Storage Officer,倉儲管理師,,生產事業,,,2012-11-26
1501657,Nuclear Technician,核能工程員,,生產事業,,,2012-11-26
1501658,Nuclear Engineer,核能工程師,,生產事業,,,2012-11-26
1501659,Meteorologic Technician,氣象員,,生產事業,,,2012-11-26
1501660,Meteorologist,氣象師,,生產事業,,,2012-11-26
1501661,Secretary,秘書,,生產事業,,,2012-11-26
1501662,Finance Clerk,財務管理員,,生產事業,,,2012-11-26
1501663,Finance Officer,財務管理師,,生產事業,,,2012-11-26
1501664,Property Clerk,財產管理員,,生產事業,,,2012-11-26
1501665,Property Officer ,財產管理師,,生產事業,,,2012-11-26
1501666,Crane Operator,起重作業員,,生產事業,,,2012-11-26
1501667,Crane Technician,起重技術員,,生產事業,,,2012-11-26
1501668,Senior Counsel ,高等法務師,,生產事業,,,2012-11-26
1501669,Switch Controller,停電技術員,,生產事業,,,2012-11-26
1501670,Deputy Superintendent for Central Coordination ,副中央調度監,,生產事業,,,2012-11-26
1501671,Associate Researcher,副研究員,,生產事業,,,2012-11-26
1501672,Executive Secretary,執行秘書,,生產事業,,,2012-11-26
1501673,Technical Assistant,宿舍勤務員,,生產事業,,,2012-11-26
1501674,Senior Engineer ,專業工程師,,生產事業,,,2012-11-26
1501675,Senior Specialist,專業管理師,,生產事業,,,2012-11-26
1501676,Chief Engineer,專業總工程師,,生產事業,,,2012-11-26
1501677,Procurement Clerk ,採購員,,生產事業,,,2012-11-26
1501678,Procurement Officer,採購師,,生產事業,,,2012-11-26
1501679,Training Clerk,教育訓練員,,生產事業,,,2012-11-26
1501680,Training Officer,教育訓練師,,生產事業,,,2012-11-26
1501681,Cook,烹飪員,,生產事業,,,2012-11-26
1501682,Welding Technician,焊接技術員,,生產事業,,,2012-11-26
1501683,Assistant Statistician,統計員,,生產事業,,,2012-11-26
1501684,Statistician,統計師,,生產事業,,,2012-11-26
1501685,General Transportation Clerk,普運管理員,,生產事業,,,2012-11-26
1501686,General Transportation Officer,普運管理師,,生產事業,,,2012-11-26
1501687,Survey Technician,測繪作業員,,生產事業,,,2012-11-26
1501688,Survey Technician,測繪技術員,,生產事業,,,2012-11-26
1501689,Inspector,視察,,生產事業,,,2012-11-26
1501690,Messenger,傳達員,,生產事業,,,2012-11-26
1501691,Gardener    ,園藝員,,生產事業,,,2012-11-26
1501692,Accounting Clerk,會計管理員,,生產事業,,,2012-11-26
1501693,Accounting Officer,會計管理師,,生產事業,,,2012-11-26
1501694,Supervisor,業務督導,,生產事業,,,2012-11-26
1501695,Sales Clerk,業務管理員,,生產事業,,,2012-11-26
1501696,Sales Officer,業務管理師,,生產事業,,,2012-11-26
1501697,Manager,經理,,生產事業,,,2012-11-26
1501698,Chairperson of the Board,董事長,,生產事業,,,2012-11-26
1501699,Technical Assistant,裝卸勤務員,,生產事業,,,2012-11-26
1501700,Operator,話務員,,生產事業,,,2012-11-26
1501701,Data Control Clerk,資料控制員,,生產事業,,,2012-11-26
1501702,Data Control Officer,資料控制師,,生產事業,,,2012-11-26
1501703,Data Compiling Clerk ,資料編輯員,,生產事業,,,2012-11-26
1501704,Data Compiling Officer,資料編輯師,,生產事業,,,2012-11-26
1501705,Meter Reader,電表抄錄員,,生產事業,,,2012-11-26
1501706,Telecommunications Technician,電訊裝修員,,生產事業,,,2012-11-26
1501707,Supervisor,電務督導,,生產事業,,,2012-11-26
1501708,Computer Software Clerk ,電腦軟體工程員,,生產事業,,,2012-11-26
1501709,Computer Software Engineer,電腦軟體工程師,,生產事業,,,2012-11-26
1501710,Computer Hardware Clerk,電腦硬體工程員,,生產事業,,,2012-11-26
1501711,Computer Hardware Engineer,電腦硬體工程師,,生產事業,,,2012-11-26
1501712,Computer Operation Clerk,電腦機具操作員,,生產事業,,,2012-11-26
1501713,Computer Operation Officer,電腦機具操作師,,生產事業,,,2012-11-26
1501714,Electrical Technician,電機工程員,,生產事業,,,2012-11-26
1501715,Electrical Engineer,電機工程師,,生產事業,,,2012-11-26
1501716,Electrical Technician,電機裝修員,,生產事業,,,2012-11-26
1501717,Electrical Operator,電機運轉員,,生產事業,,,2012-11-26
1501718,Budget Clerk,預算管理員,,生產事業,,,2012-11-26
1501719,Budget Officer,預算管理師,,生產事業,,,2012-11-26
1501720,Instruments and Electronics Technician ,儀電工程員,,生產事業,,,2012-11-26
1501721,Instruments and Electronics Engineer,儀電工程師,,生產事業,,,2012-11-26
1501722,Instruments Technician ,儀器修造員,,生產事業,,,2012-11-26
1501723,Inspector,稽查,,生產事業,,,2012-11-26
1501724,Auditor,稽核,,生產事業,,,2012-11-26
1501725,Supervisor,線務督導,,生產事業,,,2012-11-26
1501726,Line Technician,線路裝修員,,生產事業,,,2012-11-26
1501727,Mechanical Technician,機械工程員,,生產事業,,,2012-11-26
1501728,Mechanical Engineer,機械工程師,,生產事業,,,2012-11-26
1501729,Mechanical Technician,機械技術員,,生產事業,,,2012-11-26
1501730,Mechanic,機械裝修員,,生產事業,,,2012-11-26
1501731,Technical Assistant,辦公室勤務員,,生產事業,,,2012-11-26
1501732,Director,館長,,生產事業,,,2012-11-26
1501733,Inspector,檢核,,生產事業,,,2012-11-26
1501734,Technician,檢驗員,,生產事業,,,2012-11-26
1501735,Supervisor,營運督導,,生產事業,,,2012-11-26
1501736,Environmental Hygiene Clerk,環境衛生員,,生產事業,,,2012-11-26
1501737,President,總經理,,生產事業,,,2012-11-26
1501738,Auditor General,總稽核,,生產事業,,,2012-11-26
1501739,Inspector General,總檢核、總稽查,,生產事業,,,2012-11-26
1501740,Forging Technician,鍛造技術員,,生產事業,,,2012-11-26
1501741,Medical Technician,醫療技術員,,生產事業,,,2012-11-26
1501742,Medical Specialist,醫療技術師,,生產事業,,,2012-11-26
1501743,Assistant Pharmacist,藥劑生,,生產事業,,,2012-11-26
1501744,Pharmacist,藥劑師,,生產事業,,,2012-11-26
1501745,Mining and Metallurgical Technician,礦冶工程員,,生產事業,,,2012-11-26
1501746,Mining and Metallurgical Engineer,礦冶工程師,,生產事業,,,2012-11-26
1501747,Nurse,護士,,生產事業,,,2012-11-26
1501748,Assistant Nurse,護理員,,生產事業,,,2012-11-26
1501749,Molding Technician,鑄造工程員,,生產事業,,,2012-11-26
1501750,Molding Engineer,鑄造工程師,,生產事業,,,2012-11-26
1501751,Molding Technician,鑄造技術員,,生產事業,,,2012-11-26
1501752,Assistant Clerk,行政士,,生產事業,,,2012-11-26
1501753,Managing Director,常務董事,,生產事業,,,2012-11-26
1501754,Managing Supervisor,常駐監察人,,生產事業,,,2012-11-26
1501755,Supervisor,監察人,,生產事業,,,2012-11-26
1501756,Industrial Safety and Environmental Protection Engineer,工安環保工程師,,生產事業,,,2012-11-26
1501757,Chemical Technician,化工技術員,,生產事業,,,2012-11-26
1501758,Production Engineer ,生產技術工程師,,生產事業,,,2012-11-26
1501759,Marketing Engineer ,行銷工程師,,生產事業,,,2012-11-26
1501760,Legal Affairs Officer,法務管理師,,生產事業,,,2012-11-26
1501761,Quality Assurance Engineer ,品保工程師,,生產事業,,,2012-11-26
1501762,Quality Assurance Technician ,品保技術員,,生產事業,,,2012-11-26
1501763,Configuration Specialist ,型態管理師,,生產事業,,,2012-11-26
1501764,Logistics Engineer ,後勤工程師,,生產事業,,,2012-11-26
1501765,Logistics Clerk ,後勤管理員,,生產事業,,,2012-11-26
1501766,Flight Safety Engineer ,飛安工程師,,生產事業,,,2012-11-26
1501767,Flight Operations Engineer ,飛行作業工程師,,生產事業,,,2012-11-26
1501768,Special Assistant ,特別助理,,生產事業,,,2012-11-26
1501769,Project Specialist  ,專案管理師,,生產事業,,,2012-11-26
1501770,Procurement Officer,採購管理師,,生產事業,,,2012-11-26
1501771,Assembly Engineer ,組裝工程師,,生產事業,,,2012-11-26
1501772,Facility Engineer ,設施工程師,,生產事業,,,2012-11-26
1501773,Design Engineer ,設計工程師,,生產事業,,,2012-11-26
1501774,Test Pilot ,試飛師,,生產事業,,,2012-11-26
1501775,Flight Test Engineer ,試飛工程師,,生產事業,,,2012-11-26
1501776,Test Engineer ,試驗工程師,,生產事業,,,2012-11-26
1501777,Senior Specialist ,資深技師,,生產事業,,,2012-11-26
1501778,Senior Technician,資深技術員,,生產事業,,,2012-11-26
1501779,Senior Clerk ,資深管理員,,生產事業,,,2012-11-26
1501780,Electronic and Electrical Technician,電子電機技術員,,生產事業,,,2012-11-26
1501781,Maintenance Engineer,維修工程師,,生產事業,,,2012-11-26
1501782,Video Technician  ,製片技術員,,生產事業,,,2012-11-26
1501783,Manufacturing Engineer ,製造工程師,,生產事業,,,2012-11-26
1501784,Auditor,檢核管理師,,生產事業,,,2012-11-26
1501785,Drafting Technician,繪圖技術員,,生產事業,,,2012-11-26
1501786,Assistant Trademark Officer ,約聘商標審查員,,生產事業,,,2012-11-26
1501787,Senior Patent Officer  ,約聘專利審查委員,,生產事業,,,2012-11-26
1501788,Safety Inspector ,礦場監督員,,生產事業,5-7,,2012-11-26
1501789,Chairperson,董事長,,生產事業,,,2012-11-26
1501790,Director of the Board,董事,,生產事業,,,2012-11-26
1501791,Supervisor,監察人,,生產事業,,,2012-11-26
1501792,President,總經理,,生產事業,,,2012-11-26
1501793,Vice President,副總經理,,生產事業,,,2012-11-26
1501794,Advisor,顧問,,生產事業,,,2012-11-26
1501795,Director,董事會秘書室主任,,生產事業,,,2012-11-26
1501796,Auditor General,總稽核,,生產事業,,,2012-11-26
1501797,Auditor,稽核,,生產事業,,,2012-11-26
1501798,Senior Executive Officer,專門委員,,生產事業,,,2012-11-26
1501799,Director,協理,,生產事業,,,2012-11-26
1501800,Manager,經理,,生產事業,,,2012-11-26
1501801,Assistant Manager (事業部、營業處),副理,,生產事業,,,2012-11-26
1501802,Director,處長,,生產事業,,,2012-11-26
1501803,Deputy Director,副處長,,生產事業,,,2012-11-26
1501804,Director,廠長,,生產事業,,,2012-11-26
1501805,Deputy Director,副廠長,,生產事業,,,2012-11-26
1501806,Director,所長,,生產事業,,,2012-11-26
1501807,Deputy Director,副所長,,生產事業,,,2012-11-26
1501808,Chief,(系)主任,,生產事業,,,2012-11-26
1501809,Chief,(場)主任,,生產事業,,,2012-11-26
1501810,Chief,(室)主任,,生產事業,,,2012-11-26
1501811,簡任：1.Senior Technical Specialist; 2.Senior Specialist  (負責行政業務) / 薦任：1.Technical Specialist; 2.Specialist  (負責行政業務),技正,,生產事業,,,2012-11-26
1501812,簡任：1.Senior Specialist (具專業技術); 2.Senior Executive Officer (一般行政) / 薦任：1.Specialist (具專業技術); 2.Executive Officer (一般行政),視察,,生產事業,,,2012-11-26
1501813,1.Senior Secretary (簡任); 2.Secretary (薦任),秘書,,生產事業,,,2012-11-26
1501814,1.Specialist (具專業技術); 2.Executive Officer (一般行政),專員,,生產事業,,,2012-11-26
1501815,Chief,課長,,生產事業,,,2012-11-26
1501816,Head,股長,,生產事業,,,2012-11-26
1501817,Accounts Inspector,帳務檢查員,,生產事業,,,2012-11-26
1501818,Accounting Officer,會計員,,生產事業,,,2012-11-26
1501819,Accounting Assistant,會計佐理員,,生產事業,,,2012-11-26
1501820,Statistics Officer,統計分析員,,生產事業,,,2012-11-26
1501821,Cost Analysis Officer,成本分析員,,生產事業,,,2012-11-26
1501822,Senior Systems Analyst,高級分析師,,生產事業,,,2012-11-26
1501823,Systems Analyst,分析師,,生產事業,,,2012-11-26
1501824,Systems Designer,設計師,,生產事業,,,2012-11-26
1501825,Systems Coordinator,管理師,,生產事業,,,2012-11-26
1501826,Assistant Systems Analyst,助理分析師,,生產事業,,,2012-11-26
1501827,Assistant Systems Designer,助理設計師,,生產事業,,,2012-11-26
1501828,Assistant Systems Coordinator,助理管理師,,生產事業,,,2012-11-26
1501829,Personnel Officer,人事管理員,,生產事業,,,2012-11-26
1501830,Junior Personnel Officer,人事佐理員,,生產事業,,,2012-11-26
1501831,Junior Officer,管理員,,生產事業,,,2012-11-26
1501832,1.Associate Technical Specialist (薦任); 2.Assistant Technical Specialist (委任),技士,,生產事業,,,2012-11-26
1501833,1.Associate Technical Specialist (薦任); 2.Junior Technical Specialist (委任),技佐,,生產事業,,,2012-11-26
1501834,Officer,課員,,生產事業,,,2012-11-26
1501835,Clerk,辦事員,,生產事業,,,2012-11-26
1501836,Associate Clerk,書記,,生產事業,,,2012-11-26
1501837,Nurse,護士,,生產事業,,,2012-11-26
1501838,Contract Employees,約聘人員,,生產事業,,,2012-11-26
1501839,Researcher,研究員,,生產事業,,,2012-11-26
1501840,Associate Researcher,副研究員,,生產事業,,,2012-11-26
1501841,Assistant Researcher,助理研究員,,生產事業,,,2012-11-26
1501842,Occupational Safety Specialist  ,勞工安全管理師,,生產事業,,,2012-11-26
1501843,Occupational Health Specialist,勞工衛生管理師,,生產事業,,,2012-11-26
1501844,Occupational Safety and Hygiene Officer,勞工安全衛生管理員,,生產事業,,,2012-11-26
1501845,Occupational Safety Officer,勞工安全管理員,,生產事業,,,2012-11-26
1501846,Occupational Health Officer  ,勞工衛生管理員,,生產事業,,,2012-11-26
1501847,Pharmacist,藥師,,生產事業,,,2012-11-26
1501848,Counselor,輔導員,,生產事業,,,2012-11-26
1501849,Clerk,業務員,,生產事業,,,2012-11-26
1501850,Assistant,助理業務員,,生產事業,,,2012-11-26
1501851,Assistant Clerk,雇員,,生產事業,,,2012-11-26
1501852,1.Chauffeur （首長座車）; 2.Driver （公務車）,司機員,,生產事業,,,2012-11-26
1501853,Security Guard,警衛,,生產事業,,,2012-11-26
1501854,Logistics Technical Assistant,儲運員,,生產事業,,,2012-11-26
1501855,Assistant,事務員,,生產事業,,,2012-11-26
1501856,Production Technical Assistant,製菸技術員,,生產事業,,,2012-11-26
1501857,Production Technical Assistant,製酒技術員,,生產事業,,,2012-11-26
1501858,Manufacturing Technical Assistant,製瓶技術員,,生產事業,,,2012-11-26
1501859,Manufacturing Technical Assistant,製蓋技術員,,生產事業,,,2012-11-26
1501860,Printing Technical Assistant,印刷技術員,,生產事業,,,2012-11-26
1501861,Engraving Technical Assistant,製版技術員,,生產事業,,,2012-11-26
1501862,Graphics Technical Assistant,印刷設計員,,生產事業,,,2012-11-26
1501863,Testing Technical Assistant,試驗技術員,,生產事業,,,2012-11-26
1501864,Quality Control Technical Assistant,品管技術員,,生產事業,,,2012-11-26
1501865,Mechanic,汽車技術員,,生產事業,,,2012-11-26
1501866,Electrician,電氣技術員,,生產事業,,,2012-11-26
1501867,Engineering Technical Assistant,工務技術員,,生產事業,,,2012-11-26
1501868,Environmental Technical Assistant,環保技術員,,生產事業,,,2012-11-26
1501869,Boiler Technical Assistant,鍋爐技術員,,生產事業,,,2012-11-26
1501870,Refrigeration Technical Assistant,冷凍技術員,,生產事業,,,2012-11-26
1501871,Electronics Technical Assistant,電子技術員,,生產事業,,,2012-11-26
1501872,Forklift Driver,堆高機駕駛員,,生產事業,,,2012-11-26
1501873,Shovel Driver,鏟車駕駛員,,生產事業,,,2012-11-26
1501874,1.Senior Inspector (簡任); 2.Inspector (薦任),督察,,金融保險,8-10,,2012-11-26
1501875,1.Senior Inspector (簡任); 2.Inspector (薦任),督導,,金融保險,7-10,,2012-11-26
1501876,1.Senior Auditor (簡任); 2.Auditor (薦任),稽核,,金融保險,7-10,,2012-11-26
1501877,Revenue Assessor,審核員,,金融保險,7-8,,2012-11-26
1501878,1.Senior Audit Officer (簡任); 2.Audit Officer (薦任); 3.Assistant Audit Officer (委任),稽查,,金融保險,5-10,,2012-11-26
1501879,Junior Auditor ,檢核員,,金融保險,5-7,,2012-11-26
1501880,Revenue Officer,稅務員,,金融保險,5-7,,2012-11-26
1501881,Assistant Revenue Officer,助理稅務員,,金融保險,3-5,,2012-11-26
1501882,Clerk,辦事員,,金融保險,3-5,,2012-11-26
1501883,Clerk,股員,,金融保險,3-5,,2012-11-26
1501884,1.Freelance Worker (文書類); 2.Piece Worker (生產類),按件計酬員,,金融保險,不列等,,2012-11-26
1501885,Executive Officer,總經理室管理師,,金融保險,分類12-13,,2012-11-26
1501886,Senior Engineer,總經理室工程師,,金融保險,分類12-13,,2012-11-26
1501887,Officer,管理師,,金融保險,分類6-8,,2012-11-26
1501888,Clerk,管理員,,金融保險,分類4-5,,2012-11-26
1501889,Assistant,事務員,,金融保險,評價7-12,,2012-11-26
1501890,Engineer,工程師,,金融保險,分類6-8,,2012-11-26
1501891,Assistant Engineer,工程員,,金融保險,分類4-5,,2012-11-26
1501892,Technician,技術員,,金融保險,評價7-12,,2012-11-26
1501893,Systems Analyst,系統分析師,,金融保險,分類8,,2012-11-26
1501894,Systems Coordinator,系統管理師,,金融保險,分類8,,2012-11-26
1501895,Systems Operator,系統操作師,,金融保險,分類6,,2012-11-26
1501896,Systems Designer,程式設技師,,金融保險,分類7,,2012-11-26
1501897,Data Coordinator,資料管理師,,金融保險,分類8,,2012-11-26
1501898,Data Operator ,資料登錄員,,金融保險,分類5,,2012-11-26
1501899,Chemist ,化學師,,金融保險,,,2012-11-26
1501900,Cashier ,出納師,,金融保險,,,2012-11-26
1501901,Cashier Clerk ,出納員,,金融保險,,,2012-11-26
1501902,Procurement Clerk ,採購員,,金融保險,,,2012-11-26
1501903,Procurement Officer,採購師,,金融保險,,,2012-11-26
1501904,Foreman ,領班,,金融保險,,,2012-11-26
1501905,Auditor ,稽核師,,金融保險,6-8,,2012-11-26
1501906,Junior Auditor ,稽核員,,金融保險,5-7,,2012-11-26
1501907,Operator ,操作員,,金融保險,3-5,,2012-11-26
1501908,Cook ,膳食員,,金融保險,,,2012-11-26
1501909,President and CEO,總經理,,金融保險,,,2012-11-26
1501910,Vice President,副總經理,,金融保險,15,,2012-11-26
1501911,General Manager,經理,,金融保險,,,2012-11-26
1501912,Deputy General Manager,副經理,,金融保險,,,2012-11-26
1501913,Assistant General Manager ,襄理,,金融保險,,,2012-11-26
1501914,Auditor ,稽核,,金融保險,,,2012-11-26
1501915,Senior Specialist ,一等專員,,金融保險,,,2012-11-26
1501916,Specialist ,二等專員,,金融保險,,,2012-11-26
1501917,Associate Specialist ,三等專員,,金融保險,,,2012-11-26
1501918,Assistant Specialist ,四等專員,,金融保險,,,2012-11-26
1501919,Officer ,領組,,金融保險,,,2012-11-26
1501920,Chairperson of the Board,董事長,,金融保險,,,2012-11-26
1501921,Director of the Board,董事,,金融保險,,,2012-11-26
1501922,Supervisor,監察人,,金融保險,,,2012-11-26
1501923,Resident Supervisor,常駐監察人,,金融保險,,,2012-11-26
1501924,President,總經理,,金融保險,,,2012-11-26
1501925,Executive Vice President,副總經理,,金融保險,15,,2012-11-26
1501926,Counselor,業務委員,,金融保險,14,,2012-11-26
1501927,Director ,處長,,金融保險,14,,2012-11-26
