ID,英文名稱,中文名稱,圖片,一般職稱類別,職等,備註,更新日期
1501222,Communications Technician ,通信員,,警務,,,2012-11-26
1501223,Patrolman,巡防兵,,警務,,,2012-11-26
1501224,Cook,食勤兵,,警務,,,2012-11-26
1501225,Medic ,醫務兵,,警務,,,2012-11-26
1501226,Clerk  Assistant ,文書兵,,警務,,,2012-11-26
1501227,Communications Assistant  ,通信兵,,警務,,,2012-11-26
1501228,Driver ,駕駛兵,,警務,,,2012-11-26
1501229,Security Supervisor,駐警小隊長,,警務,,,2012-11-26
1501230,Security Chief,駐警隊長,,警務,,,2012-11-26
1501231,Security Guard,駐警隊員,,警務,,,2012-11-26
1501232,Captain,隊長(國父紀念館、中正紀念堂、大學),,警務,,,2012-11-26
1501233,Leader,小隊長(國父紀念館、中正紀念堂、大學),,警務,,,2012-11-26
1501234,Security Guard,總務處駐警隊校警,,警務,不列等,,2012-11-26
1501235,Security Guard,駐衛警,,警務,不列等,,2012-11-26
1501236,Security Guard,駐衛警察,,警務,不列等,,2012-11-26
1501237,Security Guard,河川駐警,,警務,不列等,,2012-11-26
1501238,Alarm Operator,警報員,,警務,不列等,,2012-11-26
1501239,Communications Technician ,通訊員,,警務,不列等,,2012-11-26
1501240,Inspector,督察,,交通事業,7-10,,2012-11-26
1501241,Inspector,督導  ,,交通事業,7-10,,2012-11-26
1501242,Occupational Safety Specialist  ,勞工安全管理師,,交通事業,5-7,,2012-11-26
1501243,Occupational Safety and Hygiene Officer,勞工安全衛生管理員,,交通事業,4-6,,2012-11-26
1501244,1.Assistant Engineer (薦任); 2.Junior Engineer (委任),工務員,,交通事業,5-7,,2012-11-26
1501245,1.Associate Technical Specialist (薦任); 2.Assistant Technical Specialist (委任),技術員,,交通事業,5-7,,2012-11-26
1501246,Occupational Health Specialist,勞工衛生管理師,,交通事業,5-7,,2012-11-26
1501247,Materials Officer,材料管理員,,交通事業,4-6,,2012-11-26
1501248,Junior Officer,管理員  ,,交通事業,4-6,,2012-11-26
1501249,Inspector ,稽查員,,交通事業,4-6,,2012-11-26
1501250,Draftsperson,繪圖員 ,,交通事業,4-6,,2012-11-26
1501251,Junior Officer,助理員,,交通事業,4-6,,2012-11-26
1501252,Engineering Assistant  ,助理工務員,,交通事業,3-5,,2012-11-26
1501253,Technician ,技術士,,交通事業,3-5,,2012-11-26
1501254,Materials Clerk,材料員,,交通事業,3-5,,2012-11-26
1501255,Clerk ,資料員,,交通事業,3-5,,2012-11-26
1501256,Overseer,監工員,,交通事業,3-5,,2012-11-26
1501257,Emergency Announcer  ,話務員  ,,交通事業,1-3,,2012-11-26
1501258,Technical Assistant,操作士,,交通事業,1-3,,2012-11-26
1501259,Traffic Engineer  ,交通工程師  ,,交通事業,,,2012-11-26
1501260,Maintenance Engineer  ,維護工程師  ,,交通事業,,,2012-11-26
1501261,Clerk  ,站務員  ,,交通事業,,,2012-11-26
1501262,Typist,打卡員,,交通事業,,,2012-11-26
1501263,Service Staff,服務員,,交通事業,,,2012-11-26
1501264,Junior Mechanical Engineer,機械工程員  ,,交通事業,,,2012-11-26
1501265,Junior Traffic Engineer  ,交控工務員  ,,交通事業,,,2012-11-26
