ID,英文名稱,中文名稱,圖片,界,門,綱,目,科,屬,種,資料來源,更新日期
3588843,Munida prominula,顯著刺鎧蝦,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Decapoda十足目,Galatheidae鎧甲蝦科,Munida刺鎧蝦屬,prominula,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588844,Hercostomus promotus,印度長足虻,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Diptera雙翅目,Dolichopodidae長足虻科,Hercostomus棉長足虻屬,promotus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588845,Arbolygus pronotalis,斑胸樹麗盲_,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hemiptera半翅目,Miridae盲_科,Arbolygus后麗盲_屬,pronotalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588846,Heterodermia propagulifera,芽體亞鈴孢衣,,Fungi真菌界,Ascomycota子囊菌門,Lecanoromycetes茶漬綱,Lecanorales茶漬目,Physciaceae蜈蚣衣科,Heterodermia鈴孢衣屬,propagulifera,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588847,Hyophila propagulifera,芽胞溼地苔,,Plantae植物界,Bryophyta苔類植物門,Bryopsida苔綱,Pottiales叢苔目,Pottiaceae叢苔科,Hyophila濕地苔屬,propagulifera,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588848,Pseudobarbella propagulifera,芽胞假懸苔,,Plantae植物界,Bryophyta苔類植物門,Bryopsida苔綱,Leucodontales白齒苔目,Meteoriaceae蔓苔科,Pseudobarbella假懸苔屬,propagulifera,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588849,Ostorhinchus properuptus,黃帶天竺鯛;橙帶天竺鯛;大面側仔;大目側仔,,Animalia動物界,Chordata脊索動物門,Actinopterygii條鰭魚綱,Perciformes鱸形目,Apogonidae天竺鯛科,Ostorhinchus鸚天竺鯛屬,properuptus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588850,Hyphodontia propinqua,近絲齒菌,,Fungi真菌界,Basidiomycota擔子菌門,Basidiomycetes擔子菌綱,Hymenochaetales刺革菌目,Tubulicrinaceae,Hyphodontia絲齒菌屬,propinqua,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588851,Macrophiothrix propinqua,新近大刺蛇尾,,Animalia動物界,Echinodermata棘皮動物門,Ophiuroidea蛇尾綱,Gnathophiurida顎蛇尾目,Ophiotrichidae刺蛇尾科,Macrophiothrix大刺蛇尾屬,propinqua,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3588852,Ophiothrix propinqua,新近刺蛇尾,,Animalia動物界,Echinodermata棘皮動物門,Ophiuroidea蛇尾綱,Gnathophiurida顎蛇尾目,Ophiotrichidae刺蛇尾科,Ophiothrix刺蛇尾屬,propinqua,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
