ID,英文名稱,中文名稱,圖片,出處,備註,更新日期
6250206,Charter party / c/p,傭船契約,,海商法學,,2020-01-07
6250207,Chief executive officer / CEO,執行長,,公司實務,,2020-01-07
6250208,Chief financial officer / CFO,財務長,,公司實務,,2020-01-07
6250209,Chief operating officer / COO,營運長,,公司實務,,2020-01-07
6250210,Civil liabilities,民事責任,,公司法條文 ；證券交易法條文,,2020-01-07
6250211,Claim construction,解釋申請專利範圍,,專利法學,,2020-01-07
6250212,Class action,團體訴訟,,證券交易法實務,,2020-01-07
6250213,Classification of goods,商品之分類,,商標法,,2020-01-07
6250214,Classification of services,服務之分類,,商標法,,2020-01-07
6250215,Co-insurance,共保,,保險法法條,,2020-01-07
6250216,Collective mark,團體商標,,商標法,主管機關之用語為collective trademark。國際條約及英美法使用collective mark。,2020-01-07
6250217,Collective membership mark,團體標章,,商標法,,2020-01-07
6250218,Collision,碰撞,,海商法法條,,2020-01-07
6250219,Color,顏色,,商標法,,2020-01-07
6250220,Combination,聯合式,,商標法,,2020-01-07
6250221,Commercial liability insurance / CGL,綜合責任保險,,保險實務,,2020-01-07
6250222,Common adventure,共同海上航程 ； 冒險,,海商法學,,2020-01-07
6250223,Common share,普通股,,公司實務,,2020-01-07
6250224,Company act/ Corporation act/ Corporation law,公司法,,公司法名稱,Companies Act 2006 （英）/ Model Business Corporation Act（美）/ General Corporation Law （美、德拉瓦州）,2020-01-07
6250225,Company Limited by Shares,股份有限公司,,公司法條文 ；證券交易法條文 ；企業併購法條文,,2020-01-07
6250226,Compensation committee / Remuneration committee,薪資報酬委員會 ； 薪酬委員會 ； 報酬委員會,,證券交易法條文,Compensation committee（美式） / Remuneration committee （英式）,2020-01-07
6250227,Compensation / Remuneration,報酬,,公司法條文 ；證券交易法條文,美國常用compensation表示公司董事、經理人、員工等之薪酬，可參考2010年Dodd-Frank Wall Street Reform and Consumer Protection Act 第951條至第955條之規定 ；英國及歐盟之規範則常用remuneration表示報酬。,2020-01-07
6250228,Compulsory license,強制授權,,專利法條,,2020-01-07
6250229,Computer generated icon,電腦圖像,,專利法條,,2020-01-07
6250230,Conflicts of interest,利益衝突,,公司法學,,2020-01-07
6250231,Confusion,混淆誤認,,商標法,,2020-01-07
6250232,Consignee,受貨人,,海商法法條,,2020-01-07
6250233,Consolidated examination,合併審查,,專利法條,,2020-01-07
6250234,Consolidated goods,併裝貨物,,海商實務,,2020-01-07
6250235,Container,貨櫃,,海商法法條,,2020-01-07
6250236,Contemporaneous trader,同時期交易人,,證券交易法學,,2020-01-07
6250237,Continuations of application,追加專利,,專利法學,,2020-01-07
6250238,Contraband,違禁物 ； 違禁品,,海商法法條,法條用語為違禁物，實務上亦稱違禁品,2020-01-07
6250239,Contractus aleatoria,射倖性契約,,保險法學,,2020-01-07
6250240,Contributory infringement,輔助侵害,,專利法學,,2020-01-07
6250241,Contributory value,分擔價值,,海商法法條,,2020-01-07
6250242,Control premium,控制權溢價,,公司法學,,2020-01-07
6250243,Controlling company,控制公司,,公司法條文 ；企業併購法條文,,2020-01-07
6250244,Controlling shareholder,控制性股東,,公司法學,,2020-01-07
6250245,Convertible bond,可轉換公司債,,公司法條文 ；證券交易法條文,,2020-01-07
6250246,Corporate bond,公司債,,公司法條文 ；證券交易法條文,,2020-01-07
6250247,Corporate bond with warrant,附認股權公司債,,公司法條文 ；證券交易法條文,,2020-01-07
6250248,Corporate bondholders' list,公司債存根簿,,公司法條文 ；證券交易法條文,全國法規資料庫翻譯為「counterfoil of corporate bonds,2020-01-07
6250249,Corporate governance,公司治理,,公司法學,,2020-01-07
6250250,Corporate social responsibility,企業社會責任 ； 公司社會責任,,公司法學,,2020-01-07
6250251,Correction of error,誤記訂正,,專利法條,,2020-01-07
6250252,Correction of translation error,誤譯訂正,,專利法條,,2020-01-07
6250253,Correspondent,聯絡人,,海商實務,相互保險組織於海外各地協助處理事務之聯絡人,2020-01-07
6250254,Coverage,承保[範圍],,保險法法條,,2020-01-07
6250255,Cumulative voting,累積投票制,,公司實務,,2020-01-07
6250256,Customs revoke detention,海關廢止查扣,,商標法,,2020-01-07
6250257,Damage,損害,,證券交易法條文,,2020-01-07
6250258,Damages,損害賠償,,專利法條,,2020-01-07
6250259,Damages,損害賠償,,商標法,,2020-01-07
6250260,Dangerous cargo / DG cargo,危險物品,,海商實務,,2020-01-07
6250261,De facto director,事實上董事,,公司法學（英）,,2020-01-07
6250262,De Facto Merger,事實合併,,企業併購法學,此概念由美國判例法產生，係指公司轉讓全部或主要部分之營業或資產給他公司，以換取他公司之股份，屬於資產收購之方式。,2020-01-07
6250263,De jure director,法律上董事,,公司法學,,2020-01-07
6250264,Dealer,自營商,,證券交易法條文,,2020-01-07
6250265,Deception,公眾誤認誤信,,商標法,主管機關之用語為mislead。,2020-01-07
6250266,Declarations of value,報明價值,,海商法法條,,2020-01-07
6250267,Deductible,自負額,,保險實務,,2020-01-07
6250268,Deep Rock Doctrine,深石原則,,公司法學（美）,衡平居次原則係美國最高法院於Taylor v. Standard Gas & Electric Co.案所確立之理論，因被告之從屬公司為「深石」（Deep Rock）石油公司，故一般將此一理論稱為「深石原則」。在本案中，法院認為深石公司身為被告之從屬公司，其在成立之初，資本即已不足，且其業務經營完全受被告公司所控制，經營方法主要為被告公司之利益，因此判決被告公司對深石公司之債權應次於深石公司之其他債權受清償。,2020-01-07
6250269,Definiteness,明確,,專利法條,,2020-01-07
6250270,Delay,遲到,,海商法法條,,2020-01-07
6250271,Delivery,交清,,海商法法條,,2020-01-07
6250272,Delivery order,小提單,,海商實務,用載貨證券換取向倉庫領取貨物之憑證,2020-01-07
6250273,Dematerialized share / Paperless share,無實體股票,,公司實務,,2020-01-07
6250274,Demurrage,延滯費,,海商法法條,,2020-01-07
6250275,Deposit of biological material,生物材料寄存,,專利實務,,2020-01-07
6250276,Depositary receipt / DR,存託憑證,,證券交易法條文,,2020-01-07
6250277,Derivative design patent,衍生設計專利,,專利法條,,2020-01-07
6250278,Derivative suit / Derivative litigation,代位訴訟 ； 代表訴訟,,公司法條文,,2020-01-07
6250279,Derivatives,衍生性商品,,證券交易法條文,,2020-01-07
6250280,Design around,迴避設計,,專利實務,,2020-01-07
6250281,Design patent,設計專利,,專利法條,,2020-01-07
6250282,Designated goods,指定使用之商品,,商標法,,2020-01-07
6250283,Designated services,指定使用之服務,,商標法,,2020-01-07
6250284,Designer,設計人,,專利法條,,2020-01-07
6250285,Destruction of infringing articles,銷毀侵害商標權之物品,,商標法,,2020-01-07
6250286,Deviation,偏航,,海商法法條,,2020-01-07
6250287,"Diagnostic, therapeutic and surgical methods",診斷、治療或外科手術方法,,專利法條,,2020-01-07
6250288,Direct control,直接控制,,公司法條文,,2020-01-07
6250289,Direct infringement,直接侵害,,專利法學,,2020-01-07
6250290,Director,董事,,公司法條文 ；證券交易法條文,,2020-01-07
6250291,Disaster,災難,,海商法法條,,2020-01-07
6250292,Discharge,解任,,公司法條文,,2020-01-07
6250293,Discharging,卸載,,海商法法條,,2020-01-07
6250294,Disclaimer,不專用之聲明,,商標法,,2020-01-07
6250295,Disclose or abstain rule,公開消息否則戒絕交易法則,,證券交易法學,,2020-01-07
6250296,Disclosure,告知 {保險法學} ； 公開 {證券交易法條文},,保險法學、證券交易法條文,,2020-01-07
6250297,Disembarkation,起岸,,海商法法條,,2020-01-07
6250298,Disgorgement,歸入權,,公司法學 ；證券交易法學,,2020-01-07
6250299,Display,陳列,,商標法,,2020-01-07
6250300,Disposition,處分,,商標法,,2020-01-07
6250301,Dissemination,散布,,證券交易法條文,,2020-01-07
6250302,Dissolution,解散,,公司法條文,,2020-01-07
6250303,Dissolved company,消滅公司,,公司法條文 ；企業併購法條文,,2020-01-07
6250304,Distinctive sign,具有識別性之標識,,商標法,主管機關之用語為sign with distinctiveness。,2020-01-07
6250305,Distinctiveness / Distinctive character,識別性,,商標法,,2020-01-07
6250306,Division of an application for registration,註冊申請案之分割,,商標法,,2020-01-07
6250307,Divisional application,分割申請,,專利實務,,2020-01-07
6250308,Doctrine of equivalents,均等論,,專利法學,,2020-01-07
6250309,Doctrine of exhaustion,權利耗盡原則,,專利法學,,2020-01-07
6250310,Domestic exhaustion,國內耗盡,,專利法學,,2020-01-07
6250311,Domestic priority for patent filing,國內優先權,,專利實務,,2020-01-07
6250312,Double insurance,複保險,,保險法法條,,2020-01-07
6250313,Double patenting,重複專利,,專利法學,,2020-01-07
6250314,Drawing,圖示 {專利法條} ； 圖形 {商標法},,專利法條、商標法,,2020-01-07
6250315,Due care of a good administrator,善良管理人之注意,,公司法條文,,2020-01-07
6250316,Dunnage,墊艙,,海商法法條,,2020-01-07
6250317,Duty of candor,誠實揭露義務,,證券交易法學,,2020-01-07
6250318,Duty of care,注意義務,,公司法學，企業併購法條文,,2020-01-07
