ID,英文名稱,中文名稱,圖片,德文,法文,法類/法條,審譯日期,更新日期
21386965,Necessary intervention,必要參加,,notwendige Beiladung {Ger.},,行政訴訟法,113.06.24,
21386967,Independent intervetion,獨立參加,,Hauptintervention {Ger.},,行政訴訟法,113.06.24,
21386969,Third-party intervention,第三人參加,,Beiladung Dritter {Ger.},,行政訴訟法,113.06.24,
21386971,Auxiliary intervention / Supporting intervention,輔助參加,,Nebenintervention {Ger.},,行政訴訟法,113.06.24,
21386973,Advocacy / Litigious representation,訴訟代理,,Prozessvertretung {Ger.},,行政訴訟法,113.06.24,
21386975,Power of agent / Authority of litigious representation,訴訟代理權,,Prozessvollmacht {Ger.},,行政訴訟法,113.06.24,
21386977,Agent with independent authority,單獨代理原則,,Prinzip der Einzelvertretung {Ger.},,行政訴訟法,113.06.24,
21386980,Subagent/Sub-delegated agent,複代理人,,Unterbevollmächtigter {Ger.},,行政訴訟法,113.06.24,
21386982,Mandatory representation by a lawyer,律師強制代理,,Anwalts- und Vertretungszwang {Ger.},,行政訴訟法,113.06.24,
21386984,Assistant,輔佐人,,Beistand {Ger.},,行政訴訟法,113.06.24,
21386986,Joint action / Joinder of parties,共同訴訟,,Streitgenossenschaft {Ger.},,行政訴訟法,113.06.24,
21386988,Co-party,共同訴訟人,,Streitgenosse {Ger.},,行政訴訟法,113.06.24,
21386990,Indispensable parties,固有必要共同訴訟,,echte notwendige Streitgenossenschaft {Ger.},,行政訴訟法,113.06.24,
21386992,Necessary and indispensable parties,必要共同訴訟,,notwendige Streitgenossenschaft {Ger.},,行政訴訟法,113.06.24,
21386994,Necessary parties,類似必要共同訴訟,,unechte notwendige Streitgenossenschaft {Ger.},,行政訴訟法,113.06.24,
21386996,Permissive joinder of parties,普通共同訴訟,,einfache Streitgenossenschaft {Ger.},,行政訴訟法,113.06.24,
21386998,Being determined (for all co-litigants) as a unified matter,合一確定,,einheitliche Entscheidung {Ger.},,行政訴訟法,113.06.24,
21387000,Interested party,利害關係人,,Betroffener {Ger.},,行政訴訟法,113.06.24,
21387002,Change of parties,當事人變更,,Parteiwechsel {Ger.},,行政訴訟法,113.06.24,
21387004,Appointed party,選定當事人,,bestellte Partei {Ger.},,行政訴訟法,113.06.24,
21387006,Designated party,指定當事人,,von Amts wegen bestellte Partei  {Ger.},,行政訴訟法,113.06.24,
21387008,Pending lawsuit,訴訟繫屬,,Rechtshängigkeit {Ger.} / lis pendens {Lat.},,行政訴訟法,113.06.24,
21387010,Change of defendants,被告變更,,Beklagtenwechsel {Ger.},,行政訴訟法,113.06.24,
21387012,Pleadings,當事人書狀,,Schriftsätze {Ger.},,行政訴訟法,113.06.24,
21387014,Direct service,直接送達,,unmittelbare Zustellung {Ger.},,行政訴訟法,113.06.24,
21387016,Ex officio service,職權送達,,Zustellung von Amts wegen  {Ger.},,行政訴訟法,113.06.24,
21387018,Submitting through technological devices,科技設備傳送,,Übermittlung durch technologische Geräte {Ger.},,行政訴訟法,114.03.10,
21387020,Service commissioned by court,囑託送達,,Zustellungsauftrag {Ger.},,行政訴訟法,114.03.10,
21387022,Place of service,送達處所,,Zustellungsort {Ger.},,行政訴訟法,114.03.10,
21387024,Service upon an incapacitated party,對無行為能力人之送達,,Zustellung an handlungsunfähige Person {Ger.},,行政訴訟法,114.03.10,
21387026,Service upon a person lacking capacity to sue or be sued / Service upon a procedurally incompetent person,對無訴訟能力人之送達,,Die Zustellung an nicht prozessfähige Personen {Ger.},,行政訴訟法,114.03.10,
