ID,英文名稱,中文名稱,圖片,德文,法文,法類/法條,審譯日期,更新日期
7196949,Head of state,國家元首,,Staatsoberhaupt,Chef d'État,,,2020-04-01
7196950,,國體,,Staatsform,,,,2020-04-01
7196951,Political regime,政體,,Regierungssystem／Regierungsform,Régime politique,,,2020-04-01
7196952,President,總統,,Staatspräsident,Président de la République,,,2020-04-01
7196953,Presidentialism,總統制,,Präsidentielles Regierungssystem／Präsidialsystem／Präsidialregime,Présidentialisme,,,2020-04-01
7196954,Semi-presidentialism,雙首長制／半總統制,,Semipräsidentielles Regierungssystem／Gemischt präsidial-parlamentarisches Regierungssystem,Semi-présidentialisme,,,2020-04-01
7196955,Parliamentarism,議會內閣制／內閣制,,Parlamentarisches Regierungssystem,Parlementarisme,,,2020-04-01
7196956,Cabinet,內閣,,Kabinett,Cabinet du Premier ministre,,,2020-04-01
7196957,Co-sign／Countersign,副署,,Gegenzeichnung,Contresigner,,,2020-04-01
7196958,War power；Power to declare war,宣戰；宣戰權,,Verkündigung des Verteidigungsfalls／Kriegserklärung,Pouvoir de déclaration de guerre,,,2020-04-01
7196959,Treaty power,締結條約權,,Abschluss eines völkerrechtlichen Vertrags,Pouvoir de négocier et ratifier les traités,,,2020-04-01
7196960,Lifting of martial law,解嚴,,Aufhebung des Belagerungszustands,Mettre fin à l'état de siège,,,2020-04-01
7196961,Amnesty,大赦,,Amnestie,Amnistie,,,2020-04-01
7196962,Pardon,特赦,,Begnadigung im Einzelfall,Pardon,,,2020-04-01
7196963,Reduction of sentencing,減刑,,Strafmilderung,Réduction de peine,,,2020-04-01
7196964,Appointment power,任命；任命權,,Ernennungsrecht,Pouvoir de nommer,,,2020-04-01
7196965,Removal power,免職；免職權,,Entlassungsrecht,Pouvoir de mettre fin à la fonction,,,2020-04-01
7196966,Emergency decree,緊急命令,,Notverordnung,Décret d'urgence／Mesures d'urgence,,,2020-04-01
7196967,Immunity from criminal prosecution,刑事豁免權,,Immunität,Immunité temporaire  du chef de l’État,,,2020-04-01
7196968,Legislative immunity,言論免責權,,Indemnität,Immunité parlementaire／Irresponsabilité du parlementaire,,,2020-04-01
7196969,Immunity from arrest,不逮捕特權,,Immunität,Immunité d'arrestation,,,2020-04-01
7196970,Legislative discretion／Margin of appreciation,立法裁量,,Gesetzgeberische Gestaltung,Marge d'appréciation,,,2020-04-01
7196971,Vote of no confidence／Motion of no confidence,不信任投票／不信任案,,Vertrauensvotum,Vote d'une motion de censure,,,2020-04-01
7196972,Legislative committee,立法院委員會,,Ausschuss des Legislativ-Yuan,Commission du Législatif Yuan,,,2020-04-01
7196973,Term of Legislative Yuan,立法院會期,,Sitzungsperiode des Legislativ-Yuan,Session ordinaire du Législatif Yuan,,,2020-04-01
7196974,Extraordinary session of Legislative Yuan,立法院臨時會,,Sondersitzung des Legislativ-Yuan,Session extraordinaire du Législatif Yuan,,,2020-04-01
7196975,Recess of Legislative Yuan,立法院休會,,Sitzungsfreie Zeit des Legislative-Yuan,En dehors des sessions du Législatif Yuan,,,2020-04-01
7196976,Judiciary,司法,,Rechtsprechung,La juridiction,,,2020-04-01
7196977,Judicial power,司法權,,Rechtsprechende Gewalt／Judikativ,Pouvoir judiciaire,,,2020-04-01
7196978,Judicial Yuan,司法院,,Justiz-Yuan,Yuan de la Justice,,,2020-04-01
7196979,Judicial administration；Judicial administration organ,司法行政；司法行政機關,,Justizverwaltung；Justizverwaltungsorgan,Administration judiciaire,,,2020-04-01
7196980,Judicial adjudication；Judicial adjudicative organ,司法審判；司法審判機關,,Rechtsprechung；Rechtsprechungsorgan,Juridictions,,,2022-07-26
7196981,Civil service discipline,公務員懲戒,,Disziplinarmaßnahme bei Beamten,Sanctions disciplinaires dans la fonction publique,,,2020-04-01
7196982,Special court,特別法院,,Sondergericht,Juridiction spécialisée,,,2020-04-01
7196983,Judicial power,審判權,,Gerichtsbarkeit,Pouvoir judiciaire,,,2020-04-01
7196984,Grand Justice of the Constitutional Court,大法官,,Richter des Verfassungsgerichts,Membres du Conseil constitutionnel,,,2020-04-01
7196985,Constitutional Court,憲法法庭,,Verfassungsgericht,,,,2020-04-01
7196986,Constitutional litigation,憲法訴訟,,Verfassungsprozess,Concentieux constitutionnel,,,2020-04-01
7196987,Constitutional interpretation,憲法解釋,,Verfassungsinterpretation,Interprétation constitutionnel,,,2020-04-01
7196988,Political question,政治問題／統治行為,,Regierungsakt,Political question,,,2020-04-01
7196989,Judicial independence,審判獨立,,Unabhängigkeit der Richter,Juge indépendant,,,2020-04-01
7196990,Judicial tenure,法官終身職,,Richter auf Lebenszeit,Inamovibilité des juges,,,2020-04-01
7196991,Examination,考試,,Prüfungswesen,Examen,,,2020-04-01
7196992,Examination power,考試權,,Prüfungsgewalt,Pouvoir d'examen,,,2020-04-01
7196993,Examination Yuan,考試院,,Prüfungs-Yuan,Yuan de l'examen,,,2020-04-01
7196994,Commissioner,考試委員,,Kommissar {Ger.} ; Commissaire {Fr.},,憲法,113.03.11,2020-04-01
7196995,Civil service,公務員制度,,Beamtentum,Fonction Publique,,,2020-04-01
7196996,Control,監察,,Kontrolle／Ombudsman,Défenseur des droits,,,2020-04-01
7196997,Control power,監察權,,Kontrollgewalt,Pouvoir de Défenseur des droits,,,2020-04-01
7196998,Control Yuan／Ombudsman Yuan,監察院,,Kontroll-Yuan,Yuan de Défenseur des droits,,,2020-04-01
7196999,Member of the Control  Yuan／Control Yuan commissioner,監察委員,,Mitglieder des Kontroll-Yuan,Membre du Yuan de Défenseur des droits,,,2020-04-01
7197000,Audit,審計,,Rechnungsprüfung,,,,2020-04-01
7197001,Impeachment,彈劾,,Beamtenanklage,Mise en accusation,,,2020-04-01
7197002,National Audit Office,審計部,,Rechnungshof,,,,2020-04-01
7197003,Auditor General,審計長,,Präsident des Rechnungshofes,Premier président de la Cour des comptes,,,2020-04-01
7197004,National bank；Central bank,國家銀行；中央銀行,,Staatsbank；Zentralbank des Staates,Banque centrale,,,2020-04-01
7197005,Currency system,幣制,,Währungswesen,Système monétaire,,,2020-04-01
7197006,Independent regulatory agency,獨立機關,,Unabhängige Behörde,Autorité administrative indépendante,,,2020-04-01
7197007,Central government,中央／中央政府,,Zentralregierung,Etat,,,2020-04-01
7197008,Municipal government,地方／地方政府,,Kommune,Administration locale／Collectivité locale,,,2020-04-01
7197009,Local self-governance,地方自治,,Kommunale Selbstverwaltung,Autonomie locale,,,2020-04-01
7197010,Local self-governing body,地方自治團體,,Kommunale Gebietskörperschaft,Collectivité territoriale,,,2020-04-01
7197011,Province,省,,Provinz,Région／Département,,,2020-04-01
7197012,Special municipality／Direct-controlled municipality,直轄市,,Provinzfreie Stadt,Métropole,,,2020-04-01
7197013,County,縣（市）,,Landkreis／Kreis,Municipalité／Arrondissement,,,2020-04-01
7197014,Provincial municipality,市,,Kreisfreie Stadt,Ville,,,2020-04-01
7197015,Township；Township；City,鄉、鎮、市,,Gemeinde,Commun；Ville,,,2020-04-01
7197016,Reserved seats for women／Quota for women ,婦女保障名額,,Frauenquote,Femme-quato,,,2020-04-01
7197017,United Nations,聯合國,,Vereinte Nationen,Nations Unies,,,2020-04-01
7197018,Treaty,條約,,Abkommen／Völkerrechtlicher Vertrag,Traités,,,2020-04-01
7197019,Citizens residing abroad,僑民,,Staatsbürger mit Wohnsitz im Ausland,Citoyens résidant à l'étranger,,,2020-04-01
7197020,Principle of peoples' welfare,民生主義,,Prinzip der Volkswohlfahrt,Principe de la vie du peuple,,,2020-04-01
21324119,Constitutionality of Laws,法規範憲法審查(案件),,Normenkontrolle,,,,
21324120,Constitutional Complaints,裁判憲法審查(案件),,Urteilsverfassungsbeschwerde/Verfassungsbeschwerde,,,,
21324121,Disputes between constitutional organs,機關爭議(案件),,Organstreit,,,,
21324122,Impeachment of President or Vice President/ Presidential impeachment,總統、副總統彈劾(案件),,Präsidentenanklage/Amtsenthebungsverfahren,,,,
21324123,Dissolution of unconstitutional political parties,政黨違憲解散(案件),,Parteiverbot,,,,
21324124,Local government/Local self-government,地方自治保障(案件),,Kommunalverfassungsbeschwerde,,,,
21324125,Uniform interpretation of statutes and regulations,統一解釋法律及命令(案件),,Einheitliche Auslegung von Gesetzen und Verordnungen,,,,
21324126,Chamber,審查庭,,Kammer,,,,
21324127,Rules of the Constitutional Court,憲法法庭審理規則,,Geschäftsordnung/Verfahrensordnung des Verfassungsgerichts,,,,
21324128,Parties,當事人,,Beteiligte,,,,
21324129,Petitioner,聲請人,,Antragsteller,,,,
21324130,Respondent,申請之相對人,,Antragsgegner,,,,
21324131,Multiple petitioners,共同聲請人,,Mitantragsteller/Streitgenossen,,,,
21324132,Agent / Litigation representative,訴訟代理人,,Prozessbevollmächtigter {Ger.},,行政訴訟法,113.06.24,
21324133,Unanimity,一致決,,Einstimmigkeit,,,,
21324134,Petition/Pleading,聲請書,,Antragsschrift,,,,
21324135,Reply briefs/ Briefs in opposition,答辯書,,Erwiderungsschrift,,,,
21324136,Oral argument,言詞辯論,,Mündliche Verhandlung,,,,
21324137,amicus curiae brief,法庭之友意見,,amicus curiae Schriftsatz,,,,
21324138,Expert opinion,鑑定意見,,Gutachten,,,,
21324139,Recusal sua sponte,自行迴避,,Ausschließung,,,,
21324140,Recusal by motion/Motion to recusal,聲請迴避,,Ablehnung,,,,
21324141,Implementation declaration,諭知,,Rechtsfolgenausspruch,,,,
21324142,Concurring opinion,協同意見書,,Zustimmendes Votum,,,,
21324143,Dissenting opinion,不同意見書,,Sondervotum,,,,
21324144,Judgment,判決,,Urteil,,,,
21324145,Ruling/ Order of the Court,裁定,,Beschluss,,,,
21324146,Court decisions,裁判,,Entscheidungen,,,,
21324147,Ruling on the merits,實體裁定,,Beschluss in der Sache,,,,
21324148,Constitutional,合憲,,Verfassungsmäßig,,,,
21324149,Unconstitutional,違憲,,Verfassungswidrig,,,,
21324150,Declaration of constitutionality,合憲宣告,,Vereinbarerklärung,,,,
21324151,Declaration of unconstitutionality,違憲宣告,,Unvereinbarerklärung,,,,
21324152,Declaration of unconstitutionality without nullity,單純違憲宣告,,Bloße Unvereinbarerklärung,,,,
21324153,Admonitory decision,警告性裁判,,Appellentscheidung,,,,
21324154,Void immediately/ Void ex nunc,立即失效,,Sofortige Ungültigkeit/Ungültigkeit ex nunc,,,,
21324155,Void after a period of time,定期失效,,Ungültigkeit pro futuro,,,,
21324156,Void retrospectively/ Void ex tunc,溯及失效,,Ungültigkeit ex tunc,,,,
21324157,Preliminary injunction/Temporary injunction/Provisional remedies,暫時處分,,Einstweilige Anordnung,,,,
21324158,Administrative Procedure Act,行政程序法,,Verwaltungsverfahrensgesetz,,,,
21324159,Administrative procedure,行政程序,,Verwaltungsverfahren,,,,
21324160,Administrative agency/ Executive agency/Agency/Authority,行政機關,,Verwaltungsbehörde / Behörde,,,,
21324161,Administrative act/ Administrative decision,行政處分,,Verwaltungsakt,,,,
21324162,Administrative contract,行政契約,,Verwaltungsvertrag,,,,
21324163,Agency rules/ Agency regulations,法規命令,,Rechtsverordnung,,,,
21324164,Directives/ Guidance / Memorandums of understanding (MOUs),行政規則,,Verwaltungsvorschriften,,,,
21324165,Plan,行政計畫,,Plan,,,,
21324166,Beliehener (German),公權力之受託人,,Beliehener,,,,
21324167,Beleihung (German),公權力授與；行政委託,,Beleihung,,,,
21324168,Vicarious agent of the government,行政助手,,Verwaltungshelfer,,,,
21324169,General principles of law,一般法律原則,,Allgemeine Rechtsgrundsätze,,,,
21324170,Administrative action,行政行為,,Verwaltungshandeln,,,,
21324171,Principle of administrative legality/ Principle of legality in administrative law,依法行政原則,,Grundsatz der Gesetzmäßigkeit der Verwaltung,,,,
21324172,Gesetzesvorbehalt principle (Statutory reservation)/cf. non-delegation doctrine,法律保留原則,,Grundsatz des Vorbehalts des Gesetzes / Grundsatz des Gesetzesvorbehalts,,,,
21324173,Principle of statutory primacy/Gesetzesvorrang principle,法律優先原則,,Grundsatz des Vorrangs des Gesetzes / Grundsatz des Gesetzesvorrangs,,,,
21324174,Vagueness doctrine/ Void for vaguness,明確性原則,,Grundsatz der Bestimmtheit,,,,
21324175,Principle of equality/ Equal protection of law,平等原則,,Gleichheitssatz / Grundsatz der Gleichheit,,,,
21324176,Disparate treatment/ Differential treatment/ Discrimination,差別待遇,,Ungleichbehandlung,,,,
21324177,Principle of suitability / Principle of adequacy,適當性原則,,Grundsatz der Geeignetheit,,,,
21324178,Principle of necessity,必要性原則,,Grundsatz der Erforderlichkeit,,,,
21324179,Principle of proportionality stricto sensu,狹義比例原則,,Grundsatz der Verhältnismäßigkeit im engeren Sinne,,,,
21324180,Doctrine/ Principle of legitimate expectation,信賴保護原則,,Prinzip des Vertrauensschutzes,,,,
21324181,Principle of good faith,誠實信用原則,,Grundsatz von Treu und Glauben,,,,
21324182,Ex post facto prohibition,禁止溯及既往,,Rückwirkungsverbot,,,,
21324183,Retroactive effect,真正溯及,,Echte Rückwirkung,,,,
21324184,Indirectly retroactive effect/Pseudo-retroactive effect,不真正溯及,,Unechte Rückwirkung,,,,
21324185,Transitional arrangements / Transitional provisions,過渡條款,,Übergangsregelung,,,,
21324186,Discretion,裁量,,Ermessen,,,,
21324187,Leeway/ Room for discretion,裁量餘地,,Ermessensspielraum,,,,
21324188,Discretion to take no action,決定裁量,,Entschließungsermessen,,,,
21324189,Discretionary selection,選擇裁量,,Auswahlermessen,,,,
21324190,Bounded discretion,裁量拘束,,Ermessensbindungen,,,,
21324191,Discretion guidelines,裁量基準,,Ermessensrichtlinien,,,,
21324192,Duty-bound discretion/ Due discretion,合義務裁量,,Pflichtgemäßes Ermessen,,,,
21324193,Abuse of discretion/Arbitrary and capricious use of discretion/Defective exercise of discretion,裁量瑕疵,,<p>Ermessensfehler</p>,,,,
21324194,Abuse of discretion/Excess of discretion,裁量逾越,,Ermessensüberschreitung,,,,
21324195,Abuse of discretion,裁量濫用,,Ermessensmissbrauch /  Ermessensfehlgebrauch,,,,
21324196,Diminished discretion,裁量收縮,,Ermessensschrumpfung,,,,
21324197,No discretion,裁量縮減至零,,Ermessensreduzierung auf Null,,,,
21324198,Failure to exercise discretion,選擇裁量怠惰/ 決定裁量怠惰,,Ermessensnichtgebrauch/ Ermessensunterschreitung,,,,
21324199,Indeterminate legal term,不確定法律概念,,Unbestimmter Rechtsbegriff,,,,
21324200,Margin of judgment/Chevron deference,判斷餘地,,Beurteilungsspielraum,,,,
21324201,Statutory delegation,規範授權理論,,Normative Ermächtigungslehre,,,,
21324202,Jurisdiction,管轄權,,Zuständigkeit,,,,
21324203,Territorial jurisdiction,土地管轄,,Örtliche Zuständigkeit,,,,
21324204,Subject-matter jurisdiction,事物管轄,,Sachliche Zuständigkeit,,,,
21324205,Hierarchical jurisdiction,層級管轄,,Instanziellle Zuständigkeit,,,,
21324206,Functional jurisdiction,功能管轄,,Funktionelle Zuständigkeit,,,,
21324207,Overlapping jurisdictions/Competing jurisdictions/Concurrent jurisdictions,管轄競合,,Mehrfachzuständigkeit,,,,
21324208,Jurisdictional dispute,管轄爭議,,Zuständigkeitskonflikt,,,,
21324209,Designated jurisdiction,指定管轄(機關),,Bestimmung der zuständigen Behörde,,,,
21324210,Emergency jurisdiction,緊急管轄權,,Eilzuständigkeit,,,,
21324211,Interagency collaboration,職務協助,,Amtshilfe,,,,
21324212,Party,當事人,,Beteiligter,,,,
21324213,Party subject to an administrative act / Respondent,行政處分之相對人,,Adressat des Verwaltungsakts,,,,
21324214,Applicant,申請人,,Antragsteller,,,,
21324215,Capacity to participate in administrative proceedings,行政程序之當事人能力,,Beteiligungsfähigkeit im Verwaltungsverfahren,,,,
21324216,Capacity/Capacity to act,行為能力,,Handlungsfähigkeit,,,,
21324217,Representative,代表人,,Vertreter,,,,
21324218,Agent,訴訟代理人,,,,行政訴訟法,113.06.24,
21324219,Assistant / Adviser,輔佐人,,Beistand,,,,
21324220,Recusal,迴避,,Ausschließung und Ablehnung,,,,
21324221,Appearance of bias /Apparent bias,偏頗之虞,,Besorgnis der Befangenheit,,,,
21324222,Administrative penalty/ Administrative sanction,行政罰,,Verwaltungssanktion/Ordnungswidrigkeit/Verwaltungsstrafe,,,,
21324223,Adminstrative offense/Contravention,秩序違反,,Ordnungswidrigkeit,,,,
21324224,Punitive administrative action,裁罰性不利處分,,Ahndender Verwaltungsakt,,,,
21324225,Administrative fine/ Administrative (monetary) penalty,罰鍰,,Geldbuße,,,,
21324226,Civil forfeiture/Administrative forfeiture/Administrative confiscation,沒入,,Einziehung von Gegenständen,,,,
21324227,Liability,責任,,Verantwortlichkeit,,,,
21324228,Substitute asset,追徵,,Einziehung des Wertersatzes,,,,
21324229,Restitution/Disgorgement,追繳,,Einziehung des Wertes,,,,
21324230,Seizure,扣留,,Beschlagnahme,,,,
21324231,Single offense,單一行為,,Tateinheit,,,,
21324232,Multiple offenses,數行為,,Tatmehrheit,,,,
21324233,Detention,拘留,,Gefangennahme,,,,
21324234,Statute of limitations for sanctions,裁處權時效,,Verfolgungsverjährung,,,,
21324235,Procedure for sanctions,裁處程序,,Verfahren der Verfolgung,,,,
21324236,Objection/ Complaint /Challenge,異議,,Widerspruch,,,,
21324237,Nulla poena sine lege / No sanction without law,處罰法定原則,,Keine Ahndung ohne Gesetz/Gesetzlichkeitsprinzip,,,,
21324238,Non bis in idem/The doctrine of double jeopardy,禁止重複處罰/一事不二罰/一行為不二罰,,Verbot der Doppelahndung,,,,
21386828,Public law disputes / Regulatory disputes,公法上之爭議,,Öffentlich-rechtliche Streitigkeiten {Ger.},,行政訴訟法,113.01.11,
21386830,Action for annulment,撤銷訴訟,,,,行政訴訟法,113.01.11,
21386832,Action to compel / Enforcement action,課予義務訴訟,,,,行政訴訟法,113.01.11,
21386834,Action against failure to act,怠為處分之訴訟,,Untätigkeitsklage {Ger.},,行政訴訟法,113.01.11,
21386836,Action against refusal to act,拒為處分之訴訟,,Versagungsgegenklage {Ger.},,行政訴訟法,113.01.11,
21386838,Action for declaratory judgment,確認訴訟,,Feststellungsklage {Ger.},,行政訴訟法,113.01.11,
21386840,Action for performance,給付訴訟,,Leistungsklage {Ger.},,行政訴訟法,113.01.11,
21386842,Public interest litigation,公益訴訟,,öffenliche Interesse-Rechtsbefehle  {Ger.},,行政訴訟法,113.01.11,
21386844,Citizen suit,公民訴訟,,,,行政訴訟法,113.01.11,
21386845,Sui generis action {Lat.},特種訴訟；無名訴訟,,<p>Klageart sui generis {Ger.} / Sui generis action {Lat.}</p>,,<p>行政訴訟法</p>,<p>113.01.11</p>,
21386847,Electoral dispute,選舉罷免事件之爭議,,Wahlstreitigkeiten {Ger.},,行政訴訟法,113.01.11,
21386848,Wahlstreitigkeiten {Ger.},選舉罷免事件之爭議,,,,行政訴訟法,113.01.11,
21386849,Standing,當事人適格,,Legitimation {Ger.},,行政訴訟法,113.04.29,
