ID,英文名稱,中文名稱,圖片,領域,獲獎年份,國籍,更新日期
3605093,Ernest Thomas Sinton Walton,"沃騰,厄尼斯特",,物理,,,2018-11-20
3605094,Eugene Paul Wigner,"維格納,尤金",,物理,,,2018-11-20
3605095,F. Duncan M. Haldane,"霍爾丹,丹肯",,物理,,,2018-11-20
3605096,Felix Bloch,"布洛赫,菲利克斯",,物理,,,2018-11-20
3605097,Frank Wilczek,"衛爾徹克,福蘭克",,物理,,,2018-11-20
3605098,Frederick Reines,"瑞恩斯,弗雷德里克",,物理,,,2018-11-20
3605099,George E. Smith,"斯密思,喬治",,物理,,,2018-11-20
3605100,George F. Smoot,"斯穆特,喬治",,物理,,,2018-11-20
3605101,George Paget Thomson,"湯姆森,喬治",,物理,,,2018-11-20
3605102,Hans Albrecht Bethe,"貝特,漢斯",,物理,,,2018-11-20
3605103,Hans Georg Dehmelt,"德梅爾特,漢斯",,物理,,,2018-11-20
3605104,Henry Way Kendall,"肯德爾,亨利",,物理,,,2018-11-20
3605105,Hugh David Politzer,"波利策,修",,物理,,,2018-11-20
3605106,Isidor Isaac Rabi,"拉比,伊西多",,物理,,,2018-11-20
3605107,Jack St. Clair Kilby,"基爾比,傑克",,物理,,,2018-11-20
3605108,Jack Steinberger,"斯丹伯格,傑克",,物理,,,2018-11-20
3605109,James Chadwick,"查德威克,詹姆斯",,物理,,,2018-11-20
3605110,James Watson Cronin,"克羅寧,詹姆斯",,物理,,,2018-11-20
3605111,Jerome I. Friedman,"弗里德門,傑榮",,物理,,,2018-11-20
3605112,John Bardeen,"巴丁,約翰",,物理,,,2018-11-20
3605113,John C. Mather,"馬德,約翰",,物理,,,2018-11-20
3605114,John Douglas Cockcroft,"寇克若夫特,約翰",,物理,,,2018-11-20
3605115,John Hasbrouck Van Vleck,"范夫雷克,約翰",,物理,,,2018-11-20
3605116,John L. Hall,"霍爾,約翰",,物理,,,2018-11-20
3605117,John M. Kosterlitz,"寇斯特里茨,約翰",,物理,,,2018-11-20
3605118,John Robert Schrieffer,"施里弗,約翰",,物理,,,2018-11-20
3605119,John William Strutt,"斯綽特,約翰",,物理,,,2018-11-20
3605120,"Joseph Hooton Taylor, Jr.","泰勒,約瑟夫",,物理,,,2018-11-20
3605121,Joseph John Thomson,"湯姆森,約瑟夫",,物理,,,2018-11-20
3605122,Julian Schwinger,"許溫格,朱利恩",,物理,,,2018-11-20
3605123,Kenneth G. Wilson,"威爾森,肯尼斯",,物理,,,2018-11-20
3605124,Konstantin Novoselov,"諾沃斯洛夫,康斯坦丁",,物理,,,2018-11-20
3605125,Leo James Rainwater,"瑞恩沃特,利奧",,物理,,,2018-11-20
3605126,Leon Max Lederman,"雷德門,利恩",,物理,,,2018-11-20
3605127,Leon Neil Cooper,"庫柏,利恩",,物理,,,2018-11-20
3605128,Luis Walter Alvarez,"阿爾瓦瑞茲,路易斯",,物理,,,2018-11-20
3605129,Maria Goeppert-Mayer,"高普特-麥爾,瑪麗亞",,物理,,,2018-11-20
3605130,Martin Lewis Perl,"普爾,馬丁",,物理,,,2018-11-20
3605131,Martin Ryle,"賴爾,馬丁",,物理,,,2018-11-20
3605132,Max Born,"波恩,馬克斯",,物理,,,2018-11-20
3605133,Melvin Schwartz,"施沃茨,梅爾文",,物理,,,2018-11-20
3605134,Murray Gell-Mann,"蓋爾-曼,默里",,物理,,,2018-11-20
3605135,Nevill Francis Mott,"莫特,內維爾",,物理,,,2018-11-20
3605136,Nicolaas Bloembergen,"布倫伯根,尼可勒斯",,物理,,,2018-11-20
3605137,Norman Foster Ramsey,"阮季,諾門",,物理,,,2018-11-20
3605138,Otto Stern,"斯德恩,歐投",,物理,,,2018-11-20
3605139,Owen Chamberlain,"錢伯倫,歐文",,物理,,,2018-11-20
3605140,Owen Willans Richardson,"瑞查森,歐文",,物理,,,2018-11-20
3605141,Patrick Maynard Stuart Blackett,"布拉克特,派垂克",,物理,,,2018-11-20
3605142,Paul Dirac,"狄拉克,保羅",,物理,,,2018-11-20
3605143,Percy Williams Bridgman,"布里吉曼,普西",,物理,,,2018-11-20
3605144,Peter Higgs,"希格斯,彼得",,物理,,,2018-11-20
3605145,Philip Warren Anderson,"安德森,菲利普",,物理,,,2018-11-20
3605146,Polykarp Kusch,"庫許,波利卡普",,物理,,,2018-11-20
3605147,"Raymond Davis, Jr.","戴維斯,瑞門德",,物理,,,2018-11-20
3605148,Riccardo Giacconi,"賈寇尼,里卡爾多",,物理,,,2018-11-20
3605149,Richard E. Taylor,"泰勒,理查",,物理,,,2018-11-20
3605150,Richard Phillips Feynman,"費曼,理查",,物理,,,2018-11-20
3605151,Robert Andrews Millikan,"密立肯,羅伯特",,物理,,,2018-11-20
3605152,Robert B. Laughlin,"拉夫林,羅伯特",,物理,,,2018-11-20
3605153,Robert Coleman Richardson,"理查森,羅伯特",,物理,,,2018-11-20
3605154,Robert Hofstadter,"霍夫司塔特,羅伯特",,物理,,,2018-11-20
3605155,Robert Woodrow Wilson,"威爾森,羅伯特",,物理,,,2018-11-20
3605156,Roy J. Glauber,"葛勞伯,羅伊",,物理,,,2018-11-20
3605157,Russell Alan Hulse,"赫爾斯,拉瑟爾",,物理,,,2018-11-20
3605158,Samuel Chao Chung Ting,丁肇中,,物理,,,2018-11-20
3605159,Saul Perlmutter,"普爾馬特,索爾",,物理,,,2018-11-20
3605160,Sheldon Lee Glashow,"格拉修,謝爾登",,物理,,,2018-11-20
3605161,Shuji Nakamura,中村修二,,物理,,,2018-11-20
3605162,Steven Chu,朱棣文,,物理,,,2018-11-20
3605163,Steven Weinberg,"溫伯格,斯蒂文",,物理,,,2018-11-20
3605164,Subrahmanyan Chandrasekhar,"禪卓薛可,蘇布拉曼揚",,物理,,,2018-11-20
3605165,Tsung-Dao Lee,李政道,,物理,,,2018-11-20
3605166,Val Logsdon Fitch,"費區,瓦爾",,物理,,,2018-11-20
3605167,Walter Houser Brattain,"布瑞騰,沃特",,物理,,,2018-11-20
3605168,Willard S. Boyle,"博伊爾,威勒德",,物理,,,2018-11-20
3605169,William Alfred Fowler,"福奧勒,威廉",,物理,,,2018-11-20
3605170,William Bradford Shockley,"修可里,威廉",,物理,,,2018-11-20
3605171,William Daniel Phillips,"菲利普斯,威廉",,物理,,,2018-11-20
3605172,William Henry Bragg,"布瑞格,威廉·亨利",,物理,,,2018-11-20
3605173,William Lawrence Bragg,"布瑞格,威廉·洛倫斯",,物理,,,2018-11-20
3605174,Willis Eugene Lamb,"蘭姆,威利斯",,物理,,,2018-11-20
3605175,Wolfgang Paul,"保羅,沃夫岡",,物理,,,2018-11-20
3605176,Yoichiro Nambu,南部陽一郎,,物理,,,2018-11-20
