ID,英文名稱,中文名稱,圖片,德文,日文,法類/法條,審定日期,更新日期
21387704,Procuring stolen goods for a third party {Ger.},使第三人取得贓物,,Drittverschaffung im Rahmen der Hehlerei {Ger.},,刑法第34章,114.07.26,
21387706,Providing a place for illegal gambling,供給賭博場所,,Bereitstellung von Glücksspieleinrichtungen {Ger.},,刑法,114.07.12,
21387708,Other illegal means,其他非法之方法,,Andere illegale Methoden {Ger.},,毒品危害防制條例,114.07.12,
21387710,Other technological means,其他科技方法,,Andere technologische Mittel {Ger.},,刑法319-1,114.07.12,
21387712,Other means of communication,其他傳播工具,,Andere Kommunikationsmittel {Ger.},,刑法,114.07.12,
21387714,Substances with similar chemical structure,具有類似化學結構之物質,,Substanzen mit ähnlicher chemischer Struktur {Ger.},,毒品危害防制條例,114.07.12,
21387716,Killing upon request,受囑託殺人,,Tötung auf Verlangen {Ger.},,刑法第22章,114.07.12,
21387718,Removal of minors,和誘未成年人罪,,Entführung Minderjähriger {Ger.},,刑法,114.07.12,
21387720,Sexual image,性影像,,Sexuelle Abbildung {Ger.},,刑法,114.07.12,
21387722,Carriers and objects of sexual images,性影像之附著物及物品,,Träger und Gegenstände sexueller Abbildungen {Ger.},,刑法319-5,114.07.12,
21387724,Sexual abuse,性濫用行為,,Sexueller Missbrauch {Ger.},,刑法,114.07.12,
21387726,Sexual-related,性關聯,,Sexualbezogenheit {Ger.},,刑法,114.07.12,
21387728,Ownership,所有權,,Eigentum {Ger.},,刑法,114.07.12,
21387730,Arson,放火,,Brandstiftung {Ger.},,刑法,114.07.12,
21387732,Release of radioactivity,放逸放射線,,Fresetzen ionisierender Strahlen {Ger.},,刑法,114.07.12,
21387734,Release of nuclear energy,放逸核能,,Freisetzen von Kernenergie {Ger.},,刑法,114.07.12,
21387736,Legal services,法律服務,,Rechtsdienstleistungen {Ger.},,毒品危害防制條例,114.07.12,
21387738,Danger to society,社會危害性,,Sozialgefährlichkeit {Ger.},,毒品危害防制條例,114.07.12,
21387740,Financial supervisory commission,金融監督管理機構,,Finanzaufsichtskommission {Ger.},,洗錢防制法,114.07.12,
21387742,Financial Institution,金融機構,,Finanzinstitut {Ger.},,洗錢防制法,114.07.12,
21387744,Burglary,侵入住宅竊盜,,Wohnungseinbruchdiebstahl {Ger.},,刑法第29章,114.07.12,
21387746,Embezzlement,侵占罪,,Unterschlagung {Ger.},,刑法第31章,114.07.12,
21387748,Prompting of minors' sexual acts / Promotion of sexual acts by minors,促使未成年人為性行為,,Förderung sexueller Handlungen Minderjähriger {Ger.},,刑法,114.07.12,
21387751,Insurance company,保險公司,,Versicherungsgesellschaft {Ger.},,洗錢防制法,114.07.12,
21387753,Protection and placement,保護安置,,Schutz und Unterbringung {Ger.},,毒品危害防制條例,114.07.12,
21387755,Beneficiary,信託之受益人,,Treubegünstigte(r) {Ger.},,洗錢防制法,114.07.12,
21387757,Trustee,信託之受託人,,,,洗錢防制法,114.07.12,
21387759,Settlor,信託之委託人,,Treugeber:in {Ger.},,洗錢防制法,114.07.12,
21387761,Trust Agent,信託代理人,,Treuhandvertreter {Ger.},,洗錢防制法,114.07.12,
21387763,Trust Service Provider,信託服務業者,,Treuhanddienstleister {Ger.},,洗錢防制法,114.07.12,
21387765,Trust Relationship,信託關係,,Treuhandverhältnis {Ger.},,洗錢防制法,114.07.12,
21387767,"Abuse of titles, professional designations and symbols",冒用公務員服飾、徽章或官銜,,"Missbrauch von Titeln, Berufsbezeichungen und Abzeichen {Ger.}",,刑法第7章,114.07.12,
21387769,Customer due diligence,客戶審查程序,,Kundenprüfungsverfahren {Ger.},,洗錢防制法,114.07.12,
21387771,Lawyer,律師,,Rechtsanwalt:in {Ger.},,洗錢防制法,114.07.12,
21387773,Possession of child or juvenile pornography,持有兒童或少年之性影像,,Besitz kinderpornographisher Schriften {Ger.},,刑法,114.07.12,
