ID,英文名稱,中文名稱,圖片,德文,日文,法類/法條,審定日期,更新日期
21388071,Data espionage,窺探電磁紀錄,,Ausspähen von Daten {Ger.},,刑法第36章,114.07.12,
21388073,Theft against family members or relatives,親屬間竊盜罪,,Familiendiebstahl {Ger.},,刑法第29章,114.07.12,
21388075,Murder,謀殺,,Mord {Ger.},,刑法第22章,114.07.12,
21388077,Desertion,遺棄,,Aussetzung {Ger.},,刑法,114.07.12,
21388079,Taking photographs or other images,錄相；錄像,,Bildaufnahme {Ger.},,刑法,114.07.12,
21388081,Assisting suicide,幫助自殺,,Beihilfe zu Selbstmord {Ger.},,刑法第22章,114.07.12,
21388083,Potential for abuse,濫用性,,Missbrauchspotenzial {Ger.},,毒品危害防制條例,114.07.12,
21388085,Trade secrets,營業秘密,,Geschäftsgeheimnis {Ger.},,刑法,114.07.12,
21388087,Authorized to access data,獲取電磁紀錄存取權限,,Verschaffen von Zugang zu Daten {Ger.},,刑法第36章,114.07.12,
21388089,Participating in illegal gambling,舉辦賭博；聚眾賭博,,Beteiligung am unerlaubten Glücksspiel {Ger.},,刑法,114.07.12,
21388091,Conducting illegal gambling,舉辦賭博；聚眾賭博,,Ｕnerlaute Veranstaltung eines Glücksspiel {Ger.},,刑法,114.07.12,
21388093,Interference with religious service,褻瀆祀典,,Störung der Religionsausübung {Ger.},,刑法第18章,114.07.12,
21388095,Data manipulation,竄改電磁紀錄,,Datenveränderung {Ger.},,刑法第36章,114.07.12,
21388097,Vocational training,職業訓練,,Berufsausbildung {Ger.},,毒品危害防制條例,114.07.12,
21388099,Acts of exhibitionism,曝陰癖之行為,,Exhibitionistische Handlungen {Ger.},,刑法,114.07.12,
21388101,Securities firm,證券商,,Wertpapierunternehmen {Ger.},,洗錢防制法,114.07.12,
21388103,Theft with weapon,攜帶兇器竊盜,,Diebstahl mit Waffen {Ger.},,刑法第29章,114.07.12,
21388105,Crimes related to stolen goods,贓物罪,,Hehlerei {Ger.},,刑法第34章,114.07.12,
21388107,Tapping of power,竊取能量罪,,Entziehung der Energie {Ger.},,刑法第29章,114.07.12,
21388109,Electricity theft,竊取電能罪,,Entziehung elektrischer Energie {Ger.},,刑法第29章,114.07.12,
21388111,Theft,竊盜,,Diebstahl {Ger.},,刑法,114.07.12,
