ID,英文名稱,中文名稱,圖片,組別,審定日期,更新日期
21381684,task force organization,任務編組組織,,營建管理,114.03.15,
21381685,taxes on payroll,薪資稅,,營建管理,114.03.15,
21381686,team introduction,團隊介紹,,營建管理,113.09.28,
21381687,tempered glass,鋼化玻璃；強化玻璃,,營建管理,114.05.10,
21381688,temporary backing,暫時性背襯,,結構工程,113.04.13,
21381689,temporary barrier,臨時護欄；臨時屏障物,,營建管理,114.03.15,
21381690,temporary certificate of occupancy (TCO),臨時建物使用執照；臨時建物使照,,營建管理,114.05.10,
21381691,temporary facility,臨時設施,,營建管理,114.03.15,
21381692,temporary weld,暫銲,,結構工程,113.04.13,
21381693,tenon,榫,,營建管理,114.05.10,
21381694,tension field action,張力場作用,,結構工程,113.04.13,
21381695,test area,測試部位,,結構工程,113.04.13,
21381696,test material,試驗材料,,結構工程,113.04.13,
21381697,test specimen,試片；試體,,結構工程,113.04.13,
21381698,The American Federation of Labor and Congress of Industrial Organizations (AFL-CIO),美國勞工聯盟與產業組織代表會,,營建管理,114.03.15,
21381699,The Association for the Advancement of Cost Engineering (AACE),[美國]精進成本工程學會,,營建管理,114.03.15,
21381700,theoretical throat,理論喉厚；理論喉深,,結構工程,113.04.13,
21381701,thermal cutting,熱切割,,結構工程,113.04.13,
21381702,thermal transmission,熱傳遞；熱傳透,,營建管理,114.03.15,
21381703,thermal-mechanical control process (TMCP),熱機控制壓延製程,,結構工程,113.04.13,
21381704,thin set,薄塗施工；薄層砂漿{磁磚},,營建管理,114.05.10,
21381705,third party inspection,第三方檢查,,營建管理,114.05.10,
21381706,third party suit,第三方訴訟,,營建管理,113.07.20,
21381707,third-party beneficiary,第三方受益人,,營建管理,113.07.20,
21381708,third-party guarantor,第三方保證人,,營建管理,114.03.15,
21381709,three-electrode welding,三極銲接,,結構工程,113.04.13,
21381710,throat thickness,喉厚；喉深,,結構工程,113.04.13,
21381711,through arch,穿越式拱橋,,結構工程,113.04.13,
21381712,through deck shear stud,貫穿式剪力釘,,結構工程,113.04.13,
21381713,through wall unit,穿牆安裝單元,,營建管理,114.05.10,
21381714,tilt window,上推窗；上掀窗,,營建管理,114.05.10,
21381715,time and materials (T&M) contract,工料計價契約,,營建管理,113.09.28,
21381716,time and materials contracts,時間與材料契約,,營建管理,114.03.15,
21381717,time card,計時卡,,營建管理,113.07.20,
21381718,time control,時間控制,,營建管理,113.07.20,
21381719,time factor,時間因數；時間因子,,大地工程及結構,113.06.08,
21381720,time requirement,時間要求,,營建管理,114.03.15,
21381721,time sheet,工時單,,營建管理,114.03.15,
21381722,time value of money,金錢時間價值,,營建管理,113.08.10,
21381723,time-chainage diagram,時間距離圖,,營建管理,113.08.10,
21381724,time-distance diagram,時間距離圖,,營建管理,113.08.10,
21381725,timekeeper,計時員,,營建管理,113.08.10,
21381726,time-lapse photography,縮時攝影,,營建管理,113.08.10,
21381727,tinted glass,染色玻璃,,營建管理,114.05.10,
21381728,title line,地權線,,營建管理,114.05.10,
21381729,title to material,材料歸屬權,,營建管理,113.07.20,
21381730,toe crack,銲趾裂縫,,結構工程,113.04.13,
21381731,toe joint,趾部接合,,結構工程,113.04.13,
21381732,toe nail,趾釘法,,營建管理,114.05.10,
21381733,tool box talk,工具箱會議；危害告知宣導,,營建管理,114.05.10,
21381734,toolbox meeting,工具箱會議,,營建管理,113.09.28,
21381735,top down construction,逆打工法,,營建管理,113.09.28,
21381736,topographical survey,地形測量,,營建管理,114.03.15,
21381737,torch,銲槍；切割槍,,結構工程,113.04.13,
21381738,torch angle,銲槍角度；銲條角度,,結構工程,113.04.13,
21381739,torch inclination,銲槍傾斜角度,,結構工程,113.04.13,
21381740,torn surface,暫銲拆除傷痕,,結構工程,113.04.13,
21381741,torque control bolt (TCB),扭力控制型螺栓,,結構工程,113.04.13,
21381742,tort liability,侵權責任,,營建管理,113.09.28,
21381743,total cost of ownership (TCO),總持有成本,,營建管理,113.08.10,
21381744,total density,總密度,,大地工程及結構,113.06.08,
21381745,total system warranty,全系統保固,,營建管理,114.03.15,
21381746,touch up,補漆,,結構工程,113.04.13,
21381747,tractor-pulled scraper,牽引式刮運機,,營建管理,113.09.28,
21381748,trade association,同業公會,,營建管理,113.09.28,
21381749,trade union,工會；職業工會,,營建管理,113.07.20,
21381750,trade unions,職業工會,,營建管理,113.09.28,
21381751,trades,行業；工種,,營建管理,113.09.28,
21381752,Trans-Alaska Pipeline System,阿拉斯加輸油管路系統,,營建管理,113.09.28,
21381753,transom,橫楣；門窗上方小窗,,營建管理,114.05.10,
21381754,transverse bending distortion,側向彎曲扭曲變形,,結構工程,113.04.13,
21381755,transverse face bend test,橫向面彎試驗,,結構工程,113.04.13,
21381756,transverse rib,橫向肋條,,結構工程,113.04.13,
21381757,transverse root bend test,橫向背彎試驗{銲道橫向試片之背彎試驗},,大地工程及結構,113.06.08,
21381758,transverse shrinkage distortion,橫向收縮變形,,大地工程及結構,113.06.08,
21381759,transverse side bend test,橫向側彎試驗{銲道橫向試片之側彎試驗},,大地工程及結構,113.06.08,
21381760,transverse tensile test,橫向拉伸試驗{銲道橫向試片之拉伸試驗},,大地工程及結構,113.06.08,
21381761,traveling project manager (TPM),外派專案經理,,營建管理,113.08.10,
21381762,trench drain,地面截水溝,,營建管理,114.05.10,
21381763,trenchless excavation,免開挖管道工法,,營建管理,114.05.10,
21381764,trestle,棧橋,,大地工程及結構,113.06.08,
21381765,truck wash,洗車設施,,營建管理,114.05.10,
21381766,true divided lite,真實格子窗,,營建管理,114.03.15,
21381767,tubular-cored metal-arc welding with active gas shield,包藥銲線MAG銲接,,大地工程及結構,113.06.08,
