ID,英文名稱,中文名稱,圖片,所在國,經緯坐標,備註,更新日期
3016052,"Texoma, L.",德克索馬湖,,美國,33° 49′ N 96° 34′ W,,2017-06-09
3016053,Tezpur,提斯浦,,印度,26° 38′ N 92° 48′ E,,2017-06-09
3016054,Tha Uthen (Mueang Tha Uthen),他吁廷[縣],,泰國,17° 35′ N 104° 36′ E,,2017-06-09
3016055,Tha-anne R.,塔安尼河,,加拿大,60° 31′ N 94° 37′ W,,2017-06-09
3016056,Thabana Ntlenyana,塔巴納恩特倫雅納山,,賴索托,29° 28′ S 29° 16′ E,,2017-06-09
3016057,Thabazimbi,塔巴津比,,南非,24° 36′ S 27° 25′ E,,2017-06-09
3016058,"Thabor, Mont",塔波山,,法國,45° 07′ N 6° 34′ E,,2017-06-09
3016059,Thadiq,塔地克,,沙烏地阿拉伯,25° 17′ N 45° 52′ E,,2017-06-09
3016060,Kingdom of Thailand,泰王國{=泰國},,{亞洲},,20190425修訂,2019-04-25
3016061,"Thailand, G. of (Siam, G. of)",泰國灣(暹羅灣),,{亞洲},10° 00′ N 102° 00′ E,,2017-06-09
3016062,Thakhek,他曲,,寮國,17° 24′ N 104° 48′ E,,2017-06-09
3016063,Thal,塔爾,,巴基斯坦,33° 22′ N 70° 33′ E,,2017-06-09
3016064,Thal (Thalkirch),塔爾[基希],,瑞士,46° 38′ N 9° 17′ E,,2017-06-09
3016065,Thala (Talah ),塔拉,,突尼西亞,35° 34′ N 8° 40′ E,,2017-06-09
3016066,"Thaleb, Bir",塔列布井,,茅利塔尼亞,21° 26′ N 12° 25′ W,,2017-06-09
3016067,Thallon,塔隆,,澳大利亞,28° 39′ S 148° 54′ E,,2017-06-09
3016068,"Thamad, Wadi",塔馬德乾河,,沙烏地阿拉伯,25° 38′ N 39° 21′ E,,2017-06-09
3016069,Thames,泰晤士,,紐西蘭,37° 08′ S 175° 32′ E,,2017-06-09
3016070,Thames R.,泰晤士河,,美國,41° 25′ N 72° 07′ W,,2017-06-09
3016071,"Thames, Firth of",泰晤士灣,,紐西蘭,37° 00′ S 175° 21′ E,,2017-06-09
3016072,"Thames, Mouth of the",泰晤士河口灣,,英國,51° 30′ N 0° 45′ E,,2017-06-09
3016073,"Thames, R.",泰晤士河,,英國,51° 29′ N 0° 30′ E,,2017-06-09
3016074,"Thamit, Wadi",塔密特乾河,,利比亞,31° 16′ N 16° 06′ E,,2017-06-09
3016075,Thandwe (Sandoway),丹兌(山多威),,緬甸,18° 28′ N 94° 22′ E,,2017-06-09
3016076,Thane (Thana),塔納,,印度,19° 12′ N 72° 58′ E,,2017-06-09
3016077,Thanesar,塔內薩爾,,印度,29° 58′ N 76° 50′ E,,2017-06-09
3016078,"Thanet, Isle of",薩尼特島,,英國,51° 22′ N 1° 25′ E,,2017-06-09
3016079,"Thanh Hoa, Tỉnh",清化省,,越南,20° 04′ N 105° 20′ E,,2017-06-09
3016080,"Thaniyah, Jabal",塔尼雅山,,葉門,15° 48′ N 46° 19′ E,,2017-06-09
3016081,Thanjavur,坦加武爾,,印度,10° 48′ N 79° 09′ E,,2017-06-09
3016082,Thann,坦恩,,法國,47° 48′ N 7° 06′ E,,2017-06-09
