ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3151453,carotenol,胡蘿蔔素醇,,叶黄素,2017-07-20
3151454,carotin,胡蘿蔔素,,胡萝卜素,2017-07-20
3151455,carrageenan,鹿角菜苷；角叉菜膠,,鹿角胶,2017-07-20
3151456,carrageenin,鹿角菜苷；角叉菜膠,,鹿角胶,2017-07-20
3151457,carrier,輸送機；載體,,载体,2017-07-20
3151458,carthamic acid,紅花素,,红花素,2017-07-20
3151459,carthamin(e),紅花素,,红花素,2017-07-20
3151460,cartridge,匣；筒,,弹药,2017-07-20
3151461,casein,酪蛋白,,干酪素,2017-07-20
3151462,casing-head gas,井口天然氣,,油田气,2017-07-20
3151463,cassiterite,錫石[礦],,锡石,2017-07-20
3151464,castor oil,蓖麻油,,蓖麻油,2017-07-20
3151465,catalyst,觸媒；催化劑,,催化剂,2017-07-20
3151466,catechol,兒茶酚,,儿茶酚,2017-07-20
3151467,cathartics,瀉藥,,泻药,2017-07-20
3151468,caustic potash,苛性鉀,,苛性钾,2017-07-20
3151469,caustic soda,氫氧化鈉；苛性鈉,,氢氧化钠,2017-07-20
3151470,CD｛cyclic dextrin｝,環糊精,,环糊精,2017-07-20
3151471,cell,電池；槽；細胞 {生化},,电池,2017-07-20
3151472,cellophane,賽珞凡；玻璃紙,,玻璃纸（赛璐玢）,2017-07-20
3151473,cellophane,賽珞凡；玻璃紙,,赛璐玢,2017-07-20
3151474,cellular materials,海綿狀材料,,蜂窝材料,2017-07-20
3151475,celluloid,賽璐珞,,赛璐珞,2017-07-20
3151476,cellulose,纖維素,,纤维素,2017-07-20
3151477,cement,水泥；膠合劑,,胶水,2017-07-20
3151478,cementing material,膠合劑,,胶凝材料,2017-07-20
3151479,cephalosporin,頭孢菌素,,头孢菌素,2017-07-20
3151480,ceramic,陶瓷,,烤瓷,2017-07-20
3151481,ceramics,陶瓷學；陶業,,陶瓷,2017-07-20
3151482,cerinic acid,蠟酸,,蜡酸,2017-07-20
3151483,cerotic acid,[蟲]蠟酸；二十六酸,,蜡酸,2017-07-20
3151484,cetylic acid,棕櫚酸；軟脂酸,,软脂酸,2017-07-20
3151485,change,變化,,变化,2017-07-20
3151486,chelate,螯合物；鉗合物,,螯合物,2017-07-20
3151487,chelate complex,螯合複合物；鉗合複合物,,螯合物,2017-07-20
3151488,chemical building material(s),化學建材,,化学建材,2017-07-20
3151489,chemical fiber,化學纖維,,化学纤维,2017-07-20
3151490,chemical kinetics,化學動力學,,化学动力学,2017-07-20
3151491,chemical power sources,化學電源,,化学电源,2017-07-20
3151492,chemical thermodynamics,化學熱力學,,化学热力学,2017-07-20
3151493,chemical war agent,化學戰劑,,化学战剂,2017-07-20
3151494,chemical weapon,化學武器,,化学武器,2017-07-20
3151495,chemicals,化學物質；化學品,,化学品,2017-07-20
3151496,chemistry,化學,,化学,2017-07-20
3151497,chewing gum,口香糖,,胶姆糖基,2017-07-20
3151498,Chicago acid,芝加哥酸,,芝加哥酸,2017-07-20
3151499,Chilli Red,辣椒紅,,辣椒红,2017-07-20
3151500,china,瓷,,瓷,2017-07-20
3151501,China wood oil,桐油,,桐油,2017-07-20
3151502,Chinese (vegetable) tallow,烏桕蠟,,桕油,2017-07-20
3151503,Chinese ink,墨[汁],,墨汁,2017-07-20
3151504,Chinese tallowtree seed oil,梓油,,梓油,2017-07-20
3151505,chinine,金雞納鹼；奎寧,,奎宁,2017-07-20
3151506,chinoline,喹啉,,喹啉,2017-07-20
3151507,chinone,醌,,醌,2017-07-20
3151508,chitin,幾丁質,,几丁质,2017-07-20
3151509,chitin,幾丁質,,甲壳质,2017-07-20
3151510,chlor(o)azotic acid,王水,,王水,2017-07-20
3151511,chloramphenicol,氯黴素,,氯霉素,2017-07-20
3151512,chlordan(e),氯丹,,氯丹,2017-07-20
3151513,chlorethylene,氯乙烯,,氯乙烯,2017-07-20
3151514,chlorinated paraffin,氯[化]石蠟,,氯化石蜡,2017-07-20
3151515,chlorinated wax,氯化蠟,,氯化石蜡,2017-07-20
3151516,chlorine dioxide,二氧化氯,,二氧化氯,2017-07-20
3151517,chloroethylene｛=VC｝,氯乙烯,,氯乙烯,2017-07-20
3151518,chloroform,氯仿,,氯仿,2017-07-20
3151519,chloromycetin,氯黴素,,氯霉素,2017-07-20
3151520,chloroparaffin(e),氯[化]石蠟,,氯化石蜡,2017-07-20
3151521,chlorophyll,葉綠素,,叶绿素,2017-07-20
3151522,chlortrimeton,氯菲尼拉明,,扑尔敏,2017-07-20
3151523,chromatogram,層析圖,,色谱,2017-07-20
3151524,chromone,色[原]酮,,色酮,2017-07-20
3151525,cinder,燼渣；爐渣,,熔渣,2017-07-20
3151526,cinnabar,辰砂；硃砂,,朱砂,2017-07-20
3151527,cinnabarite,辰砂,,辰砂,2017-07-20
3151528,cinnamic acid,桂皮酸；肉桂酸,,肉桂酸,2017-07-20
3151529,cinnoline,【口辛】啉,,噌啉,2017-07-20
3151530,cis-3-hexen-1-ol,順3-己烯-1-醇,,叶醇,2017-07-20
3151531,citric acid,檸檬酸,,柠檬酸,2017-07-20
3151532,citrine,黃[水]晶,,黄晶,2017-07-20
3151533,citrite,黃[水]晶,,黄晶,2017-07-20
3151534,civet,麝貓香,,灵猫香,2017-07-20
3151535,civetone,靈貓酮,,灵猫酮,2017-07-20
3151536,clathrate,晶籠化合物,,包合物,2017-07-20
3151537,clay,黏土,,黏土,2017-07-20
3151538,cleaning agent,洗淨劑,,清洗剂,2017-07-20
3151539,cleansing solution,洗淨液,,洗液,2017-07-20
3151540,clear gasoline,無鉛汽油,,无铅汽油,2017-07-20
3151541,clindamycin,克林達黴素,,克林霉素,2017-07-20
3151542,cluster,團簇,,原子簇,2017-07-20
3151543,CO,一氧化碳,,一氧化碳,2017-07-20
3151544,coal gangue,煤矸石,,煤矸石,2017-07-20
3151545,coal gas,煤氣,,煤成气,2017-07-20
3151546,coal gas,煤氣,,煤气,2017-07-20
3151547,coal oven gas,焦爐煤氣,,焦炉煤气,2017-07-20
3151548,coal tar,煤溚；煤焦油,,煤焦油,2017-07-20
3151549,coating,塗膜；塗布；塗裝；塗層,,涂层,2017-07-20
3151550,coating plastic,塗布塑料,,包衣塑料,2017-07-20
3151551,coatings,塗料；塗層,,涂料,2017-07-20
3151552,cobalamine,鈷胺素,,钴胺素,2017-07-20
3151553,cocaine,古柯鹼,,可卡因,2017-07-20
3151554,cocarcinogen,輔誘癌劑,,助癌剂,2017-07-20
3151555,cocoanut oil,椰子油,,椰油,2017-07-20
3151556,cod liver oil,鱈魚肝油,,鱼肝油,2017-07-20
3151557,codeine,可待因,,可待因,2017-07-20
3151558,colchicin,秋水仙鹼,,秋水仙碱,2017-07-20
3151559,colchicine,秋水仙鹼,,秋水仙碱,2017-07-20
3151560,colistin,柯利黴素；黏菌素,,黏菌素,2017-07-20
3151561,Colla Corii Asini,阿膠,,阿胶,2017-07-20
3151562,colleseed oil,菜籽油,,菜(子)油,2017-07-20
3151563,collodion,火棉膠,,火棉胶,2017-07-20
3151564,collodium,火棉膠,,火棉胶,2017-07-20
3151565,colo(u)ring matter,色料,,色素,2017-07-20
3151566,color concentrate,色精,,色母料,2017-07-20
3151567,colored glaze,色釉,,琉璃,2017-07-20
3151568,coloured glaze,色釉,,琉璃,2017-07-20
3151569,colza oil,菜[籽]油,,菜(子)油,2017-07-20
3151570,common salt,食鹽,,氯化钠,2017-07-20
3151571,complex,錯合物；複合物,,络合物,2017-07-20
3151572,complex compound,錯合物；複合物,,络合物,2017-07-20
3151573,complex compound,錯合物；複合物,,配位化合物，配合物,2017-07-20
3151574,component,成分,,组分,2017-07-20
3151575,composite,複合材料,,复合材料,2017-07-20
3151576,composition,組成,,组成,2017-07-20
3151577,compound,化合物,,化合物,2017-07-20
3151578,concrete,混凝土,,混凝土,2017-07-20
3151579,conservative,防腐劑,,防腐剂,2017-07-20
3151580,construction material(s),建築材料；結構材料,,建筑材料,2017-07-20
3151581,constructional material(s),營建材料,,建筑材料,2017-07-20
3151582,contraceptive,避孕劑,,避孕药,2017-07-20
3151583,conveyer belt,運送帶,,运输带,2017-07-20
3151584,coordination compound,配位化合物,,配位化合物，配合物,2017-07-20
3151585,copperas,綠礬,,绿矾,2017-07-20
3151586,coronene,蔻,,晕苯,2017-07-20
3151587,corrosion inhibitor,腐蝕抑制劑,,缓蚀剂,2017-07-20
3151588,cortisol,皮質醇,,皮质类固醇,2017-07-20
3151589,cortisone,皮質酮；可體松,,可的松,2017-07-20
3151590,corundum,剛玉；金剛砂,,刚玉,2017-07-20
3151591,cosmetics,化妝品,,化妆品,2017-07-20
3151592,cottonseed oil,棉籽油；棉子油,,棉子油,2017-07-20
3151593,cottonseed oil soap,棉籽油肥皂,,棉油皂,2017-07-20
3151594,coumarin,香豆素；薰草素,,香豆素,2017-07-20
3151595,cracking gas,裂煉氣；裂解氣,,裂化气,2017-07-20
3151596,crimson glory rose concrete,墨紅浸膏,,墨红浸膏,2017-07-20
3151597,crown ether,冠醚,,冠醚,2017-07-20
3151598,crucible,坩堝,,坩埚,2017-07-20
3151599,cryptate,穴狀化合物,,穴状化合物,2017-07-20
3151600,crystal carbonate,結晶碳酸鈉,,晶碱,2017-07-20
3151601,cubane,立方烷,,立方烷,2017-07-20
3151602,curare,箭毒,,箭毒,2017-07-20
3151603,curcumin,薑黃素,,姜黄素,2017-07-20
3151604,current source,電流源,,电源,2017-07-20
3151605,cut fraction,餾分,,馏分,2017-07-20
3151606,cuts,餾分,,馏分,2017-07-20
3151607,cyanide,氰化物,,氰化物,2017-07-20
3151608,cyanoethylene,丙烯腈,,丙烯腈,2017-07-20
3151609,cyanogen,氰,,氰,2017-07-20
3151610,cyanogenetic glycoside,氰苷,,氰苷,2017-07-20
3151611,cyanohydrin,氰醇,,羟腈,2017-07-20
3151612,cyclic diester,交酯,,交酯,2017-07-20
3151613,cyclodextrin,環糊精,,环糊精,2017-07-20
3151614,cyclohexanone,環己酮,,环己酮,2017-07-20
3151615,cyclopentadienyl,環戊二烯基,,茂,2017-07-20
3151616,cyclophane,環芳,,环芬,2017-07-20
3151617,cycloserine,環絲胺酸,,环丝氨酸,2017-07-20
3151618,cyclotetramethylenetetranitramine,環四亞甲四硝胺；八角硝胺,,奥克托今,2017-07-20
3151619,cynnematin,共黴素；頭孢菌素,,头孢菌素,2017-07-20
3151620,damar,丹瑪樹脂,,达玛树脂,2017-07-20
3151621,dammar,丹瑪樹脂,,达玛树脂,2017-07-20
3151622,datiscetin,橡精,,橡精,2017-07-20
3151623,daub,膠泥,,胶泥,2017-07-20
3151624,dazomet,邁隆{農藥},,棉隆,2017-07-20
3151625,DDD,DDD；滴滴滴,,滴滴滴,2017-07-20
3151626,DDT,DDT；滴滴涕,,滴滴涕,2017-07-20
3151627,DDVP,DDVP；滴滴微皮{殺蟲劑},,敌敌畏,2017-07-20
3151628,deacetylated chitin,去乙醯幾丁質,,壳聚糖,2017-07-20
3151629,deer-lick,[鹿舔]鹽鹼地,,盐碱地,2017-07-20
3151630,deionized water,去離子水,,去离子水,2017-07-20
3151631,denture,義齒；假牙,,义齿（假牙）,2017-07-20
3151632,depleted material,耗乏材料,,贫料,2017-07-20
3151633,derrin,魚藤酮,,鱼藤酮,2017-07-20
3151634,desiccation,乾燥器,,干燥,2017-07-20
3151635,detergent,清潔劑,,洗涤剂,2017-07-20
3151636,deuterated water,重水,,重水,2017-07-20
3151637,Dewar benzene,杜瓦苯,,杜瓦苯,2017-07-20
3151638,dextran,葡聚糖；聚葡[萄]糖,,葡聚糖,2017-07-20
3151639,dextrin,糊精,,糊精,2017-07-20
3151640,dextrose,右旋糖；葡萄糖,,葡萄糖,2017-07-20
3151641,diacetyl morphine,二乙醯基嗎啡,,海洛因,2017-07-20
3151642,diamond,鑽石；金剛石,,钻石,2017-07-20
3151643,diatomaceous earth,矽藻土,,硅藻土,2017-07-20
3151644,diatomite,矽藻土,,硅藻土,2017-07-20
3151645,diazane,二氮烷；肼,,肼,2017-07-20
3151646,diazo,重氮基,,重氮,2017-07-20
3151647,dichlorvos,二氯松；滴滴微皮{殺蟲劑},,敌敌畏,2017-07-20
3151648,diesel fuel,柴油燃料,,柴油,2017-07-20
3151649,diesel oil,柴油,,柴油,2017-07-20
3151650,diethyl ether,乙醚；二乙基醚,,乙醚,2017-07-20
3151651,diethylbarbituric acid,二乙基巴比妥酸,,巴比妥,2017-07-20
3151652,diethylenediamine,哌【口井】,,哌嗪,2017-07-20
3151653,dimethoate,大滅松,,乐果,2017-07-20
3151654,diphenyl,聯苯,,联苯,2017-07-20
3151655,dipyrone,安乃近,,安乃近,2017-07-20
3151656,disc,磁碟；光碟；碟[片],,光盘,2017-07-20
3151657,dolantin,杜冷丁,,杜冷丁,2017-07-20
3151658,dolantine,杜冷丁,,杜冷丁,2017-07-20
3151659,donkey-hide gelatin,阿膠,,阿胶,2017-07-20
3151660,dope,摻雜劑；添補劑,,透布油,2017-07-20
3151661,double salt,複鹽,,复盐,2017-07-20
3151662,drikold,乾冰{商品名},,干冰,2017-07-20
3151663,drugs,藥物,,"药品,药物",2017-07-20
3151664,dry cell,乾電池,,干电池,2017-07-20
3151665,dry ice,乾冰,,干冰,2017-07-20
3151666,drying,乾燥,,干燥,2017-07-20
3151667,durene,荰,,杜烯,2017-07-20
3151668,dye,染料；色素,,染料,2017-07-20
3151669,dyestuff,染料,,染料,2017-07-20
3151670,earth,[泥]土,,土,2017-07-20
3151671,elastomer,彈性體,,弹性体,2017-07-20
3151672,electric charge,電荷,,电荷,2017-07-20
3151673,electric source,電源,,电源,2017-07-20
3151674,electrolyte,電解質,,电解质,2017-07-20
3151675,eluant gas,沖洗氣體,,载气,2017-07-20
3151676,embonic acid,撲酸,,扑酸,2017-07-20
3151677,embrocation,擦劑,,搽剂,2017-07-20
3151678,emerald green,巴黎綠；翡翠綠；祖母綠,,巴黎绿,2017-07-20
3151679,emery,剛砂；剛石粉,,金刚砂,2017-07-20
3151680,emetine,吐根鹼,,吐根碱,2017-07-20
3151681,emulsified asphalt,乳化瀝青,,乳化沥青,2017-07-20
3151682,emulsified bitumen,乳化瀝青,,乳化沥青,2017-07-20
3151683,emulsifier,乳化劑；乳化器,,乳化剂,2017-07-20
3151684,emulsifying agent,乳化劑,,乳化剂,2017-07-20
3151685,emulsin,苦杏仁酶,,苦杏仁酶,2017-07-20
3151686,enamel,琺瑯；瓷漆；搪瓷,,珐琅,2017-07-20
3151687,enamelware,琺瑯器,,搪瓷,2017-07-20
3151688,engineering plastic(s),工程塑膠,,工程塑料,2017-07-20
3151689,ephedrin,麻黃素,,麻黄素,2017-07-20
