ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2938574,Schulz-Zimm distribution,舒爾茨-齊姆分布,,舒尔茨-齐姆分布,2017-06-03
2938575,scission,斷裂,,断键,2017-06-03
2938576,SCLC {=space- charge-limited current},空間電荷限制電流,,空间电荷限制电流,2017-06-03
2938577,sclerometer,硬度計,,硬度计,2017-06-03
2938578,scope,範圍,,范围,2017-06-03
2938579,scorch retarder,防焦劑,,防焦剂,2017-06-03
2938580,scorching,過早硫化[現象]；焦化[現象],,①焦烧 ②过早硫化,2017-06-03
2938581,scorching test,焦化試驗,,焦烧试验,2017-06-03
2938582,scorch-resisting treatment,防焦處理,,抗焦处理,2017-06-03
2938583,Scott flexometer,斯科特撓度計,,斯科特挠度计,2017-06-03
2938584,scouring,洗滌,,洗毛[毛纺中的一道工序],2017-06-03
2938585,scrap rubber,廢橡膠,,废橡胶；杂胶,2017-06-03
2938586,scraper,刮刀,,刮板,2017-06-03
2938587,scraper chiller,刮刀冷凍器,,刮刀式冷却器,2017-06-03
2938588,scraper conveyor,刮運機,,刮板输送机,2017-06-03
2938589,scraper heat exchanger,刮刀熱交換器,,刮板式换热器,2017-06-03
2938590,scratch,刮痕,,刮痕,2017-06-03
2938591,scratch hardness,刮痕硬度,,刮痕硬度,2017-06-03
2938592,scratch resistance,抗刮性,,抗刮性,2017-06-03
2938593,screen,篩網；屏幕,,①筛网 ②屏蔽,2017-06-03
2938594,screen analysis,篩析,,筛析,2017-06-03
2938595,screen aperture,篩孔,,筛孔,2017-06-03
2938596,screen bank,篩組,,筛组,2017-06-03
2938597,screen bank,篩組,,筛组,2017-06-03
2938598,screen changer,換濾網裝置,,过滤网调换装置,2017-06-03
2938599,screen conveyor,篩運機,,筛网输送机,2017-06-03
2938600,screen effectiveness,篩有效度,,屏蔽有效度,2017-06-03
2938601,screen filter,篩濾機,,筛滤器,2017-06-03
2938602,screen mill,篩磨機,,筛磨,2017-06-03
2938603,screen opening,篩孔,,筛孔,2017-06-03
2938604,screen pack,篩組件,,过滤网组[合],2017-06-03
2938605,screen plate,篩板,,筛板,2017-06-03
2938606,screening,篩選；屏蔽,,筛选,2017-06-03
2938607,screening device,篩選裝置,,筛选装置,2017-06-03
2938608,screening efficiency,篩選效率,,筛选效率,2017-06-03
2938609,screening test,篩選試驗,,筛选测验,2017-06-03
2938610,screening trommel,轉筒篩,,转筒筛,2017-06-03
2938611,screw,螺桿；螺釘,,螺杆,2017-06-03
