ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3542690,allocation,分攤,,,2018-06-26
3542691,allocation method,分攤方法,,,2018-06-26
3542692,allowable cost,可允許[計入]成本,,,2018-06-26
3542693,allowance,備抵,,,2018-06-26
3542694,allowance account,備抵帳戶,,,2018-06-26
3542695,allowance for bad debts,備抵壞帳；備抵呆帳,,,2018-06-26
3542696,allowance for inventory write-down,備扺存貨跌價損失,,,2018-06-26
3542697,allowed alternative treatment,允許之替代處理,,,2018-06-26
3542698,American Institute of Certified Public Accountants {=AICPA},美國會計師協會,,,2018-06-26
3542699,American share option,美式股票選擇權,,,2018-06-26
3542700,amortisation,攤銷,,,2018-06-26
3542701,amortisation method,攤銷方法,,,2018-06-26
3542702,amortisation period,攤銷期間,,,2018-06-26
3542703,amortised cost,攤銷後成本,,,2018-06-26
3542704,amortising interest rate swap,攤銷型利率交換,,,2018-06-26
3542705,amortization,攤銷,,摊销,2018-06-26
3542706,analytical procedure,分析性程式,,分析程序,2018-06-26
3542707,angel investor,天使投資人,,天使投资人,2018-06-26
3542708,annuitant,年金受益人,,,2018-06-26
3542709,annuitisation,每年定期給付,,,2018-06-26
3542710,annuity,年金,,年金,2018-06-26
3542711,annuity due,到期年金,,预付年金,2018-06-26
3542712,antidilution,反稀釋,,,2018-06-26
3542713,antidilutive,反稀釋,,,2018-06-26
3542714,application controls,應用控制,,,2018-06-26
3542715,appraisal,估價,,,2018-06-26
3542716,appraisal costs,鑑定成本,,,2018-06-26
3542717,appropriateness,適切性,,,2018-06-26
3542718,appropriateness of evidence,證據適切性,,,2018-06-26
3542719,arm’s length transaction,公平交易,,,2018-06-26
3542720,artificial costs,人為成本,,,2018-06-26
3542721,asking price,賣方報價；賣價,,,2018-06-26
3542722,assertion,聲明,,,2018-06-26
3542723,assertion level,聲明層級,,,2018-06-26
3542724,assessment of control risk,控制風險評估,,,2018-06-26
3542725,asset manager,資產經理人,,,2018-06-26
3542726,asset[s],資產,,资产,2018-06-26
3542727,asset-liability view,資產負債表觀點,,资产负债观,2018-06-26
3542728,assets held by a long-term employee benefit fund,長期員工福利基金所持有之資產,,,2018-06-26
3542729,assets retired from active use,不再積極使用之資產,,,2018-06-26
3542730,asset-specific performance risk,資產特定績效風險,,,2018-06-26
3542731,associate(s),關聯企業,,,2018-06-26
3542732,assurance,確信,,,2018-06-26
3542733,assurance engagement,確信業務；確信服務案件,,鉴证业务,2018-06-26
3542734,assurance services,確信服務,,,2018-06-26
3542735,attestation engagement,簽證服務案件,,,2018-06-26
3542736,attestation services,簽證服務,,,2018-06-26
3542737,attitudes/ rationalizations,態度／行為合理化{舞弊三角之一},,,2018-06-26
3542738,attributes sampling,屬性抽樣,,,2018-06-26
3542739,audit,審計；查核,,审计,2018-06-26
3542740,audit checklist,審計檢核表；查核檢核表,,,2018-06-26
3542741,audit committee,審計委員會,,审计委员会,2018-06-26
3542742,audit documentation,查核工作底稿；審計書面記錄,,审计工作底稿,2018-06-26
3542743,audit evidence,查核證據,,审计证据,2018-06-26
3542744,audit expectation gap,審計期望落差,,审计期望差距,2018-06-26
3542745,audit failure,審計失敗,,审计失败,2018-06-26
3542746,audit fee,審計公費,,审计费用,2018-06-26
3542747,audit file,查核檔案；審計檔案,,审计档案,2018-06-26
3542748,audit litigation,審計訴訟,,审计诉讼,2018-06-26
3542749,audit objectives,查核目標,,,2018-06-26
3542750,audit of historical financial statements,歷史財務報表查核,,,2018-06-26
3542751,audit of internal control,內部控制查核,,内部控制审计,2018-06-26
3542752,audit opinion,查核意見；審計意見,,审计意见,2018-06-26
3542753,audit opinion shopping,查核意見購買,,审计意见购买,2018-06-26
3542754,audit planning,查核規劃,,,2018-06-26
3542755,audit pricing,審計訂價,,审计定价,2018-06-26
3542756,audit procedure,查核程序,,,2018-06-26
3542757,audit procedures,查核程序,,,2018-06-26
3542758,audit process,查核過程,,,2018-06-26
3542759,audit professional judgment,審計專業判斷,,审计职业判断,2018-06-26
3542760,audit professional skepticism,審計專業懷疑,,审计职业怀疑,2018-06-26
3542761,audit program,查核程式；查核計畫,,,2018-06-26
3542762,audit quality,審計品質,,审计质量,2018-06-26
3542763,audit report,查核報告；審計報告,,审计报告,2018-06-26
3542764,audit risk,查核風險；審計風險,,审计风险,2018-06-26
3542765,audit risk model,查核風險模型；審計風險模型,,审计风险模型,2018-06-26
3542766,audit sampling,查核抽樣；審計抽樣,,审计抽样,2018-06-26
3542767,audit strategy,查核策略；審計策略,,,2018-06-26
3542768,audit working paper,查核工作底稿,,审计工作底稿,2018-06-26
3542769,audit workpaper,查核工作底稿,,审计工作底稿,2018-06-26
3542770,audit-firm tenure,會計師任期；事務所任期,,审计任期,2018-06-26
3542771,auditing,審計；審計學,,审计学,2018-06-26
3542772,auditing around the computer,繞過電腦審計,,,2018-06-26
3542773,auditing responsibility,審計責任；查核責任,,审计责任,2018-06-26
3542774,auditing standards,審計準則,,审计准则,2018-06-26
3542775,auditing through the computer,穿過電腦審計,,,2018-06-26
3542776,auditor,查核人員；會計師,,审计师,2018-06-26
3542777,auditor change,會計師變更；事務所變更,,审计师变更,2018-06-26
3542778,auditor rotation system,會計師輪調會計；事務所輪調會計,,审计轮换制,2018-06-26
3542779,auditor switching,會計師變更；事務所變更,,审计师变更,2018-06-26
3542780,auditor tenure,會計師任期；事務所任期,,审计任期,2018-06-26
3542781,auditor’s independence,會計師獨立性；事務所獨立性,,审计师独立性,2018-06-26
3542782,automated controls,自動化控制,,,2018-06-26
3542783,autonomy,自主權,,,2018-06-26
3542784,available-for-sale financial assets,備供出售金融資產,,,2018-06-26
3542785,average accounting return {=AAR},平均會計報酬率,,平均会计收益率,2018-06-26
3542786,average cost,平均成本,,,2018-06-26
3542787,average waiting time,平均等待時間,,,2018-06-26
3542788,backflush costing,倒推成本法,,,2018-06-26
3542789,bad debt expense,呆帳損失；壞帳費用,,坏账损失,2018-06-26
3542790,balance sheet,資產負債表；平衡表,,资产负债表,2018-06-26
3542791,balance sheet liability method,資產負債表負債法,,,2018-06-26
3542792,balanced scorecard,平衡計分卡,,平衡计分卡,2018-06-26
3542793,balance-related audit objectives,科目餘額相關之查核目標,,,2018-06-26
3542794,bank acceptance,銀行承兌匯票,,银行承兑汇票,2018-06-26
3542795,bank bill,銀行滙票,,银行汇票,2018-06-26
3542796,bank confirmation,銀行函證,,,2018-06-26
3542797,bank confirmation form,銀行詢證函,,,2018-06-26
3542798,bank overdraft,銀行透支,,,2018-06-26
3542799,bank reconciliation,銀行調節表,,银行存款余额调节表,2018-06-26
3542800,bank statement,銀行對帳單,,银行对账单,2018-06-26
3542801,banker’s acceptance,銀行承兌匯票,,银行承兑汇票,2018-06-26
3542802,banker’s bill,銀行滙票,,银行汇票,2018-06-26
3542803,banker’s order,銀行本票,,银行本票,2018-06-26
3542804,bankruptcy,破產,,,2018-06-26
3542805,bankruptcy cost,破產成本,,破产成本,2018-06-26
3542806,bargain purchase,廉價購買,,,2018-06-26
3542807,barter transactions involving advertising services,廣告服務之交換,,,2018-06-26
3542808,basic earnings per share,基本每股盈餘,,基本每股收益,2018-06-26
3542809,basic loan features,基本放款特性,,,2018-06-26
3542810,basic precision,基本精確度,,,2018-06-26
3542811,basis adjustment,認列基礎調整,,,2018-06-26
3542812,basis point,基點,,,2018-06-26
3542813,Basu model,Basu模型,,Basu模型,2018-06-26
3542814,batch-level costs,批次水準成本,,,2018-06-26
3542815,Baumol model,包莫模型；鮑謨模型,,鲍尔模型,2018-06-26
3542816,bearer biological asset,生產性生物資產,,,2018-06-26
3542817,behavioral finance,行為財務,,行为公司财务,2018-06-26
3542818,belief systems,信念系統,,,2018-06-26
3542819,benchmark interest rate,基準利率,,,2018-06-26
3542820,benchmark treatment,標竿處理,,,2018-06-26
3542821,benchmarking,標竿制度,,,2018-06-26
3542822,beneficial contracts,有利合約,,,2018-06-26
3542823,beneficiary,受益人,,,2018-06-26
3542824,benefit,效益； 利益；福利,,,2018-06-26
3542825,benefit obligation,福利義務,,,2018-06-26
3542826,best estimate,最佳估計,,,2018-06-26
3542827,bias,偏誤,,,2018-06-26
3542828,bid bonds,投標保證,,,2018-06-26
3542829,bid price,買方報價；買價,,,2018-06-26
3542830,bid-ask spread,買賣價差,,,2018-06-26
3542831,bifurcation methodology,拆分方法,,,2018-06-26
3542832,bill of exchange,滙票,,汇票,2018-06-26
3542833,binding sale agreement,具約束力之銷售協議,,,2018-06-26
3542834,binomial,二項式,,,2018-06-26
3542835,biological asset,生物資產,,,2018-06-26
3542836,biological assets,生物資產,,生物资产,2018-06-26
3542837,biological transformation,生物轉化,,,2018-06-26
3542838,Black-Scholes-Merton formula,Black-Scholes-Merton公式,,,2018-06-26
3542839,blank confirmation form,空白函證格式,,,2018-06-26
3542840,block sample selection,區段抽樣,,,2018-06-26
3542841,blocker entity,阻稅個體,,,2018-06-26
3542842,board of directors,董事會,,,2018-06-26
