ID,英文名稱,中文名稱,圖片,備註,更新日期
1121416,negative allometry; Bradyauxesis,劣生長,,,2012-11-26
1121417,negative birefring-ence,負複曲折,,,2012-11-26
1121418,negative chemotaxis,逃化性,,,2012-11-26
1121419,negative chemotropism,背化性,,,2012-11-26
1121420,negative control,負〔的〕控制,,,2012-11-26
1121421,negative diageotropism,負橫向地性,,,2012-11-26
1121422,negative feed back,負迴饋；迴饋〔的〕阻礙,,,2012-11-26
1121423,negative galvanotaxis,逃電性,,,2012-11-26
1121424,negative geotaxis,逃地性,,,2012-11-26
1121425,negative geotropism,負背地性,,,2012-11-26
1121426,negative heliotropism,負背日性,,,2012-11-26
1121427,negative heteropyenosis,負〔的〕異常凝縮,,,2012-11-26
1121428,negative heterosis,負雜種優勢,,,2012-11-26
1121429,negative hydrotaxis,逃水性,,,2012-11-26
1121430,negative hydrotropism,背水性,,,2012-11-26
1121431,negative induction,負誘導,,,2012-11-26
1121432,negative interference,負〔的〕干擾〔作用〕,,,2012-11-26
1121433,negative orthogeotropism,負直向地性,,,2012-11-26
1121434,negative osmotaxis,逃稠性,,,2012-11-26
1121435,negative over-dominance,負〔的〕超顯性,,,2012-11-26
1121436,negative phase,陰性相,,,2012-11-26
1121437,negative phototaxis,逃光性,,,2012-11-26
1121438,negative phototropism,背光性,,,2012-11-26
1121439,negative plagiogeotropism,背斜向地性,,,2012-11-26
1121440,negative plasmolysis place,（發生質離時）原生質不離開的部位,,,2012-11-26
1121441,negative pressure,負壓,,,2012-11-26
1121442,negative reaction,陰性反應；負反應,,,2012-11-26
1121443,negative stain,媒質染色；負染色,,,2012-11-26
1121444,negative tension,負張力,,,2012-11-26
1121445,negative thermotropism,負向熱性,,,2012-11-26
1121446,negative tropism,背向性；負向性,,,2012-11-26
1121447,negative value,負值,,,2012-11-26
1121448,Negelein ester,奈氏醚,,,2012-11-26
1121449,Negundo,複葉類（楓樹）,,,2012-11-26
1121450,negundo chastetree; Vitex negundo L.,黃荊,,,2012-11-26
1121451,neidioplankton,浮器浮游生物,,,2012-11-26
1121452,neighborhood (Wright 1946),鄰接族群,,,2012-11-26
1121453,neighborhood model,鄰接族群模式,,,2012-11-26
1121454,neighboring pollination,鄰花傳粉,,,2012-11-26
1121455,neighboringly sympatric; adjacently sympatric,鄰接同地域性,,,2012-11-26
1121456,Neillia,綉線梅屬（薔薇科）,,,2012-11-26
1121457,Neillia serratisepala L.,雲南綉線梅,,,2012-11-26
1121458,Neillia sinensis Oliv.,中華綉線梅,,,2012-11-26
1121459,Nelumbo,蓮屬（睡蓮科）,,,2012-11-26
1121460,Nelumbo lutea Pers; American lotus; American nelumbo; water chinkapin,黃花蓮,,,2012-11-26
1121461,Nelumbo nucifera Gaertn.; East Indian lotus,蓮（本草綱目）水旦（群花譜）；荷花；芙渠；水芙蓉；水芝；水芸；澤芝；水華；玉環,,,2012-11-26
1121462,Nemacystus decipiens (Suringar) Kuckuck,海蘊,,,2012-11-26
1121463,Nemalieae,海索麫亞科,,,2012-11-26
1121464,Nemalion,海索麫屬,,,2012-11-26
1121465,Nemalion vermiculare Sur.,海索麫,,,2012-11-26
1121466,Nemalionales,海索麫目,,,2012-11-26
1121467,Nemastomataceae,海滑草科（紅藻）,,,2012-11-26
1121468,Nemataceae,絲藻科,,,2012-11-26
1121469,nemathecium,（真正紅藻的）生殖器〔官〕〔的〕初期隆起,,,2012-11-26
1121470,Nematodontae,線齒類（蘚）,,,2012-11-26
1121471,neo Wallace's line,新華來士〔界〕線,,,2012-11-26
1121472,Neoaregelia spectabiles Mez.,紅心鳳梨；端紅葉鳳梨,,,2012-11-26
1121473,neobiogenesis (Keosian 1965),生命不斷新生說,,,2012-11-26
1121474,neobiont (Keosian 1965),新生生物,,,2012-11-26
1121475,Neocalamites,新蘆木類,,,2012-11-26
1121476,Neocapnodium tanakae (Shirai et Hara) Yamamoto,稻煤病菌之一；柑橘，白楊類類煤病菌之一,,,2012-11-26
1121477,Neocapnodium theae (Hara) Hara,茶樹濃色煤病菌,,,2012-11-26
1121478,neocentric (Rhoades & Kerr 1949),新中節的,,,2012-11-26
1121479,neocentric activity,中節的分散或向末端的作用,,,2012-11-26
1121480,neo-centromere (Rhoades 1952),新中節,,,2012-11-26
1121481,Neocheiropteris,扇蕨屬（水龍骨科）,,,2012-11-26
1121482,Neocheiropteris ensata Ching,扇蕨,,,2012-11-26
1121483,Neocheiropteris palmatopedata (Bak) Christ,扇蕨,,,2012-11-26
1121484,Neocheiropteris phyllomanes Ching,單葉扇蕨,,,2012-11-26
1121485,Neocinnamomum,新樟屬（樟科）,,,2012-11-26
1121486,Neocinnamomum parvifolium (Lec) H. Liou,新樟,,,2012-11-26
1121487,Neocinnamomum yunnanse H. Liou,雲南新樟,,,2012-11-26
1121488,Neocosmospora vesinfecta E.F. Smith,合歡木苗立枯病菌之一,,,2012-11-26
1121489,Neo-Darwinism,新達爾文學說,,,2012-11-26
1121490,neodinoxanthin,渦黃素,,,2012-11-26
1121491,Neoepigenesis,新漸成說,,,2012-11-26
1121492,neoergosterol,新麥角甾醇,,,2012-11-26
1121493,Neofabraea populi Thompson,白楊類〔Neofabraea〕胴枯病菌,,,2012-11-26
1121494,Neofinetia falcata Hu Finetia falcata Schlechter,弔蘭；風蘭,,,2012-11-26
1121495,Neogacean realm; Neogaea,新界,,,2012-11-26
1121496,Neogaea; Neogaean realm,新界,,,2012-11-26
1121497,neogallicolae-gallicolae,新蟲廮型,,,2012-11-26
1121498,Neo-Lamarkism,新拉馬克學說,,,2012-11-26
1121499,Neolepisosus,盾蕨屬（水龍草科）,,,2012-11-26
1121500,Neolitsea,新木薑子屬（樟科）,,,2012-11-26
1121501,Neolitsea aurata (Hay.) koidz.,新木薑,,,2012-11-26
1121502,Neolitsea chrii Merr.,鴨公樹,,,2012-11-26
1121503,Neolitsea confertifolia (Hemsl.) Merr.,密葉新木姜,,,2012-11-26
1121504,Neolitsea ellipsoides Allen,香果新木姜；香果,,,2012-11-26
1121505,Neolitsea ferruginea Merr.,紅椆樹；大葉樟,,,2012-11-26
1121506,Neolitsea levinei Merr.,大葉新木姜,,,2012-11-26
1121507,Neolitsea ovatus (Bedd) Ching; N. phyllomanes (Christ) Ching,盾蕨,,,2012-11-26
1121508,Neolitsea ovatus f. delfoidea (Baker) Ching,三角盾蕨,,,2012-11-26
1121509,Neolitsea oveatus f. doryopteris (Christ) Ching,蟹爪葉盾蕨,,,2012-11-26
1121510,Neolitsea umbtosa Gamble,小木薑子（陳嶸）,,,2012-11-26
1121511,Neolitsea zeylanica Merr.,南亞新木姜,,,2012-11-26
1121512,Neolitsea zeylanica var. fangii H. Liou,四川新木姜,,,2012-11-26
1121513,neomorphs (Muller 1932),新基因,,,2012-11-26
1121514,Neonauclea,欖仁舅屬,,,2012-11-26
1121515,neontology,現生生物學,,,2012-11-26
1121516,Neopeckia rhodosticta (Berkeley et Broome) Sacc.,茶樹萌芽病菌,,,2012-11-26
1121517,neopentyl alcohol,第三丁基甲醇,,,2012-11-26
1121518,neophytes,新來植物；新來雜草,,,2012-11-26
1121519,neoplastic cell,新生細胞,,,2012-11-26
1121520,neo-sex chromosomal mechamism,新性染色體機制,,,2012-11-26
1121521,neosome (McCarthy， Britten & Roberts 1962),核糖新體,,,2012-11-26
