ID,英文名稱,中文名稱,圖片,原子序,符號,音,讀,更新日期
530860,bismuth,鉍,,83,Bi,ㄅㄧˋ,必,2012-11-26
530861,polonium,釙,,84,Po,ㄆㄛˋ,破,2012-11-26
530862,astatine,砈,,85,At,ㄜˋ,厄,2019-07-26
530863,radon,氡,,86,Rn,ㄉㄨㄥ,冬,2012-11-26
530864,francium,鍅,,87,Fr,ㄈㄚˇ,法,2012-11-26
530865,radium,鐳,,88,Ra,ㄌㄟˊ,雷,2012-11-26
530866,actinium,錒,,89,Ac,ㄚ,阿,2012-11-26
530867,thorium,釷,,90,Th,ㄊㄨˇ,土,2012-11-26
530868,protactinium,鏷,,91,Pa,ㄆㄨˊ,僕,2012-11-26
530869,uranium,鈾,,92,U,ㄧㄡˋ,又,2012-11-26
530870,neptunium,錼,,93,Np,ㄋㄞˋ,奈,2012-11-26
530871,plutonium,鈽,,94,Pu,ㄅㄨˋ,布,2012-11-26
530872,americium,鋂,,95,Am,ㄇㄟˊ,梅,2012-11-26
530873,curium,鋦,,96,Cm,ㄐㄩˊ,局,2012-11-26
530874,berkelium,鉳,,97,Bk,ㄅㄟˇ,北,2012-11-26
530875,californium,鉲,,98,Cf,ㄎㄚˇ,卡,2012-11-26
530876,einsteinium,鑀,,99,Es,ㄞˋ,愛,2012-11-26
530877,fermium,鐨,,100,Fm,ㄈㄟˋ,費,2012-11-26
530878,mendelevium,鍆,,101,Md,ㄇㄣˊ,門,2012-11-26
530879,nobelium,鍩,,102,No,ㄋㄨㄛˋ,諾,2012-11-26
530880,lawrencium,鐒,,103,Lr,ㄌㄠˊ,勞,2012-11-26
530881,rutherfordium,鑪,,104,Rf,ㄌㄨˊ,盧,2012-11-26
530882,dubnium,𨧀,,<p>105</p>,<p>Db</p>,<p>ㄉㄨˋ</p>,<p>杜</p>,2017-05-10
530883,seaborgium,𨭎,,<p>106</p>,<p>Sg</p>,<p>ㄒㄧˇ</p>,<p>喜</p>,2017-05-10
530884,bohrium,𨨏,,<p>107</p>,<p>Bh</p>,<p>ㄆㄛ</p>,<p>波</p>,2017-05-10
530885,hassium,𨭆,,<p>108</p>,<p>Hs</p>,<p>ㄏㄟ</p>,<p>黑</p>,2017-05-10
530886,meitnerium,䥑,,<p>109</p>,<p>Mt</p>,<p>ㄇㄞˋ</p>,<p>麥</p>,2017-05-10
530887,darmstadtium,鐽,,110,Ds,ㄉㄚˊ,達,2012-11-26
530888,roentgenium,錀,,111,Rg,ㄌㄨㄣˊ,侖,2012-11-26
927020,copernicium,鎶,,112,Cn,ㄍㄜ,哥,2012-11-26
1731437,flerovium,鈇,,114,Fl,ㄈㄨ,夫,2013-04-29
1731438,livermorium,鉝,,116,Lv,ㄌㄧˋ,立,2013-04-29
3036490,nihonium,鉨,,113,Nh,ㄋㄧˇ,你,2017-07-07
3036491,moscovium,鏌,,115,Mc,ㄇㄛˋ,莫,2017-07-07
3036492,tennessine,鿬,,<p>117</p>,<p>Ts</p>,<p>ㄊㄧㄢˊ</p>,<p>田</p>,2018-09-26
3036493,oganesson,鿫,,<p>118</p>,<p>Og</p>,<p>ㄠˋ</p>,<p>澳</p>,2018-09-26
