ID,英文名稱,中文名稱,圖片,界,門,綱,目,科,屬,種,資料來源,更新日期
3578843,Philydrum lanuginosum,田蔥,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Commelinales鴨跖草目,Philydraceae田蔥科,Philydrum田蔥屬,lanuginosum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578844,Racomitrium lanuginosum,長毛砂苔,,Plantae植物界,Bryophyta苔類植物門,Bryopsida苔綱,Grimmiales紫萼苔目,Grimmiaceae紫萼苔科,Racomitrium砂苔屬,lanuginosum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578845,Tetramorium lanuginosum,絨毛皺家蟻,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Hymenoptera膜翅目,Formicidae蟻科,Tetramorium皺家蟻屬,lanuginosum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578846,Thermomyces lanuginosus,疏棉嗜熱黴菌,,Fungi真菌界,Ascomycota子囊菌門,Sordariomycetes糞殼菌綱,Hypocreales肉座菌目,,Thermomyces,lanuginosus,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578847,Geothelphusa lanyu,蘭嶼澤蟹,,Animalia動物界,Arthropoda節肢動物門,Malacostraca軟甲綱,Decapoda十足目,Potamidae溪蟹科,Geothelphusa澤蟹屬,lanyu,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578848,Tmarus lanyu,蘭嶼虎斑蟹蛛,,Animalia動物界,Arthropoda節肢動物門,Arachnida蛛形綱,Araneae蜘蛛目,Thomisidae蟹蛛科,Tmarus峭腹蛛屬,lanyu,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578849,Chloridolum lanyuanum,蘭嶼綠天牛,,Animalia動物界,Arthropoda節肢動物門,Insecta昆蟲綱,Coleoptera鞘翅目,Cerambycidae天牛科,Chloridolum,lanyuanum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578850,Lachnum lanyuense,蘭嶼粒毛盤菌,,Fungi真菌界,Ascomycota子囊菌門,Leotiomycetes錘舌菌綱,Helotiales柔膜菌目,Hyaloscyphaceae晶杯菌科,Lachnum粒毛盤菌屬,lanyuense,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578851,Tetrastigma lanyuense,蘭嶼崖爬藤,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Vitales葡萄目,Vitaceae葡萄科,Tetrastigma崖爬藤屬,lanyuense,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3578852,Trachelospermum lanyuense,蘭嶼絡石,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Gentianales龍膽目,Apocynaceae夾竹桃科,Trachelospermum絡石屬,lanyuense,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
