ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3252156,"Klengel, August Alexander","克連格,奧古斯特",,1783-1852,德國,鋼琴；作曲,,2017-08-08
3252157,"Klengel, Julius","克連格,尤留斯",,1859-1933,德國,大提琴；作曲,,2018-03-22
3252158,"Klengel, Paul","克連格,包爾",,1854-1935,德國,指揮；作曲,,2017-08-08
3252159,"Klenovsky, Nikolai",克雷諾夫斯基,,1857-1915,俄國,小提琴；作曲,,2017-08-08
3252160,"Klerk, Albert de",克雷克,,1917-1998,荷蘭,作曲,,2017-08-08
3252161,"Kletzki, Paul",克雷茨基,,1900-1973,瑞士,指揮；作曲,波裔,2018-03-22
3252162,"Klien, Walter",克林,,1928-1991,奧地利,鋼琴,,2017-08-08
3252163,"Klindworth, Karl",克林沃特,,1830-1936,德國,鋼琴,,2018-03-22
3252164,"Klose, Hyacinthe",克洛瑟,,1808-1880,法國,單簧管,,2017-08-08
3252165,"Knaifel, Alexander",克奈弗,,1943-,烏茲別克,作曲,,2017-08-08
3252166,"Knappertsbusch, Hans",克納佩次布許,,1888-1965,德國,指揮,,2017-08-08
3252167,"Kneisel, Franz",克奈澤,,1865-1926,德國,小提琴；指揮,,2017-08-08
3252168,"Knight, Edward","奈特,愛德華",,1961-,美國,作曲,,2017-08-08
3252169,"Knight, Tim","奈特,提姆",,1959-,英國,作曲,,2017-08-08
3252170,"Knipper, Lev",克尼佩,,1898-1974,俄國,作曲,,2017-08-08
3252171,"Knorr, Iwan",克諾爾,,1853-1916,德國,作曲,,2017-08-08
3252172,"Knote, Heinrich",克諾特,,1870-1953,德國,聲樂,男高音,2017-08-08
3252173,"Knüpfer, Sebastian",克呂普菲爾,,1633-1676,德國,作曲,,2017-08-08
3252174,"Knussen, Oliver",克努森,,1952-,英國,作曲,,2017-08-08
3252175,"Kobbe, Gustav",柯畢,,1857-1918,美國,音樂著作,,2017-08-08
3252176,"Kobra, Louis",柯布拉,,1967-,美國,作曲,,2017-08-08
3252177,"Koc, Marcelo",柯克,,1918-2006,阿根廷,作曲,俄裔,2017-08-08
3252178,"Koch, Erland von",柯赫,,1910-2006,瑞典,作曲,,2017-08-08
3252179,"Kochan, Hans Günther",柯漢,,1930-2009,德國,作曲,,2017-08-08
3252180,"Köchel, Ludwig von",柯歇爾,,1800-1877,奧地利,音樂目錄學,,2017-08-08
3252181,"Kocián, Jaroslav",柯齊安,,1883-1950,捷克,小提琴,,2018-03-22
3252182,"Kodály, Zoltán",柯大宜,,1882-1967,匈牙利,作曲；民族音樂學；教育,,2017-08-08
3252183,"Koechlin, Charles",柯克蘭,,1867-1950,法國,作曲,,2018-03-22
3252184,"Koellreutter, Hans",柯爾羅伊特,,1915-2000,德國,作曲；指揮,,2017-08-08
3252185,"Koetsier, Jan",柯齊爾,,1911-2006,荷蘭,指揮；作曲,,2017-08-08
3252186,"Koffler, Jozef",柯夫勒,,1896-1943,波蘭,作曲,,2017-08-08
3252187,"Kogan, Leonid",柯岡,,1924-1982,俄國,小提琴,,2017-08-08
3252188,"Kohler, Christian Louis Heinrich",柯勒,,1820-1886,德國,鋼琴；作曲,,2017-08-08
3252189,"Kohoutek, Ctirad",柯侯泰克,,1929-2011,捷克,作曲,,2017-08-08
3252190,"Kohs, Ellis",柯斯,,1916-2000,美國,作曲,,2017-08-08
3252191,"Kokkonen, Joonas",柯克能,,1921-1996,芬蘭,作曲,,2017-08-08
3252192,"Kokoras, Panayiotis",柯可拉斯,,1974-,希臘,作曲,,2017-08-08
3252193,"Kolb, Barbara",柯布,,1939-,美國,作曲,,2017-08-08
3252194,"Kollo, René",柯洛,,1937-,德國,聲樂,男高音,2017-08-08
3252195,"Kolp, Pierre",柯爾普,,1969-,德國,作曲,,2017-08-08
3252196,"Koltsov, Philipp",考佐夫,,1962-,俄國,作曲,,2017-08-08
3252197,"Komitas, Sogomon",柯米塔斯,,1869-1935,土耳其,作曲,,2017-08-08
3252198,"Komzak, Karl",孔札克,,1850-1905,捷克,作曲,,2017-08-08
3252199,"Kondracki, Michal",孔德拉茲基,,1902-1984,美國,作曲,俄裔,2017-08-08
3252200,"Kondrashin, Kyrill",孔德拉辛,,1914-1981,俄國,指揮,,2017-08-08
3252201,"Konietzny, Heinrich",柯尼茲尼,,1910-1983,德國,作曲,,2017-08-08
3252202,"Konink, Sevaas de",柯寧克,,1654-1701,比利時,作曲,,2017-08-08
3252203,"Konoe, Hidemaro",近衛秀磨,,1889-1973,日本,作曲,,2017-08-08
3252204,"Konwitschny, Franz",孔維奇尼,,1901-1962,德國,指揮,,2017-08-08
3252205,"Kopecký, Pavel",柯貝茨基,,1949-,捷克,作曲,,2017-08-08
3252206,"Korbay, Francis",柯爾貝,,1846-1913,匈牙利,鋼琴；作曲,男高音,2017-08-08
3252207,"Korchinska, Maria",柯欽絲卡,,1895-1979,俄國,豎琴,,2017-08-08
3252208,"Korchmaryov, Klimenty",柯其瑪遼夫,,1899-1958,俄國,作曲,,2017-08-08
3252209,"Koreh, Endre",柯瑞,,1906-1960,匈牙利,聲樂,男低音,2017-08-08
3252210,"Korn, Peter Jona",柯恩,,1922-1998,德國,作曲；指揮,,2017-08-08
3252211,"Korndorf, Nicolai S.",康朵夫,,1947-2001,俄國,作曲,,2017-08-08
3252212,"Korngold, Erich Wolfgang",康戈爾德,,1897-1957,美國,作曲；指揮,奧裔,2018-04-17
3252213,"Koschat, Thomas",柯夏特,,1845-1914,奧地利,聲樂,男低音,2017-08-08
3252214,"Kosiewski, Andyzej",柯西夫斯基,,1922-,波蘭,作曲；音樂學,,2017-08-08
3252215,"Košler, Zdenek",柯希勒,,1928-1995,捷克,指揮,,2017-08-08
3252216,"Kossenko, Sergei",卡先科,,1970-,俄國,作曲,,2017-08-08
3252217,"Kostelanetz, Andre",柯斯特拉內次,,1901-1980,美國,指揮,俄裔,2017-08-08
3252218,"Kosuge, Yu",小菅優,,1983-,日本,鋼琴,,2017-08-08
3252219,"Kosugi, Takehisa",小杉武久,,1938-,日本,作曲,,2017-08-08
3252220,"Köszeghy, Pèter",柯賽基,,1971-,匈牙利,作曲,,2017-08-08
3252221,"Kotzwara, (Koczwara) Franz",柯茲瓦拉,,1730-1790,捷克,小提琴；低音提琴；作曲,,2017-08-08
3252222,"Kourtis, Ioannis",庫提斯,,1973-,希臘,作曲,,2017-08-08
3252223,"Koussevitzky, Sergei",庫謝維茲基,,1874-1951,美國,指揮,俄裔,2017-08-08
3252224,"Kovacevich, Stephen",柯瓦采维奇,,1940-,美國,鋼琴,,2017-08-08
3252225,"Koval, Marian",柯娃爾,,1907-1971,俄國,作曲,,2017-08-08
3252226,"Koven, Reginald de",柯文,,1859-1920,美國,作曲,,2017-08-08
3252227,"Kowalczyk, Marc",柯瓦捷克,,1973-,法國,作曲,,2017-08-08
3252228,"Kowssler, Hans",寇斯勒,,1853-1926,德國,作曲,,2017-08-08
3252229,"Kox, Hans",寇克斯,,1930-,荷蘭,作曲,,2017-08-08
3252230,"Koyama, Kiyoshige",小山清茂,,1914-2009,日本,作曲,,2017-08-08
3252231,"Kozeluh, Jan Evangelista Antonin","柯策魯,安東尼",,1738-1814,捷克,作曲,,2017-08-08
3252232,"Kozeluh, Leopold","柯策魯,雷歐波德",,1747-1818,捷克,作曲,,2017-08-08
3252233,"Kozhevnikov, Boris Tikhonovich",柯傑夫尼科夫,,1906-1985,俄國,作曲,,2017-08-08
3252234,"Kraft, Anton","克拉夫特,安東",,1749-1820,奧地利,大提琴；作曲,,2017-08-08
3252235,"Kraft, Nicolaus","克拉夫特,尼克勞斯",,1778-1853,匈牙利,大提琴；作曲,,2017-08-08
3252236,"Kraft, William","克拉夫特,威廉",,1923-,美國,作曲；指揮,,2017-08-08
3252237,"Kramer, Arthur Walter","克拉莫,亞圖華爾特",,1890-1969,美國,樂評；作曲,,2017-08-08
3252238,"Kramer, Robert","克拉莫,羅伯特",,1954-,美國,作曲,,2017-08-08
3252239,"Krása, Hans",克拉薩,,1899-1944,捷克,作曲,,2017-08-08
3252240,"Krasner, Louis",克拉斯納,,1903-1995,美國,小提琴,,2017-08-08
3252241,"kraus, Alfredo","克勞斯,阿弗列多",,1927-1999,西班牙,,,2018-05-31
3252242,"Kraus, Joseph Martin","克勞斯,約瑟夫",,1756-1792,德國,作曲；指揮,,2017-08-08
3252243,"Kraus, Lili","克勞斯,莉莉",,1905-1986,匈牙利,鋼琴,,2017-08-08
3252244,"Kraus, Otakar","克勞斯,歐塔卡",,1909-1980,英國,聲樂,捷裔男中音,2017-08-08
3252245,"Krauss, Clemens","克勞斯,克雷門斯",,1893-1954,奧地利,指揮,,2017-08-08
3252246,"Krebs, Johann Ludwig","克瑞伯斯,約翰",,1713-1780,德國,管風琴；作曲,,2017-08-08
3252247,"Krebs, Marie","克瑞伯斯,瑪莉",,1851-1900,德國,鋼琴,,2017-08-08
3252248,"Krehbiel, Henry",克雷比爾,,1854-1923,美國,樂評；著作,,2017-08-08
3252249,"Krein, Alexander","克萊恩,亞力山大",,1883-1951,俄國,作曲,,2017-08-08
3252250,"Krein, Grigory","克萊恩,格利果利",,1880-1955,俄國,作曲,,2017-08-08
3252251,"Krein, Julian","克萊恩,尤利安",,1913-1996,俄國,作曲,,2017-08-08
3252252,"Kreisler, Fritz",克萊斯勒,,1875-1962,奧地利,小提琴；作曲,,2017-08-08
3252253,"Krejčí, Isa",克瑞伊奇,,1904-1968,捷克,作曲；指揮,,2017-08-08
3252254,"Krek, Uroš",克雷克,,1922-2008,斯洛維尼亞,作曲,,2017-08-08
3252255,"Krenek, Ernst",克雷內克,,1900-1992,美國,作曲,奧裔,2017-08-08
