ID,英文名稱,中文名稱,圖片,備註,更新日期
2711510,Chinese Proficiency Test,華語文測驗,,,2016-10-04
2711511,chirology,手語術,,,2016-10-04
2711512,chivalric education,騎士教育,,,2016-10-04
2711513,choir school,唱詩學校,,,2016-10-04
2711514,choleric temperament,膽汁質,,,2016-10-04
2711515,Christian education,基督宗教教育,,,2016-10-04
2711516,chronicle of school,學校誌,,,2016-10-04
2711517,chronological age {= C.A.},實足年齡；實齡,,,2016-10-04
2711518,chronological table,年齡表,,,2016-10-04
2711519,church education,教會教育 {英},,英國教育學,2016-10-04
2711520,citizenship,公民課；公民,,,2016-10-04
2711521,citizenship education,公民教育,,,2016-10-04
2711522,City Technology College {=CTC},城市科技高中 {英},,英國教育學,2016-10-04
2711523,civic virtue,公民德行,,,2016-10-04
2711524,civil service examination,公務人員考試,,,2016-10-04
2711525,class,學級；班,,,2016-10-04
2711526,class discussion,教室討論,,,2016-10-04
2711527,class grouping,分級；分班,,,2016-10-04
2711528,class interval,組距,,,2016-10-04
2711529,class limit,組限,,,2016-10-04
2711530,class management,班級經營,,,2016-10-04
2711531,class meeting,班會,,,2016-10-04
2711532,class organization,班級組織,,,2016-10-04
2711533,class period,上課時間,,,2016-10-04
2711534,class reduction,減班,,,2016-10-04
2711535,class teacher,[班級]導師,,,2016-10-04
2711536,class teacher system,[班]導師制,,,2016-10-04
2711537,class teaching,班級教學,,,2016-10-04
2711538,class visitation,教室參觀,,,2016-10-04
2711539,classical course,古典學科,,,2016-10-04
2711540,classical language,古典語文,,,2016-10-04
2711541,classical school,古典學校；古典學派,,,2016-10-04
2711542,classicism,古典主義,,,2016-10-04
2711543,classification,分級；分班；分類,,,2016-10-04
2711544,classified school,分級學校 {義},,,2016-10-04
2711545,classmate,級友；同班同學,,,2016-10-04
2711546,classroom,教室,,,2016-10-04
2711547,classroom assistant,教室助理 {英},,英國教育學,2016-10-04
2711548,classroom library,班級圖書區,,,2016-10-04
2711549,classroom management,班級經營,,,2016-10-04
2711550,clearing house,大學入學申請委員會聯合服務處 {英},,英國教育學,2016-10-04
2711551,clearing system,大學入學補登記制 {英},,英國教育學,2016-10-04
2711552,clerical test,文書工作測驗,,,2016-10-04
2711553,cloister,修道院,,,2016-10-04
2711554,cloister school,修道院學校,,,2016-10-04
2711555,coach,運動教練,,,2016-10-04
2711556,coaching,指導練習,,,2016-10-04
2711557,Coalition of Modern Universities {=CMU},現代大學聯盟 {英},,英國教育學,2016-10-04
