ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2458484,detachable collar lining (of a coat),可拆卸領襯,,衬领,2015-09-16
2458485,diaper cloth,菱形斜紋布,,鸟眼花纹织物　,2015-09-16
2458486,dimity,麻紗；條格細布,,麻纱,2015-09-16
2458487,direct printing,直接印花,,直接印花,2015-09-16
2458488,discharge,拔染,,拔染　,2015-09-16
2458489,diving suit,潛水衣,,潜水服　,2015-09-16
2458490,doubpion silk,雙宮綢,,双宫绸　,2015-09-16
2458491,drape,帷幕；懸垂性,,窗帘,2015-09-16
2458492,draw work,抽繡；手工抽絲花,,抽绣,2015-09-16
2458493,drawers,長內褲,,衬裤,2015-09-16
2458494,dress material,衣料,,衣料　　,2015-09-16
2458495,duck,帆布,,帆布,2015-09-16
2458496,duster wear,防塵衣；防塵服,,无尘服　,2015-09-16
2458497,dyeing,染色,,染色　,2015-09-16
2458498,dyeing deviation,色差,,色差　,2015-09-16
2458499,dyestuff,染料,,染料　,2015-09-16
2458500,eiderdown,鴨絨,,鸭绒　,2015-09-16
2458501,elastic ribbon,鬆緊帶,,松紧带,2015-09-16
2458502,embroider,刺繡，繡花,,刺绣,2015-09-16
2458503,exhaustion dyeing,浸染法染色,,浸染,2015-09-16
2458504,fabric,織物,,纺织品,2015-09-16
2458505,fabric,織物,,织物　,2015-09-16
2458506,fagoting,抽紗,,抽纱,2015-09-16
2458507,fancy suiting,花式套裝料,,花呢,2015-09-16
2458508,fancy woolens,花式羊毛織物,,粗花呢,2015-09-16
2458509,fancy yarn,花式紗,,花式纱线,2015-09-16
2458510,fashion modle,時裝模特兒,,服装模特儿,2015-09-16
2458511,fashion show,時裝秀,,服装表演,2015-09-16
2458512,felt,呢，氈,,毡子　,2015-09-16
2458513,felt fabric,氈合織物,,毡合织物　,2015-09-16
2458514,fibre,纖維,,纤维　,2015-09-16
2458515,filament,長纖維；長絲,,长丝,2015-09-16
2458516,filament fabric,長纖織物,,绸,2015-09-16
2458517,filling yarn,緯紗,,纬纱　,2015-09-16
2458518,fine hair,細毛,,绒毛　,2015-09-16
2458519,fine spinning,細紡,,细纺,2015-09-16
2458520,fineness,細度；纖度,,细度,2015-09-16
2458521,fineness index (numerical),細度指數,,～指数,2015-09-16
2458522,fire-proof wear,防火衣,,防火服　,2015-09-16
2458523,flannel,法蘭絨布,,法兰绒,2015-09-16
2458524,flannelette,絨布,,绒布　,2015-09-16
2458525,flax,亞麻,,亚麻　,2015-09-16
2458526,flocking,植絨,,植绒,2015-09-16
2458527,fold,合股,,合股,2015-09-16
2458528,football sweat shirt,足球圓領運動衫,,足球服　,2015-09-16
2458529,frog,盤釦；停機椪鐵,,盘扣　,2015-09-16
2458530,full cardigan rib,羅紋畦編組織,,畦编组织　,2015-09-16
2458531,gabardine,軋別丁,,华达呢,2015-09-16
2458532,gambiered gauze,拷紗；香雲紗,,拷纱,2015-09-16
2458533,garment fabric,面料,,面料,2015-09-16
2458534,garment industry,成衣工業,,服装工业,2015-09-16
2458535,gather,碎褶,,抽褶,2015-09-16
2458536,gauze,紗羅,,纱罗　,2015-09-16
2458537,generalterm for cotton and kapok,棉花和木棉的通稱,,棉　　,2015-09-16
