ID,英文名稱,中文名稱,圖片,德文,日文,出處,章條,備註,更新日期
7197089,Female committee members,女性委員,,,,性別平等教育法,第7條、第8條,,2020-04-01
7197090,Fertilized oocyte division,受精卵分裂,,,,人工生殖法,第2條,,2020-04-01
7197091,Five-year training school / Five-year junior colleges,五年制專科學校,,,,性別平等教育法,第17條,,2020-04-01
7197092,Functional impairment of reproduction,生育功能障礙,,,,人工生殖法,第19條,,2020-04-01
7197093,Gamete destruction,生殖細胞銷毀,,,,人工生殖法,第21條,,2020-04-01
7197094,Gamete intra-fallopian transfer {=GIFT},配子輸卵管內移植,,,,人工生殖法,,,2020-04-01
7197095,Gender bias,性別偏見,,,,性別平等教育法,第19條,,2020-04-01
7197096,Gender characteristics,性別特徵,,,,性別平等教育法,第2條,,2020-04-01
7197097,Gender discrimination,性別歧視,,,,性別平等教育法,第1條,,2020-04-01
7197098,Gender discrimination,性別歧視,,,,性別平等教育法,第2條,,2020-04-01
7197099,Gender diversity,性別多元,,,,性別平等教育法,第2條,,2020-04-01
7197100,Gender equality consciousness,性別平等意識,,,,性別平等教育法,第19條,,2020-04-01
7197101,Gender equality consciousness,性別平等意識,,,,性別平等教育法,第30條,,2020-04-01
7197102,Gender equality education act,性別平等教育法,,,,性別平等教育法,,,2020-04-01
7197103,Gender equality education committee,教育部性別平等教育委員會,,,,性別平等教育法,第4條,,2020-04-01
7197104,Gender equality education related courses,性別平等教育相關課程,,,,性別平等教育法,第25條,,2020-04-01
7197105,Gender equality education related fields,性別平等教育相關領域,,,,性別平等教育法,第7條,,2020-04-01
7197106,Gender identity,性別認同,,,,性別平等教育法,第2條,,2020-04-01
7197107,Gender traits,性別特質,,,,性別平等教育法,第2條,,2020-04-01
7197108,Grievance review committee at school level,學校申訴評議委員會,,,,性別平等教育法,第16條,,2020-04-01
7197109,Guideline to prevent and handle sexual assault on campus,校園性侵害防治準則,,,,性別平等教育法,第20條,,2020-04-01
7197110,Guideline to prevent and handle sexual bullying on campus,校園性霸凌之防治準則,,,,性別平等教育法,第20條,,2020-04-01
7197111,Guideline to prevent and handle sexual harassment on campus,校園性騷擾或性霸凌之防治準則,,,,性別平等教育法,第20條,,2020-04-01
7197112,Handling procedures,處理程序,,,,性別平等教育法,第20條,,2020-04-01
7197113,Hereditary diseases,遺傳性疾病,,,,人工生殖法,第7條,,2020-04-01
7197114,Human dignity,人性尊嚴,,,,性別平等教育法,第1條,,2020-04-01
7197115,Human subject research,人體試驗,,,,人工生殖法,第17條,,2020-04-01
7197116,In-service education program,在職進修,,,,性別平等教育法,第15條,,2020-04-01
7197117,Infectious diseases,傳染性疾病,,,,人工生殖法,第7條,,2020-04-01
7197118,Infertile couples,不孕夫妻,,,,人工生殖,,,2020-04-01
7197119,Infertility,不孕症,,,,人工生殖法,第11條,,2020-04-01
7197120,Interpersonal interaction,人際互動,,,,性別平等教育法,第20條,,2020-04-01
7197121,Intracytoplasmic sperm injection {=ICSI},卵細胞質內單精蟲注射,,,,人工生殖法,,,2020-04-01
7197122,Investigate and handle cases,調查、處理案件,,,,性別平等教育法,第5條,,2020-04-01
7197123,Investigation team,調查小組,,,,性別平等教育法,第30條,,2020-04-01
7197124,Keep track and provide counseling,追蹤輔導,,,,性別平等教育法,第27條,,2020-04-01
7197125,Law suit for denial of paternity,否認之訴,,,,人工生殖法,第23條,,2020-04-01
7197126,Learning environment and resources,學習環境與資源,,,,性別平等教育法,第12條,,2020-04-01
7197127,Life experiences of different gender,不同性別生活經驗,,,,性別平等教育法,第18條,,2020-04-01
7197128,Lineal relatives / Direct relatives,直系血親,,,,人工生殖法,第15條,,2020-04-01
7197129,Live birth,活產,,,,人工生殖法,第21條,,2020-04-01
7197130,Loss of working hours,工時損失,,,,人工生殖法,第8條,,2020-04-01
7197131,Marriage annulled,婚姻撤銷,,,,人工生殖法,第21條,,2020-04-01
7197132,Marriage null and void,婚姻無效,,,,人工生殖法,第21條,,2020-04-01
7197133,Medical care act,醫療法,,,,人工生殖法,第17條,,2020-04-01
7197134,Medical care institutions,醫療機構,,,,人工生殖法,第2條,,2020-04-01
7197135,Medical records,病歷,,,,人工生殖法,第14條,,2020-04-01
7197136,Mixed semen,混合精液,,,,人工生殖法,第16條,,2020-04-01
7197137,Mutual donation of sperm and oocytes / Gamete sharing,精卵互贈,,,,人工生殖法,第2條,,2020-04-01
7197138,Natural conception,自然生育,,,,人工生殖法,第11條,,2020-04-01
7197139,Necessary measures,必要之處置,,,,性別平等教育法,第22條,,2020-04-01
7197140,Necessary tests and examination,必要之檢查,,,,人工生殖法,第8條,,2020-04-01
7197141,New facts or new evidences,新事實、新證據,,,,性別平等教育法,第32條,,2020-04-01
7197142,Non-coital method,非性交之人工方法,,,,人工生殖法,第2條,,2020-04-01
7197143,Notarized by a notary public,公證人公證,,,,人工生殖法,第12條,,2020-04-01
7197144,Nutrition allowance / Nutrition fee,營養費,,,,人工生殖法,第8條,,2020-04-01
7197145,Nutrition products,營養品,,,,人工生殖法,第8條,,2020-04-01
7197146,One spouse dies / Death of a spouse,受術夫妻一方死亡,,,,人工生殖法,第21條,,2020-04-01
7197147,Oocyte,卵子,,,,人工生殖法,第2條,,2020-04-01
7197148,Oocyte donation,卵子捐贈,,,,人工生殖法,第11條,,2020-04-01
7197149,Orientation training of new staff members,新進人員培訓,,,,性別平等教育法,第15條,,2020-04-01
7197150,Other forms of violence,其他暴力,,,,性別平等教育法,第2條,,2020-04-01
7197151,Other measures that serve an educational purpose,符合教育目的之措施,,,,性別平等教育法,第25條,,2020-04-01
7197152,Other reasons unrelated to gender,非因性別因素,,,,性別平等教育法,第13條,,2020-04-01
7197153,Penal provision,罰則,,,,性別平等教育法,第六章,,2020-04-01
7197154,Person with disabilities rights protection act,身心障礙者權益保障法,,,,性別平等教育法,第21條,,2020-04-01
7197155,Physical violence,肢體暴力,,,,性別平等教育法,第2條,,2020-04-01
7197156,"Physician, psychologist, social worker, or lawyer",醫師、心理師、社會工作師或律師,,,,性別平等教育法,第24條,,2020-04-01
7197157,Physiological state,生理狀況,,,,人工生殖法,第7條,,2020-04-01
7197158,Possible complications,可能發生之併發症,,,,人工生殖法,第12條,,2020-04-01
7197159,Possible hazards,可能發生之危險,,,,人工生殖法,第12條,,2020-04-01
7197160,Practitioners from fields related to gender equality education,實務工作者,,,,性別平等教育法,第7條、第8條,,2020-04-01
7197161,Pre-birth check-ups,產前檢查,,,,人工生殖法,第18條,,2020-04-01
7197162,Pre-service training of staff members,職前教育,,,,性別平等教育法,第15條,,2020-04-01
7197163,Prenatal diagnosis,產前遺傳診斷,,,,人工生殖法,第18條,,2020-04-01
7197164,Preparation program for educational administrators / Training course for educational administrators,教育行政主管人員之儲訓課程,,,,性別平等教育法,第15條,,2020-04-01
7197165,"Prevention and handling of sexual assault, sexual harassment, and sexual bullying in school",校園性侵害、性騷擾及性霸凌之防治,,,,性別平等教育法,第四章,,2020-04-01
7197166,Principles of gender equality education,性別平等教育原則,,,,性別平等教育法,第18條,,2020-04-01
7197167,Professional education courses,教育專業課程,,,,性別平等教育法,第15條,,2020-04-01
7197168,Professional teacher training programs in colleges and universities,師資培育之大學,,,,性別平等教育法,第15條,,2020-04-01
7197169,Profiles of offenders,加害人之檔案資料,,,,性別平等教育法,第27條,,2020-04-01
7197170,"Protective measures, or other assistance",保護措施或其他協助,,,,性別平等教育法,第24條,,2020-04-01
7197171,Psychological counseling,心理輔導,,,,性別平等教育法,第24條,,2020-04-01
7197172,Psychological state,心理狀況,,,,人工生殖法,第7條,,2020-04-01
7197173,Public health,公共衛生,,,,人工生殖法,第4條,,2020-04-01
7197174,Public interest judicial persons,公益法人,,,,人工生殖法,第2條,,2020-04-01
7197175,Reasons for infertility,不孕原因,,,,人工生殖法,第27條,,2020-04-01
7197176,Recipient couple,受術夫妻,,,,人工生殖法,第2條,,2020-04-01
7197177,Recruitment of the student,招生,,,,性別平等教育法,第13條,,2020-04-01
7197178,Regulations for gender equality education,性別平等教育實施規定,,,,性別平等教育法,第12條,,2020-04-01
7197179,Regulations for prevention of sexual assault on campus,校園性侵害規定,,,,性別平等教育法,第5條,,2020-04-01
