ID,英文名稱,中文名稱,圖片,德文,日文,出處,章條,備註,更新日期
7197307,Compensation by divorce judgement,判決離婚之損害賠償,,Schadenersatz wegen der richtlicher Scheidung,裁判離婚の損害賠償,民法親屬編,,,2020-04-01
7197308,Alimony,贍養費,,Ehegattenunterhalt nach der Scheidung,離婚後の配偶者の扶養,民法親屬編,,,2020-04-01
7197309,Surname of the child,子女之稱姓,,Name des Kindes,子の氏,民法親屬編,,,2020-04-01
7197310,Residence of the child,子女之住所,,Wohnsitz des Kindes,子の住所,民法親屬編,,,2020-04-01
7197311,Child born within wedlock,婚生子女,,Eheliches Kind,嫡出子,民法親屬編,,,2020-04-01
7197312,Period of conception,受胎期間,,Einnistungszeitraum,懐胎期間,民法親屬編,,,2020-04-01
7197313,Presumption of legitimacy,婚生子女之推定,,Gesetzliche Vermutung eines eheliche Kind,嫡出推定,民法親屬編,,,2020-04-01
7197314,Action to disavow presumed paternity,婚生否認之訴,,Anfechtungsklage der Vaterschaft,嫡出否認の訴え,民法親屬編,,,
7197315,Child born out of wedlock,非婚生子女,,Nicht eheliches Kind,非嫡出子,民法親屬編,,,2020-04-01
7197316,Acknowledgement of paternity,任意認領,,Anerkennung der Vaterschaft,任意認知,民法親屬編,,,2020-04-01
7197317,Maintenance by natural father,生父之撫育,,Unterhalt von biologischen Vater,父の養育,民法親屬編,,,2020-04-01
7197318,Repudiation against paternal acknowledgement,認領之否認,,Anfechtungsklage der Vaterschaft,認知の否認,民法親屬編,,,2020-04-01
7197319,Action for paternal acknowledgement,強制認領之訴,,Gerichtliche Feststellung der Vaterschaft,強制認知の訴え,民法親屬編,,,2020-04-01
7197320,Legitimation by marriage,準正,,Legitimation des nichtehelichen Kindes,準正,民法親屬編,,,2020-04-01
7197321,Adoption,收養,,Adoption/Annahme als Kind,養子縁組,民法親屬編,,,2020-04-01
7197322,Adoptive parents,養父母,,Adoptiveltern,養親,民法親屬編,,,2020-04-01
7197323,Adopted child,養子女,,Adoptivkind,養子,民法親屬編,,,2020-04-01
7197324,Natural parents,本生父母,,Biologische Eltern des Adoptivkind,実親,民法親屬編,,,2020-04-01
7197325,Prohibition of adoption by close relatives,禁止近親收養,,Verbot der Annahme zwischen engen Blutsverwandten,近親養子の禁止,民法親屬編,,,2020-04-01
7197326,Joint adoption by husband and wife,夫妻共同收養,,Gemeinschaftliche Annahme des Kindes durch Ehepartner,夫婦の共同縁組,民法親屬編,,,2020-04-01
7197327,Adoption of a minor,未成年子女之收養,,Minderjährigenadoption,未成年養子,民法親屬編,,,2020-04-01
7197328,Adult adoption,成年子女之收養,,Erwachsenenadoption,成年養子,民法親屬編,,,2020-04-01
7197329,Written contract of adoption,收養之書面契約,,Schriftliche Vertrag über die Adoption,養子縁組の書面による契約,民法親屬編,,,2020-04-01
7197330,Court approval of adoption,法院之收養認可,,Genehmigung des Gerichts über die Adoption,裁判所の縁組の許可,民法親屬編,,,2020-04-01
7197331,Best interests of the adopted child,養子女最佳利益,,Wohl des Adoptivkindes,養子の最善利益,民法親屬編,,,2020-04-01
7197332,Nullity of adoption,收養之無效,,Nichtigkeit der Adoption,養子縁組の無効,民法親屬編,,,2020-04-01
7197333,Revocation of adoption,收養之撤銷,,Aufhebung der Adoption,養子縁組の取消,民法親屬編,,,2020-04-01
7197334,Surname of the adopted child,養子女之姓氏,,Name des Adoptivkindes,養子の氏,民法親屬編,,,2020-04-01
7197335,Surname of the adoptive parent,收養者之姓氏,,Name des Annehmendes,養親の氏,民法親屬編,,,2020-04-01
7197336,Termination of adoption by consent,合意終止收養,,Aufhebung der Adoption durch Vereinbarung,協議離縁,民法親屬編,,,2020-04-01
7197337,Postmortem termination of adoption by court approval,死後終止收養之許可,,Aufhebung der Adoption durch Genehmigung des Gerichts nach dem Tod des Annehmenden,死後離縁許可,民法親屬編,,,2020-04-01
7197338,Termination of adoption by adjudication,判決終止收養,,Aufhebung der Adoption durch Urteil,裁判離縁,民法親屬編,,,2020-04-01
7197339,Parental rights and duties,親權,,Elterliche Sorge,親権,民法親屬編,,,2020-04-01
7197340,Parental rights to discipline,父母之懲戒權,,Züchtigungsrecht der Eltern,親の懲戒権,民法親屬編,,,2020-04-01
7197341,Statutory agency of parents,父母之法定代理權,,Vertretungsrecht der Eltern für Minderjährige,親の法定代理権,民法親屬編,,,2020-04-01
7197342,Special agent,特別代理人,,Sondervertreter,特別代理人,民法親屬編,,,2020-04-01
7197343,Special property of a minor child,未成年子女之特有財產,,Sondergut des Kindes,未成年の子の特有財産,民法親屬編,,,2020-04-01
7197344,Abuse of parental rights,濫用親權,,Missbrauch des Sorgerechts,親権の濫用,民法親屬編,,,2020-04-01
7197345,Declaration of suspension of parental rights,宣告停止親權,,Ruhen der elterlichen Sorge durch das Familiengericht,親権の喪失,民法親屬編,,,2022-08-29
7197346,Guardianship,監護,,Vormundschaft,後見,民法親屬編,,,2020-04-01
7197347,Guardianship of minors,未成年監護,,Vormundschaft für Minderjährige,未成年後見,民法親屬編,,,2020-04-01
7197348,Guardian (of a minor),未成年人監護人,,Vormund,未成年後見人,民法親屬編,,,2020-04-01
7197349,Ward,受監護人,,Mündel,被後見人,民法親屬編,,,2020-04-01
7197350,Entrusted guardianship,委託監護,,Beauftragte Vormundschaft,監護権の委託,民法親屬編,,,2020-04-01
7197351,Appointment of guardian by a will,遺囑指定監護人,,Benennung eines Vormundes durch Testament,遺言による未成年後見人の指定,民法親屬編,,,2020-04-01
7197352,Statutory guardian,法定監護人,,Gesetzlicher Vormund,法定後見人,民法親屬編,,,2020-04-01
7197353,Appointment of guardian by court,法院選任監護人,,Bestellung des Vormunds durch das Familiengericht,裁判所に選定された後見人,民法親屬編,,,2020-04-01
7197354,Best interests of the ward,受監護人之最佳利益,,Wohl des Mündels,被後見人の最善の利益,民法親屬編,,,2020-04-01
7197355,Reappointment of guardian,監護人之改任,,Bestellung eines neuen Vormunds,後見人の解任,民法親屬編,,,2020-04-01
7197356,Multi-guardians,複數監護人,,Mehrere Vormünder,複数の後見人,民法親屬編,,,2020-04-01
7197357,Court approval of guardian resignation,許可監護人辭任,,Entlassung des Vormundes auf Antrag,後見人の辞任の許可,民法親屬編,,,2020-04-01
7197358,Dismissal of the guardian,監護人之辭退,,Entlassung des Vormundes von Amts wegen,後見人の辞任,民法親屬編,,,2020-04-01
7197359,Guardian's obligation to report,監護人之報告義務,,Auskunftspflicht des Vormundes,後見人の報告義務,民法親屬編,,,2020-04-01
7197360,Remuneration of guardian,監護人之報酬,,Vergütung des Vormundes,後見人の報酬,民法親屬編,,,2020-04-01
7197361,Adult guardianship,成年監護,,Rechtliche Betreuung für Volljähriger,成年後見,民法親屬編,,,2020-04-01
7197362,Declaration of guardian,監護宣告,,Anordung einer Betreuung,後見開始の宣告,民法親屬編,,,
7197363,Guardian (of an adult),成年監護人,,Betreuer,成年後見人,民法親屬編,,,2020-04-01
7197364,Declaration of assistance,輔助宣告,,Anordung einer Assistent,輔助開始の宣告,民法親屬編,,,2020-04-01
7197365,Assistant,輔助人,,Assistent,輔助人,民法親屬編,,,2020-04-01
7197366,Support,扶養,,Unterhaltspflicht,扶養,民法親屬編,,,2020-04-01
7197367,Order of support obliger,扶養義務人之順序,,Rangverhältnisse mehrerer Unterhaltspflichtiger,扶養義務者の順位,民法親屬編,,,2020-04-01
7197368,Order of support obligee,受扶養權利者之順序,,Rangfolge mehrerer Unterhaltsberechtiger,扶養権利者の順位,民法親屬編,,,2020-04-01
7197369,Spousal maintenance,夫妻間之扶養,,Ehegattenunterhalt,夫婦間の扶養,民法親屬編,,,2020-04-01
7197370,Parents' obligation for child support,父母對未成年子女之扶養義務,,Unterhalt minderjähriger Kinder gegen die Eltern,親が未成熟子に対する扶養義務,民法親屬編,,,2020-04-01
7197371,Needs of a support obliger,受扶養之需求,,Bedürftigkeit des Unterhaltsberechtigten,扶養権利者の需要,民法親屬編,,,2020-04-01
7197372,Capacities of a support obligee,扶養義務人之給付能力,,Leistungsfähigkeit des Unterhaltspflichtigen,扶養義務者の資力,民法親屬編,,,2020-04-01
7197373,Full or partial exemption from duty of support,扶養義務之減免,,Beschränkung oder Wegfall der Unterhaltspflicht,扶養義務の軽減または免除,民法親屬編,,,2020-04-01
7197374,Manner of provoding support,扶養的方法,,Art der Unterhaltsgewährung,扶養の方法,民法親屬編,,,2020-04-01
7197375,Extent of providing support,扶養的程度,,Maß des Unterhalts,扶養の程度,民法親屬編,,,2020-04-01
7197376,Household,家,,Familiengemeinschaft,家制度,民法親屬編,,,2020-04-01
7197377,Head of household,家長,,Oberhaupt der Familiengemeinschaft,家長,民法親屬編,,,2020-04-01
7197378,Member of household,家屬,,Mitglieder der Familiengemeinschaft,家族,民法親屬編,,,2020-04-01
7197379,Separation from household,分家,,Trennung vom Haus,分家する,民法親屬編,,,2020-04-01
7197380,Family council,親屬會議,,Familienrat,親族会議,民法親屬編,,,2020-04-01
17902501,Abortion,人工流產,,Abtreibung / Schwangerschaftsabbruch,人工妊娠中絶,人工生殖法,,,2022-07-15
17902502,Acceptance of bequest,承認遺贈,,Annahme des Vermächtnis,遺贈の承認,民法繼承編,,,2022-07-15
17902503,Alteration of a will,遺囑之變造,,Veränderung des Testaments,遺言書の変造,民法繼承編,,,2022-07-15
17902504,Assistant's consent,輔助人同意,,Zustimmung des Betreuers,保佐人の同意,民法親屬編,,,2022-07-15
17902505,Autonomy,自主決定,,Selbsebestimmung,自己決定,民法親屬編,,,2022-07-15
17902506,Beneficiary,受遺贈人,,Vermächtnisnehmer,受遺者,民法繼承編,,,2022-07-15
17902507,Bequest,遺贈,,Vermächtnis,遺贈,民法繼承編,,,2022-07-15
17902508,Bequest with burden,附負擔之遺贈,,Vermächtnis unter Auflagen,負担付遺贈,民法繼承編,,,2022-07-15
17902509,Birth control,節育,,Geburtenkontrolle,避妊,優生保健法,,,2022-07-15
17902510,Capacity to inherit,繼承能力,,Erbfähigkeit,相続能力,民法繼承編,,,2022-07-15
17902511,Civil Protection Order,民事保護令,,Zivilschutz Anordnung,民事保護命令,家庭暴力防制法,,,2022-07-15
17902512,Claim to deduct bequest due to compulsory share,特留分之扣減權,,Kürzung wegen der Pflichtsteilslast,遺留分の減殺請求,民法繼承編,,,
17902513,Committee on Workplace Gender Equality,性別工作平等會,,Ausschüsse für die Gender-Gleichstellung am Arbeitsplatz / Ausschüss für die Gleichbehandlung von Männern und Frauen am Arbeitsplatz,ジェンダーに関する労働平等諮問会,性別平等工作法,,,2022-07-15
17902514,Compulsory share,特留分,,Pflichtteil,遺留分,民法繼承編,,,2022-07-15
17902515,Concealment of a will,遺囑之隱匿,,Versteckung des Testaments,遺言書の隠匿,民法繼承編,,,2022-07-15
17902516,Concealment of probate assets,遺產之隱匿,,Verheimlichung von Nachlassgegenständen,相続財産の隠匿,民法繼承編,,,2022-07-15
17902517,Contraception,避孕,,Empfängnisverhütung,避妊,優生保健法,,,2022-07-15
17902518,Contraception / Planned parentage,生育調節,,Regulierung der Fruchtbarkeit,受胎調節,優生保健法,,,2022-07-15
17902519,Co-ownership of probate estate,遺產之公同共有,,Erbengemeinschaft,遺産の合有,民法繼承編,,,2022-07-15
17902520,Crimes/ Offenses of domestic violence,家庭暴力罪,,Strafe für Häusliche Gewalt,家庭内暴力罪,家庭暴力防制法,,,2022-07-15
17902521,Custodian of a will,遺囑保管人,,Testamentsverwahrer,遺言書の保管者,民法繼承編,,,2022-07-15
17902522,Decedent,被繼承人,,Erblasser,被相続人,民法繼承編,,,2022-07-15
17902523,Deduction of intestate share due to special gift,特種贈與之歸扣,,Ausgleichung der Wert der Zuwendung von Miterben,特別受益の持戻,民法繼承編,,,2022-07-15
17902524,Destruction of a will,遺囑之湮滅,,Vernichtung des Testaments,遺言書の破棄,民法繼承編,,,2022-07-15
17902525,Dictated will,代筆遺囑,,Diktierter Testament,代筆遺言,民法繼承編,,,2022-07-15
17902526,Differential treatment,差別待遇,,Differenzielle Behandlung,差別的取扱い,,,,2022-07-15
17902527,Discrimination based on sexual orientation,性傾向歧視,,Diskriminierung wegen Sexuellen Orientierung,性的指向の差別,性別平等工作法,,,2022-07-15
17902528,Disposition of probate assets,遺產之處分,,Verfügung über Nachlassgegenstände,相続財産の処分,民法繼承編,,,2022-07-15
17902529,Disposition procedures of domestic violence,家庭暴力處理程序,,Verhandlungsverfahren von häuslicher Gewalt,DV処理手続/家庭内暴力処理手続,家庭暴力防制法,,,2022-07-15
17902530,Domestic violence,家庭暴力,,Häusliche Gewalt,家庭内暴力,家庭暴力防制法,,,2022-07-15
17902531,Domestic Violence Prevention and Treatment Center,家庭暴力防治中心,,Die Häuslicher Gewaltschutzzentrum,DV防止センター/家庭内暴力防止センター,家庭暴力防制法,,,2022-07-15
17902532,Education on prevention and treatment of domestic violence,家庭暴力防治教育,,Fortbildung für die Intervention bei häusliche Gewalt,DV防止教育/家庭内暴力防止教育,家庭暴力防制法,,,2022-07-15
17902533,Elective abortion,自願中止懷孕,,Freiwilliger Schwangerschaftsabbruch,任意の人工妊娠中絶,優生保健法,,,2022-07-15
17902534,Emergency aid for living expenses,緊急生活扶助費用,,Kosten für Lebenshilf im Notfall,緊急生活支援費,家庭暴力防制法,,,2022-07-15
17902535,Emergency Protection Order,緊急保護令,,Schutzanordnung im Notfall,緊急保護命令,家庭暴力防制法,,,2022-07-15
17902536,Employment Discrimination,就業歧視,,Diskriminierung am Arbeitsplatz,雇用差別,性別平等工作法,,,2022-07-15
17902537,Enforcement Rules for the Workplace Gender Equality Act,性別工作平等法施行細則,,Einführungsgesetz zum Gesetz zur Gleichstellung der Geschlechter am Arbeitsplatz / Einführungsgesetz zum Gesetz zur Gender-Gleichstellung am Arbeitsplatz,ジェンダーに関する労働平等法施行規則,性別平等工作法,,,2022-07-15
17902538,Eugenics,優生學,,Eugenik,優生学,優生保健法,,,2022-07-15
17902539,Execution of a will,遺囑執行,,Testamentsvollstreckung,遺言の執行,民法繼承編,,,2022-07-15
17902540,Executor of a will,遺囑執行人,,Testamentsvollstrecker,遺言執行者,民法繼承編,,,2022-07-15
17902541,Family care leave,家庭照顧假,,Familienbetreuungsurlaub,介護休業、子の看護休暇,性別平等工作法,,,2022-07-15
17902542,Fetal malformation,胎兒畸型,,Fehlbildungen der Neugeborenen,胎児形態異常,優生保健法,,,2022-07-15
17902543,Fetal sex difference,胎兒性別差異,,Geschlechtsunterschied der Neugeborenen,胎児の性別の違い,優生保健法,,,2022-07-15
17902544,Forfeiture of rights of inheritance,繼承權之喪失,,Erbunwürdigkeit,相続欠格又は廃除,民法繼承編,,,2022-07-15
17902545,Forfeiture of the right to bequest,受遺贈權之喪失,,Vermächtnisunwürdigkeit,受遺者の資格の喪失,民法繼承編,,,2022-07-15
17902546,Forgery of a will,遺囑之偽造,,Fälschung des Testaments,遺言書の偽造,民法繼承編,,,2022-07-15
17902547,Gender,社會（化）性別,,Soziale Geschlecht,ジェンダー,性別平等教育法,,,2022-07-15
17902548,Gender discrimination,性別歧視,,Gender Diskriminierung / Sexualisierte Diskriminierung,性差別,,,,2022-07-15
17902549,Gender identity,性別認同,,Geschlechtsidentität,性自認,,,,2022-07-15
17902550,Gender-specific work,工作性質僅適合特定性別者,,Nur für bestimmte Geschlecht geeigneter Arbeit,業務の性質が特定の性別の者にのみ適している,性別平等工作法,,,2022-07-15
17902551,Genetic disorder,遺傳性疾病,,Erbkrankheit / Genetische Erkrankung,遺伝性疾患,優生保健法,,,2022-07-15
17902552,Gift in Contemplation of Death,死因贈與,,Schenkung auf den Todesfall,死因贈与,民法繼承編,,,2022-07-15
17902553,Harassment,騷擾,,Belästigung,ハラスメント,性別平等工作法,,,2022-07-15
17902554,Health examination,健康檢查,,Gesundheitsuntersuchung,健康診断,優生保健法,,,2022-07-15
17902555,Heir,繼承人,,Erben,相続人,民法繼承編,,,2022-07-15
17902556,Heir of intestate succession,法定繼承人,,Gesetzliche Erben,法定相続人,民法繼承編,,,2022-07-15
17902557,Heritage inventory,遺產清冊,,Inventarerrichtung,相続財産の目録,民法繼承編,,,2022-07-15
17902558,Holographic will,自書遺囑,,Eigenhändiges Testament,自筆証書遺言,民法繼承編,,,2022-07-15
17902559,Hostility,敵意,,Feindlichkeit,敵意,性別平等工作法,,,2022-07-15
17902560,Infant and toddler health services,嬰、幼兒健康服務,,Gesundheitsdienst für Säuglinge und Kleinkinder,乳幼児健康相談,優生保健法,,,2022-07-15
17902561,Infectious diseases,傳染性疾病,,Infektionskrankheit,感染症,,,,2022-07-15
17902562,Infertility,不孕症,,Unfruchtbarkeit,不妊症,,,,2022-07-15
17902563,Informed consent,告知後同意,,Informierte Zustimmung / Informierte Einwilligung,説明と同意,優生保健法,,,2022-07-15
17902564,Inheritance / Succession,繼承編,,Erbrecht,相続編,民法繼承編,,,2022-07-15
17902565,Inheritance of Debts,債務之繼承,,Vererbung von Schulden / Nachlassverbindlichkeit,債務の相続,民法繼承編,,,2022-07-15
17902566,Intestate share,應繼分,,Erbteil,相続分,民法繼承編,,,2022-07-15
17902567,Intimidation,脅迫,,Einschüchterung,脅迫,民法繼承編,,,2022-07-15
17902568,Limitation of inheritance,限定繼承,,Beschränkung der Haftung des Erben,限定承認,民法繼承編,,,2022-07-15
17902569,Maternity leave,產假,,Mutterschaftsurlaub / Schwangerschaftsurlaub,出産休暇,性別平等工作法,,,2022-07-15
17902570,Menstral leave,生理假,,Menstruationsurlaub,生理休暇,性別平等工作法,,,2022-07-15
17902571,Mental illness,精神疾病,,Psychische Erkrankung,精神疾患,優生保健法,,,2022-07-15
17902572,Normal development of fetus,胎兒正常發育,,Gesunde Entwicklung des Fötus,胎児の健全な発育,優生保健法,,,2022-07-15
17902573,Notarized will,公證遺囑,,Öffentliches/Notarielles Testament,公正証書遺言,民法繼承編,,,2022-07-15
17902574,Offender Treatment Program,加害人處遇計畫,,Täterbehandlungsprogramm,加害者更生プログラム,家庭暴力防制法,,,2022-07-15
17902575,Offense,冒犯,,Beleidigung,冒涜,家庭暴力防制法,,,2022-07-15
17902576,Offense of breaching a protection order,違反保護令罪,,Verletzung der Schutzanordnung,保護命令違反罪,家庭暴力防制法,,,2022-07-15
17902577,Open and read a sealed will,遺囑之開視,,Eröffnung des Testaments,遺言書の開封,民法繼承編,,,2022-07-15
17902578,Oral will / Nuncupative will,口授遺囑,,Nottestament / Mündliches Testament,口授遺言,民法繼承編,,,2022-07-15
17902579,Order of intestate succession,繼承順序,,Erbfolge,相続の順位,民法繼承編,,,2022-07-15
17902580,Parenting education,親職教育,,Elternbildung,親教育,家庭暴力防制法,,,2022-07-15
17902581,Partition of probate estate,遺產分割,,Nachlassverteilung / Erbauseinandersetzung,遺産分割,民法繼承編,,,2022-07-15
17902582,Paternity leave,陪產假,,Vaterschaftsurlaub,配偶者出産休暇,性別平等工作法,,,2022-07-15
17902583,Planned parentage guidance,生育調節指導,,Leitlinie für Familienplannung,受胎調節指導,優生保健法,,,2022-07-15
17902584,Pregnancy,妊娠,,Schwangerschaft,妊娠,優生保健法,,,2022-07-15
17902585,Premarital examination,婚前檢查,,Gesundheitsuntersuchung vor der Eheschliessung,結婚前の健康診断,優生保健法,,,2022-07-15
17902586,Probate administration,遺產管理,,Nachlassverwaltung,遺産管理,民法繼承編,,,2022-07-15
17902587,Probate estate,遺產,,Nachlass,遺産,民法繼承編,,,2022-07-15
17902588,Psychological well-being,心理健康,,Psychische Gesundheit,精神的健康,優生保健法,,,2022-07-15
17902589,Quid pro quo sexual harassment,交換條件式性騷擾,,Quid pro quo sexuelle Belästigung,対価型セクハラ,性別平等工作法,,,2022-07-15
17902590,Reproductive and genetic counseling,生育遺傳諮詢,,Beratung zur genetischen Diagnostik,生育遺伝相談,優生保健法,,,2022-07-15
17902591,Reproductive autonomy,生育自主權,,Reproduktive Selbstbestimmungsrecht,生殖に関する自己決定権,優生保健法,,,2022-07-15
17902592,Reproductive freedom,生殖自由,,Freiheit zur Fortpflanzung,生殖の自由,優生保健法,,,2022-07-15
17902593,Reproductive health / Genetic health,優生保健,,Reproduktionsgesundheit,優生保護,優生保健法,,,2022-07-15
17902594,Reproductive Health Advisory Committee / Genetic Health Advisory Committee,優生保健諮詢委員會,,Beratungsausschuss für die Reproduktionsgesundheit,優生保護諮問会,優生保健法,,,
17902595,Request for sexual favors,性要求,,Aufforderungen zur sexuelle Verhalten,性的要求,性別平等工作法,,,2022-07-15
17902596,Restitution of the right to inheritance,繼承回復請求權,,Erbschaftanspruch,相続回復請求権,民法繼承編,,,2022-07-15
17902597,Review Committee on Employment Discrimination,就業歧視評議委員會,,Überprüfungsausschuss für Diskriminierung am Arbeitsplatz,雇用差別評議会,性別平等工作法,,,2022-07-15
17902598,Revocation of a will,遺囑之撤回,,Widerruf eines Testaments,遺言の撤回,民法繼承編,,,2022-07-15
17902599,Right to a certain portion of probate estate,遺產酌給請求權,,Nachlass Diskretion,遺産分与について、酌量を求める請求権,民法繼承編,,,2022-07-15
17902600,Safety net against domestic violence,家庭暴力安全防護網,,Sicherheitsschutznetz gegen häuslicher Gewalt,DVセーフティネット/家庭内暴力セーフティネット,家庭暴力防制法,,,2022-07-15
17902601,Schizophrenia,精神分裂症,,Schizophrenie,精神分裂病,優生保健法,,,2022-07-15
17902602,Sealed will,密封遺囑,,Versiegeltes Testament,秘密証書遺言,民法繼承編,,,2022-07-15
17902603,Serious abuse,重大虐待,,Schwerer Missbrauch,重大な虐待,民法繼承編,,,2022-07-15
17902604,Serious insult,重大侮辱,,Schwere Beleidigung,重大な侮辱,民法繼承編,,,2022-07-15
17902605,Severe intellectual disability / Severe mental retardation,重度智能不足,,Schwere Intelligenzminderung,重度知的障害,優生保健法,,,2022-07-15
17902606,Sex,生理性別,,Biologische Geschlecht,生物学的性別,性別平等教育法,,,2022-07-15
17902607,Sexual assaults,性侵害,,Sexueller Missbrauch,性的暴行,性侵害犯罪防制法,,,2022-07-15
17902608,Sexual autonomy,性自主,,Sexuelle Selbstbestimmung,性的自主,性侵害犯罪防制法,,,2022-07-15
17902609,Sexual difference,性別差異,,Sexuelle Differenzierung,性別的な差異,性別平等教育法,,,2022-07-15
17902610,Sexual orientation,性傾向,,Sexuelle Orientierung,性的指向,,,,2022-07-15
17902611,Shelter,庇護所,,Frauenhäuser / Zufluchtswohnung,シェルター,家庭暴力防制法,,,2022-07-15
17902612,Spousal consent,配偶同意,,Zustimmung des Ehegatten,配偶者の同意,優生保健法,,,2022-07-15
17902613,Stalking,跟蹤,,Nachstellung / Stalking,ストーカー行為,跟蹤騷擾防制法,,,2022-07-15
17902614,Standard Protection Order,通常保護令,,Allgemeine Schutzanordnung,通常保護命令,家庭暴力防制法,,,2022-07-15
17902615,Statutory agent's consent,法定代理人同意,,Zustimmung des gesetzlichen Vertreteres,法定代理人の同意,優生保健法,,,2022-07-15
17902616,Sterilization,結紮,,Sterilisation,結紮,優生保健法,,,2022-07-15
17902617,Subrogation inheritance,代位繼承,,Erbfolge nach Stämmen,代襲相続,民法繼承編,,,2022-07-15
17902618,Teenage abortion,未成年人人工流產,,Schwangerschaftsabbruch bei Minderjährigen,未成年者の中絶,優生保健法,,,2022-07-15
17902619,Teenage pregnancy,未成年人懷孕,,Schwangerschaft von Minderjährigen,未成年者の妊娠,優生保健法,,,2022-07-15
17902620,Temporary Protection Order,暫時保護令,,Vorläufige Schutzanordnung,仮の保護命令,家庭暴力防制法,,,2022-07-15
17902621,Testamentary capacity,遺囑能力,,Testierfähigkeit,遺言能力,民法繼承編,,,2022-07-15
17902622,Time off for prenatal tests,產檢假,,Freistellung für Schwangerschaftsuntersuchungen,妊娠検査休暇,優生保健法,,,2022-07-15
17902623,Treasury,國庫,,Fiskus,国庫,民法繼承編,,,2022-07-15
17902624,Unpaid parental leave,育嬰留職停薪,,Elternurlaub ohne Bezahlung,育児のための無給休暇,性別平等工作法,,,2022-07-15
17902625,Victim protection program,被害人保護計畫,,Opferschutzprogramm,被害者保護プログラム,家庭暴力防制法,,,2022-07-15
17902626,Violence in intimate relationships,親密伴侶暴力,,Gewalt in intimer Partnerschaft,親密なパートナーからの暴力,家庭暴力防制法,,,2022-07-15
17902627,Waiver of a bequest,遺贈之拋棄,,Ausschlagung des Vermächtnis,遺贈の放棄,民法繼承編,,,2022-07-15
17902628,Waiver of inheritance,繼承之拋棄,,Ausschlagung der Erbschaft,相続の放棄,民法繼承編,,,2022-07-15
17902629,Will,遺囑,,Testament,遺言,民法繼承編,,,2022-07-15
17902630,Witness to a will,遺囑見證人,,Testamentszeugen,遺言の証人,民法繼承編,,,2022-07-15
17902631,Witnessing of domestic violence,目睹家庭暴力,,Zeugenschaft von Häusliche Gewalt,DV目撃/家庭内暴力目撃,家庭暴力防制法,,,2022-07-15
17902632,Women of advanced maternal age (AMA),高齡產婦,,Schwanger im hohen Alter,高齢妊娠者／高齢出産者,優生保健法,,,
17902633,Women's employment,婦女就業,,Erwebstätigkeit von Frauen,女性雇用,性別平等工作法,,,2022-07-15
17902634,Words or conduct of gender discrimination,具有性別歧視之言詞或行為,,Gender Diskriminierte Sprache oder Verhalten,性差別的性質を有する口頭または身体上の行為,性別平等工作法,,,2022-07-15
17902635,Words or conduct with sexual implications,具有性意味之言詞或行為,,Sexuell gefärbte Sprache oder Verhalten,性的な意味を有する口頭または身体上の行為,性別平等工作法,,,2022-07-15
17902636,Work environment,工作環境,,Arbeitsumfeld,職場環境,性別平等工作法,,,2022-07-15
17902637,Workplace Gender Equality Act,性別工作平等法,,Gesetz zur Gleichstellung der Geschlechter am Arbeitsplatz / Gesetz zur Gender-Gleichstellung am Arbeitsplatz,ジェンダーに関する労働平等法,性別平等工作法,,,2022-07-15
21324612,Family Procedures Act,家事事件法,,Das Gesetz über das Verfahren in Familiensachen,家事事件法,家事事件法,,,
21324613,Enforcement Rules for Family Procedures Act,家事事件法施行細則,,Einführungsverordung über das Verfahren in Familiensachen,家事事件法施行細則,家事事件法,,,
21324614,Adjudication Rules for Family Procedures Act,家事事件審理細則,,Urteilsverordnung über die Familiensachen,家事事件審理細則,家事事件法,,,
21324615,Procedures of family litigation,家事訴訟程序,,Verfahren in Familiensachen,家事訴訟手続,家事事件法,,,
21324616,Matters of family litigation,家事訴訟事件,,Familienstreitsachen,家事訴訟事件,家事事件法,,,
21324617,Non-litigation procedures for family matters,家事非訟程序,,Verfahren für die freiwillige Gerichtsbarkeit der Familiensachen,家事非訟手続,家事事件法,,,
21324618,Non-litigation family matters,家事非訟事件,,Freiwillige Gerichtsbarkeit für die Familiensachen,家事非訟事件,家事事件法,,,
21324619,Family matters / Matters of domestic relations,家事事件,,Familiensachen,家事事件,家事事件法,,,
21324620,Matters of Marriage,婚姻事件,,Ehesachen,婚姻事件,家事事件法,,,
21324621,Matters of parent-child relations,親子關係事件,,Eltern-Kind Zuordungssachen,親子関係事件,家事事件法,,,
21324622,Matters of inheritance litigation,繼承訴訟事件,,Nachlassstreitssachen,相続訴訟事件,家事事件法,,,
21324623,Non-litigation marriage matters,婚姻非訟事件,,Freiwillige Gerichtsbarkeit für die Ehesachen,婚姻非訟事件,家事事件法,,,
21324624,Non-litigation parent-child matters,親子非訟事件,,Freiwillige Gerichtsbarkeit für Kindschaftssachen,親子非訟事件,家事事件法,,,
21324625,Matters of adoption,收養事件,,Adoptionssachen,養子縁組事件,家事事件法,,,
21324626,Matters of underage guardianship,未成年人監護事件,,Vormundschaftssachen,未成年後見事件,家事事件法,,,
21324627,Matters of relatives maintenance,親屬間扶養事件,,Verwandtenunterhaltsachen,親族間扶養事件,家事事件法,,,
21324628,Matters of inheritance,繼承事件,,Nachlasssachen,相続事件,家事事件法,,,
21324629,Matters of protection and placement,保護安置事件,,Schutz und Unterbringungssachen,保護事件,家事事件法,,,
