ID,英文名詞,中文名詞,德文,法類/法條,審定日期,更新日期
21396155,National pension insurance,國民年金保險,Bürgerrentenversicherung,職災保險法第29條第2項,113/09/27通過，114/07/16修正,
21396156,Need,需求,Bedarf,社會福利基本法第8條,1/26通過,
21396157,Occupational accident,職業災害,Arbeitsunfall,職災保險法第1條,113/5/24通過,
21396158,Occupational accident benefits,職業災害給付,Leistungen wegen Arbeitsunfall,職災保險法第104條第1項,114/2/21通過,
21396159,Occupational accident compensation,職業災害補償,Arbeitsunfallentschädigung,職災保險法第36條第2項,113/9/27通過,
21396160,Occupational accident insurance rate,行業別災害費率,Gefahrklasse im Betrieb,職災保險法第16條第2項,113/8/2通過，113/8/30修正,
21396161,Occupational accident prevention,職業災害預防,Verhütung von Arbeitsunfällen,職災保險法第62條第1項第1款,113/10/18通過,
21396162,Occupational competency assessment,職能評估,Berufliche Komeptenzbeurteilung,職災保險法第64條第1項第4款,113/12/13通過,
21396163,Occupational disease,職業病,Berufskrankheit,職災保險法第27條第3項,113/8/30通過,
21396164,Occupational disease assessment,職業病鑑定,Gutachte der Berufskrankheit,職災保險法第75條第1項,113/12/13通過,
21396165,Occupational disease assessment committee,職業病鑑定會,Ärztliche Sachverständigenbeirat Berufskrankheiten,職災保險法第75條第3項,113/12/13通過，114/07/16修正,
21396166,Occupational disease benefits,職業病給付,Leistungen der Berufskrankheit,職災保險法第75條第1項,113/12/13通過,
21396167,Occupational disease prevention,職業病防治,Verhütung von Berufskrankheiten,職災保險法第62條第1項第6款,113/10/18通過,
21396168,Occupational injury / Work injury,職業傷害,Arbeitsunfall,職災保險法第27條第1項,113/8/30通過,
21396169,Occupational injury and disease clinic,職業傷病門診,Ambulant für Arbeitsunfall und Berufskrankheit,職災保險法第68條第1項,113/12/13通過,
21396170,Occupational injury and disease report,職業傷病通報,Meldung von Arbeitsunfällen und Berufskrankheiten,職災保險法第62條第1項第3款,113/10/18通過,
21396171,Occupational rehabilitation,職能復健,Berufliche Rehabilitation,職災保險法第64條第1項第3款,113/10/18通過,
21396172,Occupational rehabilitation allowance,職能復健津貼,Zuschuss für berufliche Rehabilitation,職災保險法第68條第1項,113/12/13通過,
21396173,Occupational rehabilitation measures,職能復健措施,Maßnahmen zur beruflichen Rehabilitation,職災保險法第45條第3項,113/9/27通過,
21396174,Occupational sick leave,公傷病假,Krankheitsurlaub wegen Arbeitsunfall ,職災保險法第88條,114/2/21通過,
21396175,Occupational union,職業工會,Berufskammer,職災保險法第7條第1款,113/6/7通過，114/07/16修正,
21396176,Occupational/Industrial safety and health,職業安全衛生,Arbeitssicherheit,社會福利基本法第10條,1/26通過,
21396177,Partial permanent disability,部分失能,Teilweise Erwerbsfähigkeitsminderung ,職災保險法第43條第2項,113/9/27通過,
21396178,Payment standard,給付基準,Leistungsstandard,職災保險法第28條第1項,113/8/30通過,
21396179,Pension,退休金,Pension,職災保險法第86條第1項,114/1/16通過,
21396180,period of insurance,保險有效期間,Versicherungszeit ,全民健康保險法第1條第2項,114.8.13通過,
21396181,Periodic/Regular benefits,定期給付,Regelmäßige Leistungen,社會福利基本法第7條,1/26通過,
21396182,Permanent disability,永久失能,Dauerhafte  Erwerbsfähigkeitsminderung,職災保險法第43條第1項,113/9/27通過,
21396183,Persons with disabilities,身心障礙者,Menschen mit Behinderungen,社會福利基本法第4條,112/12/1通過,
21396184,Placement,安置,Unterbringung,社會救助法第17條第1項,6/6通過,
21396185,Poverty alleviation program,脫離貧窮,Armutsbekämpfung,社會救助法第15條之1第1項,4/25通過,
