ID,英文名詞,中文名詞,德文,法類/法條,審定日期,更新日期
21396241,Social welfare spending/Social welfare expenditure,社會福利支出,Sozialausgaben,社會福利基本法第18條,4/12通過,
21396242,Student of cooperative education,建教生,Schüler:in der dualen Ausbildung,職災保險法第6條第3項,113/6/7通過,
21396243,Subsidy,補助,Subvention,社會福利基本法第14條,2/23通過，114/07/16修正,
21396244,Supplement,補充性,Subsidiarität,社會福利基本法第7條,1/26通過,
21396245,Supplementary services,補充性服務,Ergänzende Dienstleistungen,社會福利基本法第8條,1/26通過,
21396246,Supportive services,支持性服務,Unterstützende Dienstleistungen,社會福利基本法第8條,1/26通過,
21396247,Surrender ,退保,Ende des Versicherungsverhältnisses,職災保險法第12條,113/8/2通過,
21396248,Survey on living conditions of low and middle-low income households,低收入戶及中低收入戶生活狀況調查,Umfrage zu den Lebensbedingungen von Haushalten mit niedrigem und quasi niedrigem Einkommen,社會救助法第13條第3項,4/25通過,
21396249,Survey report on earnings by occupation in Taiwan,臺灣地區職類別薪資調查報告,Gehaltsumfragebericht basierend auf der Berufskategorisierung in Taiwan,社會救助法第5條之1第1項第1款第2目,3/28通過,
21396250,Survey report on employment status of indigenous peoples,原住民就業狀況調查報告,Bericht über das Beschäftigungsstatus indigener Bevölkerungsgruppen,社會救助法第5條之1第2項,4/25通過,
21396251,Survivor’s benefit,遺屬津貼,Geldleistung für Hinterbliebene,職災保險法第49條第5項,113/10/18通過,
21396252,Survivor's lump sum benefit,遺屬一次金,Einmalige Geldleistung für Hinterbliebene,職災保險法第49條第3項,113/10/18通過,
21396253,Survivor's pension,遺屬年金,Hinterbliebenenrente ,職災保險法第49條第2項,113/10/18通過,
21396254,Suspected occupational disease,疑似職業病,Verdächtige Berufskrankheit,職災保險法第73條第5項,113/12/13通過,
21396255,Taiwanese crew member of foreign employment,外僱船員,Auf einem ausländischen Seeschiff beschäftigte taiwanesische Seeleute,職災保險法第9條,113/6/7通過,
21396256,Tax incentive,租稅優惠,Steuerbegünstigung,社會福利基本法第13條,2/23通過,
21396257,tax withholder,扣繳義務人,Steuerabzugsverpflichteter,全民健康保險法第2條第3款,114.8.13通過,
21396258,the insured,保險對象,Versicherte,,114.8.13通過,
21396259,Total household income,家庭總收入,Gesamtes Haushaltseinkommen,社會救助法第4條第1項,3/28通過,
21396260,total medical cost,醫療給付費用總額,Gesamtsumme der medizinischen Leistungen,全民健康保險法第2條第4款,114.8.13通過,
