ID,英文詞彙,中文名詞,備註,更新日期
21389945,pier-satellite system,突出衛星式系統[停機坪],航運及水運,
21389946,pilot flag,引水旗號,航運及水運,
21389947,pilotage,引水；引水費｛水運｝；地標航行｛航空｝,航運及水運,
21389948,port of destination,目的港,航運及水運,
21389949,precision approach,精確進近,航運及水運,
21389950,precision instrument runway,精確儀降跑道,航運及水運,
21389951,preflight inspection,飛行前檢查,航運及水運,
21389952,primary surface of runway,跑道基本面,航運及水運,
21389953,prohibited area,禁[航]區,航運及水運,
21389954,radar beacon,雷達信標,航運及水運,
21389955,radar control area,雷達控制區域,航運及水運,
21389956,radio navigation aid,無線電助航設備,航運及水運,
21389957,railway pier,鐵路碼頭,航運及水運,
21389958,remote parking system,遠端停機系統,航運及水運,
21389959,river harbor,河港,航運及水運,
21389960,rules of seamanship,船舶駕駛規則,航運及水運,
21389961,rules of the road,航道規則,航運及水運,
21389962,runway,走道板{混凝土澆置用}；跑道{機場}；坡道,航運及水運,
21389963,runway capacity,跑道容量,航運及水運,
21389964,runway clear zone,跑道清除區,航運及水運,
21389965,runway edge light,跑道邊燈,航運及水運,
21389966,runway light,跑道燈,航運及水運,
21389967,runway numbering system,跑道編號方法,航運及水運,
21389968,runway orientation,跑道方位,航運及水運,
21389969,runway system,跑道系統,航運及水運,
21389970,runway visual range,跑道視程,航運及水運,
21389971,runway-end identifier light,跑道末端標示燈,航運及水運,
21389972,sailing direction,航行指南,航運及水運,
21389973,satellite system,衛星式系統[停機坪],航運及水運,
21389974,scheduled airline,定期航線,航運及水運,
21389975,seaplane,水上飛機,航運及水運,
21389976,self-unloading vessel,自動卸貨船,航運及水運,
21389977,separation minimum,隔離標準,航運及水運,
21389978,service apron,修護停機坪,航運及水運,
21389979,short distance aid,短程助航設備,航運及水運,
21389980,short ton,短噸,航運及水運,
21389981,silo,散裝筒倉,航運及水運,
21389982,sludge vessel,運泥船,航運及水運,
21389983,space allocation,倉位分配,航運及水運,
21389984,split finger system,分裂指狀式系統 [停機坪],航運及水運,
21389985,stacked storage system,堆疊儲放方式 {貨櫃},航運及水運,
21389986,stern breast rope,艉橫纜,航運及水運,
21389987,stopway,停止道；跑道餘道,航運及水運,
21389988,storm-warning signal station,風訊警報臺,航運及水運,
21389989,structural pavement,結構性鋪面,航運及水運,
21389990,takeoff strip,起飛地帶,航運及水運,
21389991,takeoff weight,起飛重量,航運及水運,
21389992,taxiway,滑行道,航運及水運,
21389993,taxiway light,滑行道燈,航運及水運,
21389994,terminal airspace,終站空域,航運及水運,
21389995,terminal area surveillance radar,終端地區搜索雷達,航運及水運,
21389996,terminal control area,終站管制區域,航運及水運,
21389997,threshold light,跑道末端燈,航運及水運,
21389998,threshold marker,跑道端標記,航運及水運,
21389999,through transportation,聯運,航運及水運,
21390000,time approach,定時進場,航運及水運,
21390001,touch-and-go operation,連續起降作業,航運及水運,
21390002,touchdown zone marker,落地區標記,航運及水運,
21390003,traffic pattern,航線型態；行車型態{環工},航運及水運,
21390004,traffic-control projector,航行管制信號燈,航運及水運,
21390005,train ferry,火車渡船,航運及水運,
21390006,transit cargo,過路貨,航運及水運,
21390007,transit port,轉運港；轉口港,航運及水運,
21390008,transit shed,通棧,航運及水運,
21390009,transitional surface,漸變面｛機場跑道｝,航運及水運,
21390010,vertical separation,垂直隔離,航運及水運,
21390011,VHF omni-directional radio range,超高頻多向導航臺,航運及水運,
21390012,visual aid,目視輔助設備,航運及水運,
21390013,visual contact approach,目視進場,航運及水運,
21390014,visual-approach slope indicator,目視滑降燈,航運及水運,
21390015,water transportation,水路運輸,航運及水運,
21390016,wind cone,風標,航運及水運,
21390017,wind coverage,風頻涵蓋率,航運及水運,
21390018,wind rose method,風頻圖法；風花圖法,航運及水運,
21390019,3-car unit,三車組,捷運,
21390020,access for firefighter,消防[員]通路；消防[員]通道,捷運,
21390021,accident prevention,事故預防,捷運,
21390022,active fault,活動斷層,捷運,
21390023,active tilting train,主動式傾斜列車,捷運,
21390024,activity code,作業碼,捷運,
21390025,actual point of frog,實際岔尖；岔心實際交點,捷運,
21390026,all-day service,全日[運輸]服務,捷運,
21390027,anchorage assembly,錨定組件,捷運,
21390028,angle of inclination,傾斜角度,捷運,
21390029,anti-climber,防爬器,捷運,
21390030,applied cant,選用超高；實置超高,捷運,
21390031,arbitration,仲裁,捷運,
21390032,arbitration agreement,仲裁協議,捷運,
21390033,arbitration clause,仲裁條款,捷運,
21390034,articulated bus,連結公車,捷運,
21390035,A-type right-of-way,A型路權；專用路權,捷運,
21390036,automated people mover (APM),自動運人系統,捷運,
21390037,automatic coupler,自動聯結器,捷運,
21390038,automatic fare collection (AFC),自動收費,捷運,
21390039,automatic route release,進路鎖定自動解除,捷運,
21390040,automatic sprinkle system,自動撒水系統,捷運,
21390041,automatic train supervision (ATS),自動列車監督,捷運,
21390042,availability demonstration,可用度展示,捷運,
21390043,backfill grouting,背填灌漿；回填灌漿,捷運,
21390044,ballast track,道碴軌道,捷運,
21390045,ballast work,道碴作業,捷運,
21390046,ballastless track,無道碴軌道,捷運,
21390047,baseplate,[鋼軌]基鈑,捷運,
21390048,bearing plate,支承鈑,捷運,
21390049,beginning of curve,曲線起點,捷運,
21390050,beginning of vertical curve,豎曲線起點,捷運,
21390051,benefit assessment,受益評估；效益評估,捷運,
21390052,bi-directional ventilation,雙向通風,捷運,
21390053,bike-and-ride,自行車轉乘,捷運,
21390054,blended brake,混合煞車,捷運,
21390055,bored tunnel,鑽掘隧道,捷運,
21390056,bored tunneling method,鑽掘隧道工法,捷運,
21390057,brake caliper,煞車鉗,捷運,
21390058,bridging slab,跨接版{明挖與潛遁交接的版子},捷運,
21390059,B-type right-of-way,B型路權；部分專用路權,捷運,
21390060,building protection,建物保護,捷運,
21390061,build-transfer (BT),興建-移轉,捷運,
21390062,bus lane,公車[專用]道,捷運,
21390063,bus rapid transit (BRT),公車捷運系統,捷運,
21390064,bus street,公車專用街道,捷運,
21390065,busway,公車專用道路,捷運,
21390066,cab,駕駛室{鐵路列車},捷運,
21390067,cable car,纜車,捷運,
21390068,car washing plant,車廂清洗廠,捷運,
21390069,carpool,汽車共乘,捷運,
21390070,cash box,現金盒,捷運,
21390071,catch basin,沉砂池,捷運,
21390072,circular curve,圓曲線,捷運,
21390073,civil speed limit,土建速限；軌道速限,捷運,
21390074,clip insulator,扣夾絕緣墊片,捷運,
21390075,closed circuit television (CCTV),閉路電視,捷運,
21390076,coasting,[惰力]滑行{鐵路},捷運,
21390077,coefficient of derailment,出軌係數,捷運,
21390078,coin box,硬幣盒,捷運,
21390079,color position light signal,色燈位置號誌；色燈列式號誌,捷運,
21390080,commissioning program plan,[承商]施作計畫,捷運,
21390081,communication and signaling equipment room,通訊與號誌設備室,捷運,
21390082,communication based train control (CBTC),通訊式列車控制系統,捷運,
21390083,commuter rail,通勤鐵路,捷運,
21390084,commuter service,通勤[運輸]服務,捷運,
21390085,compound curve,複曲線,捷運,
21390086,conceptual design review (CDR),概念設計審查,捷運,
21390087,conductor rail envelope,導電軌包絡線,捷運,
21390088,construction joint,施工縫,捷運,
21390089,contraflow bus lane (CBL),逆向公車專用道,捷運,
21390090,corridor,路廊{運輸規劃}；廊道{捷運土建},捷運,
21390091,corridor study,路廊研究,捷運,
21390092,corrugation,波狀磨耗,捷運,
21390093,cost breakdown,成本結構分析；成本拆解；單價分析,捷運,
21390094,crash wall,防撞[隔]牆,捷運,
21390095,criteria of environmental sound level,環境音量標準,捷運,
21390096,cross passage,連絡通道{隧道},捷運,
21390097,crown,頂拱,捷運,
21390098,C-type right-of-way,C型路權；混合路權,捷運,
21390099,current collecting device,集電裝置,捷運,
21390100,current collector,集電靴,捷運,
21390101,curve marker,曲線標識,捷運,
21390102,curve post,曲線標識,捷運,
21390103,cut and cover tunnel,明挖覆蓋隧道,捷運,
21390104,cut and cover tunneling method,明挖覆蓋隧道工法,捷運,
21390105,damper,阻尼器；減震器；擋板,捷運,
21390106,daylight,出土段{地下隧道}；出露；晝光{建築},捷運,
21390107,dead-end platform,末軌式月台,捷運,
21390108,demand-responsive transit system (DRTS),需求反應式客運系統,捷運,
21390109,depot connection line,機廠進出線,捷運,
21390110,depreciation cost,折舊成本,捷運,
21390111,design alternative study,設計替代方案研究,捷運,
21390112,design lot,設計區段,捷運,
21390113,design year,設計目標年,捷運,
21390114,diamond crossing,菱形交叉{軌道},捷運,
21390115,diesel hydraulic locomotive,柴液式機車,捷運,
21390116,direct fixation rail fastener,無道碴道床鋼軌扣件,捷運,
21390117,direct fixation track,無道碴[直接固結]軌道,捷運,
21390118,direct line telephone system (DLTS),直通電話系統,捷運,
21390119,door open indicator light,門開指示燈,捷運,
21390120,double crossover,雙橫渡線；交叉橫渡線,捷運,
21390121,double-deck railcar,雙層鐵路車廂,捷運,
21390122,double-stack train (DST),雙層貨櫃列車,捷運,
21390123,down time,故障時間,捷運,
21390124,downtown people mover (DPM),市區運人系統,捷運,
21390125,driving motor car,駕駛室動力車,捷運,
21390126,dual-mode bus,雙用公車,捷運,
21390127,dynamic acceptance test,動態驗收測試,捷運,
21390128,earth dump site,土資場,捷運,
21390129,earthing switch,接地開關,捷運,
21390130,elastomeric bearing pad,彈性支承墊,捷運,
21390131,electrical and mechanical systemwide test,機電系統測試,捷運,
21390132,electronic toll,電子道路收費,捷運,
21390133,electro-pneumatic brake,電氣煞車,捷運,
21390134,elevated section,高架段,捷運,
21390135,embedded track,嵌入式軌道,捷運,
21390136,emergency exit,緊急出口,捷運,
21390137,emergency platform door,緊急月台[逃生]門,捷運,
21390138,emergency plunger (EP),緊急停車按鈕,捷運,
21390139,end door,[月台]端門,捷運,
21390140,end wall,端牆,捷運,
21390141,engineering car,工程車,捷運,
21390142,environmental control system,環境控制系統,捷運,
21390143,environmental impact assessment (EIA),環境衝擊評估；環境影響評估,捷運,
21390144,equilibrium cant,平衡超高,捷運,
21390145,escape route,逃生路徑,捷運,
21390146,excess cant,過超高,捷運,
21390147,exclusive right-of-way,專用路權,捷運,
21390148,express service,快速[運輸]服務,捷運,
21390149,facing movement,面向岔尖行駛,捷運,
21390150,failure diagnosis,故障診斷,捷運,
21390151,fare map,票價圖,捷運,
21390152,fault monitoring,故障監測,捷運,
21390153,final inspection & testing for revenue service,履勘,捷運,
21390154,fixed signal,固定號誌,捷運,
21390155,flange lubricator,輪緣潤滑器,捷運,
21390156,flangeway,輪緣槽,捷運,
21390157,flash butt welding,電阻火花對焊；閃電焊接,捷運,
21390158,flat car,平[板]車,捷運,
21390159,floating slab track (FST),浮動道床,捷運,
21390160,for-hire public transportation,租用公共運輸,捷運,
21390161,formal acceptance inspection,正式驗收檢查,捷運,
21390162,freezing method,冷凍工法,捷運,
21390163,friction brake,摩擦煞車,捷運,
21390164,full service brake,最大正常煞車,捷運,
21390165,full speed operation,全速運轉,捷運,
21390166,fully heated treatment,全斷面熱處理,捷運,
21390167,funicular railway,纜索鐵路,捷運,
21390168,gauge plate,軌距墊鈑,捷運,
21390169,gauge side,軌距側,捷運,
21390170,gondola,敞車；纜車；平底狹長小船,捷運,
21390171,gradient post,坡度標,捷運,
21390172,grinding machine,磨軌機,捷運,
21390173,grounding,接地,捷運,
21390174,guidance,指南；指引；指導,捷運,
21390175,guide wheel,導引輪,捷運,
21390176,hardware interface,硬體界面,捷運,
21390177,hazard category,危險分類,捷運,
21390178,head grouting,盾首灌漿,捷運,
21390179,head hardened rail,硬頭鋼軌；頭部熱處理鋼軌,捷運,
21390180,head rod,前尖軌拉桿,捷運,
21390181,head wall unit,前端牆單元,捷運,
21390182,heavy rail rapid transit (HRRT),重軌捷運,捷運,
21390183,high rail,高軌,捷運,
21390184,hopper car,斗車,捷運,
21390185,hot dip galvanizing,熱浸鍍鋅,捷運,
21390186,human factor engineering,人因工程,捷運,
21390187,initial acceptance inspection,初驗,捷運,
21390188,initial network,初期路網,捷運,
21390189,inside rail,內軌,捷運,
21390190,installation verification test,[捷運設備]安裝驗證測試,捷運,
21390191,insulated rail joint (IRJ),鋼軌絕緣接頭,捷運,
21390192,interface control,界面控制,捷運,
21390193,interface management,介面管理,捷運,
21390194,interface test,界面測試,捷運,
21390195,invert,仰拱,捷運,
21390196,irregular service,非常態[運輸]服務,捷運,
21390197,jitney,隨停式運輸,捷運,
21390198,lead curve,導曲線,捷運,
21390199,leaky coaxial cable (LCX),洩漏電纜,捷運,
21390200,life cycle cost analysis,生命週期成本分析,捷運,
21390201,Light rail transit (LRT),輕軌運輸系統,捷運,
21390202,line color,路線代表色,捷運,
21390203,line controller,[行控中心]路線控制員,捷運,
21390204,linear induction motor (LIM),線性感應馬達,捷運,
21390205,loop transit,環式運輸,捷運,
21390206,low rail,低軌,捷運,
21390207,lubrication system,[鋼軌]潤滑系統,捷運,
21390208,magnetic encoded ticket,磁性車票,捷運,
21390209,magnetic particle testing,磁粉探傷,捷運,
21390210,maintainability,可維修性,捷運,
21390211,maintainability demonstration,維修度展示,捷運,
21390212,maintainability demonstration test,維修度示範測試,捷運,
21390213,maintenance access,維修通道,捷運,
21390214,maintenance workshop,維修機廠,捷運,
21390215,manual mode,[捷運列車控制]手動模式,捷運,
21390216,married pair (MP),雙車組,捷運,
21390217,master key,萬能鑰匙,捷運,
21390218,maximum allowable speed,最高容許速率,捷運,
21390219,mean restoration time,平均復原時間,捷運,
21390220,mean time to repair (MTTR),平均修復時間,捷運,
21390221,medium-capacity rapid transit (MCRT),中運量捷運,捷運,
21390222,mixed platform,混合式月台,捷運,
21390223,mixed right-of-way,混合路權,捷運,
21390224,monorail,單軌；單軌鐵路,捷運,
21390225,motor car,動力車{捷運},捷運,
21390226,movable point frog,可動式岔心,捷運,
21390227,negligible hazard,可忽略危害,捷運,
21390228,network planning,路網規劃,捷運,
21390229,neutral temperature,[鋪軌]零應力溫度,捷運,
21390230,nighttime safeguarded waiting zone,夜間安全等候區,捷運,
21390231,obstruction detection,障礙物偵測,捷運,
21390232,one-way ticket,單程票,捷運,
21390233,on-line station,[主]線上車站,捷運,
21390234,on-train announcement system,列車廣播系統,捷運,
21390235,open gangway,開放式車間通道,捷運,
21390236,operating hazard analysis,運作危險分析,捷運,
21390237,operation mode,運行模式,捷運,
21390238,operation pattern,營運型態,捷運,
21390239,other track material (OTM),軌道雜項材料,捷運,
21390240,overhaul,車輛大修,捷運,
21390241,overhead catenary system,架空線供電系統,捷運,
21390242,parental care toilet,親子廁所,捷運,
21390243,parking brake,駐車煞車,捷運,
21390244,passenger agent 's office (PAO),旅客服務室,捷運,
21390245,passive tilting train,被動式傾斜列車,捷運,
21390246,peak-hour loading,尖峰小時承載量,捷運,
21390247,performance level,功能位階；功能等級,捷運,
21390248,personal rapid transit (PRT),個人捷運,捷運,
21390249,piston effect,活塞效應,捷運,
21390250,plinth,[軌道]基座,捷運,
21390251,plinth pad,基座版,捷運,
21390252,portable hoisting jack,移動式起重機,捷運,
21390253,power collector,集電靴,捷運,
21390254,power remote control (PRC),電力遙控系統,捷運,
21390255,power supply rail,供電軌,捷運,
21390256,power supply system,供電系統,捷運,
21390257,power supply unit (PSU),供電單元,捷運,
21390258,powered car,動力車廂,捷運,
21390259,precast concrete lining,預鑄混凝土環片{隧道},捷運,
21390260,preliminary inspection & testing for revenue service,初勘,捷運,
21390261,premium rail,耐磨鋼軌,捷運,
21390262,preventive action,預防措施,捷運,
21390263,preventive maintenance (PM),預防維修,捷運,
21390264,programmed station stopping,程式化車站停車,捷運,
21390265,public address (PA),廣播系統,捷運,
21390266,public transportation system,公共運輸系統,捷運,
21390267,rack railway,齒軌鐵路,捷運,
21390268,rail clip,鋼軌扣夾,捷運,
21390269,rail expansion joint,鋼軌伸縮接頭,捷運,
21390270,rail fastener,鋼軌扣件,捷運,
21390271,rail field side,鋼軌外側,捷運,
21390272,rail grinding,磨軌,捷運,
21390273,rail insulation,軌道絕緣,捷運,
21390274,rail lubricator,鋼軌潤滑裝置,捷運,
21390275,rail rapid transit (RRT),鋼軌捷運系統,捷運,
21390276,railcar,鐵路車輛,捷運,
21390277,rail-section gauge,軌條斷面測定器,捷運,
21390278,reception track,進場軌道；進廠軌道,捷運,
21390279,refrigerator car,冷藏車,捷運,
21390280,regional transit,區域運輸,捷運,
21390281,reserve fund,預備金,捷運,
21390282,restricted manual mode (RM),限速手動模式,捷運,
21390283,revenue service,收費營運,捷運,
21390284,revenue service reliability demonstration test,收費營運可靠度展現測試,捷運,
21390285,revenue service simulation test,收費營運模擬測試,捷運,
21390286,riding index,乘車[舒適]指數,捷運,
21390287,road-rail vehicle,公鐵路兩用車,捷運,
21390288,route assignment,路線指派,捷運,
21390289,rubber-tired rapid transit (RTRT),膠輪式捷運,捷運,
21390290,safety speed,安全速率,捷運,
21390291,seating capacity,座位數,捷運,
21390292,sectional service,區間營運,捷運,
21390293,semi-permanent coupler,半永久聯結器,捷運,
21390294,semirapid transit,半捷運,捷運,
21390295,service wagon,工作台車,捷運,
21390296,shim,填隙用木片或鐵片,捷運,
21390297,short-haul transit,短程運輸,捷運,
21390298,shuttle transit,往返運輸；接駁運輸,捷運,
21390299,side concourse,側式穿堂,捷運,
21390300,sidewalk,人行道,捷運,
21390301,single unit,單車組{捷運},捷運,
21390302,skip-stop service,跳站式停車服務,捷運,
21390303,sliding door,滑動門,捷運,
21390304,sliding door status indication,滑動門狀態指示,捷運,
21390305,special service,特別服務,捷運,
21390306,special track,特殊軌,捷運,
21390307,speed sensor,速率感應器；測速器,捷運,
21390308,spur,安全側線{捷運},捷運,
21390309,stabling track,駐車軌,捷運,
21390310,stabling yard,儲車場,捷運,
21390311,staging planning,分期規劃,捷運,
21390312,standard rail,標準[長度]鋼軌,捷運,
21390313,static envelope,靜態包絡線,捷運,
21390314,station connection,車站連通,捷運,
21390315,station substation (SSS),車站變電站,捷運,
21390316,station volume,車站旅運量,捷運,
21390317,steerable bogie,自導式轉向架,捷運,
21390318,stray current collector,雜散電流收集器,捷運,
21390319,street transit,路面公共運輸,捷運,
21390320,streetcar,有軌電車；街車；路面電車,捷運,
21390321,"structural, electrical and mechanical/combined service drawing (SEM/CSD)",土[建]機電圖,捷運,
21390322,swing nose frog,可動式岔心,捷運,
21390323,switch lever,轉轍器扳手,捷運,
21390324,system hazard analysis,系統危害分析,捷運,
21390325,system integration test,系統整合測試,捷運,
21390326,system safety program plan (SSPP),系統安全計畫書,捷運,
21390327,tamping machine,砸道機,捷運,
21390328,ticket reader,讀票機,捷運,
21390329,track maintenance vehicle,軌道維修車輛,捷運,
21390330,trackwork,軌道工作,捷運,
21390331,traction earth system,牽引接地系統{雜散電流收集系統},捷運,
21390332,traffic control communication system,行車控制通訊系統,捷運,
21390333,trailer car,拖車{鐵路},捷運,
21390334,train crew room,列車組員休息室,捷運,
21390335,train direction,車行方向,捷運,
21390336,train loading,列車承載量,捷運,
21390337,train registry system,列車註冊系統,捷運,
21390338,train stop marker,列車停車標,捷運,
21390339,train washer,列車清洗機,捷運,
21390340,training track,訓練用軌道,捷運,
21390341,transition section,漸變斷面；過渡段,捷運,
21390342,trolley pole,集電桿,捷運,
21390343,tunnel lining,隧道襯砌,捷運,
21390344,tunnel ventilation fan,隧道通風機,捷運,
21390345,turnback time,調頭時間；換向時間,捷運,
21390346,ultrasonic testing,超音波測試；超音波探傷{鋼軌},捷運,
21390347,under platform exhaust system,月台下方排風系統,捷運,
21390348,unmanned operation,無人運作,捷運,
21390349,watertight door,水密門,捷運,
21390350,wheel lathe,輪弧車床,捷運,
21390351,wheel lathing,車輪旋削,捷運,
21390352,wheel slide,車輪打滑,捷運,
21390353,wheel stop,阻輪器；止輪器；輪擋,捷運,
21390354,zonal service,分區[運輸]服務；區間行車,捷運,
21390355,absolute signal,絕對號誌,鐵路,
21390356,acceleration,加速[度]；趕工{營建},鐵路,
21390357,acceleration force,加速力,鐵路,
21390358,acceleration force curve,加速力曲線,鐵路,
21390359,acceleration resistance,加速阻力；加速度阻力,鐵路,
21390360,adhesion coefficient,黏著係數,鐵路,
21390361,adhesion railway,黏著式鐵路,鐵路,
21390362,adhesion tractive force,黏著牽引力,鐵路,
21390363,air resistance,空氣阻力,鐵路,
21390364,air spring,空氣彈簧,鐵路,
21390365,alignment,定線；線形,鐵路,
21390366,alternate joint,錯開式接頭,鐵路,
21390367,annual passing tonnage,年通過噸數,鐵路,
21390368,anti-creeper,[鐵路車廂]防爬器,鐵路,
21390369,anti-derailment [guard] rail,防脫護軌,鐵路,
21390370,approach indicator,[列車]接近指示器,鐵路,
21390371,approach lock,進路鎖定,鐵路,
21390372,arrival and departure track,到開線,鐵路,
21390373,arrival station,到達站,鐵路,
21390374,aspect,號誌時相{鐵路}；坡向{地形},鐵路,
21390375,at-grade station,地面站,鐵路,
21390376,audio-frequency track circuit,音頻軌道電路,鐵路,
21390377,automated guided transit (AGT),自動導引捷運,鐵路,
21390378,automatic block system (ABS),自動閉塞制,鐵路,
21390379,automatic fare collection system,自動收費系統,鐵路,
21390380,automatic gate (AG),自動驗票閘門,鐵路,
21390381,automatic route setting system (ARS),自動路線設定系統,鐵路,
21390382,automatic ticket machine,自動售票機,鐵路,
21390383,automatic train control (ATC),列車自動控制,鐵路,
21390384,automatic train operation device (ATO),自動列車運轉裝置,鐵路,
21390385,automatic train protection (ATP),列車自動保護,鐵路,
21390386,automatic train regulation (ATR),自動列車調整,鐵路,
21390387,automatic train stop (ATS),列車自動停車,鐵路,
21390388,auxiliary line,輔助路線,鐵路,
21390389,average speed,平均速率,鐵路,
21390390,axle,車軸,鐵路,
21390391,axle box,軸箱,鐵路,
21390392,axle counter,計軸器,鐵路,
21390393,axle load,軸重,鐵路,
21390394,backward,退行運轉,鐵路,
21390395,balanced speed,均衡速率,鐵路,
21390396,balise,地上感應器,鐵路,
21390397,ballast bed,道碴道床,鐵路,
21390398,ballast depth,道碴厚度,鐵路,
21390399,ballast mat,道碴墊,鐵路,
21390400,ballastless bed,無道碴道床,鐵路,
21390401,barrier-free elevator,無障礙電梯,鐵路,
21390402,barrier-free environment,無障礙環境,鐵路,
21390403,barrier-free facilities,無障礙設施,鐵路,
21390404,barrier-free ramp,無障礙坡道,鐵路,
21390405,basic transport plan,基本運輸計畫,鐵路,
21390406,bicycle rider rest area,自行車騎士休息區,鐵路,
21390407,bicycle supply station,自行車補給站,鐵路,
21390408,bi-direction operation,雙向運轉,鐵路,
21390409,block,閉塞區間｛鐵路｝；圖塊{CAD}；街廓,鐵路,
21390410,bogie,轉向架,鐵路,
21390411,bogie frame,轉向架框,鐵路,
21390412,bogie pivot,轉向架中心盤,鐵路,
21390413,bogie turntable,轉向架轉盤,鐵路,
21390414,brake,煞車；緊軔；制動,鐵路,
21390415,brake model,煞車模式,鐵路,
21390416,brake performance curve,煞車性能曲線,鐵路,
21390417,brake ratio,制動率,鐵路,
21390418,brake system,煞車系統；制軔系統,鐵路,
21390419,brake test equipment,煞車測試設備,鐵路,
21390420,brake van track,守車線,鐵路,
21390421,braking efficiency,制動效率；煞車效率,鐵路,
21390422,braking force,制動力；煞車力；緊軔力{制軔力},鐵路,
21390423,braking time,煞車時間,鐵路,
21390424,branch line,支線,鐵路,
21390425,buffer stop,止衝擋,鐵路,
21390426,bulk supply substation (BSS),主變電站,鐵路,
21390427,business line,營業線,鐵路,
21390428,cab signal,車載號誌,鐵路,
21390429,cab signal block system,車載號誌閉塞制,鐵路,
21390430,cant,斜傾,鐵路,
21390431,cant deficiency,超高不足[量],鐵路,
21390432,cant diminishing,超高遞減,鐵路,
21390433,car body,車體,鐵路,
21390434,car inspection and repair track,車廂檢修線群,鐵路,
21390435,car inspection track,檢車線,鐵路,
21390436,car repair track,修車線,鐵路,
21390437,car storage,儲車,鐵路,
21390438,car washing track,洗車線,鐵路,
21390439,car-kilometers,車輛公里,鐵路,
21390440,catenary breakdown,電車線故障,鐵路,
21390441,center platform,島式月台,鐵路,
21390442,center to center distance of the adjacent tracks,軌道中心距離,鐵路,
21390443,centralized vehicle control,集中式車輛控制,鐵路,
21390444,characteristic curve,特徵曲線,鐵路,
21390445,characteristic tractive force,特性牽引力,鐵路,
21390446,circle line,環狀線,鐵路,
21390447,city railway,都會區鐵路,鐵路,
21390448,class of passenger car,客車等級,鐵路,
21390449,classification of train,列車車種,鐵路,
21390450,clearance,淨空；淨距；消除,鐵路,
21390451,coach yard,客車調車場；客車場,鐵路,
21390452,coasting operation,惰力運行,鐵路,
21390453,command-type block system,指令式閉塞制,鐵路,
21390454,communication block system,通訊閉塞制,鐵路,
21390455,commuter line,通勤路線,鐵路,
21390456,complex marshalling yard,複式貨車調車場,鐵路,
21390457,compound catenary system,複合懸垂式供電系統；雙線吊架式供電系統,鐵路,
21390458,compressed air system,壓縮空氣系統,鐵路,
21390459,compromise rail,異形鋼軌,鐵路,
21390460,concourse,穿堂層,鐵路,
21390461,concrete bed,混凝土道床；無道碴道床,鐵路,
21390462,conflicting routes,衝突進路,鐵路,
21390463,consignment station,託運站,鐵路,
21390464,constant headway control,等時隔控制,鐵路,
21390465,contingency plan,應變計畫,鐵路,
21390466,continuous welded rail (CWR),長焊鋼軌,鐵路,
21390467,continuous welded rail carring car,長焊鋼軌運輸車,鐵路,
21390468,controlled manual block system,手控聯動閉塞制,鐵路,
21390469,conventional railway,傳統鐵路,鐵路,
21390470,coupler,續接器；連結器,鐵路,
21390471,coupling,耦合[效應]；偶合；連掛{鐵路},鐵路,
21390472,crashworthiness design,耐衝撞設計,鐵路,
21390473,crew scheduling & roastering,人員排程與指派,鐵路,
21390474,cross level,[軌道]水平高差,鐵路,
21390475,crossbond,跨接聯軌線,鐵路,
21390476,crossing,[軌道]交叉{交通}；框選{CAD}；教堂十字平面交叉處{建築},鐵路,
21390477,crossing obstruction detector,平交道障礙物偵測器,鐵路,
21390478,cross-platform transfer,跨月台轉乘,鐵路,
21390479,curve resistance,曲線阻力；彎道阻力,鐵路,
21390480,cyclic timetable,週期型班表,鐵路,
21390481,dark territory,無列車偵測區間；黑暗區間,鐵路,
21390482,DC track circuit,直流軌道電路,鐵路,
21390483,deceleration,減速[度],鐵路,
21390484,deficiency of superelevation,超高不足[量],鐵路,
21390485,demand forecasting,需求預測,鐵路,
21390486,departure platform,上車月台；出發月台,鐵路,
21390487,departure signal,出發號誌,鐵路,
21390488,departure station,始發站,鐵路,
21390489,departure time,發車時間,鐵路,
21390490,departure track,出發線,鐵路,
21390491,depot,機廠,鐵路,
21390492,derailer,脫軌器,鐵路,
21390493,derailment,脫軌,鐵路,
21390494,derailment coefficient,脫軌係數,鐵路,
21390495,detector rod,查轍桿,鐵路,
21390496,detour transportation,改道運輸,鐵路,
21390497,diesel electric locomotive,柴電機車,鐵路,
21390498,diesel locomotive,柴油機車,鐵路,
21390499,diesel refueling plant,柴油加油設施,鐵路,
21390500,diminishing of superelevation,超高遞減,鐵路,
21390501,directional operation,方向別運轉,鐵路,
21390502,dispatcher,調度員,鐵路,
21390503,dispatching center,綜合調度所,鐵路,
21390504,dispatching command,行車命令；調度指令,鐵路,
21390505,distance between stations,站間距離,鐵路,
21390506,distance signal,遠距號誌；預告號誌,鐵路,
21390507,diverging,岔出,鐵路,
21390508,double switch,雙動轉轍器,鐵路,
21390509,double track,複線,鐵路,
21390510,double track operation,複線運轉,鐵路,
21390511,downward line,下行線,鐵路,
21390512,draw-bar pull force,拉桿牽引力,鐵路,
21390513,drifting,惰力運行,鐵路,
21390514,driver,列車駕駛；司機員,鐵路,
21390515,driverless operation,無駕駛員運轉,鐵路,
21390516,dual gauge railway,雙軌距鐵路{複軌鐵路},鐵路,
21390517,dynamic brake,動態煞車；電軔,鐵路,
21390518,dynamic gauge,動態軌距,鐵路,
21390519,dynamic test,動態測試,鐵路,
21390520,eddy current braking system,渦電流煞車,鐵路,
21390521,effective tractive force,有效牽引力,鐵路,
