ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2445059,kelp；sea tangle,昆布；海帶,,海带 =昆布 〈渔〉,2015-09-16
2445060,Japanese seaperch； surfperch,Japanese seaperch 鱸，七星鱸。surfperch 海鯽科,,海鲫  〈农〉,2015-09-16
2445061,ladyfish; tenpounder (Elopssaurus),海鰱,,海鲢  〈农〉,2015-09-16
2445062,sea bass,海鱸,,海鲈 〈渔〉,2015-09-16
2445063,conch,海螺,,海螺  〈渔〉,2015-09-16
2445064,conger pike；pike eel（Muraenesox cinereus）,灰海鰻,,海鳗  〈渔〉,2015-09-16
2445065,"aquafarm ,sea or oceanic mining ,marinesea ranching",水產養殖場；海洋採礦；海洋牧場,,海洋牧场 〈渔〉,2015-09-16
2445066,seaweed；marine alga,海藻,,海藻  〈渔〉,2015-09-16
2445067,jelly-fish (Rhopilema esculenta ),水母,,海蜇 〈渔〉,2015-09-16
2445068,oyster,牡蠣,,蚝 〈渔〉→牡蛎,2015-09-16
2445069,oxygen consumptionuptake；consumed oxygen,耗氧量,,耗氧量 〈渔〉,2015-09-16
2445070,freshwater mussel；clam,淡水貽貝,,河蚌  〈渔〉,2015-09-16
2445071,freshwater pearl culture,淡水珍珠養殖,,河蚌育珠 〈渔〉,2015-09-16
2445072,commonfreshwater perch; bass(Perca fluviatilus),河鱸,,河鲈 〈渔〉,2015-09-16
2445073,river eel,河鰻,,河鳗 〈渔〉,2015-09-16
2445075,riverfreshwater crab,河蟹,,河蟹 〈渔〉,2015-09-16
2445076,basilewsky；black porgy； black sea bream  (Sparus macrocephalus),黑鯛,,黑鲷   =黑加吉鱼 〈渔〉,2015-09-16
2445077,black bass (Micropterus),黑鱸[屬],,黑鲈    〈农〉,2015-09-16
2445078,haddock (Melanogrammus aeglefinus),黑線鱈,,黑线鳕   =黑斑鳕〈农〉,2015-09-16
2445079,black stalk,黑脛病；黑銹病,,黑锈病    〈农〉,2015-09-16
2445080,snakeheaded fish; snakehead,鱧魚,,黑鱼 〈渔〉→ 乌鳢,2015-09-16
2445081,snakeheaded fish; snakehead,鱧魚,,乌鳢,2015-09-16
2445082,sockeye dog; red salmon (Oncorhymchus nerka),紅鈎吻鮭,,红大麻哈鱼   〈农〉,2015-09-16
2445083,rainbow  trout  (Oncorhynchus mykiss)Salmo irideus,虹鱒,,虹鳟    〈渔〉,2015-09-16
2445084,kinghorseshoe  crab ( Tachypleus tridentatus),鱟(三棘鱟),,鲎  〈渔〉,2015-09-16
2445085,butterfly fish,蝶魚；蝴蝶魚,,蝴蝶鱼  〈渔〉,2015-09-16
2445086,variegated carp,錦鯉,,花鲢 〈渔〉→鳙,2015-09-16
2445087,Japanese seabass；black spotted bass (Lateolabrax japonicus),鱸魚(日本鱸魚),,花鲈 〈渔〉,2015-09-16
2445088,rate of water exchange,換水率,,换水率 〈渔〉,2015-09-16
2445089,grass carp,草魚；鯇,,鲩(鯇) 〈渔〉 →草鱼,2015-09-16
2445090,oarfish  Regalecus glesne,皇帶魚,,皇带鱼 〈农〉,2015-09-16
2445092,yellow catfish  (Pelteobagrus fulvidraco),黃顙魚,,黄颡鱼 =黄腊丁 〈渔〉,2015-09-16
2445093,swamp ricefield  eel finless eel(Monopterus albus),黃鱔= 鱔魚,,黄鳝  =鳝鱼 〈渔〉,2015-09-16
2445094,yellow croaker,小黃魚；黃花魚,,黄鱼  〈渔〉→黄花鱼,2015-09-16
2445095,Siberian great sturgeon；huso sturgeon  (Huso dauricus),鰉,,鳇(鰉)  〈渔〉,2015-09-16
2445096,recapture rate,再補率,,回捕率 〈渔〉,2015-09-16
2445097,(European )grayling(Thymallus thymallus),茴魚,,茴鱼〈渔〉,2015-09-16
2445098,greasyback shrimp(Metapenaeus ensis),沙蝦,,基围虾 〈渔〉,2015-09-16
2445099,"seasonal migration (of fish, etc)",季節迴游,,季节洄游〈渔〉,2015-09-16
2445100,softshelled turtle,甲魚；鱉,,甲鱼〈渔〉→鳖,2015-09-16
2445101,swordtail fish (Xiphophorus helleri),劍尾魚,,剑尾鱼  〈渔〉,2015-09-16
2445102,river flood,洪氾,,江汛  〈渔〉,2015-09-16
2445103,kissing  gourami (Helostoma temminckii),接吻魚(吻鱸),,接吻鱼  〈渔〉,2015-09-16
2445104,tuna；tunny,鮪,,金枪鱼  〈渔〉,2015-09-16
2445105,goldfish (Carassius auratus),金魚(鯽),,金鱼  〈渔〉,2015-09-16
2445106,allowable fishing season,許可漁期,,开捕期  〈渔〉,2015-09-16
2445107,allowable catch,許可捕獲量,,可捕量  〈渔〉,2015-09-16
2445108,guppy (Poecilia reticulatas),孔雀魚,,孔雀鱼 〈渔〉,2015-09-16
2445109,Chinese herring,長鰳,,鲙鱼 〈农〉 =鳓 ；快鱼,2015-09-16
2445110,blue revolution,藍色革命,,蓝色革命 〈渔〉,2015-09-16
2445111,cold water fishes,冷水[性]魚類,,冷水（性)鱼（类）（渔）,2015-09-16
2445112,common carp (Cyprinus carpio),鯉魚,,鲤鱼 〈渔〉,2015-09-16
2445113,silver carp鱼silver carp (Hypophthalmichthys molitrix),鰱；白鰱,,鲢(鰱) =白鲢 〈渔〉,2015-09-16
2445114,"scale（of fish,etc）",鱗片,,鳞  〈渔〉,2015-09-16
2445115,bony scale,骨鱗,,骨鳞,2015-09-16
2445116,ganoid scale,硬鱗,,硬鳞,2015-09-16
2445117,dace mud carp (Cirrhinus molitorella),鯪；鯁魚,,鲮 〈渔〉,2015-09-16
2445118,pangolin,穿山甲；鯪鯉,,鲮鲤 〈农〉 ﹦穿山甲,2015-09-16
2445119,pangolin,穿山甲；鯪鯉,,穿山甲,2015-09-16
2445120,lobster,龍蝦,,龙虾= 海螯虾 〈渔〉,2015-09-16
2445121,perch,鱸魚,,鲈  〈渔〉,2015-09-16
2445122,tilapia；African carp,吳郭魚,,罗非鱼〈渔〉→非洲鲫鱼,2015-09-16
2445123,spiral shell;mudsnail(Margarya melanioides Cipangopaludina chinensis ),螺螄,,螺蛳〈渔〉,2015-09-16
2445124,spirulina(Spirulina princeps),螺旋藻,,螺旋藻  〈渔〉,2015-09-16
2445125,Spanish mackerel,鰆；日本馬加鰆,,马鲛 〈渔〉→鲅,2015-09-16
2445126,black scraper；filefish (Navodon modestus ),剝皮魨；單棘魨(馬面單棘魨),,马面鲀  〈渔〉,2015-09-16
2445127,eel,鰻,,鳗(鰻)  〈渔〉,2015-09-16
2445128,lamprey,八目鰻,,鳃鳗,2015-09-16
2445129,eel fry,鰻魚苗*,,鳗鱼苗,2015-09-16
2445130,electric eel,電鰻,,电鳗,2015-09-16
2445131,hagfish,盲鰻,,盲鳗,2015-09-16
2445132,river eel,河鰻,,河鳗,2015-09-16
2445133,Japanese eel ( Anguilla japonica),日本鰻；白鰻,,鳗鲡   〈渔〉,2015-09-16
2445134,concha arcae；ark shell (Scapharca subcrenata ),半開魁蛤,,毛蚶   =赤贝 〈渔〉,2015-09-16
2445135,ghost shrimp,螻蛄蝦(蝦猴),,美人虾 〈农〉,2015-09-16
2445136,walleyeAlaskaPacific pollack (Theragra chalcogramma),阿拉斯加狹鱈,,明太鱼 〈渔〉,2015-09-16
2445137,inkfish; cuttlefish,花枝；烏賊；墨魚,,墨（斗）鱼 〈渔〉→乌贼,2015-09-16
2445139,oyster,牡蠣,,牡蛎 =海蛎子，蚝 〈渔〉,2015-09-16
2445140,bloody clamcockle；ark shell (Tegillarca granosa),血蚶,,泥蚶  〈渔〉,2015-09-16
2445141,Say’s paper-bubble (Bullacta exarata),泥螺,,泥螺 〈渔〉,2015-09-16
2445142,loach ( Misgurnus anguillicaudatus),鰍(泥鰍),,泥鳅  〈渔〉,2015-09-16
2445143,catfish；sheatfish,鯰,,鲇  =胡子鲇 〈渔〉,2015-09-16
2445144,"variegated carp,bighead",錦鯉、花(黑)鰱；鳙,,胖头鱼 〈渔〉→鳙,2015-09-16
2445145,flatfish,比目魚,,偏口鱼 〈渔〉→ 比目鱼 牙鲆,2015-09-16
2445146,"silvery pomfret, butterfish",銀鯧,,平鱼 〈渔〉→银鲳,2015-09-16
2445147,bothid ；left-eyed flounder,鮃[科]；左鰈科,,鲆(类) 〈渔〉,2015-09-16
2445148,dorsal fin,背鰭；脊鰭,,鳍 （渔）,2015-09-16
2445149,ventral fin,腹鰭,,腹鳍,2015-09-16
2445150,anal fin,臀鰭,,臀鳍,2015-09-16
2445151,caudal fin,尾鰭,,尾鳍,2015-09-16
2445152,pectoral fin,胸鰭,,胸鳍,2015-09-16
2445153,parent fish；brood fishstock,parent fish 種魚；親魚。brood fish 種魚。,,亲鱼  〈渔〉,2015-09-16
2445154,clam (Cyclina sinensis),環文蛤,,青蛤 〈渔〉,2015-09-16
2445155,black carp(Mylopharyngodon piceus),青魚；烏鰡,,青鱼 =黑鲩 〈渔〉,2015-09-16
2445156,to clean a pond,清理池塘,,清塘  动〈渔〉,2015-09-16
2445157,rheotaxis,趨流性,,趋流性 〈渔〉,2015-09-16
2445158,undaria：a kind of seaweed (Undaria pinnatifida ),裙帶菜,,裙带菜  〈渔〉,2015-09-16
2445159,tropic fishes,熱帶魚,,热带鱼（类）（渔）,2015-09-16
2445160,tropic fishes,熱帶魚,,热带鱼（类）（渔）,2015-09-16
2445161,"gill, branchia (plbranchiae)",鰓,,鳃  （渔）,2015-09-16
2445162,gill lamella,鰓瓣,,鳃瓣,2015-09-16
2445163,operculum,口蓋；鰓蓋,,鳃盖,2015-09-16
2445164,salmon,鮭,,三文鱼 〈渔〉→大西洋鲑,2015-09-16
2445166,sun-dried of the pond,曬池,,晒池  〈渔〉,2015-09-16
2445167,(sea) scallop ；fan shell,扇貝,,扇贝 〈渔〉,2015-09-16
2445168,angel fish (Pterophyllum scalare),神仙魚(大神仙魚),,神仙鱼  〈渔〉,2015-09-16
2445169,grouper,石斑魚,,石斑鱼 〈渔〉,2015-09-16
2445170,green laver,海苔,,石莼  =海白菜 〈渔〉,2015-09-16
2445171,sea lettuce (Ulva lactuca),石蓴,,海白菜,2015-09-16
2445172,hilsa herring；reeves shad (Tenualosa reevesii),鰣魚,,鲥〈渔〉,2015-09-16
2445173,water testing,水質測試,,试水 〈渔〉,2015-09-16
2445174,fishing industry,漁撈業,,水产捕捞业 〈渔〉,2015-09-16
2445175,fish ; fisheryaquatic  product,水產品,,水产品      〈渔〉,2015-09-16
2445176,fishery sciences,漁業科學,,水产学  〈渔〉,2015-09-16
2445177,aquiculture ； aquaculture,水產養殖,,水产养殖  〈渔〉,2015-09-16
