ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
6962472,"Duffeld, Kenneth Lancelot",杜菲爾德,,音樂,,2020-03-16
6962473,Dufour,杜佛,,物理,,2020-03-16
6962474,"Duhem, Pierre Maurice Marie",杜亨,,物理,,2020-03-16
6962475,"Duke, John Woods",杜克,,音樂,,2020-03-16
6962476,"Dulong, Pierre Louis",杜隆,,物理,,2020-03-16
6962477,"Dunhill, Thomas",丹希爾,,音樂,,2020-03-16
6962478,"Dunn, John",丹恩,,音樂,,2020-03-16
6962479,Dunoyer,杜諾頁,,物理,,2020-03-16
6962480,"Dunstable, John",丹斯德柏,,音樂,,2020-03-16
6962481,Duperrey,杜培瑞,,物理,,2020-03-16
6962482,"Dupin, Pierre Charles François",杜潘,,物理,,2020-03-16
6962483,Dupré,杜培,,物理,,2020-03-16
6962484,"Dushkin, Samuel",杜希金,,音樂,,2020-03-16
6962485,Dushman,杜西曼,,物理,,2020-03-16
6962486,"Dyson, Freeman John","戴森,福里門",,物理,,2020-03-16
6962487,"Dyson, George","戴森,喬治",,音樂,,2020-03-16
6962488,"Dzubay, David",祖貝,,音樂,,2020-03-16
6962489,"Eadie, Noël",伊迪,,音樂,,2020-03-16
6962490,"Eames, Emma",伊姆斯,,音樂,,2020-03-16
6962491,"Earnshaw, Samuel",恩蕭,,物理,,2020-03-16
6962492,"Easdale, Brian",伊斯代爾,,音樂,,2020-03-16
6962493,"Eastman, George",伊斯特門,,音樂,,2020-03-16
6962494,"Easton, Florence",伊斯登,,音樂,,2020-03-16
6962495,"Eastwood, Thomas",伊斯伍德,,音樂,,2020-03-16
6962496,"Eatock, Colin",伊托克,,音樂,,2020-03-16
6962497,Ebert,伊伯特,,物理,,2020-03-16
6962498,"Eccles, Henry","艾可斯,亨利",,音樂,,2020-03-16
6962499,"Eccles, John","艾可斯,約翰",,音樂,,2020-03-16
6962500,"Eccles, Solomon","艾可斯,所羅門",,音樂,,2020-03-16
6962501,"Eccles, William Henry","艾可斯,威廉",,物理,,2020-03-16
6962502,"Eckart, Carl Henry",艾卡特,,物理,,2020-03-16
6962503,"Eckert, Ernst Rudolf George",艾克特,,物理,,2020-03-16
6962504,"Eckhardt-Gramatté, Sophie-Carmen",艾卡特-葛蘭瑪特,,音樂,,2020-03-16
6962505,"Eddington, Arthur Stanley",愛丁頓,,物理,,2020-03-16
6962506,"Eddy, Nelson",艾迪,,音樂,,2020-03-16
6962507,"Edgerton, Mike",艾哲騰,,音樂,,2020-03-16
6962508,"Edison, Thomas Alva",愛迪生,,物理,,2020-03-16
6962509,"Edlin, Paul Max",艾德林,,音樂,,2020-03-16
6962510,"Edmunds, John",艾德門茲,,音樂,,2020-03-16
6962511,Edser,厄色,,物理,,2020-03-16
6962512,"Edvina, Marie-Louise",艾德維納,,音樂,,2020-03-16
6962513,Edwards,愛德華茲,,物理,,2020-03-16
6962514,"Edwards, Michael","愛德華茲,麥可",,音樂,,2020-03-16
6962515,"Edwards, Richard","愛德華茲,理查",,音樂,,2020-03-16
6962516,"Edwards, Ross","愛德華茲,若斯",,音樂,,2020-03-16
6962517,"Ehlers, Alice",艾勒斯,,音樂,,2020-03-16
6962518,"Ehrenfest, Paul",艾倫費斯特,,物理,,2020-03-16
6962519,"Eichheim, Henry",艾赫海姆,,音樂,,2020-03-16
6962520,"Einstein, Albert",愛因斯坦,,物理,,2020-03-16
6962521,"Einstein, Albert",愛因斯坦,,化學,,2020-03-16
6962522,"Einstein, Alfred","愛因斯坦,阿福瑞德",,音樂,,2020-03-16
6962523,"Einthoven, Willem",艾托芬,,物理,,2020-03-16
