ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2441168,spacecraft mechanism,太空船機構,,航天器机构,2015-09-16
2441169,spacecraft multimission module,太空船多任務艙,,航天器公用舱,2015-09-16
2441170,spacecraft navigation,太空船導航,,航天器导航,2015-09-16
2441171,spacecraft nutation,太空船章動,,航天器章动,2015-09-16
2441172,spacecraft orbit control,太空船軌道控制,,航天器轨道控制,2015-09-16
2441173,spacecraft payload,太空船酬載,,航天器有效载荷,2015-09-16
2441174,spacecraft recovery system,太空船回收系統,,航天器回收系统,2015-09-16
2441175,spacecraft reliability,太空船可靠度,,航天器可靠性,2015-09-16
2441176,spacecraft reliability test,太空船可靠度測試,,航天器可靠性试验,2015-09-16
2441177,spacecraft remote sensor,太空船遙測器,,航天遥感器,2015-09-16
2441178,spacecraft returning technology,太空船返回技術,,航天器返回技术,2015-09-16
2441179,spacecraft structural material,太空船結構材料,,航天器结构材料,2015-09-16
2441180,spacecraft structure,太空船結構,,航天器结构,2015-09-16
2441181,spacecraft thermal cycling test,太空船熱循環測試,,航天器热循环试验,2015-09-16
2441182,spacecraft wake,太空船尾流(區),,航天器尾流,2015-09-16
2441183,spacedebris,太空碎片,,空间碎片,2015-09-16
2441184,spaceflight,太空飛行,,航天,2015-09-16
2441185,spaceflight environment,太空飛行環境,,空间飞行环境,2015-09-16
2441186,space-ground communication,地空通訊,,天地通讯,2015-09-16
2441187,space-ground interface compatibility test,地空界面相容性測試,,天地对接测试,2015-09-16
2441188,spatial orientation training,空間定向訓練,,空间定向训练,2015-09-16
2441189,spatial resolution,空間解析度,,空间分辨率,2015-09-16
2441190,specific impulse,比衝值,,比冲,2015-09-16
2441191,spectral characteristics,光譜特性,,光谱特性,2015-09-16
2441192,spectral resolution,光譜解析度,,光谱分辨率,2015-09-16
2441193,spectrometer,光譜儀,,光谱仪器,2015-09-16
2441194,spin axis pointing control,自轉軸指向控制,,自旋轴指向控制,2015-09-16
2441195,spin rate,轉速,,自旋速率,2015-09-16
2441196,spin stabilization technology,自轉穩定技術,,自旋稳定技术,2015-09-16
2441197,spin stabilized satellite,自旋穩定衛星,,自旋稳定卫星,2015-09-16
2441198,spin-up,起轉;起旋,,起旋,2015-09-16
2441199,spontaneous combustion,自燃,,自燃,2015-09-16
2441200,stage separation,階段分離,,级间分离,2015-09-16
2441201,star ephemeris,星曆,,星历表,2015-09-16
2441202,star scanner,星象掃描儀,,星扫描器,2015-09-16
2441203,star sensor,星象感側器,,星敏感器,2015-09-16
2441204,star tracker,星象追蹤儀,,星跟踪器,2015-09-16
2441205,Star War program/Strategic Defense Initiative（SDI）,星戰計畫/戰略防衛倡議,,星球大战计划(战略防御倡议),2015-09-16
2441206,static load,靜態負載,,静载荷,2015-09-16
2441207,stellar guidance,星象導引,,星光制导,2015-09-16
2441208,storage test,儲存測試,,贮存试验,2015-09-16
2441209,store-and-forward,儲存及轉送,,存储与转发,2015-09-16
2441210,strapdown inertial navigation  system,固樁慣性導航系統,,捷联惯导系统,2015-09-16
2441211,strap-on launch vehicle,捆綁式發射載具,,捆绑式运载火箭,2015-09-16
2441212,strapon booster,綑綁式助推器,,捆绑式助推器,2015-09-16
2441213,strategic communication satellite,戰略通訊衛星,,战略通讯卫星,2015-09-16
2441214,stratosphere,平流層,,平流层,2015-09-16
2441215,subsatellite point,衛星投影點,,星下点,2015-09-16
2441216,sun illumination radiation,太陽光照輻射,,太阳光照辐射,2015-09-16
2441217,sun interference,太陽干擾,,太阳干扰,2015-09-16
