ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
2453450,calculator,計算器,,计算器,2015-09-16
2453451,calendar program,行事曆程式,,日历程序,2015-09-16
2453452,call,呼叫；撥叫；召用,,调用,2015-09-16
2453453,callback,回撥；回叫；回呼,,回叫,2015-09-16
2453454,CAM,凸輪、電腦輔助製造,,计算机辅助制造,2015-09-16
2453455,campus wide information system,校園資訊系統,,校园信息系统,2015-09-16
2453456,capture,擷取,,捕获【动】,2015-09-16
2453457,card,卡；板,,卡,2015-09-16
2453458,card cage,卡片機架,,插件箱,2015-09-16
2453459,cardinal number,基數,,基数,2015-09-16
2453460,carriage return,輸送筒轉回；回車,,回车,2015-09-16
2453461,carry,進位,,进位【动】,2015-09-16
2453462,case sensitivity,大小寫敏感,,大小写敏感,2015-09-16
2453463,cell,細胞(行動通訊系統中的一個服務區),,表元,2015-09-16
2453464,cell,細胞(行動通訊系統中的一個服務區),,单元,2015-09-16
2453465,cell,細胞(行動通訊系統中的一個服務區),,小区,2015-09-16
2453466,certificate,憑證,,证书,2015-09-16
2453467,certification,認證,,认证,2015-09-16
2453468,chaining,鍊接；鏈結,,链接,2015-09-16
2453469,change file,變更檔案,,变更文件,2015-09-16
2453470,channel,通道,,通道,2015-09-16
2453471,character,字符；字元,,字符,2015-09-16
2453472,character display device,字元顯示裝置,,字符显示器,2015-09-16
2453473,character generator,字元產生器,,字符生成器,2015-09-16
2453474,character printer,字元列印機,,字符打印机,2015-09-16
2453475,character set,字元集,,字符集,2015-09-16
2453476,character string,字串；字元字串,,字符串,2015-09-16
2453477,check bit,核對位元,,检验位,2015-09-16
2453478,checkout,檢測；檢驗；結賬,,检查（出）,2015-09-16
2453479,checkpoint,核對點；檢查點；查驗點,,检查点,2015-09-16
2453480,checksum,核對和；檢查總和,,检验（查）和,2015-09-16
2453481,chip,晶片,,芯片,2015-09-16
2453482,computer integrated manufacturing，CIM,電腦整合製造,,计算机集成制造,2015-09-16
2453483,cipher,凱撒加密法；密碼,,密码,2015-09-16
2453484,ciphertext,密文,,密文,2015-09-16
2453485,circuit board,電路板,,电路板,2015-09-16
2453486,clear,清除,,清除【动】,2015-09-16
2453487,click,按；鍵音,,单击【动】,2015-09-16
2453488,click rate,鍵擊率,,点击率,2015-09-16
2453489,clickthrough,點選連結,,击通量,2015-09-16
2453490,client,客戶,,客户,2015-09-16
2453491,client-server,主從,,客户-服务器的【形】,2015-09-16
2453492,clipboard,剪輯板,,剪贴板,2015-09-16
2453493,clock rate,時鐘率,,时钟[速]率,2015-09-16
2453494,clone,仿製品,,克隆【动】,2015-09-16
2453495,closed system,封閉系統；封閉性系統,,封闭系统,2015-09-16
2453496,cloud computing,雲端計算；雲端運算,,云计算,2015-09-16
2453497,code by section-position,區位碼,,区位码,2015-09-16
2453498,code generator,碼產生器,,代码生成器,2015-09-16
2453499,codec,編碼譯碼器；編解碼器,,压缩解压缩器,2015-09-16
2453500,coded set,編碼集,,编码集,2015-09-16
2453501,collision,碰撞,,碰撞,2015-09-16
2453502,color map,色彩圖,,[彩]色图,2015-09-16
2453503,color monitor,彩色螢幕,,彩色监视器,2015-09-16
2453504,color printer,彩色列印機,,彩色打印机,2015-09-16
2453505,color scanner,彩色掃瞄器,,彩色扫描仪,2015-09-16
2453506,command,命令,,命令,2015-09-16
2453507,compact,緊密；均收,,紧缩【动】,2015-09-16
2453508,compact disc,光碟,,光盘（碟）,2015-09-16
2453509,compact disk; CD,光碟,,光盘（碟）,2015-09-16
2453510,comparator,比較器,,比较器,2015-09-16
2453511,compartmentalization,象限化分割,,隔间化,2015-09-16
2453512,compatibility,相容性,,兼容性,2015-09-16
2453513,compilation,編譯,,编译,2015-09-16
2453514,compiler,編譯程式；編譯器,,编译器,2015-09-16
2453515,complement,補數；互補色；補角,,补码,2015-09-16
2453516,complexity,複雜性,,复杂性,2015-09-16
2453517,compromise,破解,,泄密,2015-09-16
2453518,computer,電腦；計算機,,计算机,2015-09-16
2453519,computer art,藝術,,计算机艺术,2015-09-16
2453520,computer center,計算機中心,,计算中心,2015-09-16
2453521,computer crime,計算機犯罪；電腦犯罪,,计算机犯罪,2015-09-16
2453522,computer fraud,電腦詐欺,,计算机诈骗,2015-09-16
2453523,computer game,電腦遊戲,,计算机游戏,2015-09-16
2453524,computer generation,電腦世代,,计算机代,2015-09-16
2453525,computer graphics,電腦圖形；計算機圖學,,计算机图形技术,2015-09-16
2453526,computer instruction,計算機指令,,计算机教学,2015-09-16
2453527,computer instruction,計算機指令,,计算机指令,2015-09-16
2453528,computer Intrusion,計算機侵入,,计算机入侵,2015-09-16
2453529,computer language,電腦語言；計算機語言；機器語言,,计算机语言,2015-09-16
2453530,computer network,計算機網路；電腦網路,,计算机网络,2015-09-16
2453531,computer program,電腦程式,,计算机程序,2015-09-16
2453532,computer security (COMPUSEC),計算機安全性,,计算机安全,2015-09-16
2453533,computer simulation,計算機模擬,,计算机模拟,2015-09-16
2453534,computer system,計算機系統,,计算机系统,2015-09-16
2453535,computer typesetting,電腦排版,,计算机排版,2015-09-16
2453536,computer vision,電腦；電腦視覺,,计算机视觉,2015-09-16
2453537,computer word,計算機字,,计算机字,2015-09-16
2453538,computer aided design and manufacturing，CAD/CAM,電腦輔助設計及製造,,计算机辅助设计与制造,2015-09-16
2453539,concatenate,序連；連接,,拼接【动】,2015-09-16
2453540,concept description,概念描述,,概念描述,2015-09-16
2453541,concept formation,概念形成,,概念形成,2015-09-16
2453542,concept generalization,概念生成,,概念泛化,2015-09-16
