ID,英文名稱,中文名稱,圖片,組別,審定日期,更新日期
19451800,hand brake,手動煞車,,,,2022-07-15
19451801,hand driven rivet,手打鉚釘,,,,2022-07-15
19451802,hand float,鏝刀,,,,2022-07-15
19451803,hand lay-up,手積層,,材料_FRP,,2022-07-15
19451804,hand lay-up process,手積層製程,,材料_FRP,,2022-07-15
19451805,hand rivet,人工鉚釘,,,,2022-07-15
19451806,hand scraper,手刮器,,,,2022-07-15
19451807,hand semaphore signal,手作揚旗號誌,,,,2022-07-15
19451808,hand signal,手作號誌,,,,2022-07-15
19451809,hand sprayer,手灑器；人力噴霧機；手壓式噴霧器,,,,2022-07-15
19451810,hand tally counter,手按式計數器,,,,2022-07-15
19451811,hand tamping,手夯{大地}；人力砸道{鐵路},,,,2022-07-15
19451812,hand trowel,鏝刀；鏟子,,,,2022-07-15
19451813,hand truck,手推工作車,,,,2022-07-15
19451814,hand-and-arm signal,行車手勢,,,,2022-07-15
19451815,handcart,手動板車；台車,,,,2022-07-15
19451816,handhole,手孔,,營管組,,2022-07-15
19451817,handling charge,處理費；手續費,,,,2022-07-15
19451818,handover,移交,,營管組,,2022-07-15
19451819,handover certificate,移交證明書,,營管組,,2022-07-15
19451820,handover record form,移交紀錄表,,營管組,,2022-07-15
19451821,hand-over word (HOW),轉換碼,,測量組,,2022-07-15
19451822,handrail,扶手,,,,2022-07-15
19451823,hang plate,懸鈑,,,,2022-07-15
19451824,hangar marker,維護棚廠標記,,,,2022-07-15
19451825,hanger,懸吊裝置,,,,2022-07-15
19451826,hanger access apron,出入棚廠機坪,,,,2022-07-15
19451827,hanger reinforcement,吊掛鋼筋；吊掛加強材,,,,2022-07-15
19451828,hanging leader,導錘吊架,,,,2022-07-15
19451829,hanging railway,懸吊軌道,,,,2022-07-15
19451830,hanging truss,吊式桁架,,,,2022-07-15
19451831,hang-type acoustical plate,掛裝式吸音板,,營管組,,2022-07-15
19451832,hang-type wall plate,掛裝式牆板,,營管組,,2022-07-15
19451833,Hansen's gravity model,韓森重力模式；韓森重力模型,,都計組,,2022-07-15
19451834,haploid,單倍體,,環工組,,2022-07-15
19451835,harbo(u)r district,港區,,,,2022-07-15
19451836,harbor accommodation,港內船舶收容能力,,,,2022-07-15
19451837,harbor caisson,港灣用沉箱,,營管組,,2022-07-15
19451838,harbor chart,港內航線圖,,,,2022-07-15
19451839,harbor defence,港防,,,,2022-07-15
19451840,harbor district,港灣區{海面}；臨港區{陸上},,,,2022-07-15
19451841,harbor entrance,港口,,,,2022-07-15
19451842,harbor fairway,港內航道；主航道,,,,2022-07-15
19451843,harbor guide facilities,港灣導航設施,,營管組,,2022-07-15
19451844,harbor limit,港界,,,,2022-07-15
19451845,harbor line,鐵路臨港線,,,,2022-07-15
19451846,harbor masterplan,港灣主計畫,,,,2022-07-15
19451847,harbor model,港灣模型,,,,2022-07-15
19451848,harbor port,港埠,,,,2022-07-15
19451849,harbor regulation,港務規章,,,,2022-07-15
19451850,harbor sounding map,港內水深圖,,,,2022-07-15
19451851,harborage,碇泊所,,,,2022-07-15
19451852,hard acid,硬酸,,環工組,,2022-07-15
19451853,hard base,硬鹼,,環工組,,2022-07-15
19451854,hard clay,堅硬黏土；堅硬粘土,,,,2022-07-15
19451855,hard cost,直接成本；硬成本,,營管組,,2022-07-15
19451856,hard cost contingency,硬成本預備金,,營管組,,2022-07-15
19451857,hard cost contingency balance,硬成本預備金餘額,,營管組,,2022-07-15
19451858,hard cost contingency committed,已支硬成本預備金,,營管組,,2022-07-15
19451859,hard cost contingency graph,硬成本預備金[變動]圖,,營管組,,2022-07-15
19451860,hard detergent,硬性清潔劑,,,,2022-07-15
19451861,hard energy path,非再生性能源；竭耗能源,,環工組,,2022-07-15
19451862,hard path,非再生性能源；竭耗能源,,環工組,,2022-07-15
19451863,hard rock,硬岩,,,,2022-07-15
19451864,hard spot,硬點,,材料_FRP,,2022-07-15
19451865,hard water,硬水,,環工組,,2022-07-15
19451866,hard-burned dolomite,高溫鍛燒白雲石,,,,2022-07-15
19451867,hard-burned lime,高溫鍛燒石灰,,,,2022-07-15
19451868,hardened concrete,硬固混凝土,,,,2022-07-15
19451869,hardener,硬化劑；固化劑,,,,2022-07-15
