ID,英文名稱,中文名稱,圖片,化學式,更新日期
790654,acetyl cyanide,乙醯氰,,CH<Sub>3</Sub><Font>COCN</Font>,2012-11-26
790655,acetyl CoA,乙醯輔酶A；乙醯CoA,,CH<Sub>3</Sub><Font>COSCoA</Font>,2012-11-26
790656,acetyl bromide,乙醯溴,,CH<Sub>3</Sub><Font>COBr</Font>,2012-11-26
790657,acetyl chloride,乙醯氯,,CH<Sub>3</Sub><Font>COCl</Font>,2012-11-26
790658,acetyl benzoylpseudo-aconine; indaconitine,假烏頭鹼,,C<Sub>34</Sub><Font>H</Font><Sub>47</Sub><Font>NO</Font><Sub>10</Sub>,2012-11-26
790659,acetyl benzoyl peroxide,過氧化乙醯[基]苯甲醯[基],,CH<Sub>3</Sub><Font>COO</Font><Sub>2</Sub><Font>COC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
790660,acetyl benzoate; acetic benzoic anhydride,乙酸苯甲酸酐,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>COOCOCH</Font><Sub>3</Sub>,2012-11-26
790661,acetyl atoxyl; sodium acetylarsanilate; acetylarsanilic acid sodium salt {arsacetine},對-乙醯胺苯異亞砷酸氫鈉 {阿沙西丁},,<p>CH<sub>3</sub>CONH(C<sub>6</sub>H<sub>4</sub>)AsO<sub>3</sub>H<sup>-</sup>Na<sup>+</sup></p>,2012-11-26
790662,aceturic acid; N-acetylglycine; acetylaminoacetic acid,醋尿酸；N-乙醯甘胺酸；乙醯胺乙酸,,CH<Sub>3</Sub><Font>CONHCH</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
790663,acetoxysuccinic acid; malic acid acetate; O-acetylmalic acid,乙醯氧琥珀酸；乙醯氧丁二酸；O-乙醯蘋果酸,,CH<Sub>3</Sub><Font>COOCH(COOH)CH</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
790664,acetoxypregnenolone,乙醯氧孕烯醇酮,,C<Sub>23</Sub><Font>H</Font><Sub>34</Sub><Font>O</Font><Sub>4</Sub>,2012-11-26
790665,4-acetoxy-3-methoxy-benzaldehyde; vanillin acetate,4-乙醯氧-3-甲氧苯甲醛；香草精乙酸酯,,CH<Sub>3</Sub><Font>O(CH</Font><Sub>3</Sub><Font>COO)C</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>CHO</Font>,2012-11-26
790666,"2,4-acetoxylide","2,4-二甲-N-乙醯苯胺；2,4-二甲基乙醯胺苯",,CH<Sub>3</Sub><Font>CONHC</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>(CH</Font><Sub>3</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
790667,acetoxylene,乙醯茬；乙醯二甲苯,,CH<Sub>3</Sub><Font>COC</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>(CH</Font><Sub>3</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
790668,(β-acetoxyethyl)trimethyl-ammonium bromide; O-acetylcholine bromide,溴化(β-乙醯氧乙)三甲銨；溴化-O-乙醯膽鹼,,[CH<Sub>3</Sub><Font>COOCH</Font><Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>N</Font><Sup>+</Sup><Font>(CH</Font><Sub>3</Sub><Font>)</Font><Sub>3</Sub><Font>]Br</Font><Sup>-</Sup>,2012-11-26
790669,2-α-acetoxycholestane-3-one,2-α-乙醯氧膽甾烷-3-酮,,C<Sub>29</Sub><Font>H</Font><Sub>48</Sub><Font>O</Font><Sub>3</Sub>,2012-11-26
790670,o-acetoxybenzoic acid; aspirin,鄰-乙醯氧苯甲酸；阿司匹靈,,<p>CH<sub>3</sub>COOC<sub>6</sub>H<sub>4</sub>COOH</p>,2012-11-26
790671,acetoxyacetophenone,乙醯氧乙醯苯；α-乙醯氧苯乙酮,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>COCH</Font><Sub>2</Sub><Font>OCOCH</Font><Sub>3</Sub>,2012-11-26
790672,acetoxyacetic acid,乙醯氧乙酸,,CH<Sub>3</Sub><Font>COOCH</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
790673,acetoxyacetone,乙醯氧丙酮,,CH<Sub>3</Sub><Font>COOCH</Font><Sub>2</Sub><Font>COCH</Font><Sub>3</Sub>,2012-11-26
790674,acetoxime ethyl ester,丙酮肟乙酯,,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>C=NOC</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
790675,acetoxime,丙酮肟,,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>C=NOH</Font>,2012-11-26
790676,o-acetotoluidide; acetotoluide {N-(2-methylphenyl)acetamide},鄰-乙醯【艹叨】胺；乙醯鄰-甲苯胺 {N-(2-甲苯)乙醯胺},,<p>CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>NHCOCH<sub>3</sub></p>,2012-11-26
790677,o-acetotoluide; acetotoluidide {N-(2-methylphenyl)acetamide},鄰-乙醯【艹叨】胺；乙醯鄰-甲苯胺 {N-(2-甲苯)乙醯胺},,<p>CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>NHCOCH<sub>3</sub></p>,2012-11-26
790678,2-acetothiophenide; N-2-thienylacetamide,N-2-噻吩基乙醯胺,,CH<Sub>3</Sub><Font>CONHC</Font><Sub>4</Sub><Font>H</Font><Sub>3</Sub><Font>S</Font>,2012-11-26
790679,acetothioamide; thioacetamide,硫乙醯胺；乙硫羰醯胺,,CH<Sub>3</Sub><Font>CSNH</Font><Sub>2</Sub>,2012-11-26
790680,α-acetothienone; methyl 2-thienyl ketone,α-噻吩乙酮；2-噻吩基甲基酮,,CH<Sub>3</Sub><Font>COC</Font><Sub>4</Sub><Font>H</Font><Sub>3</Sub><Font>S</Font>,2012-11-26
