ID,英文詞彙,中文名詞,越南語,印尼語,緬甸文,泰文,柬埔寨文,資料來源,法令,注解,菲律賓文,更新日期
21375346,articles; provisions,條文,"điều lệ, điều khoản",pasal,,,,,,,,
21375347,artificial eye,義眼,mắt giả,protesa mata (mata tiruan estetis),,,,,,,,
21375348,arts,藝術,nghệ thuật,seni,,,,,,,,
21375349,as required by law,法定,"pháp định, theo quy định của pháp luật",berdasarkan hukum,,,,,,,,
21375350,as soon as possible,儘速,"tận tốc, nhanh nhất có thể",secepatnya,,,,,,,,
21375351,assembly,集會,"tụ hội, tập hợp",perkumpulan; berkumpul,,,,,,,,
21375352,assessment,評鑑,đánh giá,evaluasi,,,,,,,,
21375353,assistance,協同,"cộng tác, hợp tác",kolaborasi,,,,,,,,
21375354,assistant,輔助人,người hỗ trợ,pendamping,,,,,,,,
21375355,association,公會,tổ chức,serikat kerja,,,,,,,,
21375356,athlete,運動員,vận động viên,olahragawan,,,,,,,,
21375357,attached with,附有,đính kèm theo,tambahan,,,,,,,,
21375358,attempted offender,未遂犯,hành vi phạm tội chưa thành,pelaku tindak kejahatan yang gagal,,,,,,,,
21375359,attendance for duty,出勤,đi làm,hadir / kehadiran,,,,,,,,
21375360,attendance record review,考勤,"kiểm tra chuyên cần, chấm công",pemeriksaan kehadiran,,,,,,,,
21375361,Attorney Regulation Act,律師法,luật luật sư,hukum pengacara,,,,,,,,
21375362,attribute,屬性,thuộc tính,atribut; karakteristik,,,,,,,,
21375363,attrition,損耗,"hao mòn, tổn thất",depresiasi,,,,,,,,
21375364,audit,稽核,kiểm tra đối chiếu (sổ sách),audit,,,,,,,,
21375365,authenticity,真實性,tính xác thực,kebenaran; kenyataan,,,,,,,,
21375366,authority,職權,chức vụ quyền hạn,wewenang; otoritas,,,,,,,,
21375367,authorization,授權,"ủy quyền, được trao quyền",otorisasi; memberi kuasa,,,,,,,,
21375368,award the contract to such tenderer,決標,quyết định đấu thầu,penetapan pemenang tender,,,,,,,,
21375369,back to the state,回國,về nước,pulang ke negara asal,,,,,,,,
21375370,balance,餘額,số dư,saldo,,,,,,,,
21375371,based on,據以,làm căn cứ để,berdasarkan,,,,,,,,
21375372,before a court in a trial,到場,đến hiện trường,hadir di lokasi,,,,,,,,
21375373,belated surcharge,滯納金,tiền phạt chậm thanh toán,denda keterlambatan pembayaran,,,,,,,,
21375374,best interest,最佳利益,lợi ích cao nhất,keuntungan terbaik,,,,,,,,
21375375,between; among,居間,"trung gian, đứng giữa",masa menetap,,,,,,,,
21375376,bilateral,雙邊,"hai bên, song phương",kedua belah pihak,,,,,,,,
21375377,billing for wards,病房費,tiền phí phòng bệnh,biaya rawat inap,,,,,,,,
21375378,biometric,生物,sinh vật,makhluk hidup,,,,,,,,
21375379,blood ascendant,血親尊,quan hệ huyết thống địa vị cao,keluarga sedarah yang lebih tua,,,,,,,,
21375380,blood descendant,血親卑,quan hệ huyết thống địa vị thấp,keluarga sedarah yang lebih muda,,,,,,,,
21375381,blood relative,血親,người có quan hệ huyết thống,hubungan darah,,,,,,,,
21375382,blood transfusion,輸血,truyền máu,transfusi darah,,,,,,,,
21375383,board and lodging,膳宿,chỗ ăn ở,makanan dan akomodasi,,,,,,,,
21375384,bonus,紅利,"cổ tức, lợi nhuận, lãi",bonus; dividen,,,,,,,,
21375385,books of account; ledger,帳冊,sổ sách kế toán,buku akuntansi,,,,,,,,
21375386,both; all,均,đều,rata-rata,,,,,,,,
21375387,branch,分支,chi nhánh,cabang,,,,,,,,
21375388,branch institution,分支機構,đơn vị chi nhánh trực thuộc,cabang atau unit,,,,,,,,
21375389,branch office,分公司,"chi nhánh công ty, công ty con",kantor cabang,,,,,,,,
21375390,breach,違背,"làm trái, đi ngược lại",melanggar,,,,,,,,
21375391,breakout,突發,đột phát,tiba-tiba; mendadak,,,,,,,,
21375392,breastfeeding,哺乳,cho con bú,menyusui,,,,,,,,
21375393,broadcast,播送,"truyền tải, phát sóng",menyiarkan,,,,,,,,
21375394,brokering,媒介,"trung gian, môi giới",perantara; agen,,,,,,,,
21375395,building,建築物,công trình kiến trúc,bangunan,,,,,,,,
21375396,business closure,歇業,ngừng kinh doanh,tutup usaha,,,,,,,,
21375397,business firm,商號,mã số doanh nghiệp,bentuk entitas usaha,,,,,,,,
21375398,business owner,事業主,Chủ doanh nghiệp,pemilik usaha,,,,,,,,
21375399,business places,營業處,địa điểm kinh doanh,alamat bisnis,,,,,,,,
21375400,business suspension,停業,ngừng hoạt động,berhenti beroperasi; berhenti berbisnis,,,,,,,,
21375401,business-education cooperation,建教合作班,lớp hợp tác giữa trường và doanh nghiệp,program kerja sama pendidikan dan industri,,,,,,,,
21375402,by contract,特約,hợp đồng đặc biệt,kontrak khusus,,,,,,,,
21375403,by order,勒令,"ra lệnh, mệnh lệnh bắt buộc",dipaksa; diperintahkan,,,,,,,,
21375404,calculation for verification; calculation and review,核算,hoạch toán,menghitung,,,,,,,,
21375405,cancellation; revocation; annulment,註銷,"hủy bỏ, gạch bỏ",membatalkan,,,,,,,,
21375406,capital,資本額,"vốn điều lệ, số tiền vốn ban đầu",jumlah modal,,,,,,,,
21375407,captain,船長,thuyền trưởng,kapten,,,,,,,,
21375408,care recipient,被看護者,người cần được chăm sóc,penerima perawatan,,,,,,,,
21375409,career,生涯,cuộc sống và sự nghiệp,karier,,,,,,,,
21375410,case by case,逐案,từng trường hợp,per kasus,,,,,,,,
21375411,cause threat,滋事,"gây chuyện, gây sự",mengacau; membuat masalah,,,,,,,,
21375412,certificate,證明書,giấy chứng nhận,sertifikat,,,,,,,,
21375413,certificates fee,證照費,lệ phí cấp giấy phép,biaya lisensi,,,,,,,,
21375414,certification,檢定,kiểm định,ujian terstandarisasi,,,,,,,,
21375415,certified nurse,護理師,"y tá, điều dưỡng",perawat,,,,,,,,
21375416,charity,慈善,từ thiện,amal,,,,,,,,
21375417,child labor,童工,lao động trẻ em,tenaga kerja di bawah umur,,,,,,,,
21375418,childbearing,生育,nuôi dưỡng giáo dục,kelahiran,,,,,,,,
21375419,childcare,托育,gửi chăm sóc trẻ,penitipan anak,,,,,,,,
21375420,childcare worker,保育人員,nhân viên chăm sóc nuôi dạy trẻ,pengasuh anak,,,,,,,,
21375421,child-rearing,育兒,nuôi dạy con cái,mengasuh anak,,,,,,,,
21375422,Chinese medicine doctor,中醫師,bác sỹ đông y,dokter tradisional Tiongkok,,,,,,,,
21375423,chosen day,擇期,chọn thời điểm,memilih waktu; menentukan waktu,,,,,,,,
21375424,chronic care ward,慢性病房,Buồng bệnh mãn tính,ruang rawat penyakit kronis,,,,,,,,
21375425,circumstances,情狀,"tình trạng, hoàn cảnh",situasi,,,,,,,,
21375426,civil,民事,dân sự,perdata; sivitas,,,,,,,,
21375427,civil affair,民政,cơ quan hành chính phụ trách các vấn đề dân sự,kependudukan dan Pencatatan Sipil,,,,,,,,
21375428,civil organization; non-government organization,民間團體,các đoàn thể nhân dân,organisasi masyarakat,,,,,,,,
21375429,civil protection order,民事保護令,lệnh bảo hộ dân sự,perintah perlindungan perkara perdata,,,,,,,,
21375430,civil servant,公務員,"nhân viên công vụ, công nhân viên chức nhà nước",pegawai negeri sipil,,,,,,,,
21375431,claim for reimbursement,求償,yêu cầu đền bù,minta ganti rugi; klaim,,,,,,,,
21375432,Class A,甲類,Loại A,kategori A,,,,,,,,
21375433,clearing the debt,清償,"đền bù hết, bồi thường đầy đủ",melunasi,,,,,,,,
21375434,clearly stipulated,明定,quy định rõ ràng,tertulis dengan jelas,,,,,,,,
21375435,clinical,臨床,lâm sàng,klinis,,,,,,,,
21375436,codes; statute,條例,"luật lệ, quy tắc",regulasi,,,,,,,,
21375437,coding,代碼,mã số,kode,,,,,,,,
21375438,"coercion, threat",脅迫,ép buộc,memaksa,,,,,,,,
21375439,cognitive education counseling,認知教育輔導,bồi dưỡng giáo dục nhận thức,pendidikan dan konseling kognitif,,,,,,,,
21375440,cohabitation,同居,"ở chung, ở cùng",kohabitasi; tinggal bersama,,,,,,,,
21375441,collateral,旁系,"họ hàng thuộc chi khác, bàng hệ",hubungan keluarga dalam garis menyimpang,,,,,,,,
21375442,collection,繳回,giao nộp lại,mengembalikan,,,,,,,,
21375443,collection of evidence,採證,thu thập chứng cứ,mengumpulkan bukti,,,,,,,,
21375444,combination,併計,tính cả vào,perhitungan gabungan,,,,,,,,
21375445,commendation,表揚,biểu dương,memuji; pujian,,,,,,,,
21375446,Company Act,公司法,luật doanh nghiệp,Undang-Undang Perseroan Terbatas,,,,,,,,
21375447,compensation,償付,"trả tiền bồi thường, trả tiền đền bù",membayar  ,,,,,,,,
21375448,compensation (out of liabilities),賠償,bồi thường,ganti rugi; kompensasi,,,,,,,,
21375449,compensatory holiday,補假,nghỉ phép bù,cuti pengganti,,,,,,,,
21375450,compensatory leave,補休,nghỉ bù,cuti pengganti,,,,,,,,
21375451,compilation,統整,"tổng hợp, thống nhất",menggabungkan dan menyimpulkan,,,,,,,,
21375452,complainant,告訴人,người tố cáo,pelapor,,,,,,,,
21375453,complaint,申訴,khiếu nại,naik banding,,,,,,,,
21375454,completion of training,結業,"tốt nghiệp, kết thúc khóa học",menutup usaha,,,,,,,,
21375455,composition; made up of,組成,"tổ chức, cấu thành",membentuk,,,,,,,,
21375456,compulsory custody,管收,"quản thúc, quản chế",pengelolaan,,,,,,,,
21375457,compulsory education,義務教育,nghĩa vụ giáo dục,pendidikan wajib,,,,,,,,
21375458,compulsory; forcibly,強制性,tính cưỡng chế,pemaksaan,,,,,,,,
21375459,concealment,藏匿,che giấu,menyembunyikan,,,,,,,,
21375460,concealment (of information),隱瞞,giấu giếm,menutupi,,,,,,,,
21375461,concerns,之虞,"nguy cơ, lo ngại",keraguan,,,,,,,,
21375462,conclusion,終結,kết thúc,mengakhiri,,,,,,,,
21375463,concurrent sentence,併科,"tổng hợp hình phạt, hợp nhất hình phạt",penggabungan sanksi,,,,,,,,
21375464,confession,自白,"thú tội, tự thú",pengakuan,,,,,,,,
21375465,confidentiality,保密,bảo mật,"konfidensial, rahasia",,,,,,,,
21375466,confinement; detention,拘禁,"giam cầm, giam giữ","menahan, mengekang",,,,,,,,
21375467,confiscated from,沒收,bị tịch thu,menyita,,,,,,,,
21375468,confiscation,收繳,thu nộp,pungutan biaya,,,,,,,,
21375469,confrontation (in court),對質,đối chất,"pertukaran barang, interogasi",,,,,,,,
21375470,conscription,役政,quản lý nghĩa vụ quân sự,kebijakan wajib militer,,,,,,,,
21375471,consideration (of values exchanged),對價,"đối giá, trao đổi",imbalan,,,,,,,,
21375472,consideration; weighing,權衡,cân nhắc,pertimbangan,,,,,,,,
21375473,consolation payment,撫卹,trợ cấp (cho người hoặc gia đình có công với xã hội),penyelidikan,,,,,,,,
21375474,consolidate,整合,tích hợp,menggabungkan; kolaborasi,,,,,,,,
21375475,constellation,星座,chòm sao,horoskop,,,,,,,,
21375476,construction,營造業,nghành xây dựng,industri konstruksi,,,,,,,,
21375477,consultation,諮詢,"tư vấn, hỏi",konsultasi,,,,,,,,
21375478,consumption,耗用,tiêu hao,menghabiskan,,,,,,,,
21375479,contact to agree,洽定,thỏa thuận và quyết định,menetapkan,,,,,,,,
21375480,contagious disease; infectious disease,傳染病,bệnh truyền nhiễm,penyakit menular,,,,,,,,
21375481,contests,競技,thi kĩ năng,persaingan,,,,,,,,
21375482,continuity,繼續性,tính liên tục,berkelanjutan,,,,,,,,
21375483,contraband,違禁物,hàng cấm,barang yang dilarang,,,,,,,,
21375484,contract,契約,"khế ước, hợp đồng",kontrak,,,,,,,,
21375485,contract renewal,續約,gia hạn hợp đồng,melanjutkan kontrak,,,,,,,,
21375486,contract; undertaking,承攬,nhận thầu,kontrak,,,,,,,,
21375487,contraction,緊縮,"sự thắt chặt, giảm bớt",berkurang; menyusut,,,,,,,,
21375488,contractual,期約,"quy ước, ước định với nhau",kontrak,,,,,,,,
21375489,convicted,有罪,có tội,bersalah,,,,,,,,
21375490,coordination,協調,thương lượng hoà giải,mengkoordinasi,,,,,,,,
21375491,correct; rectification,更正,sửa lại cho đúng,mengoreksi,,,,,,,,
21375492,correction,矯正,điều chỉnh lại,memperbaiki,,,,,,,,
21375493,correction with supplement,補正,bổ sung và điều chỉnh,koreksi,,,,,,,,
21375494,correspondence,通信,"liên lạc, thông tin",telekomunikasi,,,,,,,,
21375495,cosmetic surgery,美容外科,phẩu thuật thẩm mỹ,bedah kecantikan,,,,,,,,
21375496,"council, committee",委員會,ủy ban,komite,,,,,,,,
21375497,counseling,諮商,tư vấn tâm lý,konsultasi; konseling,,,,,,,,
21375498,country of origin,原籍國,"nước nguyên quán, nước mẹ đẻ",negara asal,,,,,,,,
21375499,court fees,裁判費,lệ phí tòa án,biaya pengadilan,,,,,,,,
21375500,courtesy,禮遇,"trọng đãi, đối xử trọng hậu",penghormatan,,,,,,,,
21375501,CPA,會計師,kế toán viên,akuntan,,,,,,,,
21375502,creditor’s rights,債權,quyền liên quan đến vấn đề công nợ,obligasi,,,,,,,,
21375503,crew I.D.,航員證,chứng chỉ phi công,surat izin pilot,,,,,,,,
21375504,criminal,刑事,hình sự,kasus pidana,,,,,,,,
21375505,Criminal Code,刑法,luật hình sự,hukum pidana,,,,,,,,
21375506,criminal offense,刑責者,người chịu trách nhiệm hình sự,pelaku terpidana,,,,,,,,
21375507,critical injuries; serious injury,重傷,bị thương nặng,cedera berat,,,,,,,,
21375508,cross-institutional,跨機構,"liên ngành, phối hợp các cơ quan",lintas organisasi,,,,,,,,
21375509,crutch,拐杖,"nạng gỗ, cây gậy",tongkat,,,,,,,,
21375510,current status,現況,tình trạng hiện tại,kondisi sekarang,,,,,,,,
21375511,custody,監護,giám hộ,wali; perwalian,,,,,,,,
21375512,custody; escort,戒護,chịu sự quản lý hộ tống,rehabilitasi,,,,,,,,
21375513,custom-made,定製,đặt làm theo yêu cầu,diproduksi berdasarkan pesanan,,,,,,,,
21375514,cut; shrinking,裁減,"cắt giảm, giảm bớt",mengurangi   ,,,,,,,,
21375515,cycle,週期,chu kỳ,periode,,,,,,,,
21375516,damage,損害,tổn hại,merugikan,,,,,,,,
21375517,damages,毀損,"phá hoại, làm hỏng",merusak,,,,,,,,
21375518,danger,危險性,tính nguy hiểm,fatal,,,,,,,,
21375519,database,資料庫,"cơ sở dữ liệu, kho dữ liệu",kumpulan data,,,,,,,,
21375520,debt,債務,"nợ, công nợ",utang,,,,,,,,
21375521,declaration,宣告,tuyên cáo,menyatakan; pernyataan,,,,,,,,
21375522,deduction,抵充,thay thế,penggantian hak,,,,,,,,
21375523,defendant,被告,bị cáo,terdakwa,,,,,,,,
21375524,defender,辯護人,người biện hộ,pembela / pengacara,,,,,,,,
21375525,defense,防衛,phòng vệ,bela diri,,,,,,,,
21375526,deficiency,短絀,tạm thời thiếu hụt (ngân sách),kekurangan,,,,,,,,
21375527,deficit,虧損,tổn thất,kerugian,,,,,,,,
21375528,delay,遲延,trì hoãn,tertunda,,,,,,,,
21375529,deliberation,審議,"thảo luận, xem xét",mempertimbangkan,,,,,,,,
21375530,deliberation committee,審議會,hội đồng thẩm định,komite evaluasi,,,,,,,,
21375531,delivery (childbirth),分娩,sinh con,bersalin,,,,,,,,
21375532,demotion,降調,điều chỉnh hạ thấp,demosi,,,,,,,,
21375533,dentist,牙醫師,nha sỹ,dokter gigi,,,,,,,,
21375534,denture,義齒,răng giả,gigi palsu,,,,,,,,
21375535,departure,啟程,khởi hành,keberangkatan,,,,,,,,
21375536,deportation,遣送,trục xuất và đưa đi,dipulangkan,,,,,,,,
21375537,deportation; expulsion,驅逐,trục xuất,deportasi,,,,,,,,
21375538,designated fund,專款,"ngân sách đặc biệt, ngân sách chuyên dụng",dana khusus,,,,,,,,
21375539,designated locations,指定處,địa điểm được chỉ định,tempat yang ditentukan,,,,,,,,
21375540,designated; with specialized function,專責,chuyên phụ trách,yang berwenang,,,,,,,,
21375541,detail,詳述,trình bày chi tiết,penjelasan rinci,,,,,,,,
21375542,detailed list; schedule,明細表,bảng chi tiết,daftar rincian,,,,,,,,
21375543,details,明細,chi tiết,rincian,,,,,,,,
21375544,detainee,收容人,người bị tạm giam,orang yang di penampungan,,,,,,,,
21375545,detention,羈押,bị giam giữ,ditahan,,,,,,,,
21375546,detention; seizure,扣押,kê biên thu giữ,penyitaan,,,,,,,,
21375547,detention; withholding,留置,giữ lại,penangkapan (istilah hukum),,,,,,,,
21375548,determination,釐定,"chỉnh lí, quy định lại",menyusun dan menetapkan,,,,,,,,
21375549,detoxification,戒癮,cai nghiện,pemberhentian kecanduan,,,,,,,,
21375550,diagnosis certificate,診斷書,giấy chẩn đoán,catatan diagnosis,,,,,,,,
21375551,Diet,膳食,việc ăn uống,makanan,,,,,,,,
21375552,direct arrest (by court),逕行拘提,lập tức bắt tạm giam,melaksanakan penahanan,,,,,,,,
21375553,direct arrest (by police),逕行逮捕,lập tức bắt giữ,melaksanakan penangkapan,,,,,,,,
21375554,directly (with no further formalities),逕行,lập tức thực hiện,segera dilaksanakan,,,,,,,,
21375555,disability,失能,mất khả năng,disabilitas fisik,,,,,,,,
21375556,disaster,災變,"tai biến, thảm họa",malapetaka,,,,,,,,
21375557,disbursement,撥付,chuyển khoản thanh toán,diberi; dibayar,,,,,,,,
21375558,discharge (from military service),退除役,hoàn thành nghĩa vụ quân sự,mengundurkan diri dari militer,,,,,,,,
21375559,discharge from military,退伍,xuất ngũ,pensiun (dari militer),,,,,,,,
21375560,disciplinary,紀律,kỷ luật,disiplin,,,,,,,,
21375561,discovery (of illegality); to find in inspection,查獲,kiểm tra và tìm thấy,menemukan,,,,,,,,
