ID,英文詞彙,中文名詞,越南語,印尼語,緬甸文,泰文,柬埔寨文,資料來源,法令,注解,菲律賓文,更新日期
21376003,prison,監獄,nhà tù,penjara,,,,,,,,
21376004,prison management,監務,công tác giám sát,pengawasan,,,,,,,,
21376005,"prisoner, inmate in a prison",受刑人,người bị kết án,narapidana,,,,,,,,
21376006,privacy,隱私,sự riêng tư,privasi,,,,,,,,
21376007,private employment services institution,私立就業服務機構,cơ quan phục vụ việc làm thuộc tư nhân,lembaga pelatihan ketenagakerjaan swasta,,,,,,,,
21376008,probation period,緩刑期,thời gian án treo,"masa penangguhan, periode hukuman masa percobaan",,,,,,,,
21376009,probation; suspended sentence,緩刑,án treo,hukuman probasi; hukuman masa percobaan,,,,,,,,
21376010,procedure,程序,"quy trình, trình tự",prosedur,,,,,,,,
21376011,Procurement Act,採購法,luật thu mua,undang-undang pengadaan barang/jasa pemerintah,,,,,,,,
21376012,profit-seeking,營利,lợi nhuận,mencari keuntungan; penghasilan,,,,,,,,
21376013,promotion,推展,"mở rộng, phát triển",mempopulerkan; membesarkan,,,,,,,,
21376014,promotional material,宣傳品,các sản phẩm tuyên truyền,alat propaganda,,,,,,,,
21376015,property,財物,tài sản,harta benda,,,,,,,,
21376016,prosecution,起訴,khởi tố,menggugat; menuntut,,,,,,,,
21376017,prosecutor,檢察官,công tố viên,jaksa,,,,,,,,
21376018,prosecutor investigator,事務官,cán bộ phụ trách,pegawai administrasi,,,,,,,,
21376019,Protection Act,保護法,luật bảo hộ,Undang-undang perlindungan,,,,,,,,
21376020,protection orders,保護令,lệnh bảo hộ,perintah perlindungan,,,,,,,,
21376021,provident fund,公積金,quỹ tiết kiệm cộng đồng,dana pensiun,,,,,,,,
21376022,provisional attachment,假扣押,biện pháp tịch thu tạm thời,sita jaminan,,,,,,,,
21376023,proviso,但書,trường hợp ngoại lệ,surat penambahan,,,,,,,,
21376024,psychological evaluation,心理評估,đánh giá tâm lý,evaluasi psikologi,,,,,,,,
21376025,psychological scenario of fear,心生畏怖,tâm lý sợ hãi,muncul rasa takut,,,,,,,,
21376026,psychologists,心理師,"bác sĩ tâm lý, chuyên viên tư vấn tâm lý",psikolog,,,,,,,,
21376027,psychotherapy,精神治療,điều trị tinh thần,pengobatan jiwa,,,,,,,,
21376028,public affairs,公務,công vụ,urusan dinas,,,,,,,,
21376029,public employment services institutions,公立就業服務機構,cơ quan phục vụ việc làm của nhà nước,lembaga pelatihan ketenagakerjaan negeri,,,,,,,,
21376030,public health affairs,衛政,cơ quan chức năng phụ trách về vệ sinh và y tế,administrasi sosial,,,,,,,,
21376031,public interest,公益,công ích,tindakan amal,,,,,,,,
21376032,public nuisance,公害,tác hại đến cộng đồng,gangguan publik,,,,,,,,
21376033,public office,公職,công chức,pekerjaan dinas,,,,,,,,
21376034,public opinion,民意,ý kiến của dân,opini publik,,,,,,,,
21376035,public or private,公私立,nhà nước và tư nhân,negeri dan swasta,,,,,,,,
21376036,public utilities,公用,dùng chung,publik,,,,,,,,
21376037,publication,出版品,ấn phẩm,publikasi,,,,,,,,
21376038,publicly or privately owned,公民營,nhà nước và tư nhân quản lý,perusahaan negeri dan swasta,,,,,,,,
21376039,questioning; interrogation,訊問,thẩm vấn,interogasi,,,,,,,,
21376040,quota,額度,mức giới hạn,kuota,,,,,,,,
21376041,quota; amount,數額,"số tiền, số lượng",jumlah,,,,,,,,
21376042,range,範疇,phạm vi,ruang lingkup,,,,,,,,
21376043,real property,不動產,bất động sản,properti,,,,,,,,
21376044,reasonableness,合理性,tính hợp lý,masuk akal,,,,,,,,
21376045,receipt,單據,"chứng từ, hoá đơn",bukti pembayaran,,,,,,,,
21376046,receipts and certificates,憑證,dựa vào giấy chứng nhận để,sertifikat; surat bukti,,,,,,,,
21376047,reciprocity,互惠,"cùng nhóm lợi ích, cùng có lợi",saling menguntungkan,,,,,,,,
21376048,reciprocity; equivalent,對等,"đồng đẳng, ngang nhau",sebanding,,,,,,,,
21376049,recognition,認可,"cho phép, đồng ý",menyetujui,,,,,,,,
21376050,recognize; identification,識別,"nhận biết, phân biệt",identifikasi; pengenal,,,,,,,,
21376051,record by dictation,筆錄,biên bản ghi lời khai,berita acara,,,,,,,,
21376052,record keeping book,清冊,"danh mục rõ ràng, bản liệt kê",daftar,,,,,,,,
21376053,recover,痊癒,"phục hồi, khỏi bệnh",sembuh total,,,,,,,,
21376054,recovery,填補,"bổ sung vào, bù đắp vào",mengisi,,,,,,,,
21376055,recruitment,招募,chiêu mộ,rekrut,,,,,,,,
21376056,recruitment (by screening),招考,tuyển sinh,perekrutan melalui ujian,,,,,,,,
21376057,recruitment (for professional service),延攬,"chiêu mộ, tuyển dụng",merekrut,,,,,,,,
21376058,Reduction,復位,bó xương,Reduksi/Reposisi,,,,,,,,
21376059,reduction approved,核減,cắt giảm,menyetujui pengurangan,,,,,,,,
21376060,reduction/waiver,減免,miễn giảm,pengurangan dan pengampunan,,,,,,,,
21376061,reentry,重入國,tái cảnh lại,masuk kembali ke negara,,,,,,,,
21376062,referral,轉請,chuyển tiếp yêu cầu,dipindahkan ke,,,,,,,,
21376063,referral; recommendation,推介,"giới thiệu, quảng bá",merekomendasikan,,,,,,,,
21376064,reform school,輔育院,trường giáo dưỡng,lembaga pembinaan,,,,,,,,
21376065,reformation training,管訓,quản lý và huấn luyện,pembinaan,,,,,,,,
21376066,refugee,難民,dân tị nạn,pengungsi,,,,,,,,
21376067,registered permanent residence certificate,定居證,thẻ định cư,surat tinggal permanen,,,,,,,,
21376068,registration,登錄,đăng nhập,masuk,,,,,,,,
21376069,registration certificate,登記證,giấy chứng nhận đăng ký,surat tanda registrasi,,,,,,,,
21376070,regulations,規程,"quy trình, quy chế",prosedur,,,,,,,,
21376071,regulations; guidelines,準則,"nguyên tắc, quy tắc, luật lệ",pedoman,,,,,,,,
21376072,reimbursement approved,核退,trả lại,menyetujui pengembalian,,,,,,,,
21376073,re-issuance,補發,cấp phát lại,menerbitkan ulang,,,,,,,,
21376074,relatives; family member,親屬,"thân nhân, thân quyến",anggota keluarga,,,,,,,,
21376075,release,發布,"công bố, phát hành",mengumumkan; mempublikasikan,,,,,,,,
21376076,relief,救濟,cứu tế,bantuan ekonomi,,,,,,,,
21376077,Relief Act,救助法,Luật cứu trợ,hukum bantuan,,,,,,,,
21376078,religion,宗教,tôn giáo,agama,,,,,,,,
21376079,relocation,移居,"di cư, chuyển đến sống",beremigrasi,,,,,,,,
21376080,remain at a distance,遠離,tránh xa,menjauhi,,,,,,,,
21376081,remote,遠距,"khoảng cách xa, từ xa",jarak jauh,,,,,,,,
21376082,removal,移除,"gỡ bỏ, loại bỏ",dihapus,,,,,,,,
21376083,removal of causes to the court,移送法院,chuyển giao vụ án lên toà án,dialihkan ke pengadilan,,,,,,,,
21376084,remuneration,報酬,"tiền công, thù lao",hasil pendapatan,,,,,,,,
21376085,remuneration paid based on,計酬,tính thù lao,dibayar,,,,,,,,
21376086,renewal,更新,làm mới,memperbarui,,,,,,,,
21376087,reorganization,改組,cải tổ,restrukturasi,,,,,,,,
21376088,repairment,修繕,sửa chữa,memperbaiki,,,,,,,,
21376089,repatriation,遣返,trục xuất về nước,repatriasi,,,,,,,,
21376090,repeated,反覆,"lặp đi lặp lại, nhiều lần",berulang kali,,,,,,,,
21376091,report,彙報,báo cáo tổng hợp,berkas laporan,,,,,,,,
21376092,report and request,報請,báo cáo và yêu cầu,melapor dan mengajukan,,,,,,,,
21376093,report in writing,函報,thư báo,tanggapan kepada pimpinan,,,,,,,,
21376094,report submission,陳報,báo cáo tường trình,deklarasi,,,,,,,,
21376095,report with tables and charts,報表,"báo cáo, biểu đồ",laporan,,,,,,,,
21376096,reporter,告發,tố giác,mengadu,,,,,,,,
21376097,representative,代表人,người đại diện,wakil; perwakilan,,,,,,,,
21376098,representative of the employer,雇主之代表人,người đại diện của chủ lao động,perwakilan dari pemberi kerja,,,,,,,,
21376099,reproduction,生殖,sinh sản,reproduksi,,,,,,,,
21376100,request,商請,thương lượng và xin cấp phép,meminta; mengajukan permintaan,,,,,,,,
21376101,required,應備,cần chuẩn bị,harus disediakan,,,,,,,,
21376102,rescue,救援,cứu viện,bantuan,,,,,,,,
21376103,rescue; first aid,救護,"cấp cứu, cứu hộ",pertolongan,,,,,,,,
21376104,reserve fund,準備金,quỹ dự phòng,dana cadangan,,,,,,,,
21376105,residence,住所,"nơi ở, chỗ ở",tempat tinggal,,,,,,,,
21376106,residency,居留,cư trú,menetap,,,,,,,,
21376107,restraint,管束,"kiểm soát, quản lý, quản thúc",pembatasan,,,,,,,,
21376108,restraints,戒具,công cụ phòng vệ của người thi hành công vụ,alat penahan,,,,,,,,
21376109,restriction order,限令,lệnh hạn chế,perintah dalam batas waktu tertentu,,,,,,,,
21376110,retention,留存,lưu giữ lại,menyimpan,,,,,,,,
21376111,retention right,留置權,quyền tạm giữ,hak retensi,,,,,,,,
21376112,retirement benefit; retirement pension,退休金,tiền lương hưu,uang pensiun,,,,,,,,
21376113,return,退還,hoàn trả,mengembalikan   ,,,,,,,,
21376114,return to one's home country,返國,quay về nước,kembali ke negara asal,,,,,,,,
21376115,return trip,回程,chuyến quay về,perjalanan pulang,,,,,,,,
21376116,review,審閱,đọc và xem xét,mengevaluasi,,,,,,,,
21376117,review and approval,審定,"kiểm định, xác định",validasi,,,,,,,,
21376118,review and assessment,考核,sát hạch,evaluasi,,,,,,,,
21376119,review and transfer,核轉,đối chiếu và chuyển tiếp,konversi,,,,,,,,
21376120,Review committee,審查會,hội đồng kiểm duyệt,konferensi evaluasi,,,,,,,,
21376121,revocation,撤銷,hủy bỏ,membatalkan,,,,,,,,
21376122,reward and punishment,獎懲,thưởng phạt,bonus dan sanksi,,,,,,,,
21376123,right holder,權利人,người hưởng quyền lợi,pemegang hak,,,,,,,,
21376124,right of subrogation,請求權,quyền được yêu cầu,hak klaim,,,,,,,,
21376125,right to work,工作權,quyền lao động,hak kerja,,,,,,,,
21376126,rights and interests,權益,quyền lợi,hak,,,,,,,,
21376127,rights and obligations,權利義務,nghĩa vụ và quyền lợi,hak dan kewajiban,,,,,,,,
21376128,risk assessment,危險評估,đánh giá mức độ nguy hiểm,penilaian bahaya,,,,,,,,
21376129,ROC military,國軍,Quân đội quốc gia,tentara negara,,,,,,,,
21376130,ruling,裁定書,văn bản quyết định,surat keputusan pengadilan,,,,,,,,
21376131,rush work,趕工,"làm việc gấp rút, đẩy nhanh tiến độ",mempercepat pekerjaan,,,,,,,,
21376132,salary; wage,薪金,tiền lương,upah; gaji,,,,,,,,
21376133,sale,售賣,bán,menjual,,,,,,,,
21376134,sampling,抽樣,lấy mẫu,pengambilan sampel,,,,,,,,
21376135,savings,存儲,lưu trữ,menabung,,,,,,,,
21376136,scenario,情境,"tình cảnh, tình huống",kondisi; keadaan,,,,,,,,
21376137,schedule,時程,lịch trình,jadwal,,,,,,,,
21376138,school teacher,學校教師,giáo viên trường học,guru sekolah,,,,,,,,
21376139,screening,篩檢,sàng lọc kiểm tra,skrining,,,,,,,,
21376140,sealed,密封,"đóng kín, niêm phong",disegel,,,,,,,,
21376141,search,搜索,tìm kiếm,melacak,,,,,,,,
21376142,search for,覓尋,tìm kiếm,mencari  ,,,,,,,,
21376143,seat,席位,chỗ ngồi,tempat duduk,,,,,,,,
21376144,security,保安,"bảo hộ lao động, an toàn lao động",satpam,,,,,,,,
21376145,security deposit,保證金,"tiền bảo đảm, tiền đặt  cọc",biaya jaminan,,,,,,,,
21376146,sedition,內亂罪,tội nội loạn (tội chống phá nhà nước),pelanggaran hukum internal,,,,,,,,
21376147,seeking shelter,避難,lánh nạn,mengungsi,,,,,,,,
21376148,segregated interrogations,隔別訊問,thẩm vấn riêng,interogasi terpisah,,,,,,,,
21376149,seizure,扣留,"khấu lưu, cầm giữ",ditahan,,,,,,,,
21376150,selection,甄選,tuyển chọn,memilih,,,,,,,,
21376151,selective appointment of professionals,遴聘,"tuyển dụng, tuyển chọn để nhận vào làm việc",mengangkat; mempekerjakan,,,,,,,,
21376152,self-care,自理,"tự giải quyết, tự chăm sóc bản thân",menjaga diri sendiri,,,,,,,,
21376153,self-defined,自訂,"tự  quy định, tự định đặt",mengatur sendiri,,,,,,,,
21376154,self-employed,自營,Tự vận hành kinh doanh,usaha sendiri; swasta,,,,,,,,
21376155,self-employed owner,自營業主,chủ doanh nghiệp tự kinh doanh,wiraswasta,,,,,,,,
21376156,self-harm,自傷,tự gây thương tích,menyakiti diri sendiri,,,,,,,,
21376157,self-reliant,自立,tự lập,mandiri,,,,,,,,
21376158,self-study,自力學習,tự học,belajar mandiri,,,,,,,,
21376159,senility,衰老,lão hóa,tua,,,,,,,,
21376160,senior or mid-aged persons,中高齡者,người trung niên và người cao tuổi,pralansia dan lansia,,,,,,,,
21376161,seniority; period of service,年資,thâm niên,masa kerja,,,,,,,,
21376162,sentence document,處刑書,"quyết định hình phạt, văn bản xử phạt",surat eksekusi,,,,,,,,
21376163,separating accounts,分帳,phân bổ chi phí,membagi tagihan,,,,,,,,
21376164,service,勤務,"công vụ, làm nhiệm vụ",tugas,,,,,,,,
21376165,Service (of process),送達,gửi đến,dikirim sampai,,,,,,,,
21376166,service center,服務處,điểm phục vụ,tempat pelayanan,,,,,,,,
21376167,service centers,服務站,trạm phục vụ,tempat layanan,,,,,,,,
21376168,service offices to handle domestic violence cases,家庭暴力事件服務處所,cơ sở phục vụ giải quyết các vấn đề liên quan đến bạo lực gia đình,lembaga anti kekerasan dalam rumah tangga,,,,,,,,
21376169,servicemen,官兵,"quan binh, quân binh",personel militer,,,,,,,,
21376170,set up; establishment,設置,"thiết lập, lắp đặt",letak; pengaturan,,,,,,,,
21376171,settlement,結算,"thanh toán, kết toán",menghitung,,,,,,,,
21376172,settlement; permanent residence,定居,định cư,menetap  ,,,,,,,,
21376173,severance pay,資遣費,phí bồi thường cho người lao động bị cho nghỉ việc,kompensasi PHK,,,,,,,,
21376174,severance; lay off,資遣,cho nghỉ việc (nguyên nhân do phía chủ sở hữu lao động),pemutusan hubungan kerja (PHK),,,,,,,,
21376175,sex conversion,變性,chuyển giới,transgender,,,,,,,,
21376176,sexual assault,性侵害,xâm hại tình dục,pelecehan seksual,,,,,,,,
21376177,sexual behavior,性行為,quan hệ tình dục,tindakan seksual,,,,,,,,
21376178,sexual intercourse,性交,"giao cấu tình dục, quan hệ tình dục",hubungan seksual,,,,,,,,
21376179,shall,應對,"đối phó, phản ứng",menanggapi,,,,,,,,
21376180,shall be…,予以,cho phép,diberi,,,,,,,,
21376181,shall not,不得,không được,tidak diperbolehkan,,,,,,,,
21376182,shall not…,不可,không thể,tidak dapat,,,,,,,,
21376183,sharing,共享,cùng chia sẻ,berbagi; dibagi bersama,,,,,,,,
21376184,shelter,庇護所,"nơi trú ẩn, nơi tạm lánh",tempat perlindungan,,,,,,,,
21376185,shelter placements,庇護安置,bố trí sắp xếp nơi trú ẩn,tempat perlindungan,,,,,,,,
21376186,shielding (of an offence),包庇,che dấu,menutupi kesalahan,,,,,,,,
21376187,shift system,輪班制,cơ chế làm việc theo ca,sistem kerja bergilir,,,,,,,,
21376188,shift to a new employer or new work,轉換雇主或工作,thay đổi chủ thuê hoặc công việc,peralihan majikan atau pindah kerja,,,,,,,,
21376189,short-term,短期性,tính ngắn hạn,bersifat jangka pendek,,,,,,,,
21376190,short-term class,短期補習班,lớp học thêm ngắn hạn,les jangka pendek,,,,,,,,
21376191,short-term imprisonment,拘役,"bắt giữ, tạm giam (không quá 60 ngày)",menahan,,,,,,,,
21376192,should be recorded,應作成紀錄,phải được ghi chép thành văn bản,dicatat,,,,,,,,
21376193,signing,簽訂,ký kết,menandatangani,,,,,,,,
21376194,sinking,沈沒,"chìm, chìm đắm",diam,,,,,,,,
21376195,situation,處境,"trường hợp, tình huống, hoàn cảnh",situasi; keadaan,,,,,,,,
21376196,slavery,奴隸,nô lệ,budak,,,,,,,,
21376197,social affairs administration,社政,chính sách xã hội,kebijakan sosial,,,,,,,,
21376198,social welfare,社福,phúc lợi xã hội,kesejahteraan sosial,,,,,,,,
21376199,software and hardware,軟硬體,phần mềm và phần cứng,perangkat lunak dan perangkat keras,,,,,,,,
21376200,sole proprietorship,獨資,"vốn cá nhân, vốn riêng",kepemilikan tunggal,,,,,,,,
21376201,source of income,所得來源,nguồn thu nhập,sumber pendapatan,,,,,,,,
21376202,sovereignty,統治權,quyền thống trị,wewenang pemerintahan,,,,,,,,
21376203,special license,特許,cấp phép đặc biệt,lisensi,,,,,,,,
21376204,special project,專案,chuyên án,proyek khusus,,,,,,,,
21376205,specialized,專門性,tính chuyên môn,khusus  ,,,,,,,,
21376206,specialized operation brigade,專勤隊,đội đặc nhiệm,Tim Operasi Khusus Kantor Imigrasi,,,,,,,,
21376207,specifications,規格,"quy cách, tiêu chuẩn",spesifikasi,,,,,,,,
21376208,specificity,特定性,tính đặc thù,karakteristik khusus,,,,,,,,
21376209,specimen,檢體,mẫu kiểm tra,sampel,,,,,,,,
21376210,sports coach,運動教練,huấn luyện viên thể thao,instruktur olahraga,,,,,,,,
21376211,stakeholder,利害關係人,người có quan hệ quyền lợi liên quan,pemangku kepentingan,,,,,,,,
21376212,stalking,跟蹤,"theo dõi, giám sát",menguntit,,,,,,,,
21376213,standard,基準,tiêu chuẩn,standar,,,,,,,,
21376214,statement,聲明,tuyên bố,pernyataan,,,,,,,,
21376215,statement of objection,異議書,thư phản đối/thư kiến nghị,surat protes,,,,,,,,
21376216,steadfast implementation,落實,một cách đầy đủ và chắc chắn,dilaksanakan,,,,,,,,
21376217,stock dividends,股息,lãi cổ phần,dividen,,,,,,,,
21376218,stock earnings,股利,"cổ tức, lãi cổ phiếu",dividen saham,,,,,,,,
21376219,strict adherence,嚴守,tuân thủ nghiêm ngặt,menuruti; menaati,,,,,,,,
21376220,stuck,黏貼,dán,menempelkan,,,,,,,,
21376221,subject,事由,lý do,penyebab; alasan,,,,,,,,
21376222,submitting,繳交,"nộp, bàn giao",menyerahkan,,,,,,,,
21376223,subrogation,代位,"thế quyền, thay thế quyền hạn",wewenang perwakilan,,,,,,,,
21376224,subscribe to...retroactively from,追溯,truy tìm nguồn gốc,menelusuri,,,,,,,,
21376225,subsidy,補助,"hỗ trợ, trợ cấp",bantuan subsidi,,,,,,,,
21376226,substitute,替補,thay thế bổ sung,menggantikan,,,,,,,,
21376227,substitution,遞補,"bổ nhiệm, bổ sung",pengganti,,,,,,,,
21376228,successively,接續,tiếp nhận tiếp tục,meneruskan,,,,,,,,
21376229,summary judgment,簡易判決處刑書,bản phán quyết hình phạt tóm lược,surat putusan pidana versi sederhana,,,,,,,,
21376230,Summon,徵集,"thu thập, sưu tập",mengumpulkan,,,,,,,,
21376231,summon by invitation,邀集,mời triệu tập,mengundang untuk berkumpul,,,,,,,,
21376232,superior,上級,cấp trên,atasan,,,,,,,,
21376233,supervision,監理,giám sát và quản lý,penjagaan; pengawasan,,,,,,,,
21376234,supplementary education,補習及進修,học thêm và học nâng cao,kursus dan studi lanjutan,,,,,,,,
21376235,supplementary provisions,附則,điều khoản bổ sung,ketentuan tambahan,,,,,,,,
21376236,supply,補給,cung cấp bổ sung,menambahkan,,,,,,,,
21376237,supply and demand,供需,cung cầu,permintaan dan penawaran,,,,,,,,
21376238,supporting employment,支持性就業,"hỗ trợ việc làm (bao gồm: hỗ trợ tìm việc, phụ đạo luật lao động, quan tâm hỗ trợ trong quá trình làm việc...)",pekerjaan yang bersifat mendukung,,,,,,,,
21376239,surplus,結餘,tổng số dư,sisa; saldo,,,,,,,,
21376240,surrender of insurance policy; withdraw from insurance,退保,từ bỏ bảo hiểm,pembatalan / terminasi asuransi,,,,,,,,
21376241,survivor,遺眷,người thân của người đã mất,"pasangan, orang tua, anak di bawah umur, dan anak-anak dewasa yang belum menikah dengan disabilitas dari veteran yang meninggal dunia dan tinggal di Taiwan.",,,,,,,,
21376242,survivor(s),遺屬,"người thân thích, gia đình của người đã mất",warisan,,,,,,,,
21376243,survivors,遺族,gia đình của người đã mất,keluarga almarhum,,,,,,,,
21376244,suspect,嫌疑人,nghi can,tersangka,,,,,,,,
21376245,suspension,暫停,"tạm dừng,tạm ngừng",berhenti sementara,,,,,,,,
21376246,suspicion,嫌疑,"tình nghi, hiềm nghi, nghi ngờ",tersangka,,,,,,,,
21376247,swiftly,即行,lập tức thực hiện,segera,,,,,,,,
21376248,switch,改換,"thay đổi, sửa đổi thành",mengganti,,,,,,,,
21376249,table of changes,變動表,bảng biến động,laporan perubahan,,,,,,,,
21376250,Taiwan Confederation of Trade Unions,總工會,tổng công đoàn,pusat serikat buruh,,,,,,,,
21376251,talent search,求才,tìm kiếm nhân tài,pencarian bakat,,,,,,,,
21376252,talk by phone,通話,gọi điện,menelepon,,,,,,,,
21376253,targeting,針對,nhằm vào,mengenai,,,,,,,,
21376254,taxes; taxation,稅捐,"sưu thuế, tiền thuế",pajak,,,,,,,,
21376255,technical,技術性,tính kỹ thuật,teknis,,,,,,,,
21376256,technical cooperation,技術合作,Hợp tác kỹ thuật,kerja sama teknis,,,,,,,,
21376257,teeth arrangement,齒列,hàm răng,susunan gigi,,,,,,,,
21376258,telecommunications,通信業,ngành viễn thông,industri telekomunikasi,,,,,,,,
21376259,temporary,臨時性,tính tạm thời,bersifat sementara,,,,,,,,
21376260,temporary protection orders,暫時保護令,lệnh bảo hộ tạm thời,perintah perlindungan sementara,,,,,,,,
21376261,tender opening,開標,mở đấu thầu,pembukaan penawaran,,,,,,,,
21376262,tendering,投標,"đấu thầu, dự thầu",penawaran,,,,,,,,
21376263,term of office,任期,nhiệm kỳ,masa jabatan,,,,,,,,
21376264,term of patent,專利期,thời gian bảo hộ sáng chế,masa berlaku paten,,,,,,,,
21376265,termination,終止,"chấm dứt, kết thúc",memberhentikan,,,,,,,,
21376266,terminology,用詞,dùng từ,pernyataan; penggunaan kata,,,,,,,,
21376267,the disabled,身心障礙者,người khuyết tật,penyandang disabilitas,,,,,,,,
21376268,the following,左列,cột bên trái,baris kiri,,,,,,,,
21376269,the grassroots,基層,(tầng lớp) cơ sở,tingkat dasar,,,,,,,,
21376270,the insured,被保險人,người được bảo hiểm,pihak tertanggung,,,,,,,,
21376271,the next day; the day after,翌日,"ngày hôm sau, ngày kế tiếp",keesokan harinya,,,,,,,,
21376272,the next year,翌年,năm sau,tahun depan,,,,,,,,
21376273,the number of hours,時數,số giờ,waktu (jam),,,,,,,,
21376274,the other party,他方,"bên khác, bên đối phương",pihak lain,,,,,,,,
21376275,the right to use,使用權,quyền sử dụng,hak pakai,,,,,,,,
21376276,The time spent during the transfer (of a detainee),在途移送時間,thời gian đưa tội phạm đi,dalam proses penyerahan,,,,,,,,
21376277,therapeutic,治療性,tính điều trị,terapeutik,,,,,,,,
21376278,there is no chance to…; no way to,無從,"không có căn cứ nào, không có cách nào",tidak dapat mengikuti,,,,,,,,
21376279,there is no need for...,無須,"không cần thiết, không phải",tidak harus; tidak perlu,,,,,,,,
21376280,thorough implementation,貫徹,"quán triệt, thông suốt",melaksanakan,,,,,,,,
21376281,to accept; receipt,收受,nhận,menerima,,,,,,,,
21376282,to act on behalf of others,代辦,"làm hộ, đại diện xử lý",wakil dalam pengurusan,,,,,,,,
21376283,to admonish,告誡,"khuyên răn, cảnh cáo",memperingatkan,,,,,,,,
21376284,to adopt,採行,áp dụng,mengadopsi; menggunakan,,,,,,,,
21376285,to adopt; adoption,收養,nhận nuôi dưỡng,adopsi,,,,,,,,
21376286,to allocate,提撥,trích cấp (kinh phí),membayar,,,,,,,,
21376287,to appear in court,到庭,đến tòa án,hadir di pengadilan,,,,,,,,
21376288,to apply for,提請,đưa ra đề nghị,mengajukan,,,,,,,,
21376289,to apply mutatis mutandis,準用,áp dụng điều khoản luật pháp tương tự (đối với các trường hợp có tính chất gần như nhau),diterapkan sesuai,,,,,,,,
21376290,to appoint; appointment,任用,tuyển dụng,menunjuk; mengangkat; mempekerjakan,,,,,,,,
21376291,"to assume, to bear",負擔,"gánh nặng, trách nhiệm",beban,,,,,,,,
21376292,to attend court hearings,出庭,ra tòa,hadir di pengadilan,,,,,,,,
21376293,to be about to,即將,sắp sửa,akan,,,,,,,,
21376294,to be advisable,為宜,thích hợp,lebih baik; cocoknya,,,,,,,,
21376295,to be affiliated to,所屬,thuộc về,milik,,,,,,,,
21376296,to be afflicted with,罹患,mắc bệnh,menderita sakit,,,,,,,,
21376297,to be assigned at,派駐,phái cử,menugaskan; mengirimkan,,,,,,,,
21376298,to be beyond one’s power to…,有礙難,có khó khăn cản trở,kesulitan; terbatas,,,,,,,,
21376299,to be competent for,勝任,"đảm nhiệm được, đủ khả năng gánh vác",kompeten,,,,,,,,
21376300,to be damaged,受損,bị tổn hại,rugi,,,,,,,,
21376301,to be devoted to,致力,tập trung sức lực vào,berkomitmen,,,,,,,,
21376302,to be divided into,區分為,phân chia thành,dibagi menjadi,,,,,,,,
21376303,to be drafted,應召,nhận được triệu tập,memanggil,,,,,,,,
21376304,to be employed,受僱,được thuê làm việc,dipekerjakan,,,,,,,,
21376305,to be employed; to get employment,受聘僱,"được tuyển dụng, được thuê",dipekerjakan,,,,,,,,
21376306,to be equipped with,備置,sắp xếp thiết lập,pengaturan,,,,,,,,
21376307,to be established (for a specific purpose),專設,thiết lập chuyên biệt,didirikan khusus,,,,,,,,
21376308,to be extended to,延至,kéo dài đến,ditunda sampai,,,,,,,,
21376309,to be filed for future reference; for record and reference,備查,cung cấp tư liệu dùng để tham khảo về sau,salinan pemeriksaan,,,,,,,,
21376310,to be found true,屬實,đúng sự thật,nyata; benar,,,,,,,,
21376311,to be helpful,有助於,"giúp cho việc, có ích cho việc",membantu,,,,,,,,
21376312,to be in charge of…,掌理,phụ trách quản lý,kelola,,,,,,,,
21376313,to be insufficient to,不足以,không đủ để,tidak memenuhi syarat/ tidak cukup untuk,,,,,,,,
21376314,to be invalidated,失效,mất hiệu lực/hết hiệu lực,tidak berlaku,,,,,,,,
21376315,to be involved in,涉有,có liên quan đến,terlibat,,,,,,,,
21376316,to be liable with,負責任,chịu trách nhiệm,bertanggung jawab,,,,,,,,
21376317,to be matched,受媒合,được môi giới,menerima proses pencocokan,,,,,,,,
21376318,to be notified,接獲,nhận được,menerima,,,,,,,,
21376319,to be paid in advance,預付,trả trước,uang muka,,,,,,,,
21376320,to be registered,立案,"lập án, lập hồ sơ",terdaftar; penetapan perkara,,,,,,,,
21376321,to be released,釋放,"trả tự do, phóng thích",membebaskan,,,,,,,,
21376322,to be released from prison,出獄,ra tù,bebas dari penjara,,,,,,,,
21376323,to be retained,留用,giữ lại sử dụng,mempekerjakan kembali,,,,,,,,
21376324,to be retained by each party,分執,riêng biệt nắm giữ (mỗi bên giữ một bản),subdivisi,,,,,,,,
21376325,to be scheduled,排定,sắp xếp và chỉ định,menyusun jadwal,,,,,,,,
21376326,to be suspected to,涉嫌,bị tình nghi,dicurigai / tersangka,,,,,,,,
21376327,to be suspected to…,疑似,khả nghi là,dicurigai,,,,,,,,
21376328,to be unusable,不堪,không có khả năng (không kham nổi),tidak tahan,,,,,,,,
21376329,to call to,撥打,gọi điện,menelepon,,,,,,,,
21376330,to carry; to wear,配帶,mang theo,memakai,,,,,,,,
21376331,to cause a catastrophe,釀成災害,dẫn đến tai họa,mengakibatkan bencana,,,,,,,,
21376332,to cause deaths,致死,gây tử vong,menyebabkan kematian,,,,,,,,
21376333,to charge; collection,收取,thu,dikenakan,,,,,,,,
21376334,to charge…(to a moderate degree),酌收,xem xét thu nhận,pembayaran,,,,,,,,
21376335,to claim,請領,xin được lĩnh nhận,pengajuan klaim,,,,,,,,
21376336,to collect (a payment),計收,tính và thu,dikenakan biaya,,,,,,,,
