ID,英文名稱,中文名稱,圖片,化學式,更新日期
334739,methylthio,甲硫基,,CH<sub>3</sub>S－,2012-11-26
334740,methylsulfonyl,甲磺醯基,,CH<sub>3</sub>SO<sub>2</sub>－,2012-11-26
334741,methylsulfonimidoyl,甲磺[醯]亞胺醯基,,CH<sub>3</sub>S(O)(=NH)－,2012-11-26
334742,methylsulfinylamino,甲亞磺醯胺基,,CH<sub>3</sub>SONH－,2012-11-26
334743,methylsulfinyl,甲亞磺醯基,,CH<sub>3</sub>SO－,2012-11-26
334744,methylsulfinohydroximoyl,甲亞磺[醯]肟醯基,,CH<sub>3</sub>S(=NOH)－,2012-11-26
334745,methylsulfinohydrazonoyl,甲亞磺[醯]腙醯基,,CH<sub>3</sub>S(=NNH<sub>2</sub>)－,2012-11-26
334746,methylsulfinimidoyl,甲亞磺[醯]亞胺醯基,,CH<sub>3</sub>S(=NH)－,2012-11-26
334747,2-methylpropenoyl {methacryloyl},2-甲基丙烯醯基 {甲基丙烯醯基},,CH<sub>2</sub>=C(CH<sub>3</sub>)CO－,2012-11-26
334748,methylol; hydroxymethyl,羥甲基,,HOCH<sub>2</sub>－,2012-11-26
334749,methylidyne,次甲基,,HC≣,2012-11-26
334750,5-methylhexyl,5-甲基己基,,(CH<sub>3</sub>)<sub>2</sub>CH(CH<sub>2</sub>)<sub>3</sub>CH<sub>2</sub>－,2012-11-26
334751,"3,4-methylenedioxybenzoyl {piperonyloyl; heliotropoyl}","3,4-亞甲二氧苯甲醯基 {向日葵醯基}",,"3,4-(CH<sub>2</sub>O<sub>2</sub>)C<sub>6</sub>H<sub>3</sub>CO－",2012-11-26
334752,methylenedioxy,亞甲二氧基,,－OCH<sub>2</sub>O－,2012-11-26
334753,methylene,亞甲基,,CH<sub>2</sub>=,2012-11-26
334754,methyldithio,甲二硫基,,CH<sub>3</sub>S<sub>2</sub>－,2012-11-26
334755,trans-methylbutenedioyl,反-甲基丁烯二醯基,,trans-－COC(CH<sub>3</sub>)CHCO－,2020-09-09
334756,cis-methylbutenedioyl,順-甲基丁烯二醯基,,cis-－COC(CH<sub>3</sub>)CHCO－,2020-09-09
334757,3-methylbutanoyl,3-甲基丁醯基,,(CH<sub>3</sub>)<sub>2</sub>CHCH<sub>2</sub>CO－,2012-11-26
334758,α-methylbenzyl,α-甲苄基,,C<sub>6</sub>H<sub>5</sub>CH(CH<sub>3</sub>)－,2012-11-26
334759,methylbenzyl,甲苄基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
334760,methylbenzenecarbonoyl; toluoyl,甲苯甲醯基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
334761,methylazoxy,甲(氧偶氮)基,,CH<sub>3</sub>N(O)N－,2012-11-26
334762,methylazo,甲偶氮基,,CH<sub>3</sub>N=N－,2012-11-26
334763,methylamino,甲胺基,,CH<sub>3</sub>NH－,2012-11-26
334764,methylallyl,甲烯丙基,,CH<sub>2</sub>=C(CH<sub>3</sub>)CH<sub>2</sub>－,2012-11-26
334765,α-methylacryloyl,α-甲基丙烯醯基,,CH<sub>2</sub>=C(CH<sub>3</sub>)CO－,2012-11-26
334766,methyl,甲基,,CH<sub>3</sub>－,2012-11-26
334767,methoxysulfonyl,甲氧磺醯基,,CH<sub>3</sub>OSO<sub>2</sub>－,2012-11-26
334768,methoxysulfinyl,甲氧亞磺醯基,,CH<sub>3</sub>OSO－,2012-11-26
334769,o-methoxyphenyl {guaiacyl},鄰-甲氧苯基 {癒創木基},,<p>CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>－</p>,2012-11-26
334770,methoxyphenyl,甲氧苯基,,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>－,2012-11-26
334771,methoxyimino,甲氧亞胺基,,CH<sub>3</sub>ON=,2012-11-26
334772,methoxycarbonyl,甲氧羰基,,CH<sub>3</sub>OCO－,2012-11-26
334773,methoxy(thiosulfonyl),甲氧硫代磺醯基,,CH<sub>3</sub>OS<sub>2</sub>O－,2012-11-26
334774,methoxybenzylidene {anisal; anisylidene},甲氧亞【草卞】基{大茴香亞甲基；甲氧苯亞甲基},,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
334775,p-methoxybenzylidene,對甲氧亞苄基,,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
334776,p-methoxybenzyl,對甲氧苄基；對甲氧苯甲基,,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
334777,methoxybenzoyl {anisoyl},甲氧苯甲醯基 {大茴香醯基},,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
334778,methoxyanilino {anisidino},甲氧苯胺基,,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>NH－,2012-11-26
334779,methoxy,甲氧基,,CH<sub>3</sub>O－,2012-11-26
334780,methoxalyl,甲氧草醯基,,CH<sub>3</sub>OOCCO－,2012-11-26
334781,methionyl,甲硫胺醯基,,CH<sub>3</sub>S(CH<sub>2</sub>)<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
334782,methenyl; methylidyne; methine,次甲基,,HC≣,2012-11-26
334783,methene; methylene,亞甲基,,H<sub>2</sub>C=,2012-11-26
334784,methanoyl; formyl,甲醯基,,HCO－,2012-11-26
334785,methanesulfinyl,甲亞磺醯基,,CH<sub>3</sub>SO－,2012-11-26
334786,methanesulfinamido,甲亞磺醯胺基,,CH<sub>3</sub>SONH－,2012-11-26
334787,methaneazoxy,甲(氧偶氮)基,,CH<sub>3</sub>N(O)N－,2012-11-26
334788,methaneazo,甲偶氮基,,CH<sub>3</sub>N=N－,2012-11-26
334789,methallyl; 2-methylallyl,甲基烯丙基,,CH<sub>2</sub>=C(CH<sub>3</sub>)CH<sub>2</sub>－,2012-11-26
