ID,英文詞彙,中文名詞,更新日期
21329386,Chinese variety acts;Chinese acrobatics,雜技,
21329387,Chinese yam,山藥,
21329388,Chinese yellow chives,韭黃,
21329389,Chow Chow,鬆獅犬,
21329390,choy sum;edible rape greens,菜心(廣東話),
21329391,chrysanthemum tea,菊花茶,
21329392,Civil Service Special Examination,特考,
21329393,clarinet,豎笛(黑管/單簧管),
21329394,class activity leader,康樂股長,
21329395,class environment monitor,環保股長/衛生股長,
21329396,class leader,班長,
21329397,class monitor,風紀股長,
21329398,class representative,班代,
21329399,class reunion,同學會,
21329400,class study leader,學藝股長,
21329401,class treasurer,總務股長,
21329402,clogs,木屐,
21329403,club officer,社團幹部,
21329404,compound ideograph,會意字,
21329405,Comprehensive Assessment Program for Junior High School Students (CAP),國中教育會考(會考),
21329406,Confucianism,儒家/儒教,
21329407,cong you bing;fried scallion flatbread;scallion pancake,蔥油餅,
21329408,cong zhua bing;flaky scallion flatbread;flaky scallion pancake,蔥抓餅,
21329409,congee;rice porridge,稀飯/粥,
21329410,cotton-padded jacket/coat;quilted jacket/coat,棉襖,
21329411,county magistrate,知縣 (縣令),
21329412,covered bridge,廊橋,
21329413,crow’s feet;laugh lines(英式),魚尾紋,
21329414,cumin,孜然,
21329415,cupping (therapy),拔罐,
21329416,cuttlefish geng;huazhi geng;cuttlefish in thick soup,花枝羹,
21329417,danbing;egg crepe roll,蛋餅,
21329418,date,椰棗/海棗,
21329419,demerit,過,
21329420,deputy class leader,副班長,
21329421,deputy class representative,副班代,
21329422,derivative cognate;mutually interpretative character,轉注字,
21329423,destined connection,緣分,
21329424,dharma,法(佛教),
21329425,direct junior,直屬學弟/妹,
21329426,direct senior,直屬學長/姐,
21329427,dizi;Chinese bamboo flute;Chinese transverse flute,笛子,
21329428,dot (stroke),點,
21329429,dougan;dried tofu,豆乾,
21329430,doujiang;soy milk;soy beverage,豆漿,
21329431,dragon fruit;pitaya (fruit),火龍果,
21329432,"drop the handkerchief;duck, duck, goose",丟手帕,
21329433,duilian;Chinese couplets;antithetical couplets,對聯,
21329434,durian,榴槤,
