ID,英文詞彙,中文名詞,更新日期
21329872,Taoism;Daoism,道家,
21329873,Taoist priest;daoshi,道士,
21329874,Taoist séance;visiting a soul in the netherworld,觀落陰,
21329875,Taoist temple,道觀,
21329876,tapioca pearls;tapioca balls,粉圓,
21329877,taro balls,芋圓,
21329878,T-back(現代);thong(現代);G-string(現代);loincloth(傳統服飾),丁字褲,
21329879,tea egg,茶葉蛋,
21329880,teacher appreciation dinner;teacher appreciation luncheon,謝師宴,
21329881,teacher's helper(英式);teacher helper(美式),小老師,
21329882,teacher-student romance,師生戀,
21329883,ten tonic soup;decoction of ten powerful tonics,十全大補湯,
21329884,thatched hut,草房,
21329885,The Basic Competence Test for Junior High School Students (BCT),基測 (基本學力測驗),
21329886,the big wind blows,大風吹,
21329887,The Eight-Power Allied Forces;The Eight-Nation Alliance,八國聯軍,
21329888,the Five Classics (of Confucianism),五經,
21329889,The Five Dynasties and Ten Kingdoms period,五代十國,
21329890,The Five Hegemons,春秋五霸,
21329891,the Four Books (of Confucianism),四書,
21329892,The Seven Warring States,戰國七雄,
21329893,The Southern and Northern Dynasties period,南北朝,
21329894,The Spring and Autumn Period;The Spring and Autumn period,春秋時代,
21329895,The Three Kingdoms Period,三國時代,
21329896,The Warring States Period;The Warring States period,戰國時代,
21329897,thicken (with food starch),燴,
21329898,Three Principles of the People,三民主義,
21329899,three-legged race,兩人三腳,
21329900,tianbula;Taiwanese tempura,甜不辣,
21329901,Tibetan mastiff,西藏獒犬,
21329902,tie-dye;tie-dyeing,紮染,
21329903,to be expelled from school,勒令退學,
21329904,to diet;on a diet,節食,
21329905,to drop out of school,輟學,
21329906,to lead the spirit of a deceased person home,招魂,
21329907,to lose face;to feel embarrassed,丟臉,
21329908,to suspend one's schooling;to take temporary leave from school;to take a break from school,休學,
21329909,to withdraw from school,自動退學,
21329910,tofu pudding;douhua,豆花,
21329911,tonify qi;qi tonification,補氣,
21329912,tonify the kidneys;kidney tonification,補腎,
21329913,tracking,分組,
21329914,traditional stand-up comedy,單口相聲,
21329915,trigram,卦,
21329916,tu na breathing exercises;tu na gong,吐納功,
21329917,Tudigong;deity of a locality,土地公,
21329918,tuina (massage),推拿,
21329919,tung tree;tung oil tree,油桐樹,
21329920,turning (stroke),折(彎),
21329921,turnip,蕪菁,
21329922,ume plum drink,烏梅汁,
21329923,underpuff lines,淚溝,
21329924,unfriend on Facebook,解除臉書好友,
21329925,unrequited love;one-sided love,單戀,
21329926,vegetable fern,過溝菜蕨 (蕨貓),
21329927,vegetable zongzi,菜粽,
21329928,vertical (stroke),豎,
21329929,vocal mimicry,口技,
21329930,wagui;wa guei;bowl rice cake,碗粿,
21329931,walking catfish,土虱,
21329932,warning,警告,
21329933,water bamboo;wild rice stem(s),茭白筍,
21329934,water caltrop,菱角,
21329935,water spinach;water convolvulus,空心菜,
21329936,watermelon milk,西瓜牛奶,
21329937,wax-resist dyed fabric;batik fabric;batik textiles,蠟染布,
21329938,weekly assembly,週會,
21329939,welcome party (for incoming students),迎新,
21329940,white sandalwood (台灣係指木蘭科雜交的);Magnolia × alba;Michelia × alba,玉蘭花,
21329941,white stone,白子,
21329942,whitebait,魩仔魚 (銀魚),
21329943,wild rice,菰米 (黑野米),
21329944,Wing Chun;Yongchun quan,詠春拳,
21329945,winter melon tea,冬瓜茶,
21329946,wok,炒菜鍋,
21329947,wonton,餛飩,
21329948,wood ear,木耳,
21329949,wu wei;the way of non-striving,無為,
21329950,wulin;the martial world,武林,
21329951,wushu;kung fu;Chinese martial arts,武術,
21329952,wuxia fiction;martial arts fiction,武俠小說,
21329953,wuxing;the five elements (of cosmology),五行,
21329954,xian bing;Chinese fried savory pie,餡餅,
21329955,xiang (minister),象/相,
21329956,xiangqi;Chinese chess,象棋,
21329957,xiangsheng;crosstalk;comic dialogue,相聲,
21329958,xiao long bao;xiaolongbao,小籠包,
21329959,xiao;(the Confucian virtue of) filial piety,孝,
21329960,xiao;Chinese end-blown flute,簫,
21329961,xin;(the Confucian virtue of) trustworthiness,信,
21329962,xingshu;running script;semi-cursive script,行書,
21329963,xiucai,秀才,
21329964,Xuantian Shangdi;Taoist/Daoist God of the Northern Heaven,玄天上帝,
21329965,yamen (ancient Chinese government office),衙門,
21329966,yang,陽,
21329967,yangchun noodles;plain noodles,陽春麵,
21329968,yangqin;Chinese dulcimer,揚琴,
21329969,yansu chicken;salted crispy chicken,鹽酥雞,
21329970,yaodong;cave dwelling,窯洞,
21329972,yaogu;(Chinese) waist drum,腰鼓,
21329973,yi;(the Confucian virtue of) righteousness,義,
21329974,Yiguandao;I-Kuan Tao,一貫道,
21329975,yijin jing;muscle-tendon strengthening exercises,易筋經,
21329976,yin,陰,
21329977,yokan,羊羹,
21329978,youtiao;deep-fried dough stick;deep-fried breadstick,油條,
21329979,yo-yo,溜溜球,
21329980,yuanwai;Chinese squire,員外,
21329981,yuanxiao;glutinous rice balls with filling,元宵,
21329982,yueqin;moon lute,月琴,
21329983,yusong;fish floss,魚鬆,
21329984,Zao Shen;deity of the kitchen;Kitchen God,灶神,
21329985,Zen Buddhism;Chan Buddhism,禪宗,
21329986,zha cai;(pickled) mustard tuber,榨菜,
21329987,zhajiang noodles;noodles with savory brown sauce,炸(酢)醬麵,
21329988,zhengjiao;steamed jiaozi,蒸餃,
21329989,zhong;(the Confucian virtue of) loyalty,忠,
21329990,zhuangyuan;top on the jinshi list,狀元,
21329991,zongzi;leaf-wrapped sticky rice,粽子,
21329992,zu / bing (private),卒/兵,
21378376,knife-cut noodles;knife-pared noodles;knife-sliced noodles,刀削麵,
