ID,英文名稱,中文名稱,圖片,化學式,更新日期
339665,sodium N-acetylsulfanilate,N-乙醯對胺苯磺酸鈉,,<p>CH<sub>3</sub>CONHC<sub>6</sub>H<sub>4</sub>SO<sub>3</sub>Na</p>,2012-11-26
339666,sodium acetylstibanilate,乙醯胺苯銻酸鈉,,CH<Sub>3</Sub><Font>CONHC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>SbO(OH)ONa</Font>,2012-11-26
339667,sodium acetylsalicylate,乙醯柳酸鈉,,CH<Sub>3</Sub><Font>COOC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COONa</Font>,2012-11-26
339668,sodium acetylide; sodium carbide,乙炔鈉；碳化鈉,,Na<Sub>2</Sub><Font>C</Font><Sub>2</Sub>,2012-11-26
339669,sodium acetylarsanilate,乙醯胺苯胂酸鈉,,CH<Sub>3</Sub><Font>CONHC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>AsO(OH)ONa</Font>,2012-11-26
339670,sodium acetarsenate,胂酸乙酸鈉,,NaOOCCH<Sub>2</Sub><Font>AsO(OH)ONa</Font>,2012-11-26
339671,sodium acetate,乙酸鈉,,CH<Sub>3</Sub><Font>COONa</Font>,2012-11-26
339672,sodium acetamide,乙醯胺鈉,,CH<Sub>3</Sub><Font>CONHNa</Font>,2012-11-26
339673,sodium abietate,松脂酸鈉,,C<Sub>19</Sub><Font>H</Font><Sub>29</Sub><Font>COONa</Font>,2012-11-26
339674,sobrerone; pinole,"松腦 {6,8-環氧-對-䓝-1-烯}",,<p>C<sub>10</sub>H<sub>16</sub>O</p>,2012-11-26
339675,"sobrerol; p-menth-6-ene-2,8-diol","蘇伯樓醇；對-䓝-6-烯-2,8-二醇",,<p>C<sub>10</sub>H<sub>18</sub>O<sub>2</sub></p>,2012-11-26
339676,smilagenin,菝葜配質,,C<Sub>27</Sub><Font>H</Font><Sub>44</Sub><Font>O</Font><Sub>3</Sub>,2012-11-26
339677,skatole; 3-methylindole,糞臭素；3-甲基吲哚,,C<Sub>9</Sub><Font>H</Font><Sub>9</Sub><Font>N</Font>,2012-11-26
339678,skimmianine,茵芋鹼,,C<Sub>14</Sub><Font>H</Font><Sub>13</Sub><Font>NO</Font><Sub>4</Sub>,2012-11-26
339679,β-sitosterol,β-榖甾醇；β-植甾醇,,C<Sub>29</Sub><Font>H</Font><Sub>50</Sub><Font>O</Font>,2012-11-26
339680,sipeimine,西貝母鹼,,C<Sub>27</Sub><Font>H</Font><Sub>43</Sub><Font>NO</Font><Sub>3</Sub>,2012-11-26
339681,sinomenine,青藤鹼,,C<Sub>19</Sub><Font>H</Font><Sub>23</Sub><Font>NO</Font><Sub>4</Sub>,2012-11-26
523925,sinapine,芥子鹼；芥子酸膽鹼酯,,[C<Sub>16</Sub><Font>H</Font><Sub>24</Sub><Font>NO</Font><Sub>5</Sub><Font>]</Font><Sup>+</Sup><Font>[OH</Font><Sup>-</Sup><Font>]</Font>,2012-11-26
523926,sinapic acid,"芥子酸；3,5-二甲氧基-4-羥基桂皮酸",,C<Sub>11</Sub><Font>H</Font><Sub>12</Sub><Font>O</Font><Sub>5</Sub>,2012-11-26
