ID,英文名稱,中文名稱,圖片,備註,更新日期
3364869,androgyny,雌雄同體；雙性向,,,2018-03-21
3364870,anecdotal evidence,軼事性的證據,,,2018-03-21
3364871,animal instinct,動物本能,,,2018-03-21
3364872,animal protection movement,動物保護運動,,,2018-03-21
3364873,animal rights movement,動物權運動,,,2018-03-21
3364874,animal worship,動物崇拜,,,2018-03-21
3364875,animism,泛靈信仰,,,2018-03-21
3364876,annals school,年鑑學派,,,2018-03-21
3364877,annuity,年金,,,2018-03-21
3364878,annulment,法律宣告婚姻無效,,,2018-03-21
3364879,anomic division of labour,脫序型分工,,,2018-03-21
3364880,anomic leisure,脫序休閒,,,2018-03-21
3364881,anomic suicide,脫序型自殺,,,2018-03-21
3364882,anomie,脫序,,,2018-03-21
3364883,anonymity,匿名；匿名性,,,2018-03-21
3364884,anonymous questionnaire,不記名問卷,,,2018-03-21
3364885,anova,變異數分析,,,2018-03-21
3364886,antagonism,敵對,,,2018-03-21
3364887,antagonistic cooperation,敵對合作,,,2018-03-21
3364888,antecedent variable,前置變數；前置變項,,,2018-03-21
3364889,anthropocentric theory,人類中心理論,,,2018-03-21
3364890,anthropocentrism,人類中心主義,,,2018-03-21
3364891,anthropogenic association,人種原則的結合,,,2018-03-21
3364892,anthropology,人類學,,,2018-03-21
3364893,anthropomorphism,擬人觀,,,2018-03-21
3364894,anti-branding movement,反品牌運動；反名牌運動,,,2018-03-21
3364895,anti-depressants,抗憂鬱藥物,,,2018-03-21
3364896,anti-dumping,反傾銷,,,2018-03-21
3364897,anti-globalization movement,反全球化運動,,,2018-03-21
3364898,anti-intraception,反內省,,,2018-03-21
3364899,anti-militarism,反軍國主義；反軍事主義,,,2018-03-21
3364900,anti-natalist policy,抑制生育政策,,,2018-03-21
3364901,anti-psychiatry movement,反精神醫學運動,,,2018-03-21
3364902,anti-psychologism,反心理主義,,,2018-03-21
3364903,anti-secularization theory,反世俗化理論,,,2018-03-21
3364904,anti-semitism scale,反猶太人量表,,,2018-03-21
3364905,anti-social behavior,反社會行為,,,2018-03-21
3364906,anti-trust,反托辣斯,,,2018-03-21
3364907,anti-war and peace movements,反戰和平運動,,,2018-03-21
3364908,anti-war movement,反戰運動,,,2018-03-21
3364909,anticipated consequence,預期後果,,,2018-03-21
3364910,anticipatory socialization,預期社會化,,,2018-03-21
3364911,antiracism,反種族歧視,,,2018-03-21
3364912,antisexism,反性別歧視,,,2018-03-21
3364913,antitheism,反有神論,,,2018-03-21
3364914,anxious attachment,焦慮型依附,,,2018-03-21
3364915,apartheid,南非種族隔離政策,,,2018-03-21
3364916,apolitical,無關政治,,,2018-03-21
3364917,applied research,應用研究,,,2018-03-21
3364918,applied sociology,應用社會學,,,2018-03-21
3364919,apprentice system,實習制；學徒制,,,2018-03-21
3364920,apprenticeship,學徒制；學徒身分,,,2018-03-21
3364921,archeology of knowledge,知識的考掘；知識考古學,,,2018-03-21
3364922,archival data,檔案資料,,,2018-03-21
3364923,archival research,檔案研究,,,2018-03-21
3364924,area files,地區檔案,,,2018-03-21
3364925,area studies,區域研究,,,2018-03-21
3364926,areligiosity,無關宗教性,,,2018-03-21
3364927,aristocracy,貴族政體,,,2018-03-21
3364928,arithmetic mean,算術平均數,,,2018-03-21
3364929,arkos,衛城,,,2018-03-21
3364930,arranged marriage,安排式婚姻；包辦婚姻,,,2018-03-21
3364931,articulation,連屬；闡連；鏈結,,,2018-03-21
3364932,artificial insemination,人工授精,,,2018-03-21
3364933,artificial intelligence,人工智慧,,,2018-03-21
3364934,artificial selection,人為選擇；人為淘汰,,,2018-03-21
3364935,aryanism,雅利安主義,,,2018-03-21
3364936,ascetic protestantism,制欲基督新教,,,2018-03-21
3364937,asceticism,制慾主義,,,2018-03-21
3364938,Asch experiments,艾許實驗,,,2018-03-21
3364939,ascribed role,先賦角色,,,2018-03-21
3364940,ascribed status,先賦地位,,,2018-03-21
3364941,ascription,先賦,,,2018-03-21
3364942,Asian-American studies,亞裔美國人研究,,,2018-03-21
3364943,asiatic mode of production,亞細亞生產方式,,,2018-03-21
3364944,assembly line,生產線；裝配線,,,2018-03-21
3364945,assimilation,同化,,,2018-03-21
3364946,association,結社,,,2018-03-21
3364947,asylum,療養院；收容所,,,2018-03-21
3364948,asymmetric measure of association,不對稱相關量數,,,2018-03-21
3364949,atheism,無神論,,,2018-03-21
3364950,atomic theory,原子論式理論,,,2018-03-21
3364951,atomism,原子論,,,2018-03-21
3364952,atomistic fallacy,原子論式謬誤,,,2018-03-21
3364953,atomization,原子化,,,2018-03-21
3364954,attempted suicide,自殺未遂,,,2018-03-21
3364955,attention span,注意力幅度,,,2018-03-21
3364956,attitude,態度,,,2018-03-21
3364957,attitude change,態度變遷,,,2018-03-21
3364958,attitude scale,態度量表,,,2018-03-21
3364959,Attitudes Toward Feminism scale,對女性主義的態度量表,,,2018-03-21
3364960,attribute variable,屬性變數；屬性變項,,,2018-03-21
3364961,attribution,歸因,,,2018-03-21
3364962,attribution theory,歸因理論,,,2018-03-21
3364963,audience,閱聽人,,,2018-03-21
3364964,audience analysis,閱聽人分析,,,2018-03-21
3364965,aura,靈光,,,2018-03-21
3364966,autarky,自給自足,,,2018-03-21
3364967,authentication,認證,,,2018-03-21
3364968,authoritarian personality,權威人格,,,2018-03-21
3364969,authoritarian regime,威權政體,,,2018-03-21
3364970,authoritarianism,威權主義；威權性格,,,2018-03-21
3364971,authoritative society,威權社會,,,2018-03-21
3364972,authority,權威,,,2018-03-21
3364973,autocorrelation,自相關,,,2018-03-21
3364974,autocracy,獨裁政體,,,2018-03-21
3364975,autoethnography,自體民族誌,,,2018-03-21
3364976,automation,自動化,,,2018-03-21
3364977,autonomy,自主；自治,,,2018-03-21
3364978,autopoiesis,自我再生,,,2018-03-21
3364979,autopoietic systems theory,自我再生系統理論,,,2018-03-21
3364980,autoregression,自迴歸,,,2018-03-21
3364981,availability sample,便利樣本,,,2018-03-21
3364982,average absolute deviation,平均絕對離差,,,2018-03-21
3364983,average deviation,平均離差,,,2018-03-21
3364984,average social labor,平均社會勞動,,,2018-03-21
3364985,avoidant attachment,避免型依附,,,2018-03-21
3364986,axial civilizations,軸心文明,,,2018-03-21
3364987,axial growth,軸狀發展,,,2018-03-21
3364988,baby boom,嬰兒潮；生育高峰,,,2018-03-21
3364989,back stage behavior,後台行為,,,2018-03-21
3364990,back- translation,來回翻譯,,,2018-03-21
3364991,back-to-basics movement,復本運動,,,2018-03-21
3364992,backward linkage,後向聯結,,,2018-03-21
3364993,backward selection model,後向剔除模型,,,2018-03-21
3364994,balance of migration,移民差額,,,2018-03-21
3364995,balance of power,權力平衡；權力均衡,,,2018-03-21
3364996,balance sheet,資產負債表,,,2018-03-21
3364997,band wagon effect,篷車效應；跟風效應；西瓜效應,,,2018-03-21
3364998,barbarism,野蠻狀態,,,2018-03-21
3364999,bare-foot doctor,赤腳醫生,,,2018-03-21
3365000,bargaining power,協商力量；議價能力,,,2018-03-21
3365001,bargaining range,協商空間,,,2018-03-21
3365002,barrio,[移民的]社區；街坊,,,2018-03-21
3365003,barter,以物易物,,,2018-03-21
3365004,barter economy,以物易物；物物交易,,,2018-03-21
3365005,base map,基本地圖,,,2018-03-21
3365006,baseline data,基準資料,,,2018-03-21
3365007,battery,題項組,,,2018-03-21
3365008,bayes' theorem,貝氏定理,,,2018-03-21
3365009,because motive,因為動機,,,2018-03-21
3365010,before-after experiment,前後對照實驗,,,2018-03-21
3365011,behavior,行為,,,2018-03-21
3365012,behavior pattern,行為模式,,,2018-03-21
3365013,behavioral science,行為科學,,,2018-03-21
3365014,behaviorism,行為主義,,,2018-03-21
3365015,belief,信念；信仰,,,2018-03-21
3365016,belief system,信仰體系；信仰系統,,,2018-03-21
3365017,bell curve,鐘形曲線；鐘型曲線,,,2018-03-21
3365018,bell-shaped curve,鐘形曲線,,,2018-03-21
3365019,belonging,歸屬,,,2018-03-21
3365020,beneficiary,受益者,,,2018-03-21
3365021,bernoulli's theorem,伯努里定理,,,2018-03-21
3365022,best fitting line,最適線,,,2018-03-21
3365023,best linear unbiased estimator,最適線性不偏估計,,,2018-03-21
3365024,beta coefficient,β係數,,,2018-03-21
3365025,beta error,β誤差,,,2018-03-21
3365026,between-group variance,組間變異數,,,2018-03-21
3365027,between-nation income inequality,國家間的收入不平等,,,2018-03-21
3365028,bias,偏見；偏誤,,,2018-03-21
3365029,biased estimate,偏誤估計,,,2018-03-21
3365030,bilingual education,雙語教育,,,2018-03-21
3365031,bimodal curve,雙峰曲線,,,2018-03-21
3365032,bimodal distribution,雙峰分配,,,2018-03-21
3365033,binary opposition,二元對立,,,2018-03-21
3365034,binomial curve,二項曲線,,,2018-03-21
3365035,binomial distribution,二項分配,,,2018-03-21
3365036,binomial sampling distribution,二項式抽樣分配,,,2018-03-21
