ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3281580,active perception,主動知覺,,主动知觉,2017-08-18
3281581,active process,主動處理,,"主动加工,主动处理",2017-08-18
3281582,active touch,主動觸覺,,主动触觉,2017-08-18
3281583,activity,活動,,活动,2017-08-18
3281584,activity analysis,活動分析,,活动分析,2017-08-18
3281585,activity approach,活動取向,,活动取向,2017-08-18
3281586,activity level,活動量；活動程度,,活动水平,2017-08-18
3281587,activity theory,活動理論,,活动理论,2017-08-18
3281588,actor-observer bias,行動者-觀察者偏誤,,行动者-观察者偏倚,2017-08-18
3281589,actor-observer effect,行動者-觀察者效應﹝歸因﹞效應,,行动者-观察者效应,2017-08-18
3281590,actual self-image,真實自我形象,,真实自我形象,2017-08-18
3281591,actualizing tendency,實現傾向,,实现倾向,2017-08-18
3281592,acuity,敏銳度,,敏度,2017-08-18
3281593,acute posttraumatic stress disorder,急性創傷後壓力疾患,,急性创伤后应激障碍,2017-08-18
3281594,acute psychogenic reaction,急性心因反應,,急性心因性反应,2017-08-18
3281595,acute schizophrenia,急性精神分裂症,,急性精神分裂症,2017-08-18
3281596,acute stress disorder  (ASD),急性壓力疾患,,急性应激障碍,2017-08-18
3281597,adaptability,適應力；調適力,,适应力,2017-08-18
3281598,adaptation,適應；調適,,适应,2017-08-18
3281599,adaptation level,適應水準；調適水準,,适应水平,2017-08-18
3281600,adaptation-level theory,適應水準理論；調適水準理論,,适应水平理论,2017-08-18
3281601,adaptive aggressive behavior,適應性攻擊行為,,适应性攻击行为,2017-08-18
3281602,adaptive behavior,適應行為；調適行為,,适应行为,2017-08-18
3281603,Adaptive Behavior Scale(ABS) ； Adaptive Behavior Inventory,適應行為量表；調適行為量表,,适应行为量表,2017-08-18
3281604,adaptive functioning,適應功能；調適功能,,适应功能,2017-08-18
3281605,adaptive information processing (AIP),適應訊息歷程；調適訊息歷程,,适应性信息加工,2017-08-18
3281606,adaptive instruction,適性教學；適性教導,,适应性教学,2017-08-18
3281607,adaptive learning,適應性學習；調適性學習,,适应性学习,2017-08-18
3281608,adaptive mechanism of convict,罪犯適應機制,,罪犯适应机制,2017-08-18
3281609,adaptive response ； adjustment reaction,適應反應,,适应反应,2017-08-18
3281610,adaptive testing,適性測驗,,适应测验,2017-08-18
3281611,addiction,成癮,,成瘾,2017-08-18
3281612,addiction behavior,成癮行為,,成瘾行为,2017-08-18
3281613,addiction psychology,成癮心理學,,成瘾心理学,2017-08-18
3281614,addictive consumer behavior,成癮性消費行為,,成瘾性消费行为,2017-08-18
3281615,addictive personality,成癮人格,,成瘾人格,2017-08-18
3281616,Addison’s disease,艾迪生氏症,,艾迪生病,2017-08-18
3281617,additive bilingualism,加成型雙語,,附加性双语现象,2017-08-18
3281618,additive color mixture,加法混色；相加混色,,加色混合,2017-08-18
3281619,additive task,加成性工作；加成性作業,,加和性任务,2017-08-18
3281620,additivity,加成性,,加和性,2017-08-18
3281621,additivity of chi-square,χ2加成性,,χ2可加性,2017-08-18
3281622,adenosine triphosphate  (ATP),腺嘌呤核苷三磷酸,,腺苷三磷酸,2017-08-18
3281623,adenyl cyclase,腺苷酸環化酵素,,腺苷酸环化酶,2017-08-18
3281624,adipsia,不渴症；渴感失能症,,"不渴症,渴感失能症",2017-08-18
3281625,adjective checklist,形容詞檢核表,,形容词检核表,2017-08-18
3281626,adjusted mean,調整平均數,,调整平均数,2017-08-18
3281627,adjustment,調整；適應,,调整,2017-08-18
3281628,adjustment disorder,適應疾患,,适应障碍,2017-08-18
3281629,Adlerian,阿德勒學派[的],,阿德勒学派[的],2017-08-18
3281630,Adlerian psychology,阿德勒心理學,,阿德勒心理学,2017-08-18
3281631,Adlerian psychotherapy,阿德勒心理治療[法],,阿德勒心理治疗,2017-08-18
3281632,adolescence,青少年[期],,青少年期,2017-08-18
3281633,adolescent growth spurt,發育陡增；成長陡增,,青少年发育陡增,2017-08-18
3281634,adolescent psychology,青少年心理學,,青少年心理学,2017-08-18
3281635,adopted children,養子女,,收养儿童,2017-08-18
3281636,adoptees' relatives method,領養親屬研究法；收養親屬研究法,,领养亲属研究法,2017-08-18
3281637,adopter categories,採用者類別,,采用者类别,2017-08-18
3281638,adoption,領養；收養,,"领养,收养",2017-08-18
3281639,adoption study,領養研究；收養研究,,领养研究,2017-08-18
3281640,adrenal cortex,腎上腺皮質,,肾上腺皮质,2017-08-18
3281641,adrenal gland,腎上腺,,肾上腺,2017-08-18
3281642,adrenal medulla,腎上腺髓質,,肾上腺髓质,2017-08-18
3281643,adrenaline,腎上腺素,,肾上腺素,2017-08-18
3281644,adrenergic agonist,腎上腺素致效劑,,肾上腺素激动药,2017-08-18
3281645,adrenergic antagonist,腎上腺素拮抗劑,,肾上腺素拮抗药,2017-08-18
3281646,adrenocorticotropic hormone  ( ACTH),腎上腺皮質刺激素；促腎上腺皮質激素,,促肾上腺皮质[激]素,2017-08-18
3281647,adult attachment interview (AAI),成人依戀訪談,,成人依恋访谈,2017-08-18
