ID,英文詞彙,中文詞彙,更新日期
21370233,apostle timber,牙檣邊木；艏副肋材；船艏副肋材,
21370234,approach navigation,進場航行；進港航行；駛進{目的地}航法,
21370235,apron board,舷緣擋板,
21370236,aqua regia,王水；王酸；硝基鹽酸,
21370237,arch deck,梁拱甲板,
21370238,area under the ROC curve (AUC),接收者操作特徵曲線下面積,
21370239,armour deck,裝甲甲板,
21370240,armoured deck,裝甲甲板,
21370241,array computer,陣列式電腦,
21370242,arrested landing,用阻攔裝置著陸,
21370243,arrested landing weight,阻攔著陸重量,
21370244,arrested run,阻攔滑跑,
21370245,arrested state,阻攔減速狀態,
21370246,arrester cable,攔阻索,
21370247,arrester catch,止動器；擋車器,
21370248,arrester gear,著陸攔阻裝置,
21370249,arrester gear handle control,著陸阻攔裝置手柄操縱,
21370250,arrester hook,{著陸}攔阻鈎；制動鈎,
21370251,arrester hook actuation gear,制動鈎操縱機構,
21370252,arrester hook deck-folding mechanism,攔阻鈎收放機構,
21370253,arrester net,阻攔網,
21370254,arrester wire,攔截索；阻攔索,
21370255,arresting cable,攔阻索,
21370256,arresting gear,阻攔索；制動裝置；停車裝置；限動器；行程阻止器,
21370257,arris cut,棱形切割,
21370258,arris-piece,棱形楔,
21370259,articulated anchor,絞接錨,
21370260,artificial capable intelligence (ACI),人工能力智慧,
21370261,artificial general intelligence (AGI),通用人工智慧,
21370262,Artificial Intelligence Generative Chip (AIGC),人工智能生成式晶片,
21370263,ashcroft build,雙斜角建造；人字形拼造法,
21370264,astral navigation,天文航海,
21370265,astronomical navigation,天文航海；天體導航；天文航海學,
21370266,asynchronous computer,異步電腦,
21370267,athwart hawse,錨鏈橫交於船位,
21370268,atomic blast simulator,核爆炸模擬器,
21370269,automatic anchor,自動繫留器,
21370270,automatic bridge,自動化駕駛臺,
21370271,automatic computer,自動電腦,
21370272,automatic identification system (AIS),自動識別系統,
21370273,automatic navigation,自動導航,
21370274,automatic sequence computer,自動序列電腦；自動程序計算機,
21370275,automatic ship,自動化船舶,
21370276,automatic submerged arc welding (ASAW),潛弧自動銲,
21370277,automobile deck,汽車甲板；車輛甲板,
21370278,autonomous underwater vehicle (AUV),自主式水下載具；無人水下載具,
21370279,autonomy assisted bridge (AAB),自主化輔助駕駛臺,
21370280,AUV positioning,自主式無人水下載具定位；無人水下載具定位,
21370281,auxiliary material,輔助材料,
21370282,auxiliary tanks,輔壓水艙,
21370283,average wave elevation,平均波形高,
21370284,avoiding navigation,避航；規避航行,
21370285,awash anchor,浮錨{錨初露出水面狀態}；淹沒錨,
21370286,axial deck,{航母}軸向甲板{中心線平行於艦體中線面的飛行甲板},
21370287,azimuth computer,天體方位角計算機 ,
21370288,back of stern post,艉柱背材,
21370289,back rabbet,艏艉列端板,
21370290,back run,背面終道,
21370291,back support,背面支架,
21370292,back trough,倒槽,
21370293,backbone,脊骨,
21370294,backing flux,背襯銲藥,
21370295,backing gas,背襯氣體,
21370296,backup anchor,副錨；串聯錨,
21370297,Baldt anchor,球端錨；貝爾特錨,
21370298,bale cubic capacity,包裝貨艙容積；包裝貨物裝載量,
21370299,ballast ratio,壓載比,
21370300,balloon release deck,{海上氣象觀察船}氣球施放甲板,
21370301,bandgap,帶隙,
21370302,bank effect,岸壁效應,
21370303,base caisson deck,沉箱式基礎臺,
21370304,batch sample,批次樣品,
21370305,bathing deck,游泳池甲板{大型客船},
21370306,bathing platform,游泳臺；游泳跳水臺；跳水平臺,
21370307,bathymetric data,深海測繪資料,
21370308,bathymetric data processing,深海測繪資料處理,
21370309,bathymetric navigation,測深航海{法}；按水深定位航行,
21370310,bathymetric side scan sonar,深海側掃聲納,
21370311,bathymetric sonar,深海測繪聲納,
21370312,bathymetric survey,深海測繪調查,
21370313,batten stud,壓條螺栓,
21370314,battery deck,火炮甲板；炮塔甲板,
21370315,beach garboard,海灘用龍骨架,
21370316,bead on plate,板面銲道,
21370317,beakhead,艏部隔壁,
21370318,beam mould,梁樣板,
21370319,bearding,交合線；切削邊緣；榫,
21370320,bearding angle,船艏交合角材;船艏柱與龍骨的接合角材,
21370321,bearer,承座；托架；載體,
21370322,bearing distance (BD) computer,方位距離計算機,
21370323,bed log,機床撐木,
21370324,bedding component,基底黏膠,
21370325,belly of the deck,拱高,
21370326,belting,防摩板條,
21370327,bending damping,彎曲阻尼,
21370328,benzene,苯,
21370329,benzene sulphonyl chloride,苯磺醯氯,
21370330,benzyl alcohol,苯甲醇,
21370331,benzyl chloride,苯甲氯,
21370332,berth deck,住艙甲板；居住甲板；炮座甲板,
21370333,berth dues,停泊費,
21370334,beta-propiolactone,β丙內酯,
21370335,bible block/ graving pieces,修補木料,
21370336,binary digital computer,二進制數字計算機；二進位數位電腦,
21370337,binary-coded decimal (BCD),二進碼十進數；二 - 十進位編碼,
21370338,blind navigation,盲目航行；儀表導航法,
21370339,bloomer,榮景派；大器晚成派；晚成論者,
21370340,blow out preventer (BOP),防噴洩氣閥{鑽油井},
21370341,blowout simulator,井噴模擬器,
21370342,boardroom excutives,董事會執行人員,
21370343,boat anchor,船錨；小艇錨；舢板錨,
21370344,bomb-proof protective deck,耐炸彈防護甲板,
21370345,bond port,首靠港；第一停靠港,
21370346,bonded warehouse,保稅倉庫,
21370347,booms deck,吊桿甲板,
21370348,Boss anchor,大爪錨；博斯錨,
21370349,bottom bounce,海底反彈{聲波、爆震波},
21370350,bottom up processing,由下而上的資訊處理過程；由下而上的資訊處理 ,
21370351,boundary element mesh,邊界元素網格,
21370352,boundary integral equation method,邊界積分方程法,
21370353,box girder deck,箱形桁甲板,
21370354,breakbulk,零散貨,
21370355,breast anchor,舷錨,
21370356,bridge visibility,駕駛室能見度,
21370357,broker,經紀人,
21370358,Bruce anchor,布魯士錨{一種專利大抓力錨},
21370359,bubble pulse,氣泡脈衝,
21370360,built-in minor structure,嵌入式次要結構,
21370361,bulb flat,球緣扁型材；球緣扁鋼,
21370362,bulkhead deck at side,船側艙壁甲板,
