ID,英文詞彙,中文詞彙,更新日期
21370680,electromagnetic pulse radiation environment simulator,電磁脈衝輻射環境模擬器,
21370681,electromagnetic sensor,電磁感測器,
21370682,electromechanic computer,機電式計算機,
21370683,electronic analog computer,類比電腦；電子類比計算機,
21370684,electronic computer,機電式計算機,
21370685,electronic counter measure (ECM),電子反制措施,
21370686,electronic counter-measures (ECM),反電子措施,
21370687,electronic digital computer,數位電腦；電子數字式計算機；電子數位計算機,
21370688,embeded processing function,內建處理功能；嵌入式處理功能,
21370689,embedment anchor,埋入海底錨,
21370690,embrittlement,脆化,
21370691,emergency control team (ECT),緊急控制小組,
21370692,emergency position indication radio beacon (ERIRB),應急指位無線電示標,
21370693,enclosed deck,圍蔽甲板,
21370694,end of weld,銲道終點,
21370695,engine control system (ECS),引擎控制系統,
21370696,engine excitation,引擎激振,
21370697,engine induced vibration,引擎引致振動,
21370698,engineering procurement,工程採購,
21370699,enhanced safety management (ESM),加強安全管理,
21370700,enhanced safety management programme (ESMP),加強安全管理計畫,
21370701,entrance deck,{滾裝船}車輛入口甲板,
21370702,"environment, health and safety (EHS)",環境、健康與安全,
21370703,environmental health and safety,環境健康與安全,
21370704,epichlorohydrin,表氯醇,
21370705,equal error rate (EER),等錯誤率,
21370706,equipment procurement,裝備採購；設備採購,
21370707,essential observation item,實質觀測項目；根本觀測項目,
21370708,estimated position (EP),估計船位,
21370709,estimated time of arrival (ETA),預定抵達時間,
21370710,ethenolamine,乙醇胺,
21370711,ethyl acrylate,丙烯酸乙醚,
21370712,ethyl methacrylate,甲基丙基酸乙酯,
21370713,ethylamine,乙胺,
21370714,ethylamine solution,乙胺溶液,
21370715,ethylbenzene,乙苯,
21370716,ethylene chlorohydrin,二氯乙醇,
21370717,ethylene cyanohydrin,2氰乙醇；3-羧基丙腈；2-氰乙醇,
21370718,ethylene dibromide,二溴化乙烯,
21370719,ethylene dichloride,二氯化乙烯,
21370720,ethylene oxide/propylene oxide mixture,環氧乙烷/氧化丙烯混合物,
21370721,ethylenediamine,乙二胺,
21370722,ethylidene norbornene,雙烯,
21370723,ethyltoluene,乙基甲苯,
21370724,evaluation index,評價指標；評估指標,
21370725,event tree analysis (ETA),事件樹分析,
21370726,exceedance probability,超越機率,
21370727,exceedance rate,超越率,
21370728,expendable CTD (XCTD),伸展式鹽溫深儀,
21370729,experimental condition,實驗情況,
21370730,explosive anchor,爆炸鑽底錨；爆炸鑽海底錨,
21370731,explosive imbedding type anchor,爆炸埋入式錨；爆炸埋入海底式錨{用於固定式錨碇},
21370732,explosive-driven anchor,爆抓錨；爆炸動力錨,
21370733,ex-stock anchor,不計桿重的有桿錨,
21370734,extensive deployment,廣泛部署,
21370735,exterior passageway,外通道,
21370736,extreme response,極值反應；極端反應；極值響應；極端響應,
21370737,eye-sight navigation,目測航行,
21370738,fabrication welding,製造熔接；生產銲接,
21370739,facade pattern,外觀模式,
21370740,face bend test,面彎試驗,
21370741,face bend test specimen,面彎試片,
21370742,face bend test specimen of cladding with a butt weld,覆面銲對接銲道面彎試驗試片,
21370743,face bend test specimen of cladding without a butt weld,覆面銲非對接銲道面彎試驗試片,
21370744,factor analysis,因子分析,
21370745,factory deck,{漁船}加工甲板,
21370746,"failure modes, effects and criticality analysis (FMECA)",失效模式影響與危害分析,
21370747,fall off,離向,
21370748,falling deck,{塢閘}變位甲板,
21370749,false acceptance rate (FAR),錯誤接受率,
21370750,false negative rate,假陰率；假陰性率；偽陰率；偽陰性率；假負率,
21370751,false positive rate,假陽率；假陽性率；偽陽率；偽陽性率；假正率,
21370752,false rejection rate (FRR),錯誤拒絕率,
21370753,fantail deck,{艉部突出}扇形甲板,
21370754,fast initial link set-up (FILS),快速網路連線裝置,
21370755,fast reaction integrated submarine control,潛艦整體快速反應管制,
21370756,fatigue crack propagation,疲勞裂紋擴展；疲勞裂紋擴張,
21370757,fatigue limit state (FLS),疲勞極限狀態,
21370758,fatigue threshold,疲勞閾值；疲勞門檻值,
21370759,fatty alcohol,脂肪族醇,
21370760,fault tree analysis (FTA),故障樹分析,
21370761,fault tree diagram (FTD),故障樹圖,
21370762,fault-tolerant computer,容錯電腦,
21370763,ferrite number (FN),肥粒體素,
21370764,ferro-cement deck,鋼絲網水泥甲板,
21370765,file computer,信息統計機；情報統計機,
21370766,filler material,填料材,
21370767,filler metal feed rate,填料金屬送料速率；熔填金屬進料,
21370768,filler penetration,熔填滲透區,
21370769,fillet welded joint,填角銲接頭,
21370770,filling run,填充道,
21370771,final diameter,最終直徑,
21370772,finishing welding ,修補銲接,
21370773,finite element,有限元；有限元素,
21370774,finite element approximation,有限元素近似解；有限元素近似值,
21370775,finite element computational theory,有限元素計算理論,
21370776,finite element computer programme,有限元素電腦程式,
21370777,finite element domain,有限元素域；有限單元域,
21370778,finite element formulation,有限元素公式化,
21370779,finite element framework,有限元素架構,
21370780,finite element idealization,有限元素理想化,
21370781,finite element mesh,有限元素網格,
21370782,finite element subspace,有限元次空間,
21370783,finite element system,有限元素系統,
21370784,finite element technique,有限元素技術；有限元素法,
21370785,finite-element analogy,有限元素模擬；有限元素類比,
21370786,finite-element approach,有限元素逼近法；有限元素法；有限元素逼近,
21370787,finite-element model,有限元素模型,
21370788,finite-element modelling,有限元素建模,
21370789,finite-element simulation,有限元素模擬,
21370790,finite-element solution,有限元素解法,
21370791,finite-element structural analysis,有限元素結構分析,
21370792,fire control,射控,
21370793,fire fighting and control simulator,消防控制模擬器,
21370794,fire-control computer,火控電腦；射擊控制電腦,
21370795,fire-control tower,射控塔,
21370796,firing and control simulator,火炮射擊控制模擬器,
21370797,first principle,第一原理,
21370798,first shot,首次嘗試,
21370799,fisherman's anchor,漁具錨{長柄小錨}；底鈎具固定小錨,
21370800,fishing deck,漁撈甲板,
21370801,fixed-point computer,定點(型)計算機,
21370802,flag deck,信號橋艛甲板,
21370803,flag state,船旗國；船籍國,
21370804,flashing,閃磁；閃光,
21370805,flat calm water,平靜水面,
21370806,flenching deck,鯨魚加工甲板,
21370807,flensing deck,鯨魚加工甲板,
21370808,flexible modal response,柔性模態反應,
21370809,Flipper-Delta anchor,弗利帕錨{適用於沙、黏土及軟泥錨地土質},
21370810,floating anchor,浮錨；流錨；海錨,
21370811,floating-point computer,浮點(型)計算機,
21370812,flood anchor,防洪錨,
21370813,floor effect,地板效應；低限效應,
21370814,flow sensor,流量感測器；流量計感測器,
21370815,fluid damping,流體阻尼,
21370816,fluid damping coefficient,流體阻尼係數,
21370817,fluid force,流體力,
21370818,fluidic analog computer,射流類比電腦,
21370819,fluidic rate sensor,射流速率感測器,
21370820,fluke anchor,開掌錨,
21370821,fluke turned anchor,轉爪錨,
21370822,flush-stowing anchor,折桿轉爪錨,
21370823,flux backing,銲藥背襯,
21370824,flying-on deck,降落甲板,
21370825,folding anchor,折爪錨；折疊式錨,
21370826,folding deck,可折疊甲板,
21370827,folding stock,摺桿,
21370828,folding-stock anchor,折桿錨,
21370829,foreign navigation,國外航行,
21370830,forelock-pin,橫桿銷,
21370831,formal safety assessment (FSA),綜合安全評估；正規安全評估,
21370832,formaldehyde solution,甲醛溶液,
21370833,format establishment,格式建置,
21370834,formic acid,蟻酸,
21370835,forward deck,前甲板；艏部上甲板,
21370836,foul hawse,{雙拋錨時}錨鏈絞纏,
21370837,four-fluked anchor,四爪錨,
21370838,fractional computer,分數計算機(小數點在最前面的定點計算機),
21370839,fram,翻新,
21370840,free-falling anchor,自由拋落錨,
21370841,frequency-dependent coefficient,頻率依賴係數；頻率有關係數,
21370842,front support,正面支架,
21370843,fuel throttle,油門；燃油調節點,
21370844,full container ship,全貨櫃船,
21370845,fully automated ocean navigation,全自動海洋導航,
21370846,fully autonomous control,全面自主控制,
21370847,fully autonomous ship,全自主船,
21370848,fully-recessed anchor,全收入穴錨,
21370849,"fumaric fumaric adduct of rosin,water dispersion","反丁烯二酸松香加成物,水分散；水分散反丁烯二酸松香加成物",
21370850,fundamental,根本性錯誤,
21370851,furfural,糠醛,
21370852,furfuryl alcohol,糠醛乙醇,
21370853,furfuryl alcohol resin,糠醇樹脂,
21370854,furmaric,延胡索酸；富馬酸；紫堇酸；地衣酸；反丁烯二酸,
21370855,fusion face,熔融面,
21370856,fusion penetration,熔融滲透,
21370857,gallery deck,{航母}艉部下甲板；{客船}艉部散步甲板,
21370858,games deck,遊戲甲板；娛樂甲板,
21370859,garage deck,車庫甲板,
21370860,gas arc welding,氣體保護電弧銲,
21370861,gas e-fuel,氣態電子燃料,
21370862,gas flow counter,流體氣體計數計,
21370863,gas metal-arc welding,金屬極氣體保護電弧銲；熔化極氣體保護銲,
21370864,gas mixture metal arc welding,金屬極混合氣體保護電弧銲,
21370865,gas temperature density sensor,燃氣溫度密度感測器,
21370866,gas tungsten-arc welding,鎢極氣體保護電弧銲；鎢極氣體保護銲,
21370867,Gaussian distribution,高斯分布；常態分佈；正態分佈,
21370868,Geiger-tube,蓋格計數管,
21370869,Ge-Li detector,鍺-鋰探測儀；鍺-鋰偵檢器,
21370870,general computer,通用計算機,
21370871,general navigation,航海學；航海；航運,
21370872,general navigation model,通用導航模型,
21370873,general purpose computer,通用計算機,
21370874,generalized coordinate,廣義座標,
21370875,generalized damping,廣義阻尼,
21370876,generalized fluid action,廣義流體作用；廣義流體作用力,
21370877,generalized force,廣義力,
21370878,generalized mass,廣義質量,
21370879,generalized stiffness,廣義勁度,
21370880,generalized wave force,廣義波浪力,
21370881,generic sensor format (GSF),通用傳感器格式,
21370882,glass reinforced plastics (GRP) deck,玻璃纖維強化塑膠甲板,
21370883,global navigation satellite system (GNSS),全球衛星導航系統,
21370884,global standard,全球性標準,
21370885,glutaraldehyde solution,戊二醛溶液,
21370886,glycidyl ester of C10 trialklacetic acid,C10三烷基醋酸環氧丙酯,
21370887,graphic processing unit (GPI),圖形處理器,
21370888,grappling anchor,小艇錨；多爪錨,
21370889,grating deck,格柵甲板,
21370890,gravity anchor,重力錨,
21370891,gray zone strategy,灰色海域戰略,
21370892,great-circle computer,大圓航行要素計算機,
21370893,grid navigation,網格座標航行法,
21370894,group,支隊,
21370895,Gruson Heim's anchor,格魯森-海姆錨；轉爪無桿錨,
21370896,guidance computer,制導系統電腦；導航電腦,
21370897,Gumbel distribution,耿貝爾分佈,
21370898,Gumbel plot,耿貝爾分佈圖；耿貝爾圖,
21370899,gun deck,火炮甲板,
21370900,gun error computer,大炮瞄準誤差計算機,
21370901,gunfire data computer,射擊數據計算機,
21370902,guy anchor,綳索錨,
21370903,gyro angle,羅經角,
21370904,gyro erected optical navigation,陀螺光學導航；陀螺羅經光學導航,
21370905,gyro repeater,子羅經；電羅經複示器,
21370906,gyroscopic computer,陀螺計算機,
21370907,half deck,半甲板；平臺甲板；後部甲板{指帆船由主桅至後桅段之甲板},
21370908,Hall's anchor,山字錨；霍爾錨,
21370909,handling deck,{漁船}加工甲板,
21370910,harbor echo range and listening devices (HERALD),港口防禦聲納裝置,
21370911,harbour use stock anchor,港用有桿錨,
21370912,hard fouling,硬汙垢；硬質積垢,
21370913,harpin,臨時牽條,
21370914,hauling-off anchor,退灘錨,
21370915,hawse-jackass,錨鏈孔防水塞；錨鏈筒下端塞；防浪軟包,
21370916,hawsepiece,錨鏈孔肋材{木船},
21370917,hazard and operability studies (HAZOP),危險與可操作性分析,
21370918,hazard identification,危險辨識；危害識別,
21370919,hazard probability,危險機率,
21370920,head anchor,船首錨；主錨,
21370921,head first design pattern,深入淺出設計模式,
21370922,heat sensor,熱感測器,
21370923,heating time,加熱時間,
21370924,heave to,停進；頂風停船；頂風緩航；頂風漂泊,
21370925,hedgehog,刺蝟彈；刺蝟炮,
21370926,height sensor,高度感測器{水翼船},
21370927,heliport deck,直升機平臺甲板,
21370928,heptanol,庚醇,
21370929,heptyl acetate,醋酸庚酯,
21370930,Herald equipment,港口防禦聲納裝置設備,
21370931,heterogeneous joint,異質接頭,
21370932,hexamethylenediamine solution,己二胺溶液,
21370933,hexamethylenemine,六次甲基亞胺,
21370934,hexene,己烯,
21370935,hexyl acetate,醋酸己酯,
21370936,hidden arc welding,埋弧銲,
21370937,high level processing,高層次處理,
21370938,high pressure pulse,高壓脈衝,
21370939,high resolution picture,高解析度圖像,
21370940,high-precision DVL calibration,高精度都卜勒速度紀錄儀校正,
21370941,high-resolution deep-floor survey,高解析度深海底調查,
21370942,hinged car deck,絞接式裝車甲板,
21370943,hinged end,絞接端,
21370944,hold deck,貨艙甲板,
21370945,hold space,貨艙空間；艙間；貨艙,
21370946,holding oven,保溫爐,
21370947,hollow fluke anchor,空心錨爪錨,
21370948,holy grail,神聖目標,
21370949,homogeneous joint,同質接頭,
21370950,horizontal resolution,水平向解析度,
21370951,host computer,主計算機；伺服主機；網路伺服器,
21370952,hotel deck,住艙甲板；起居甲板,
21370953,house deck,甲板室甲板；艙室甲板,
21370954,hull emergence,船體出水量；船體浮出水面量,
21370955,hull protection,船體防護,
21370956,hull side,船體側面；船側部,
21370957,human error analysis,人因失誤分析；人為差錯分析；人為錯誤分析,
21370958,human reliability,人因可靠度,
21370959,humanware,使用人介面體；人文軟體；人體智能,
21370960,hybrid computer,{類比數位}混合式電腦,
21370961,hydrochloric acid,鹽酸,
21370962,hydrogen engine,氫燃料引擎；氫氣發動機；氫發動機；氫燃料內燃機,
21370963,hydrogen peroxide solution,過氧化氫溶液,
21370964,hydrostatic anchor,靜水壓錨,
21370965,hydroxyethyl acrylate,丙烯酸羥乙酯,
21370966,hyperbolic navigation,雙曲線導航；雙曲線航行,
21370967,hyperbolic navigation system,雙曲線導航系統；雙曲線航行系統,
21370968,ice patrol service,冰情偵查勤務,
21370969,ice routing,冰區{最佳}航線規劃,
21370970,identification mark,識別標誌 {鋼板},
21370971,IMO ship identification number,IMO船舶識別碼,
21370972,Imperial Units (IU),英制單位,
21370973,importance index method (II),重要指數法,
21370974,impurity,雜質,
21370975,inaccuracy,不準確性；不準確度,
21370976,incidence rate,發生率,
21370977,incident,偶發事件,
21370978,incident potential matrix,事件可能性矩陣,
21370979,inclined protective deck,傾斜防護甲板,
21370980,index,指數；冪；係數；指標；{刻度盤} 指針；索引；目錄；刻度頭{鑽床},
21370981,inertial navigation,慣性航行,
21370982,inertial navigation computer,慣性導航電腦,
21370983,inertial sensor,慣性感測器,
21370984,infiltration,浸潤；滲入；滲透 {釺銲名詞},
21370985,information technology (IT),資訊科技,
21370986,infrared (IR),紅外線,
21370987,infrared radiation search-target device (IRSTD),紅外線搜索目標設施,
21370988,infrared target simulator,紅外線目標模擬器,
21370989,infrastructure as-a-service (IaaS),基礎設施即服務；基礎架構即服務,
21370990,Inglefield anchor,英格爾菲爾德錨{一種無桿、半平衡爪錨},
21370991,initial appraisal calculation,初始評估計算,
21370992,inland navigation,內河航行,
21370993,inshore navigation,近岸航行,
21370994,instrument navigation,儀表導航,
21370995,insulated cargo space,絕熱貨艙空間,
21370996,integrated bridge electronic system (IBES),整合式橋樓電子系統；橋樓電子整合系統,
21370997,integrated bridge system (IBS),整合艦橋系統；綜合船橋系統,
21370998,integrated cargo electronic system (ICES),整合式貨物裝卸電子系統,
21370999,integrated computer,整合式計算機；類比數位兩用計算機,
21371000,integrated inertial sensor,整合慣性感測器,
21371001,integrated management administration system (IMAS),整合式船務管理系統；整合式企業管理系統,
21371002,integrated navigation,綜合導航,
21371003,integrated ship electronic system (ISES),整合式船舶電子系統；船舶電子整合系統,
21371004,integrated ship instrumentation system (ISIS),整合式船舶儀器設備 {電子} 系統,
21371005,intelligence machinery (IM),智能機器,
21371006,intercoastal navigation,國內沿海航行；兩岸間航行,
21371007,interior passageway,內通道,
21371008,internal deck,船體內部甲板,
21371009,internal navigation,國內航行,
21371010,International code of safety for ships operating in polar waters (Polar Code),船舶航行極區水域規程,
21371011,"International Convention on Standards of Training, Certification and Watchkeeping for Seafarers (STCW convention)",航海人員訓練、發證及航行當值標準國際公約,
21371012,international safety management code (ISM code),國際安全管理章程,
21371013,international terrestrial radio station,國際無線電廣播電臺,
21371014,internet of things (IoT),物聯網,
21371015,inverted trough,倒槽,
21371016,ionization chamber,電離室,
21371017,ionization chamber detector,電離室型{輻射}探測儀,
21371018,ionization detector,離子煙霧檢測器,
21371019,ionization sensor,離子煙霧感測器,
21371020,irregular sea,不規則波；不規則海面,
21371021,irregular unidirectional wave profile,不規則單向波形,
21371022,IRSTD sensor,紅外線搜索目標感測器,
21371023,isoamyl acetate,醋酸異戊酯,
21371024,isobutyl acetate,醋酸異丁酯,
21371025,isobutyl acrylate,丙烯酸異丁酯,
21371026,isobutyraldehyde,異丁醛,
21371027,isomer,同分異構物,
21371028,isophorone diisocyanate,異佛爾酮二異氰酸鹽,
21371029,isophoronediamine,異佛爾酮二胺,
21371030,isoprene,異戊間二烯,
21371031,isopropanolamine,異丙醇胺,
21371032,isopropyl ether,異丙醚,
21371033,isopropylamine,異丙胺,
21371034,isopropylbenzene,異丙基苯,
21371035,isotropic plate theory,等方性板理論,
21371036,isovaleraldehyde,異戊醛,
21371037,IT industry,資訊科技產業,
21371038,Java,Java語言 {網際網路常用的一種電腦程式語言},
21371039,Java AI,Java 語言人工智慧,
21371040,jetted suction anchor,噴水下埋錨；抽水罩形錨,
21371041,joining by welding,以銲接方法接合,
21371042,joint exercises,聯合演習,
21371043,joint welding,接合銲接,
21371044,jury anchor,臨時錨；應急錨,
21371045,keep cost down,降低成本,
21371046,kelp weed,巨藻；大海帶雜草；大型褐藻,
21371047,kerf,切口,
21371048,key parameter,關鍵參數,
21371049,keyhole,鍵孔；鎖孔,
21371050,keyhole technique,鎖孔技術,
21371051,labor cost,人工成本,
21371052,labor man-hours,工時；工作時數；人時,
21371053,laid deck,順舷窄條木甲板,
21371054,lamp-post navigation,燈標導航,
21371055,landmark navigation,地文航海；地標導航法,
21371056,Laplace equation,拉普拉斯方程,
21371057,large language model (LLM),大型語言模型,
21371058,lashing bridge,拉繫船橋；綁紮橋；拉繫平臺,
21371059,level of corrosion,腐蝕程度,
21371060,level of risk,風險程度；風險水準,
21371061,lido deck,游泳池甲板,
21371062,life saving equipment,救生設備,
21371063,life-support equipment,{深潛器}生命保障設備,
21371064,liftboat navigation,救生艇航海術；救生艇航法,
21371065,limit state design (LSD),極限狀態設計法,
21371066,line planning,路線規劃,
21371067,linear matrix inequality (LMI),線性矩陣不等式,
21371068,linguistics,語言學,
21371069,liquid e-fuel,液態電子燃料,
21371070,liquid scintillation counter,液體閃爍計數器,
21371071,load and resistance factor design (LRFD),負荷與抵抗力因子設計法,
21371072,local monitoring services (LMS),區域型監測服務,
21371073,local resonant phononic crystal (LRPC),局部共振聲子晶體,
21371074,local weldability,局部可銲性,
21371075,long frond,長複葉體海生物,
21371076,long poop deck,長艉艛甲板,
21371077,long range and tactical navigation,遠程戰術導航系統；遠程戰術航行,
21371078,longitudinal bend test,縱向彎曲試驗,
21371079,longitudinal bend test specimen,縱向彎曲試片,
21371080,longitudinal stress computer,{船體}縱向應力計算機,
21371081,Loran navigation,羅遠導航；羅蘭無線電導航,
21371082,Loran signal simulator,羅遠信號模擬器,
21371083,low level processing,低層次處理,
21371084,low pressure trough,低壓槽,
21371085,lower sonar frequency,較低聲納頻率,
21371086,lowermost deck,最下層甲板,
21371087,machine language (ML),機器語言,
21371088,machine learning,機器學習,
21371089,machinery centralized control system (MCCS),機械集中控制系統,
21371090,machinery control system (MCS),機械控制系統,
21371091,machinery intelligence (MI),機器智能,
21371092,machine-type communication (MTC),機器型態通訊,
21371093,macroscopic examination,巨觀檢查,
21371094,magnetic sensor,磁感測器；磁性感測器,
21371095,magnetoelectric sensor,電磁探頭；電磁感測器,
21371096,main control station console (MCSC),主控制臺,
21371097,maintenance planning system,維保規劃系統；維護保養規劃系統,
21371098,major structure,主要結構,
21371099,maleic anhydride (MAH),馬來酐；男性酸酐,
21371100,management commitment,安全承諾,
21371101,maneuvering simulator,操縱模擬器,
21371102,manifold center deck,管滙甲板；集管中心甲板,
21371103,manning level and crew competence,員額配賦基準及船員能力；員額配置基準及船員能力；水手水平及船員能力,
21371104,marine accident,海上事故,
21371105,marine casualty,海難事故,
21371106,marine disaster,海難；海上事故,
21371107,marine electric equipment,船用電氣設備,
21371108,marine equipment,船用設備；海上設備,
21371109,marine growth,海生物,
21371110,marine incident,海上事件,
21371111,marine loading computer,船用裝載電腦,
21371112,marine navigation,航海,
21371113,maritime casualty,海難事故,
21371114,maritime industry,海洋事業,
21371115,maritime navigation,航海學；航海；航運,
21371116,market requirement document (MRD),市場需求文檔,
21371117,Martin's anchor,有桿轉爪錨；馬丁錨,
21371118,Martroscov anchor,馬特洛索夫錨,
21371119,master computer,主計算機,
21371120,material backing,材料背襯,
21371121,material thickness,母材厚度；材料原度,
21371122,maximum repetitive amplitude (MRA),最大重複振福,
21371123,maximum response,最大反應,
21371124,maximum take-off mass (MTOM),最大起飛質量,
21371125,maximum take-off weight (MTOW),最大起飛重量,
21371126,maximum throat thickness,最大喉深,
21371127,m-chlorotoluene,間氯甲苯,
21371128,meaconing,航標干擾法,
21371129,mean bias,平均偏差,
21371130,mean characteristic period,平均特徵週期,
21371131,mean square response,均方反應,
21371132,measuring sensor,量測元件,
21371133,mechanical computer,機械式計算機,
21371134,mechanical strain gauge,機械式應變計,
21371135,melt run,熔化道,
21371136,melting rate,熔融速率；熔化率,
21371137,melting time,熔融時間,
21371138,membrane-type resonator,薄膜式共振器,
21371139,mercaptobenzothiazol,硫基苯并噻唑；2-巰基醇基苯并噻唑鈉鹽,
21371140,"mercaptobenzothiazol,sodium salt solution",硫胴苯𠵔噻唑鹽溶液,
21371141,mesh generation,網格生成,
21371142,mesityl oxide,異亞丙基丙酮,
21371143,metadata conversion,後設資料轉換；詮釋資料轉換,
21371144,metal arc inert gas welding (MIG),金屬惰氣電弧銲；惰性氣體遮護金屬電弧銲；惰性氣體保護金屬極電弧銲；熔化極惰性氣體保護電弧銲,
21371145,metal inert gas (MIG) arc welding ,惰性氣體遮護金屬電弧銲；惰性氣體保護金屬極電弧銲；熔化極惰性氣體保護電弧銲,
21371146,metal inert gas spot welding,惰性氣體保護金屬極點銲,
21371147,metal inert gas welding (MIG),熔化金屬極惰性氣體保護銲,
21371148,metallurgical deviation,冶金變異,
21371149,metamaterial,超材料；超穎材料,
21371150,meteo sensor,氣象感測器,
21371151,meteorological sensor,氣象感測器,
21371152,meteorological service,氣象服務,
21371153,meter wave radar / metrewave  radar,米波雷達 {波長1m以上，工作頻率30~300MHz},
21371154,methacrylic acid,甲基丙烯酸,
21371155,methacrylonitrile,甲基丙烯腈,
21371156,methyl acrylate,丙烯酸甲酯,
21371157,methyl amyl ketone,甲基戊基酮,
21371158,methyl formate,甲酸甲酯,
21371159,methyl methacrylate (MMA),甲基丙烯酸甲酯,
21371160,methyl salicylate,水楊酸甲酯,
21371161,methylamine solution,甲胺溶液,
21371162,methylamyl acetate,乙酸甲基戊酯,
21371163,methylamyl alcohol,甲基(代)戊醇,
21371164,metric units,公制單位,
21371165,mezzanine deck,夾層甲板,
21371166,Michell's anchor,螺旋形錨；米契爾錨,
21371167,microcircuit digital computer,微型電路數位電腦,
21371168,Microprocessor without Interlocked Pipeline Stage (MIPS),不含連鎖機制的管線階層微處理器,
21371169,micro-programmed computer,微程序控制電腦,
21371170,microscopic examination,顯微檢驗；微觀檢查 ,
21371171,middle deck,中甲板；中層甲板,
21371172,millimeter wave laser,毫米波雷射,
21371173,millimeter wave rader/mm-wave radar,毫米波雷達 {波長1~10mm，工作頻率30~300GHz},
21371174,Million Instruction Per Second (MIPS),每秒百萬指令,
21371175,mine deck,佈放水雷甲板；水雷甲板,
21371176,mining deck,佈雷甲板,
21371177,missile fire control computer,飛彈火控電腦,
21371178,mission equipment package (MEP),成套任務設備；任務設備套件,
21371179,mission equipment specification (MES),任務設備規範,
21371180,mixed gas-shield metal arc welding,混合氣體保護電弧銲；混合氣體保護金屬極電弧銲,
21371181,mixture of sulphuric and nitric acids,硫酸與硝酸混合物,
21371182,modal period,模態週期,
21371183,mode of choice (MOC),選擇模式,
21371184,mode of operation,操船模式；作業模式,
21371185,mode-locked fiber laser source,鎖模光纖雷射光源,
21371186,mollusc,軟體動物,
21371187,mollusk,軟體動物,
21371188,monitoring and control system (MCS),監控系統,
21371189,monkey deck,短艏艛甲板；錨鏈甲板,
21371190,moorfast anchor,快速繫泊錨,
21371191,mooring deck,繫船甲板,
21371192,mooring hawse,導索孔；導纜孔,
21371193,morpholine,"1,4氧氮陸圜；嗎啉；1,4-氧氮雜環己烷；四氫-1,4-噁嗪；二亞乙基亞胺氧化物",
21371194,most probable extreme value,最可能極值,
21371195,most probable response,最可能反應,
21371196,motor fuel anti-knock compound,發動機燃料防爆化合物,
21371197,motorcar deck,汽車甲板；車輛甲板,
21371198,movable deck,可動甲板；移動式甲板,
21371199,movable decking,活動平台,
21371200,mud anchor,泥底錨；蕈形錨,
21371201,multi-beam echo sounder,多波束回聲測深儀,
21371202,multibeam sonar survey system,多波束聲納測量系統；多波束水下量測超聲儀,
21371203,multibeam survey system (MBSS),多波束測深系統,
21371204,multimode coupled waveguide acoustic sensor,多模偶合波導聲波感測器,
21371205,multiple joint,多件接頭,
21371206,multiple opening and closing net environmental sampling system (MOCNESS),多重開閉網式環境採樣系統,
21371207,multiple-head welding machine,多槍銲接機,
21371208,multi-ship maneuvering simulator (MSMS),多船操縱情況模擬器,
21371209,mussel,貽貝；淡菜,
21371210,mussel community,貽貝群落,
21371211,"N,N-dimethylcyclohexylamine","N,N-二甲基環己胺",
21371212,name of ship,船名,
21371213,N-aminoethylpiperazine,N-胺基乙基六氫吡𠯤；胺乙基哌吡𠯤,
21371214,n-amyl acetate,醋酸戊酯；醋酸正戊酯；乙酸正戊酯,
21371215,naphthalene,萘,
21371216,narrow banded spectrum,窄帶頻譜；窄帶譜；窄頻帶譜,
21371217,National Environment Research Council (NERC),{英}國家環境研究委員會,
21371218,National Marine Research Academy (NMRA),國家海洋研究院,
21371219,natural resource survey,自然資源調查,
21371220,nautical navigation,航海學；航海；航運,
21371221,naval area,海軍區域,
21371222,naval area defense (NAD),海軍區域防禦,
21371223,Naval Communications System (NCS),海軍通信系統,
21371224,Naval Construction Research Establishment (NCRE),{英}海軍建設研究機構,
21371225,navigation bridge deck,駕駛橋艛甲板,
21371226,navigation bridge visibility,駕駛室能見度,
21371227,navigation computer,導航電腦；導航計算機；航海計算尺,
21371228,navigation data assimilation computer,航海數據同化計算機,
21371229,navigation echo sounding equipment,回聲測深儀；水深導航設備,
21371230,navigation integrated bridge system (NIBS),導航整合船橋系統,
21371231,navigation method,航行操控方法,
21371232,navigation telex (NAVTEX),海上電傳{518kHz頻道},
21371233,navigational bridge simulator,駕駛橋樓模擬器,
21371234,navy electronic warfare simulator,海軍電子戰模擬器,
21371235,navy security patrol,海軍國安防衛巡邏,
21371236,navy stockless anchor,海軍無桿錨,
21371237,Navy type anchor,海軍無桿錨；海軍錨,
21371238,n-butyl acetate,醋酸(正)丁酯；乙酸正丁酯；乙酸丁酯,
21371239,n-butyl acrylate,丙烯酸正丁酯；丙烯酸丁酯,
21371240,n-butyl ether,丁基醚；正丁基醚；二丁醚,
21371241,n-butyraldehyde,正丁醛；丁醛,
21371242,neodecaroic acid,新癸酸,
21371243,N-ethylbutylamine,N-乙基丁胺,
21371244,N-ethylcyclohexylamine,N-乙基環己胺,
21371245,network processing unit (NPI),網路處理器,
21371246,neutralization fire,癱瘓射擊,
21371247,nickel aluminum bronze,鎳鋁青銅,
21371248,nimonic,尼孟合金；鐵鎳鈷合金；鎳基合金；鎳鉻鈷合金,
21371249,nitrating acid (),混酸；硝化酸,
21371250,nitric acid,硝酸,
21371251,nitric acid hydrochloride,硝基鹽酸；王水；王酸,
21371252,nitriding,滲氮；氮化,
