ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3175523,enterogastrone,腸抑胃泌素,,肠抑胃泌素,2017-07-24
3175524,enterovirus,腸病毒,,肠病毒,2017-07-24
3175525,entomophilous flower; insect-pollinated flower,蟲媒花,,虫媒花,2017-07-24
3175526,enveloped virus,被膜病毒,,包膜病毒,2017-07-24
3175527,envelope　,套膜,,包膜,2017-07-24
3175528,environmental hormone,環境激素；環境荷爾蒙,,环境激素；环境荷尔蒙,2017-07-24
3175529,environmental tolerance,環境耐受度,,环境耐受度,2017-07-24
3175530,enzyme,酵素；酶,,酵素；酶,2017-07-24
3175531,eosinophil,嗜酸性球,,嗜酸性粒细胞,2017-07-24
3175532,ependymal cell　,室管膜細胞,,室管膜细胞,2017-07-24
3175533,epicardium,心外膜,,心外膜,2017-07-24
3175534,epicotyl,上胚軸,,上胚轴,2017-07-24
3175535,epidermal cell　,表皮細胞　,,表皮细胞　,2017-07-24
3175536,epidermis,表皮,,表皮,2017-07-24
3175537,epididymis,副睪,,副睪,2017-07-24
3175538,epigeal germination,地上型萌發,,地上型萌发,2017-07-24
3175539,epiglottal cartilage,會厭軟骨,,会厌软骨,2017-07-24
3175540,epiglottis　,會厭,,会厌,2017-07-24
3175541,epinephrine; adrenaline,腎上腺素,,肾上腺素,2017-07-24
3175542,epiphyte,附生植物,,附生植物,2017-07-24
3175543,epithelial cell,上皮細胞,,上皮细胞,2017-07-24
3175544,epithelial tissue,上皮組織,,上皮组织,2017-07-24
3175545,epithelium　,上皮,,上皮,2017-07-24
3175546,equatorial plate [= metaphase plate],赤道板；中期板,,赤道板；中期板,2017-07-24
3175547,equine encephalitis,馬腦炎,,马脑炎,2017-07-24
3175548,Equus,現代馬[屬],,现代马[属],2017-07-24
3175549,erection,勃起,,勃起,2017-07-24
3175550,erythrocyte,紅血球,,红血球,2017-07-24
3175551,red blood cell {= RBC},紅血球,,红血球,2017-07-24
3175552,erythropoietin　,紅血球生成素,,红细胞生成素,2017-07-24
3175553,Escherichia coli,大腸桿菌,,大肠杆菌,2017-07-24
3175554,esophagus　,食道　,,食道　,2017-07-24
3175555,essential amino acid,必需胺基酸,,必需胺基酸,2017-07-24
3175556,estrogen,動情素,,雌激素,2017-07-24
3175557,estuarine flat,河口灘地,,河口滩地,2017-07-24
3175558,estuarine mud flat,河口泥灘地,,河口泥滩地,2017-07-24
3175559,estuary; river mouth,河口,,河口,2017-07-24
3175560,ethanol,乙醇；酒精,,乙醇；酒精,2017-07-24
3175561,ethylene,乙烯,,乙烯,2017-07-24
3175562,etiolation,白化；黃化,,白化；黄化,2017-07-24
3175563,Eubacteria,真細菌,,真细菌,2017-07-24
3175564,euchromatin　,真染色質,,常染色体,2017-07-24
3175565,Euglena　,眼蟲[屬],,眼虫[属],2017-07-24
3175566,euglenoid,眼蟲；裸藻,,眼虫；裸藻,2017-07-24
3175567,Eukarya domain,真核生物域,,真核生物域,2017-07-24
3175568,eukaryote　,真核生物　,,真核生物　,2017-07-24
3175569,eukaryotic cell,真核細胞,,真核细胞,2017-07-24
3175570,euphotic zone,透光區,,透光带,2017-07-24
3175571,euploid　,整倍體,,整倍体,2017-07-24
3175572,euryhaline,廣鹽性,,广盐性,2017-07-24
3175573,Eustachian tube [= auditory tube],耳咽管；歐氏管,,耳咽管；欧氏管,2017-07-24
3175574,eutheria [= eutherian mammals; placental mammals],胎盤哺乳類；真獸類,,胎盘哺乳类；真兽类,2017-07-24
3175575,eutherian mammals [= eutheria; placental mammals],胎盤哺乳類；真獸類,,胎盘哺乳类；真兽类,2017-07-24
3175576,eutrophication,優養化,,富营养化,2017-07-24
3175577,evaporation,蒸發,,蒸发,2017-07-24
3175578,evergreen broadleaf forest,常綠闊葉林,,常绿阔叶林,2017-07-24
3175579,evolution,演化,,演化,2017-07-24
3175580,excitatory stimulus,興奮性刺激,,兴奋性刺激,2017-07-24
3175581,excited state,激態,,激发态,2017-07-24
3175582,excretion,排泄[作用],,排泄[作用],2017-07-24
3175583,exergonic reaction,釋能反應,,放能反应,2017-07-24
3175584,exit site {= E site},E位；退出位,,E位；退出位,2017-07-24
3175585,exocrine gland,外分泌腺,,外分泌腺,2017-07-24
3175586,exocytosis,胞吐作用,,胞吐作用,2017-07-24
3175587,exon,外顯子,,外显子,2017-07-24
3175588,exoskeleton,外骨骼,,外骨骼,2017-07-24
3175589,exotic species; alien species; introduced species,外來種,,外来种,2017-07-24
3175590,exotoxin,外毒素,,外毒素,2017-07-24
3175591,expiration,呼氣[作用],,呼气[作用],2017-07-24
3175592,expiratory neuron,呼氣神經元,,呼气神经元,2017-07-24
3175593,exponential growth,指數型[族群]成長,,指数增长,2017-07-24
3175594,extensor；extensor muscle,伸肌,,伸肌,2017-07-24
3175595,external ear,外耳,,外耳,2017-07-24
3175596,external exchange,外部交換,,外部交换,2017-07-24
3175597,external gill　,外鰓,,外鳃,2017-07-24
3175598,external intercostal muscle,外肋間肌,,外肋间肌,2017-07-24
3175599,external respiration,外呼吸,,外呼吸,2017-07-24
3175600,external sphincter,外括約肌,,外括约肌,2017-07-24
3175601,extinction,滅絕,,灭绝,2017-07-24
