ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3603997,"Laurent, Auguste",羅杭,,化學,,2018-11-20
3603998,"De Lavoisier, Antoine-Laurent",德‧拉瓦吉耶,,化學,,2018-11-20
3603999,"Le Châtelier, Henry Louis",勒夏特利耶,,物理,,2018-11-20
3604000,"Lemaître, Monsignor Georges Henri Joseph Édouard",勒梅特,,物理,,2018-11-20
3604001,"Lebesgue, Henri Léon",勒貝格,,物理,,2018-11-20
3604002,"Leclanché, Georges",勒克朗歇,,物理,,2018-11-20
3604003,"Legendre, Adrien-Marie",勒讓德赫,,物理,,2018-11-20
3604004,"Lemaître, Monsignor Georges Henri Joseph Édouard",勒梅特,,物理,,2018-11-20
3604005,"Liénard, Alfred-Marie",利耶拿爾,,物理,,2018-11-20
3604006,"Liouville, Joseph",利巫維勒,,物理,,2018-11-20
3604007,"Lippmann, Jonas Ferdinand Gabriel",利普曼,,物理,,2018-11-20
3604008,"Malus, Etienne-Louis",馬呂斯,,物理,,2018-11-20
3604009,"Mariotte, Edme",馬里歐特,,物理,,2018-11-20
3604010,"Mauguin, Charles-Victor",莫甘,,物理,,2018-11-20
3604011,"De Maupertuis, Pierre-Louis Moreau",德‧莫培鉅,,物理,,2018-11-20
3604012,"Mersenne, Marin",梅森納,,物理,,2018-11-20
3604013,"Mouton, Gabriel",穆棟,,物理,,2018-11-20
3604014,"Niggli, Paul",尼格利,,物理,,2018-11-20
3604015,"Héroult, Paul-Louis-Toussaint",葉胡,,化學,,2018-11-20
3604016,"Pasteur, Louis",巴斯德(帕斯德),,生命科學,,2018-11-20
3604018,"Peltier, Jean Charles Athanase",貝勒提耶,,物理,,2018-11-20
3604019,"Perot, Jean-Baptiste Alfred",貝洛,,物理,,2018-11-20
3604020,"Perrin, Jean Baptiste",培翰,,物理,,2018-11-20
3604021,"Petit, Alexis Thérèse",珀蒂,,物理,,2018-11-20
3604022,"Planté, Gaston",普朗泰,,物理,,2018-11-20
3604023,"Plateau, Joseph Antoine Ferdinand",普拉托,,物理,,2018-11-20
3604024,"Poincaré, Jules Henri",潘卡雷,,物理,,2018-11-20
3604025,"Poinsot, Louis",潘索,,物理,,2018-11-20
3604026,"Poiseuille, Jean Louis Marie",普瓦澤伊,,物理,,2018-11-20
3604027,"Poisson, Eric",普瓦頌,,物理,,2018-11-20
3604028,"Pouchet, Félix-Archimède",蒲歇,,生命科學,,2018-11-20
3604029,"Prévost, Pierre",普雷沃斯特,,物理,,2018-11-20
3604030,"Proust, Dominique",普魯斯特(普胡斯特),,化學,,2018-11-20
3604031,"De Réaumur, René Antoine Ferchault",德‧雷歐繆,,物理,,2018-11-20
3604032,"Roche, Édouard Albert",洛舍,,物理,,2018-11-20
3604033,"De Rochon, Alexis-Marie",德‧洛雄,,物理,,2018-11-20
3604034,"Ruelle, David Pierre",律埃勒,,物理,,2018-11-20
3604035,"Savart, Félix",薩瓦爾,,物理,,2018-11-20
3604036,"Sturm, Jacques Charles François",斯鉅姆,,物理,,2018-11-20
3604037,"Ruelle, David Pierre",律埃勒,,物理,,2018-11-20
3604038,"Thévenin, Léon Charles",戴伏南,,物理,,2018-11-20
3604039,"Van Hove, Léon",旺‧歐伏,,物理,,2018-11-20
3604040,"Varignon, Pierre",瓦里尼翁,,物理,,2018-11-20
3604041,"Verdet, Émile",維德,,物理,,2018-11-20
3604042,"Verneuil, Auguste Victor Louis",維納伊,,物理,,2018-11-20
3604043,"Villars, Félix",維亞爾,,物理,,2018-11-20
3604044,"Weiss, Pierre-Ernest",維斯,,物理,,2018-11-20
3604045,"Aboulker, Isabelle",阿布給,,音樂,,2018-11-20
3604046,"Absil, Jean",阿布西勒,,音樂,,2018-11-20
3604047,Adam de la Halle,德‧拉阿勒,,音樂,,2018-11-20
3604048,"Adam, Adolphe-Charles",阿丹姆,,音樂,,2018-11-20
3604049,"Adan, Marie-Claire",阿丹,,音樂,,2018-11-20
3604050,"Agnesi, Luigi",阿涅吉,,音樂,,2018-11-20
3604051,"Agricola, Alexander",阿格里科拉,,音樂,,2018-11-20
3604052,"Alagna, Roberto",阿拉尼亞,,音樂,,2018-11-20
3604053,"Alain, Jehan",阿蘭，熱昂,,音樂,,2018-11-20
3604054,"Alain, Marie-Claire",阿蘭，馬里-克列赫,,音樂,,2018-11-20
3604055,"Alard, Delphin",阿拉爾,,音樂,,2018-11-20
3604056,"Albert, Karel",阿勒貝爾，卡雷勒,,音樂,,2018-11-20
3604057,"Alkan, Charles-Valentin Morhange",阿勒康,,音樂,,2018-11-20
3604058,"Alt, Bernhard",阿勒特,,音樂,,2018-11-20
3604059,"Alvarez, Albert Gourron",阿勒瓦雷茲,,音樂,,2018-11-20
3604060,"Amoyal, Pierre",阿穆瓦亞勒,,音樂,,2018-11-20
3604061,"Amy, Gilbert",阿密,,音樂,,2018-11-20
3604062,"André, Franz",安德烈，弗杭茲(安德雷，弗杭茲),,音樂,,2018-11-20
3604063,"André, Maurice",安德烈，莫里斯(安德雷，莫里斯),,音樂,,2018-11-20
3604064,"Arbeau, Thoinot (Jehan)",阿博,,音樂,,2018-11-20
3604065,"D'Archambeau, Jwan",達尚博,,音樂,,2018-11-20
3604066,"Arnould, Sophie",阿努,,音樂,,2018-11-20
3604067,"Artôt, Désirée",阿托，德吉雷,,音樂,,2018-11-20
3604068,"Artôt, Alexandre-Joseph Montagney",阿托，亞歷山大-若澤夫(阿托，阿列克桑德赫-若澤夫),,音樂,,2018-11-20
3604069,"Auber, Daniel François Esprit",歐貝爾，達尼耶勒,,音樂,,2018-11-20
3604070,"Aubert, Jacques",歐貝爾，賈克,,音樂,,2018-11-20
3604071,"Aubert, Louis",歐貝爾，路易(歐貝爾，盧伊),,音樂,,2018-11-20
3604072,"Aubin, Tony Alexandre",歐班,,音樂,,2018-11-20
3604073,"Audran, Edmond",歐德杭,,音樂,,2018-11-20
3604074,"Auric, Georges",歐里克,,音樂,,2018-11-20
3604075,"Bachelet, Alfred",巴舍列,,音樂,,2018-11-20
