ID,英文名稱,中文名稱,圖片,備註,更新日期
492417,interzonal connection (Schrader 1932);connecting fiber interzonal fiber,中間絲;(有絲分裂後期)二染色分體間的連接絲,,,2012-11-26
492418,interzonal,帶間的,,,2012-11-26
492419,interxylary phloem,木質部間篩管部,,,2012-11-26
492420,interxylary cork,木質部間木栓,,,2012-11-26
492421,interxylary,木質部間的,,,2012-11-26
492422,intervascular pitting,維管束間開孔,,,2012-11-26
492423,intervarietal mating reaction,品種間交配反應,,,2012-11-26
492424,intervarietal hybridization,品種間雜交,,,2012-11-26
492425,intervarietal hybrid,品種間雜種,,,2012-11-26
492426,intervarietal grafting,品種間嫁接,,,2012-11-26
492427,intervarietal free pollination,品種間自由異花傳粉,,,2012-11-26
492428,intervarietal free crossing,品種間自由雜交,,,2012-11-26
492429,interval,休止時;中間休止時;間隔,,,2012-11-26
492430,inter-tillage,中耕,,,2012-11-26
492432,intertidal zone; tidal zone,潮間帶,,,2012-11-26
492433,intertidal community,潮間帶群集,,,2012-11-26
492434,interstock hybrid,品系間雜種,,,2012-11-26
492435,interstitial segment,中間段;相互易位染色體斷點與中節間的部分,,,2012-11-26
492436,interstitial growth,介於中間的生長,,,2012-11-26
492437,interstitial distance (Mather 1936),交叉間距離,,,2012-11-26
492438,interstitial deletion,中間缺失,,,2012-11-26
492439,interstitial chiasma,中間交叉,,,2012-11-26
492440,interstitial cell,間隙細胞,,,2012-11-26
492441,interstitial,間隙的;在間隙中的;在組織間的,,,2012-11-26
492442,interspecific transplantation,種間移植,,,2012-11-26
492443,interspecific transfer,種間轉移,,,2012-11-26
492444,interspecific selection,種間選擇;種間淘汰,,,2012-11-26
492445,interspecific relation,種間關係,,,2012-11-26
492446,interspecific population,種間族群,,,2012-11-26
492447,interspecific hybridization,種間雜交,,,2012-11-26
492448,interspecific hybrid,種間雜種,,,2012-11-26
492449,interspecies competition,種間競爭;異種間互害共存,,,2012-11-26
492450,interspecies adaptation,種間遺傳,,,2012-11-26
492451,intersexuality,雌雄間性;間性遺傳,,,2012-11-26
492452,interspecies,種間,,,2012-11-26
492453,intersexual male,間性雄體;雄性而帶有雌性器官,,,2012-11-26
492454,intersexual female,間性雌體;雌性而帶有雄性器官,,,2012-11-26
492455,intersex(Goldsch-midt 1915),雌雄間性;本為雌雄異體(株)而雌者帶有雄性器官或雄者帶有雌性器官的個體,,,2012-11-26
492456,intersegmental,節間的;斷片間的,,,2012-11-26
492457,interruptedly pinnate,不整齊羽狀,,,2012-11-26
492458,interrupted,不連續的;中間受阻的,,,2012-11-26
492459,interreduplication (Hsu & Moorhead 1956),間期染色體數加倍,,,2012-11-26
492460,interracial free crossing,品種間自由交配,,,2012-11-26
492461,interposition growth,侵入生長,,,2012-11-26
492462,interpolation,插入;補入,,,2012-11-26
492463,interplanting,間植,,,2012-11-26
492464,interpolated,插入的;補入的,,,2012-11-26
492465,interplantation,內植,,,2012-11-26
492466,interplant,內植片;內殖體,,,2012-11-26
