ID,英文名稱,中文名稱,圖片,中國大陸譯名,作曲家,作曲家臺灣譯名,作曲家中國大陸譯名,臺灣分類,中國大陸分類,更新日期
3539116,American Quartet,"""美國""四重奏",,“美洲”四重奏,"Dvořák, Antonín",德沃札克,德沃夏克,室內樂曲,室内乐曲,2018-05-30
3539117,"Amico Fritz, L'",好友弗利茲,,友人弗里兹,"Mascagni, Pietro",馬斯卡尼,马斯卡尼,歌劇,歌剧,2018-05-30
3539118,"Amor brujo, El",魔法師的愛情,,魔法师的爱情,"Falla, Manuel de",法雅,德-法拉,管絃樂曲,管弦乐曲,2018-05-30
3539119,An der schönen blauen Donau,藍色多瑙河,,蓝色多瑙河,"Strauss Jr., Johann(II)","史特勞斯二世,約翰",小约翰·施特劳斯,管弦樂曲,管弦乐曲,2018-05-30
3539120,An die ferne Geliebte,致遠方的愛人,,致远方的爱人,"Beethoven, Ludwig van",貝多芬,贝多芬,聲樂曲,声乐曲,2018-05-30
3539121,"Anacréon, ou L'amour fugitif",阿納克里翁,,阿纳克里翁,"Rameau, Jean-Philippe",拉摩,拉摩,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539122,Andrea Chénier,安德雷亞˙謝涅,,安德莱·谢尼埃,"Giordano, Umberto",喬大諾,乔尔达诺,歌劇,歌剧,2018-05-30
3539123,Anna Bolena,安娜˙波蕾納,,安娜·博莱纳,"Donizetti, Gaetano",董尼才悌,多尼采蒂,歌劇,歌剧,2018-05-30
3539124,Anna Magdalena Bach,安娜˙瑪格達勒那˙巴赫曲集,,安娜·玛格达勒娜曲集,"Bach,Johann Sebastian",巴赫（J.S),巴赫（J.S),鍵盤樂曲,键盘乐曲,2018-05-30
3539125,Années de pèlerinage,巡禮之年,,旅游岁月,"Liszt, Franz(Ferenc)",李斯特,李斯特,鍵盤樂曲,键盘乐曲,2018-05-30
3539126,Anon in Love,在愛河中,,在爱河中,"Walton, William",華爾頓,沃尔顿,聲樂曲,声乐曲,2018-05-30
3539127,Antar,安塔爾,,安塔尔,"Rimsky-Korsakov, Nikolay",李姆斯基－柯薩科夫,里姆斯基-科萨科夫/加布里埃尔·杜邦,管絃樂曲,管弦乐曲,2018-05-30
3539128,Apollo Musagetes,眾神領神阿波羅,,众神领袖阿波罗,"Stravinsky, Igor","斯特拉溫斯基,伊果",斯特拉文斯基,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539129,"Apostles, The",基督使徒,,基督使徒,"Elgar, Edward",艾爾加,埃尔加,聲樂曲,声乐曲,2018-05-30
3539130,Appalachia,阿帕拉契亞,,阿帕拉契亚,"Delius, Frederick",戴里厄斯,德留斯,管絃樂曲,管弦乐曲,2018-05-30
3539131,Appalachian Spring,阿帕拉契之春,,阿帕拉契亚山之春,"Copland, Aaron",柯普蘭,科普兰,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539132,"Apprenti Sorcier, L'",魔法師的弟子,,魔术师的弟子,"Dukas, Paul",狄卡,迪卡斯,管絃樂曲,管弦乐曲,2018-05-30
3539133,Arabella,阿拉貝拉,,阿拉贝拉,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539134,Archduke Trio,大公三重奏,,大公三重奏,"Beethoven, Ludwig van",貝多芬,贝多芬,室內樂曲,室内乐曲,2018-05-30
3539135,Ariadne auf Naxos,納索斯島的阿麗亞德妮,,阿里阿德涅在纳克索斯,"Strauss, Richard","史特勞斯,理查",理查德·斯特劳斯,歌劇,歌剧,2018-05-30
3539136,Arianna,阿里安娜,,阿里安娜,"Monteverdi, Claudio",蒙特威爾第,蒙特威尔第,歌劇,歌剧,2018-05-30
3539137,Ariettes oubliées,被遺忘的短歌,,遗忘的歌,"Debussy, Claude",德布西,德彪西,聲樂曲,声乐曲,2018-05-30
3539138,Ariodante,阿里歐丹特,,阿廖丹特,Handel George Friedrich,韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539139,Arlecchino,丑角,,丑角,"Busoni, Ferruccio",布索尼,布索尼,歌劇,歌剧,2018-05-30
