ID,英文名稱,中文名稱,圖片,界,門,綱,目,科,屬,種,資料來源,更新日期
3558843,Otocytherella _h_ha,諤諤耳鳴介,,Animalia動物界,Arthropoda節肢動物門,Ostracoda介形蟲綱,Podocopida速足介目,Bathocytheridae深海花介科,Otocytherella耳鳴介屬,_h_ha,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558844,Australimoosella _maoi,惡貓南毛介,,Animalia動物界,Arthropoda節肢動物門,Ostracoda介形蟲綱,Podocopida速足介目,Trachyleheridae粗面介科,Australimoosella南毛介屬,_maoi,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558845,Bauhinia × blakeana,豔紫荊,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Fabales豆目,Fabaceae豆科,Bauhinia羊蹄甲屬,× blakeana,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558846,Crocosmia × crocosmioides,射干菖蒲;觀音蘭,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Asparagales天門冬目,Iridaceae鳶尾科,Crocosmia雄黃蘭屬,× crocosmioides,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558847,Calanthe × dominii,長距白鶴蘭,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Asparagales天門冬目,Orchidaceae蘭科,Calanthe根節蘭屬,× dominii,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558848,Thelypteris × erubesquirolica,大斜金星蕨,,Plantae植物界,Pteridophyta蕨類植物門,Filicopsida真蕨綱,Polypodiales水龍骨目,Thelypteridaceae金星蕨科,Thelypteris沼澤蕨屬,× erubesquirolica,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558849,Senna × floribunda,大花黃槐,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Fabales豆目,Fabaceae豆科,Senna黃槐屬,× floribunda,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558850,Canna × generalis Jinnye,金葉美人蕉,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Zingiberales薑目,Cannaceae美人蕉科,Canna美人蕉屬,× generalis,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558851,Caladium × hortulanum,彩葉芋,,Plantae植物界,Tracheophyta維管束植物門,Magnoliopsida木蘭綱,Alismatales澤瀉目,Araceae天南星科,Caladium花葉芋屬,× hortulanum,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
3558852,Cyclosorus × intermedius,擬密毛毛蕨,,Plantae植物界,Pteridophyta蕨類植物門,Filicopsida真蕨綱,Polypodiales水龍骨目,Thelypteridaceae金星蕨科,Cyclosorus毛蕨屬,× intermedius,中央研究院生物多樣性中心臺灣物種名錄http://taibnet.sinica.edu.tw/home.php,2018-08-30
